Under Bridges,,,,,Over Bridges,,,
Structure_No,Type_Desc,Easting,Northing,,Structure_No,Type_Desc,Easting,Northing
8.171,Bridge (Underline),290989.5197,426257.5359,,5.076,Bridge (Overline),315581.0512,386502.5397
8.172,Bridge (Underline),290655.3213,426353.2567,,05.075A,Bridge (Overline),316217.8321,385815.5523
8.173,Bridge (Underline),290619.6059,426365.5281,,5.075,Bridge (Overline),316262.4557,385786.279
8.174,Bridge (Underline),290246.3763,426533.367,,05.074A,Bridge (Overline),316287.044,385770.0272
8.178,Bridge (Underline),288407.6954,429766.8911,,5.074,Bridge (Overline),316431.0437,385692.9585
8.18,Bridge (Underline),287286.2332,431132.9149,,5.068,Bridge (Overline),319113.5391,385008.8015
8.181,Bridge (Underline),287125.5966,431253.1884,,5.058,Bridge (Overline),323342.8888,385551.1026
8.182,Bridge (Underline),286643.0682,431589.0062,,5.001,Bridge (Overline),334301.3413,375559.0875
8.185,Bridge (Underline),285683.851,432243.6599,,5.002,Bridge (Overline),334325.641,376330.3944
9.264,Bridge (Underline),285641.7762,439934.9159,,05.002A,Bridge (Overline),334323.3892,377696.9082
9.262,Bridge (Underline),285411.9524,439684.8878,,5.003,Bridge (Overline),334322.7045,377721.0409
9.261,Bridge (Underline),283559.736,437860.1623,,5.005,Bridge (Overline),334507.3604,379561.6582
9.253,Bridge (Underline),285138.8413,433396.4197,,05.005A,Bridge (Overline),334527.1069,379620.1848
10.192,Bridge (Underline),281325.8683,435083.0396,,05.005B,Bridge (Overline),334552.7923,379668.4602
10.19,Bridge (Underline),284711.0159,433248.5631,,5.009,Bridge (Overline),335151.7462,381268.8604
10.189A,Bridge (Underline),285056.0774,433097.4261,,5.01,Bridge (Overline),335154.5094,381346.1691
10.198,Bridge (Underline),275232.7298,436113.1156,,5.012,Bridge (Overline),335190.6207,381786.7687
10.194,Bridge (Underline),278263.6684,435519.2287,,05.012A,Bridge (Overline),335229.5611,382415.1395
10.193,Bridge (Underline),279957.7228,435272.621,,5.013,Bridge (Overline),335231.648,382453.6938
10.199,Bridge (Underline),274451.677,436080.1819,,4.32,Bridge (Overline),335334.3317,374638.6539
10.2,Bridge (Underline),273244.4897,435820.3626,,4.322,Bridge (Overline),335429.4022,374671.1875
10.201,Bridge (Underline),272927.4149,435727.6722,,4.324,Bridge (Overline),336007.5867,374767.7484
10.202,Bridge (Underline),272078.9154,435371.3321,,4.327,Bridge (Overline),337155.6251,375490.6598
10.203,Bridge (Underline),271972.0745,435322.0865,,6.421,Bridge (Overline),340586.4273,387688.3932
10.204,Bridge (Underline),270471.2213,434227.0632,,06.427A,Bridge (Overline),341776.8786,387874.5742
10.205,Bridge (Underline),269030.7542,433235.5616,,06.427B,Bridge (Overline),341882.9854,387916.2789
10.206,Bridge (Underline),264333.2034,429395.0192,,06.431A,Bridge (Overline),343764.6155,388497.5543
10.208,Bridge (Underline),263650.0256,425450.6251,,06.431B,Bridge (Overline),343899.5585,388520.5269
10.211,Bridge (Underline),261514.6185,423407.215,,06.431C,Bridge (Overline),344060.2446,388545.0497
10.212,Bridge (Underline),260156.7339,422650.1497,,06.431D,Bridge (Overline),344176.5216,388566.3721
10.213,Bridge (Underline),258887.1149,422366.0278,,06.431E,Bridge (Overline),344458.8708,388609.5569
10.214,Bridge (Underline),258099.282,422240.6636,,6.462,Bridge (Overline),341199.7086,402391.5387
10.22,Bridge (Underline),248945.9643,422518.1649,,6.464,Bridge (Overline),340288.934,402232.1808
