Sample,SampleType,Easting,Northing,Ag,As,Au,Be,Bi,Cd,Ce,Co,Cs,Ga,Ge,Hf,Hg,In,La,Lu,Mo,Nb,Pb,Pd,Pt,Rb,Sb,Sc,Se,Sn,Ta,Tb,Te,Th,Tl,U,W,Y,Yb,Al,B,Ba,Ca,Cr,Cu,Fe,K,Li,Mg,Mn,Na,Ni,P,S,Sr,Ti,V,Zn,Zr,Analytical_method
554411,A,219626,357372,0.05,6.6,0.05,0.5,0.1,0.12,26.8,9.6,0.57,5,0.05,0.07,0.04,0.01,10.1,0.03,0.47,0.53,18,0.25,0.05,16.1,0.17,2.8,1,0.6,0.025,0.2,0.025,3.5,0.11,0.92,0.1,3.5,0.3,1.55,5,102,0.26,30,13.4,2.39,0.16,23,0.56,343,0.01,29.5,716,0.07,14.3,0.005,37,56,1.7,ICM12B
554412,A,237502,343732,0.04,3.7,0.05,0.2,0.05,0.23,17.2,3.1,0.48,2.1,0.05,0.025,0.04,0.01,6.4,0.03,0.6,0.34,13.9,0.25,0.05,7.5,0.16,1.1,1,0.6,0.025,0.13,0.025,1.8,0.07,0.67,0.1,2.77,0.2,0.77,5,31,0.24,12,7.1,1.47,0.07,6,0.13,236,0.005,10.8,662,0.05,6.8,0.005,18,25,0.5,ICM12B
554413,A,232341,348808,0.04,2.3,0.05,0.3,0.05,0.14,17.7,3.1,0.38,2.5,0.05,0.12,0.06,0.01,7.7,0.04,0.29,1.46,12.8,0.25,0.05,5.1,0.14,1.3,1,0.5,0.06,0.15,0.025,1.5,0.05,0.64,0.1,3.53,0.3,0.77,5,49,0.39,16,6.1,1.1,0.06,6,0.26,199,0.005,11,518,0.13,12.9,0.03,18,27,2.8,ICM12B
554414,A,225493,355642,0.07,4.5,0.05,0.5,0.13,0.14,27.8,9.8,0.75,5.4,0.05,0.025,0.05,0.01,10,0.03,0.4,0.43,18.6,0.25,0.05,19.1,0.18,2.6,1,0.9,0.025,0.19,0.025,2.6,0.12,0.74,0.1,3.33,0.2,1.83,5,101,0.13,33,15.9,2.31,0.15,25,0.66,564,0.01,32.8,932,0.06,7.3,0.005,36,71,1,ICM12B
554415,A,225532,351208,0.08,5.8,0.05,0.6,0.13,0.23,25.9,6.7,0.88,4.3,0.05,0.12,0.06,0.02,10.6,0.05,0.59,0.47,27.4,0.25,0.05,18.6,0.19,2.9,1,1,0.025,0.22,0.025,4.1,0.16,0.67,0.1,4.67,0.3,1.57,5,114,0.29,26,34.9,2.31,0.13,18,0.37,365,0.01,22.3,690,0.06,15.3,0.005,28,68,2.8,ICM12B
554416,A,237448,345172,0.04,3.8,0.05,0.3,0.05,0.19,19.2,3.2,0.53,2.4,0.05,0.025,0.04,0.01,8,0.03,0.29,0.37,11.5,0.25,0.05,7.9,0.13,1.1,1,0.3,0.025,0.15,0.025,1.4,0.1,0.74,0.1,3.25,0.2,0.84,5,61,0.26,14,12.1,0.96,0.09,8,0.16,112,0.01,10.4,965,0.09,15.9,0.005,16,35,0.5,ICM12B
554417,A,224608,348360,0.08,4.2,0.05,0.3,0.09,0.19,20.9,5.4,0.8,3.1,0.05,0.025,0.03,0.01,8,0.04,0.62,0.26,20.8,0.25,0.05,13.3,0.21,2,1,0.6,0.025,0.18,0.025,2.2,0.11,0.81,0.1,4.1,0.3,1.12,5,67,0.11,21,14.7,1.74,0.11,12,0.26,573,0.005,16.5,1280,0.06,6.4,0.005,24,64,0.9,ICM12B
554418,A,238732,344278,0.05,5.3,0.05,0.3,0.06,0.5,21.4,4.2,0.56,2,0.05,0.025,0.06,0.01,8.8,0.07,1.13,0.33,14.3,0.25,0.05,9.5,0.25,1.6,1,0.9,0.025,0.22,0.025,1.9,0.18,1.2,0.1,6.51,0.4,0.81,5,31,0.23,14,21.2,1.44,0.06,6,0.12,387,0.005,16.3,732,0.06,7,0.005,22,38,0.9,ICM12B
554419,A,222165,346173,0.11,7.5,0.05,1,0.16,0.78,32.1,5.8,1.51,4.4,0.05,0.14,0.12,0.03,11.8,0.09,1.13,0.42,107.1,0.25,0.05,10.7,0.6,5,2,1,0.025,0.4,0.025,4.7,0.34,2.07,0.1,9.71,0.7,1.88,5,161,0.24,26,17.1,2.5,0.1,18,0.18,316,0.01,20.9,1120,0.13,22.2,0.005,34,53,3.3,ICM12B
554420,A,235421,347465,0.12,5.4,0.05,0.3,0.1,0.35,22.1,4.4,0.77,3.1,0.05,0.025,0.12,0.01,7.8,0.04,0.67,0.48,52.6,0.25,0.05,11.1,0.41,1.5,1,1.3,0.025,0.15,0.025,1.9,0.11,0.83,0.1,3.31,0.3,1.06,5,94,0.15,19,11.3,1.7,0.1,10,0.26,475,0.005,12.8,1100,0.07,7.5,0.005,23,73,0.25,ICM12B
554421,A,224415,356778,0.06,6.8,0.05,0.6,0.13,0.16,30.1,9.8,0.98,5.2,0.05,0.07,0.06,0.02,10.9,0.05,0.5,0.53,38.4,0.25,0.05,15.5,0.25,3.1,1,0.7,0.025,0.25,0.025,4.1,0.13,0.94,0.1,4.9,0.3,1.78,5,255,0.26,32,13.4,2.18,0.14,24,0.61,564,0.01,32.4,865,0.07,12.5,0.005,37,60,1.9,ICM12B
554422,A,221809,353467,0.06,6.1,0.05,0.5,0.12,0.16,24.6,11.5,0.65,5.8,0.05,0.025,0.06,0.02,9,0.02,0.64,0.64,24.3,0.25,0.05,16.1,0.26,2.5,1,0.5,0.025,0.15,0.025,2.9,0.13,0.94,0.1,2.37,0.2,2.01,5,169,0.17,38,15.6,2.64,0.16,30,0.81,619,0.01,41.2,806,0.08,8.1,0.005,37,71,1.3,ICM12B
554423,A,223380,343701,0.02,1.6,0.05,0.2,0.02,0.04,12.2,4,0.31,1.3,0.05,0.025,0.005,0.01,5.2,0.03,0.15,0.14,3.5,0.25,0.05,4.3,0.08,1.3,0.5,0.15,0.025,0.12,0.025,1.6,0.03,0.27,0.1,2.9,0.2,0.5,5,68,0.55,11,4.6,1.1,0.08,5,0.27,245,0.005,12.9,176,0.01,23.2,0.005,15,15,0.7,ICM12B
554424,A,232640,346317,0.06,3.5,0.05,0.3,0.08,0.22,20.6,5.1,0.9,4.9,0.05,0.025,0.08,0.01,8.9,0.05,0.52,1.74,16.5,0.25,0.05,13,0.2,2,1,0.9,0.025,0.19,0.025,2.2,0.08,1.03,0.1,4.66,0.4,1.31,5,43,0.19,28,15.2,1.79,0.09,13,0.4,505,0.01,15.8,1220,0.11,11.5,0.02,34,54,0.9,ICM12B
554425,A,226334,358717,0.05,7.3,0.05,0.5,0.12,0.14,24,9.8,0.77,5,0.05,0.08,0.06,0.01,8.8,0.04,0.48,0.51,18,0.25,0.05,16.3,0.25,2.6,1,0.6,0.025,0.19,0.025,3.6,0.14,1.08,0.1,3.7,0.3,1.67,5,88,0.14,31,47.4,2.49,0.12,22,0.55,449,0.01,28.2,958,0.07,8.2,0.005,38,50,2.2,ICM12B
554426,A,232560,344178,0.06,5,0.05,0.3,0.09,0.19,20.3,4.8,0.76,3.2,0.05,0.025,0.05,0.01,9.2,0.03,0.46,0.44,26.7,0.25,0.05,10.8,0.28,1.2,1,0.8,0.025,0.14,0.025,1.3,0.09,0.76,0.1,2.8,0.2,1,5,50,0.11,21,67.9,1.6,0.09,8,0.23,477,0.01,12.8,1230,0.06,10.6,0.005,26,50,0.25,ICM12B
554427,A,223905,349356,0.06,6.2,0.05,0.3,0.09,0.2,22.2,6.9,0.88,3.8,0.05,0.025,0.05,0.01,9.2,0.03,0.55,0.44,16.9,0.25,0.05,17.3,0.26,1.3,1,0.8,0.025,0.15,0.025,1.4,0.1,0.7,0.1,2.82,0.2,1.26,5,217,0.14,27,35.8,1.8,0.11,16,0.47,556,0.01,26.1,981,0.08,9.3,0.005,28,55,0.5,ICM12B
554429,A,222918,348144,0.09,27.8,0.05,1.3,0.17,0.7,44.6,6.4,1.04,5.2,0.05,0.24,0.1,0.03,19.8,0.15,1.71,0.61,27.6,0.25,0.05,12.8,0.15,5.7,3,0.8,0.025,0.55,0.025,6.8,0.21,3.09,0.1,15.5,1,2.02,13,235,0.78,30,22.5,4.93,0.11,18,0.31,465,0.01,25.4,1030,0.16,90.4,0.005,39,60,5.8,ICM12B
554430,A,228307,346305,0.05,6.2,0.05,0.4,0.1,0.19,22.6,4.8,0.87,4.5,0.05,0.025,0.06,0.01,10.6,0.03,0.36,0.83,18.3,0.25,0.05,9.1,0.24,1.7,1,0.7,0.025,0.15,0.025,1.6,0.13,1.09,0.2,3.35,0.2,1.32,5,92,0.18,28,40.4,1.58,0.08,15,0.41,188,0.01,19.3,664,0.08,10.7,0.005,34,35,0.7,ICM12B
554431,A,226465,356673,0.06,6.9,0.05,0.5,0.14,0.18,27.4,14.4,0.94,6.7,0.05,0.06,0.05,0.02,9.8,0.04,0.55,0.39,23.9,0.25,0.05,19.9,0.29,3.4,1,1,0.025,0.2,0.025,3.5,0.14,1.19,0.1,4.18,0.3,2.37,5,99,0.16,44,63.8,3.09,0.15,31,0.92,1170,0.005,44,1060,0.06,8.4,0.005,47,86,1.5,ICM12B
554432,A,226272,346797,0.06,2.7,0.05,0.4,0.08,0.19,20.5,4,0.71,3.1,0.05,0.025,0.07,0.01,9.1,0.03,0.39,0.51,23,0.25,0.05,11.2,0.25,1.3,1,1.8,0.025,0.15,0.025,1.4,0.1,0.8,0.1,2.96,0.2,0.97,5,105,0.33,19,12.9,0.88,0.1,11,0.29,156,0.005,17.7,853,0.12,20.3,0.005,20,45,0.8,ICM12B
554433,A,239181,345461,0.05,5.3,0.05,0.1,0.06,0.31,13.7,2.3,0.39,1.8,0.05,0.025,0.05,0.01,5.5,0.03,0.58,0.33,11.6,0.25,0.05,5.5,0.23,0.6,1,0.6,0.025,0.09,0.025,0.6,0.07,1.07,0.1,2.54,0.2,0.62,5,26,0.23,11,26.4,0.96,0.06,5,0.12,196,0.005,8.1,1270,0.08,17.8,0.005,15,35,0.25,ICM12B
554434,A,223364,353136,0.06,6,0.05,0.6,0.12,0.15,29.3,10.6,0.69,4.4,0.05,0.025,0.04,0.01,11,0.05,0.51,0.48,22.3,0.25,0.05,13.5,0.23,2.6,1,1,0.025,0.25,0.025,2.7,0.11,0.82,0.1,5.02,0.3,1.66,5,152,0.29,32,22.4,2.34,0.13,22,0.69,507,0.01,36.4,1000,0.07,15.9,0.005,32,61,1.1,ICM12B
554435,A,226610,344937,0.1,3.2,0.05,0.4,0.07,0.17,22.7,3.2,0.67,2.4,0.05,0.025,0.17,0.01,9.8,0.04,0.38,0.37,29.5,0.25,0.05,11.8,0.19,1.3,1,1.2,0.025,0.18,0.025,1.6,0.09,0.51,0.1,3.7,0.3,0.69,5,1060,0.32,12,24.6,1.01,0.11,6,0.17,185,0.005,11,714,0.09,17.6,0.005,15,34,0.8,ICM12B
554436,A,224071,351521,0.05,4.8,0.05,0.3,0.08,0.2,22.3,6.3,0.76,3.9,0.05,0.025,0.05,0.01,9,0.03,0.44,0.37,19.9,0.25,0.05,14.3,0.23,1.5,1,1,0.025,0.16,0.025,1.6,0.1,0.82,0.1,2.92,0.2,1.24,5,88,0.11,25,27.2,1.8,0.11,14,0.4,452,0.01,20.6,875,0.06,9.3,0.005,27,50,0.25,ICM12B
554438,A,220816,356307,0.05,1.5,0.05,0.05,0.09,0.26,0.97,0.4,0.025,0.4,0.05,0.28,0.09,0.01,0.4,0.005,0.29,0.17,399.3,0.25,0.05,0.5,1.99,0.6,2,0.9,0.14,0.01,0.025,0.8,0.01,0.07,0.1,0.39,0.05,0.12,5,9,0.3,2,5.1,0.11,0.03,0.5,0.16,10,0.03,2.5,284,0.3,30.4,0.005,3,25,0.7,ICM12B
554439,A,222977,354573,0.06,4.1,0.05,0.4,0.11,0.13,25.2,6.9,0.68,4.4,0.05,0.05,0.04,0.01,9.8,0.04,0.41,0.54,23.2,0.25,0.05,15.5,0.19,2.2,1,0.6,0.025,0.21,0.025,2.4,0.12,0.81,0.1,3.98,0.3,1.56,5,151,0.15,26,18.3,1.95,0.13,20,0.5,286,0.01,25.4,930,0.08,8.7,0.005,28,50,1.3,ICM12B
554440,A,234768,344602,0.06,3.5,0.05,0.2,0.06,0.2,16.6,2.4,0.56,2.5,0.05,0.025,0.05,0.01,7.3,0.03,0.34,0.42,14.4,0.25,0.05,7,0.2,1,1,0.6,0.025,0.13,0.025,1.1,0.1,0.87,0.1,2.7,0.2,0.83,5,44,0.23,14,16.6,0.8,0.09,7,0.19,81,0.01,9.9,956,0.09,17.7,0.005,15,30,0.6,ICM12B
554441,A,222743,356818,0.07,3.1,0.05,0.3,0.11,0.2,21.9,4.2,0.53,4.8,0.05,0.025,0.06,0.01,8.8,0.02,0.3,0.62,23.8,0.25,0.05,12.9,0.25,1.6,1,0.6,0.025,0.13,0.025,1.4,0.13,1.03,0.1,2.35,0.2,1.43,5,73,0.57,25,31.1,0.94,0.15,14,0.35,163,0.02,19.3,1190,0.09,13.9,0.005,24,39,0.8,ICM12B
554442,A,231954,351855,0.03,4.5,0.05,0.5,0.08,0.18,22.4,5.2,0.53,2.4,0.05,0.025,0.04,0.01,8.9,0.05,0.34,0.54,23.1,0.25,0.05,9.8,0.22,1.9,1,0.4,0.025,0.22,0.025,2.7,0.08,0.7,0.2,5.1,0.4,0.85,5,87,0.18,15,14.6,1.44,0.13,10,0.31,354,0.005,15.3,674,0.05,6.2,0.005,20,53,1.2,ICM12B
554443,A,238689,348499,0.06,6,0.05,0.4,0.08,0.19,24.9,5.7,0.75,4.5,0.05,0.025,0.08,0.01,11.6,0.05,0.37,1.32,17.4,0.25,0.05,9.6,0.18,2,1,0.6,0.025,0.19,0.025,1.7,0.12,1.09,0.1,4.96,0.3,1.34,5,74,0.21,28,34.9,1.76,0.08,15,0.45,380,0.01,21.4,746,0.08,11.6,0.02,33,42,1.5,ICM12B
554444,A,229312,345035,0.05,7.1,0.05,0.3,0.07,0.22,19.9,4.1,0.48,3.4,0.05,0.025,0.05,0.01,8.9,0.03,0.31,1.22,29.1,0.25,0.05,7.8,0.28,1.6,1,0.6,0.025,0.13,0.025,2.1,0.1,0.88,0.1,3.08,0.2,1.1,5,43,0.45,23,20.1,1.64,0.08,12,0.54,207,0.005,13.3,560,0.07,16.7,0.02,26,33,1.1,ICM12B
554445,A,230746,350109,0.04,3.6,0.05,0.4,0.07,0.2,18.7,4.1,0.39,2.3,0.05,0.16,0.11,0.01,7.4,0.04,0.35,1.69,25.1,0.25,0.05,5.5,0.26,1.3,1,1,0.06,0.17,0.025,1.4,0.05,0.44,0.2,4.02,0.3,0.81,5,37,0.72,17,8.5,1.05,0.08,10,0.4,168,0.01,19.2,499,0.15,20.4,0.03,18,45,4.8,ICM12B
554446,A,225510,357714,0.05,6.6,0.05,0.5,0.14,0.19,25.2,10.3,0.79,5.6,0.05,0.19,0.07,0.02,9.5,0.04,0.54,0.61,17.7,0.25,0.05,19.1,0.3,2.6,1,0.7,0.025,0.22,0.025,2.5,0.12,1.11,0.2,4.4,0.3,1.89,5,88,0.26,34,54.5,2.5,0.17,23,0.6,682,0.01,32.8,1550,0.09,12.4,0.005,49,63,1.4,ICM12B
554447,A,220574,354360,0.06,10.7,0.05,0.7,0.11,0.23,26.3,14.4,0.67,5.2,0.05,0.17,0.08,0.02,9.8,0.04,0.63,0.63,23.3,0.25,0.05,14.5,0.26,3.6,1,0.7,0.025,0.21,0.025,3.6,0.11,1.04,0.1,4.07,0.3,1.76,5,226,0.29,42,21,3.32,0.14,23,0.66,568,0.01,43.9,1070,0.08,13.8,0.005,43,75,3,ICM12B
554448,A,221275,355617,0.09,5.7,0.05,0.6,0.11,0.21,31.2,5.5,1,5.1,0.05,0.19,0.07,0.01,11.9,0.04,0.4,0.51,18.7,0.25,0.05,13.2,0.19,3.1,4,1,0.05,0.24,0.025,2.9,0.17,1.36,0.1,4.79,0.3,1.6,5,206,0.31,27,14.1,1.55,0.17,17,0.36,144,0.02,20.9,1150,0.1,19.6,0.005,30,40,1.6,ICM12B
554449,A,225780,349430,0.07,5.3,0.05,0.4,0.1,0.2,29.1,7.2,1.05,4.6,0.05,0.07,0.06,0.01,11.8,0.04,0.41,0.49,18.6,0.25,0.05,18.5,0.23,1.9,1,0.8,0.025,0.2,0.025,1.7,0.12,0.89,0.1,3.73,0.3,1.47,5,137,0.25,31,17.3,2.1,0.14,19,0.53,391,0.01,26.7,1290,0.07,11.1,0.005,33,56,0.6,ICM12B
554450,A,227235,349630,0.08,4.4,0.05,0.3,0.11,0.2,33.7,5.9,1.22,4.8,0.05,0.08,0.69,0.01,14.8,0.03,0.51,1.02,26.6,0.25,0.05,17.6,0.36,1.7,1,1.3,0.025,0.19,0.025,1.4,0.12,0.79,0.1,3.82,0.3,1.33,5,117,0.19,29,21,1.6,0.12,15,0.41,376,0.01,22.2,881,0.09,10.3,0.005,33,52,0.6,ICM12B
554451,A,227673,347340,0.04,3.5,0.05,0.4,0.07,0.08,21.1,4.4,0.73,3.6,0.05,0.025,0.06,0.01,9.6,0.03,0.23,0.81,14.7,0.25,0.05,10.7,0.15,1.5,1,0.5,0.025,0.15,0.025,1.3,0.09,0.64,0.1,3.11,0.2,1.11,5,64,0.12,25,20.9,1.09,0.08,15,0.44,125,0.01,20.8,410,0.05,6.4,0.01,24,29,1.2,ICM12B
554452,A,230696,348184,0.07,7.8,0.05,0.6,0.12,0.25,28,5,1.67,5.3,0.05,0.09,0.08,0.01,15.2,0.09,0.37,1.76,22.9,0.25,0.05,8.5,0.23,2.2,2,0.7,0.05,0.31,0.025,1.7,0.16,2.34,0.1,8.72,0.6,1.55,5,140,0.23,32,8.5,1.57,0.08,24,0.65,178,0.01,18.8,908,0.12,8.9,0.01,36,53,1.2,ICM12B
554453,A,233157,343861,0.07,3.7,0.05,0.2,0.08,0.15,18.8,3.5,0.68,2.9,0.05,0.025,0.07,0.01,7.2,0.03,0.48,0.38,23.8,0.25,0.05,7.7,0.65,1.1,1,0.8,0.025,0.12,0.025,1.3,0.1,0.54,0.1,2.4,0.2,0.98,5,42,0.09,19,10.5,1.55,0.06,9,0.24,198,0.005,13.1,655,0.05,6.8,0.005,24,42,0.5,ICM12B
554454,A,223161,355149,0.06,7,0.05,0.6,0.11,0.15,34.3,10.8,0.89,5.1,0.05,0.12,0.05,0.02,12.3,0.06,0.44,0.56,18.6,0.25,0.05,13.5,0.19,3.5,1,0.9,0.025,0.3,0.025,3.8,0.15,1.13,0.1,5.82,0.4,1.81,5,263,0.28,34,11.1,2.41,0.13,24,0.64,928,0.01,36,837,0.08,12,0.005,35,52,2.9,ICM12B
554455,A,236454,348566,0.04,2.7,0.05,0.2,0.11,0.16,14.6,2.5,0.66,2.2,0.05,0.025,0.05,0.01,5.9,0.02,0.4,0.45,15.4,0.25,0.05,11.9,0.18,0.8,0.5,0.5,0.025,0.1,0.025,1,0.07,0.62,0.1,2.05,0.2,0.71,5,43,0.14,14,23.2,0.95,0.1,5,0.15,206,0.005,8.6,1000,0.07,7.4,0.005,18,40,0.25,ICM12B
554456,A,231512,347894,0.04,6.5,0.05,0.4,0.09,0.15,24.7,5,0.84,4,0.05,0.08,0.06,0.01,8.2,0.04,0.33,1.72,16,0.25,0.05,6.4,0.16,2.6,1,0.6,0.025,0.17,0.025,2.2,0.11,1,0.1,3.94,0.3,1.26,5,51,0.14,38,20.2,1.98,0.06,14,0.44,239,0.01,20.7,557,0.07,8,0.03,38,33,2.9,ICM12B
554457,A,226844,348105,0.06,4.6,0.05,0.5,0.11,0.22,29.9,8.4,1.13,5,0.05,0.025,0.08,0.01,13.3,0.05,0.47,1.82,36.3,0.25,0.05,15.7,0.26,2.5,1,2.1,0.025,0.22,0.025,2.9,0.12,1.04,0.1,5.2,0.4,1.52,5,135,0.3,35,39.1,2.41,0.11,22,0.66,543,0.01,32.6,766,0.08,10.8,0.02,38,63,1.4,ICM12B
554459,A,227575,343849,0.1,6.2,0.05,0.5,0.11,0.32,28.1,4.9,0.7,3,0.05,0.025,0.17,0.01,12.7,0.07,0.56,0.47,73.2,0.25,0.05,9.2,0.38,1.6,1,1.7,0.025,0.28,0.025,1.2,0.08,1.04,0.1,7,0.5,1.09,5,292,0.23,22,99,1.67,0.08,9,0.32,428,0.01,17.8,1760,0.07,13.4,0.005,24,65,0.6,ICM12B
554460,A,235178,345100,0.07,8,0.05,0.2,0.11,0.23,9.73,2,0.29,1.5,0.05,0.12,0.1,0.01,4.5,0.02,0.53,0.52,27.1,0.25,0.05,3.1,0.22,0.9,2,0.7,0.07,0.08,0.025,0.8,0.05,0.77,0.1,2.25,0.2,0.48,5,48,0.88,10,29.7,1.15,0.05,3,0.15,244,0.005,7.1,935,0.21,28.8,0.005,15,21,1,ICM12B
554461,A,236381,346810,0.06,4.9,0.05,0.2,0.07,0.3,14.2,1.9,0.51,2.6,0.05,0.025,0.06,0.01,6.3,0.03,0.44,0.45,19.1,0.25,0.05,4.8,0.21,0.8,1,0.9,0.025,0.11,0.025,0.6,0.1,0.79,0.1,2.52,0.2,0.77,5,43,0.14,13,45.4,0.98,0.05,6,0.14,111,0.005,7.6,964,0.06,8.1,0.005,17,35,0.25,ICM12B
554462,A,226488,354794,0.07,8.4,0.05,0.5,0.1,0.26,30.9,5.5,0.76,4.5,0.05,0.025,0.08,0.01,11.6,0.04,0.38,0.73,21.5,0.25,0.05,11.5,0.21,2.2,2,0.8,0.025,0.22,0.025,1.2,0.14,1.04,0.1,4.12,0.3,1.48,5,114,0.35,29,35.6,1.44,0.12,15,0.39,233,0.01,20.8,1440,0.12,9.7,0.005,36,36,0.8,ICM12B
554463,A,226787,350366,0.05,2.9,0.05,0.3,0.07,0.08,24.2,5.1,0.52,4,0.05,0.025,0.04,0.01,11,0.02,0.25,0.9,16.4,0.25,0.05,10.7,0.11,1.6,0.5,0.6,0.025,0.14,0.025,1.1,0.09,0.57,0.1,2.33,0.2,1.14,5,81,0.24,25,12.3,1.33,0.1,16,0.47,151,0.02,23.5,476,0.06,7.8,0.01,27,32,1.3,ICM12B
554464,A,223443,357678,0.07,5,0.05,0.5,0.12,0.1,28,9.7,0.64,6.1,0.05,0.09,0.06,0.02,10.6,0.03,0.39,0.62,22.4,0.25,0.05,17.1,0.19,2.9,1,0.7,0.025,0.19,0.025,3.6,0.13,0.89,0.1,3.01,0.2,2.03,5,116,0.3,33,14.2,2.42,0.15,28,0.65,303,0.02,32.5,708,0.06,11.6,0.005,41,56,2.5,ICM12B
554465,A,227409,345643,0.07,4.8,0.05,0.3,0.08,0.18,21.8,4.8,0.64,3.8,0.05,0.025,0.07,0.01,9.8,0.03,0.52,0.62,33.1,0.25,0.05,10.9,0.23,1.3,1,1.5,0.025,0.14,0.025,1,0.09,0.76,0.1,3.08,0.2,1.16,5,325,0.16,24,37.7,1.52,0.1,13,0.38,291,0.02,20,1080,0.08,18.9,0.005,26,49,0.5,ICM12B
