Month,Location,Special Event,Avg age (outreach contacts),Programming,Date,Time,Contact type,Number,Notes,Lat,Long,
February,Round Hill Park,,,Visitor contacts,,,In-park contacts,15,,40.241079,-79.858802,
February,South Park,,,Visitor contacts,,,In-park contacts,501,,40.319854,-80.008436,
February,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,51,,40.424197,-80.163275,
March,North Park,,,Signs of Spring,3/6/2016,2:00:00 PM,Participants,5,,40.600477,-80.005029,
March,South Park,,,New Moon Hike,3/9/2016,7:00:00 PM,Participants,2,,40.319854,-80.008436,
March,Deer Lakes Park,,,Signs of Spring,3/12/2016,2:00:00 PM,Participants,5,,40.621298,-79.820963,
March,Settlers Cabin Park,,,Signs of Spring,3/13/2016,2:00:00 PM,Participants,0,,40.424197,-80.163275,
March,Westinghouse School,,11,Skins and Skulls,3/16/2016,6:00:00 PM,Outreach,11,,40.461437,-79.901789,
March,Windover Hills Church,,70,Ranger Intro ,3/18/2016,12:00:00 PM,Outreach,16,,40.315453,-79.994258,
March,South Park,,9,Outdoor Skills ,3/19/2016,10:00:00 AM,Outreach,9,,40.319854,-80.008436,
March,Hartwood Acres,,,Signs of Spring,3/19/2016,2:00:00 PM,Participants,1,,40.569882,-79.90942,
March,South Park,Friedns of South Park Easter Egg Hunt ,,Info Table ,3/20/2016,12:00:00 PM,Event contacts,150,,40.319854,-80.008436,
March,Hartwood Acres,,,Full Moon Hike,3/22/2016,7:00:00 PM,Participants,10,,40.569882,-79.90942,
March,Homestead Head Start,,4,Skins and Skulls,3/24/2016,10:00:00 AM,Outreach,16,,40.401533,-79.902993,
March,South Park,,,Signs of Spring,3/27/2016,2:00:00 PM,Participants,2,,40.319854,-80.008436,
March,North Park,,,Visitor contacts,,,In-park contacts,701,,40.600477,-80.005029,
March,Hartwood Acres,,,Visitor contacts,,,In-park contacts,116,,40.569882,-79.90942,
March,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,95,,40.621298,-79.820963,
March,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,0,,40.653058,-79.707376,
March,Boyce Park,,,Visitor contacts,,,In-park contacts,43,,40.471959,-79.748357,
March,White Oak Park,,,Visitor contacts,,,In-park contacts,11,,40.336148,-79.798397,
March,Round Hill Park,,,Visitor contacts,,,In-park contacts,37,,40.241079,-79.858802,
March,South Park,,,Visitor contacts,,,In-park contacts,287,,40.319854,-80.008436,
March,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,74,,40.424197,-80.163275,
April,North Park,,,Visitor contacts,,,In-park contacts,1023,,40.600477,-80.005029,
April,Hartwood Acres,,,Visitor contacts,,,In-park contacts,25,,40.569882,-79.90942,
April,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,120,,40.621298,-79.820963,
April,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,31,,40.653058,-79.707376,
April,Boyce Park,,,Visitor contacts,,,In-park contacts,65,,40.471959,-79.748357,
April,White Oak Park,,,Visitor contacts,,,In-park contacts,40,,40.336148,-79.798397,
April,Round Hill Park,,,Visitor contacts,,,In-park contacts,110,,40.241079,-79.858802,
April,South Park,,,Visitor contacts,,,In-park contacts,1113,,40.319854,-80.008436,
April,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,55,,40.424197,-80.163275,
April,South Park,,,Park Clean Up ,4/2/2016,10:00:00 AM,Outreach,130,,40.319854,-80.008436,
April,South Park,,10,LNT,4/2/2016,3:00:00 PM,Outreach,8,Girl Scouts ,40.319854,-80.008436,
April,South Park,,25,Trail Work Day ,4/2/2016,10:00:00 AM,Outreach,90,Trail PGH,40.319854,-80.008436,
April,White Oak Park,,30,Tree ID,4/3/2016,2:00:00 PM,Participants,9,,40.336148,-79.798397,
April,Settlers Cabin Park,,50,Wildflower Hike ,4/9/2016,2:00:00 PM,Participants,1,Bad Weather ,40.424197,-80.163275,
April,Aiken Elementary School,,6,Skins and Skulls ,4/14/2016,1:30:00 PM,Outreach,34,,40.423829,-80.042926,
April,South Park,,10,Bison,4/17/2016,11:00:00 AM,Outreach,17,Boy Scouts ,40.319854,-80.008436,
April,Round Hill Park,,,Signs of Spring,4/17/2016,2:00:00 PM,Participants,0,No Registrations ,40.241079,-79.858802,
April,Richland Elementary School,,7,Skins and Skulls ,4/20/2016,9:15:00 AM,Outreach,132,2nd Grade ,40.656751,-79.957961,
April,Highlands Middle School,,12,Invasives Species ,4/22/2016,11:00:00 AM,Outreach,190,45 min lecture 6th grade,40.616025,-79.732078,
April,Boyce Park,,30,Full Moon Hike,4/23/2016,8:00:00 PM,Participants,16,20 registered ,40.471959,-79.748357,
April,Allegheny County Courthouse,Take Your Kid to Work Day ,10,Skins and Skulls ,4/27/2016,9:00:00 AM,Event contacts,100,,40.439025,-79.996857,
April,South Park,,45,Wildflower Hike ,4/30/2016,2:00:00 PM,Participants,9,,40.319854,-80.008436,
April,North Park,,,Trail Steward Training ,4/3/2016,9:00:00 AM,Outreach,50,Trail PGH Training ,40.600477,-80.005029,
April,St. Malachy,,10,Skins and Skulls ,4/4/2016,8:30:00 AM,Outreach,71,,40.480092,-80.103814,
April,North Park,,,New Moon Hike,4/7/2016,7:00:00 PM,Participants,0,Bad Weather ,40.600477,-80.005029,
April,Harrison Hills Park,,,Tree ID,4/16/2016,2:00:00 PM,Participants,5,,40.653058,-79.707376,
April,St. Malachy,,,LNT,4/18/2016,8:30:00 AM,Outreach,85,,40.480092,-80.103814,
April,Highlands Middle School,,13,Ecology of Fungi ,4/22/2016,8:30:00 AM,Outreach,115,7th Grade ,40.616025,-79.732078,
April,North Park,,,Guided Hike ,4/23/2016,8:30:00 AM,Participants,2,,40.600477,-80.005029,
April,Deer Lakes Park,,,Wildflower Hike ,4/24/2016,2:00:00 PM,Participants,4,,40.621298,-79.820963,
April,Allegheny County Courthouse,Take Your Kid to Work Day ,10,Skins and Skulls ,4/27/2016,9:00:00 AM,Event contacts,100,,40.439025,-79.996857,
April,Allegheny County Courthouse,Take Your Kid to Work Day ,10,Skins and Skills Table ,4/27/2016,11:00:00 AM,Event contacts,150,,40.439025,-79.996857,
April,Harrison Hills Park,,13,Eco Explorer ,4/29/2016,9:15:00 AM,Outreach,127,,40.653058,-79.707376,
April,North Park,,40,Save the Frogs Hike,4/30/2016,4:00:00 PM,Participants,10,,40.600477,-80.005029,
April,Allegheny County Courthouse,Earth Day ,,Info Table ,4/22/2016,11:00:00 AM,Event contacts,50,,40.439025,-79.996857,
April,Camp Kon-O-Kwee,Creek Connections Symposium ,12,Info Table ,4/8/2016,9:00:00 AM,Event contacts,150,,40.813598,-80.219236,
April,Camp Kon-O-Kwee,Creek Connections Symposium ,12,Amphibians ,4/8/2016,1:00:00 PM,Participants,7,,40.813598,-80.219236,
May,Boyce Park,,,,5/1/2016,,In-park contacts,36,,40.471959,-79.748357,
May,White Oak Park,,,,5/1/2016,,In-park contacts,6,,40.336148,-79.798397,
May,Round Hill Park,,,,5/1/2016,,In-park contacts,0,,40.241079,-79.858802,
May,South Park,,,,5/1/2016,,In-park contacts,158,,40.319854,-80.008436,
May,Settlers Cabin Park,,,,5/1/2016,,In-park contacts,2,,40.424197,-80.163275,
May,North Park,,,,5/1/2016,,In-park contacts,160,,40.600477,-80.005029,
May,Hartwood Acres,,,,5/1/2016,,In-park contacts,0,,40.569882,-79.90942,
May,Deer Lakes Park,,,,5/1/2016,,In-park contacts,0,,40.621298,-79.820963,
May,Harrison Hills Park,,,,5/1/2016,,In-park contacts,0,,40.653058,-79.707376,
May,South Park,St. Sibastains School,6,Round Robin,5/3/2016,9:30:00 AM,Outreach,50,,40.319854,-80.008436,
May,Boyce Park,Highlands Middle School,12,Tree Planting,5/6/2016,9:00:00 AM,Outreach,74,Planted 32 Trees - Parks Foundation and Western PA Conservency ,40.471959,-79.748357,
May,White Oak Park,,,Wildflower Hike ,5/7/2016,2:00:00 PM,Participants,0,3 registers/No Shows - Great Weather ,40.336148,-79.798397,
May,South Park,Mt. Lebanon Cub Scouts ,,Guided Hike,5/10/2016,6:30:00 PM,Outreach,7,,40.319854,-80.008436,
May,Deer Lakes Park,CCAC Hiking Class,,Guided Hike ,5/1/2016,9:30:00 AM,Outreach,16,,40.621298,-79.820963,
May,North Park,,,Guided Hike ,5/2/2016,10:00:00 AM,Participants,2,Requested by visitors ,40.600477,-80.005029,
May,North Park,Girl Scouts Hike ,,Guided Hike ,5/7/2016,1:00:00 PM,Outreach,14,,40.600477,-80.005029,
May,North Park,Girl Scouts Hike ,,Guided Hike ,5/10/2016,4:30:00 PM,Outreach,16,,40.600477,-80.005029,
May,North Park,,,What Lives in the Water ,5/14/2016,2:00:00 PM,Participants,4,Cold ,40.600477,-80.005029,
May,North Park,,,Dog Hike ,5/15/2016,12:00:00 PM,Participants,11,Snowing ,40.600477,-80.005029,
May,North Park,,,Dog Hike ,5/22/2016,12:00:00 PM,Participants,2,,40.600477,-80.005029,
May,Christ United Methodist Church,Senior Group ,65,Speaking Engagement ,5/11/2016,12:00:00 PM,Outreach,40,,40.349048,-80.049125,
May,Crown Plaza South,Jefferson Regional Forum ,40,Speaking Engagement ,5/4/2016,11:00:00 AM,Outreach,50,,40.345617,-80.052712,
May,Double Tree Hotel Green Tree,Allegheny County Retirees ,65,Speaking Engagement ,5/18/2016,12:00:00 PM,Outreach,30,,40.418342,-80.059392,
June,North Park,,,Visitor contacts,6/1/16,,In-park contacts,1406,,40.600477,-80.005029,
June,Hartwood Acres,,,Visitor contacts,6/1/16,,In-park contacts,1127,US Open Parking Area Increased Interactions  ,40.569882,-79.90942,
June,Deer Lakes Park,,,Visitor contacts,6/1/16,,In-park contacts,1046,,40.621298,-79.820963,
June,Harrison Hills Park,,,Visitor contacts,6/1/16,,In-park contacts,712,,40.653058,-79.707376,
June,Boyce Park,,,Visitor contacts,6/1/16,,In-park contacts,597,,40.471959,-79.748357,
June,White Oak Park,,,Visitor contacts,6/1/16,,In-park contacts,421,,40.336148,-79.798397,
June,Round Hill Park,,,Visitor contacts,6/1/16,,In-park contacts,704,,40.241079,-79.858802,
June,South Park,,,Visitor contacts,6/1/16,,In-park contacts,1972,,40.319854,-80.008436,
June,Settlers Cabin Park,,,Visitor contacts,6/1/16,,In-park contacts,579,,40.424197,-80.163275,
June,Settlers Cabin Park,National Trails Day ,,Trail Work Day ,6/4/16,9:00 AM,Outreach,100,REI/Trail PGH Trail Work at Waterfall ,40.424197,-80.163275,
June,Bright and Early Learning Center,,6,Skins and Skulls ,6/10/16,1:00 PM,Outreach,23,,#N/A,#N/A,
June,White Oak Park,,,Trail Work Day ,6/7/16,,Outreach,10,,40.336148,-79.798397,
June,White Oak Park,,,Trail Work Day ,6/8/16,,Outreach,10,,40.336148,-79.798397,
June,White Oak Park,,,Guided Hike ,6/12/16,2:00 PM,Participants,0,,40.336148,-79.798397,
June,Boyce Park,,,Invasive Species ,6/26/16,2:00 PM,Participants,1,5 registered ,40.471959,-79.748357,
June,Round Hill Park,,23,Impromptu Guided Hike ,6/12/16,2:00 PM,Participants,1,,40.241079,-79.858802,
June,South Park,,20,Impromptu Guided Hike ,6/7/16,2:00 PM,Participants,1,,40.319854,-80.008436,
June,South Park,Mt. Lebanon Church VBS,12,Sasquatch Scavenger Hunt,6/22/16,1:00 PM,Outreach,61,,40.319854,-80.008436,
June,South Park,Kinder Care ,7,Bison,6/22/16,10:00 AM,Outreach,55,,40.319854,-80.008436,
June,South Park,SCA Trail Crew,15,Poison Ivy ,6/29/16,9:00 AM,Outreach,25,,40.319854,-80.008436,
June,Downtown,Pens Victory Parade ,,Crowd Control ,6/15/16,8:00 AM,Event contacts,219,,40.443398,-79.999833,
June,Kennywood,Kids Fest ,,Info Table ,6/28/16,10:00 AM,Event contacts,579,,#N/A,#N/A,
June,Kennywood,Kids Fest ,,Info Table ,6/29/16,10:00 AM,Event contacts,529,,#N/A,#N/A,
June,NETL Headquarters,Take Your Kid to Work Day ,7,Skins and Skulls ,6/30/16,10:50 AM,Outreach,161,,#N/A,#N/A,
June,Tender Care Learing Center,,5,Reader Ranger ,6/29/16,10:00 AM,Outreach,45,,#N/A,#N/A,
June,Harrison Hills Park,Penn Hills School ,6,Bug Hike ,6/23/16,10:00 AM,Outreach,17,,40.653058,-79.707376,
June,Hartwood Acres,WPA Humane Society ,,Dog Hike ,6/5/16,12:00 PM,Participants,7,,40.569882,-79.90942,
June,Hartwood Acres,,,Tree ID ,6/18/16,2:00 PM,Participants,2,,40.569882,-79.90942,
June,Hartwood Acres,WPA Humane Society ,,Dog Hike ,6/26/16,12:00 PM,Participants,6,,40.569882,-79.90942,
June,North Park,Fitness Festival ,,Info Table ,6/4/16,10:00 AM,Event contacts,220,,40.600477,-80.005029,
June,North Park,,40,Nature VS…,6/25/16,2:00 PM,Participants,2,,40.600477,-80.005029,
June,"Pittsburgh Pa, Strip District",Open Streets,35,Info Table ,6/26/16,10:00 AM,Event contacts,691,,40.448756,-79.987573,
June,Shady Lanes Day Care,,4,Skins and Skulls ,6/30/16,9:00 AM,Outreach,110,,40.448336,-79.894744,
June,Allegheny County Courthouse,Safety 24/7,40,Info Table ,6/29/16,10:00 AM,Event contacts,178,,40.439025,-79.996857,
July,North Park,,,Visitor contacts,7/1/16,,In-park contacts,3459,,40.600477,-80.005029,
July,Hartwood Acres,,,Visitor contacts,7/1/16,,In-park contacts,722,,40.569882,-79.90942,
July,Deer Lakes Park,,,Visitor contacts,7/1/16,,In-park contacts,393,,40.621298,-79.820963,
July,Harrison Hills Park,,,Visitor contacts,7/1/16,,In-park contacts,307,,40.653058,-79.707376,
July,Boyce Park,,,Visitor contacts,7/1/16,,In-park contacts,1247,,40.471959,-79.748357,
July,White Oak Park,,,Visitor contacts,7/1/16,,In-park contacts,567,,40.336148,-79.798397,
July,Round Hill Park,,,Visitor contacts,7/1/16,,In-park contacts,851,,40.241079,-79.858802,
July,South Park,,,Visitor contacts,7/1/16,,In-park contacts,2048,,40.319854,-80.008436,
July,Settlers Cabin Park,,,Visitor contacts,7/1/16,,In-park contacts,884,,40.424197,-80.163275,
July,Deer Lakes Park,,,Ecology of Fungi ,7/2/16,2:00 PM,Participants,0,,40.621298,-79.820963,
July,North Park,,25,Guided Hike ,7/4/16,2:00 PM,Participants,5,,40.600477,-80.005029,
July,Hartwood Acres,Concert ,,Roving ,7/10/16,7:00 PM,Event contacts,147,,40.569882,-79.90942,
July,Boyce Park,Mainstay Life Services ,45,Skins and Skulls ,7/12/16,10:30 AM,Outreach,14,Adults with Disabilities Camp ,40.471959,-79.748357,
July,North Park,,20,Amphibians ,7/14/16,2:00 PM,Participants,9,,40.600477,-80.005029,
July,"Pittsburgh Pa, Rachel Carson Bridge",Pickelsburgh,,Info Table ,7/16/16,12:00 PM,Event contacts,1828,12 - 10 PM,40.446657,-79.999651,
July,"Pittsburgh Pa, Rachel Carson Bridge",Pickelsburgh,,Info Table ,7/17/16,12:00 PM,Event contacts,2254,12 - 10 PM,40.446657,-79.999651,
July,North Park,Family Fun Day at the Pool,25,Skins and Skulls Table ,7/12/16,11:00 AM,Event contacts,88,,40.600477,-80.005029,
July,Hartwood Acres,Pre-Concert Hike ,55,Guided Hike ,7/17/16,5:30 PM,Participants,10,,40.569882,-79.90942,
July,North Park,Women's Educators Group ,65,Park Ranger Introduction/Overview ,7/19/16,12:00 PM,Outreach,14,,40.600477,-80.005029,
July,Deer Lakes Park,Girl Scouts ,8,Skins and Skulls ,7/19/16,11:00 AM,Outreach,20,Pike Shelter Fire Pit after Girl Scout Campout ,40.621298,-79.820963,
July,Deer Lakes Park,,8,Beaver Habitat,7/21/16,6:30 PM,Participants,14,,40.621298,-79.820963,
July,North Park,,11,Info Table ,7/21/16,12:00 PM,Activity,167,,40.600477,-80.005029,
July,North Park,,30,Great Depression in North Park ,7/23/16,2:00 PM,Participants,1,,40.600477,-80.005029,
July,Deer Lakes Park,,20,Watershed Scavenger Hunt ,7/24/16,2:00 PM,Participants,14,,40.621298,-79.820963,
July,Boyce Park,Mainstay Life Services ,45,Skins and Skulls ,7/26/16,10:30 AM,Outreach,14,Adults with Disabilities Camp ,40.471959,-79.748357,
July,Harrison Hills Park,,40,Geocaching ,7/31/16,2:00 PM,Participants,14,,40.653058,-79.707376,
July,North Park,Rachel Carson Trail Organization ,50,Roving ,7/22/16,9:00 PM,Event contacts,50,,40.600477,-80.005029,
July,North Park,,50,Botany of Shakespeare ,7/10/16,2:00 PM,Participants,1,,40.600477,-80.005029,
July,Harrison Hills Park,,,Woodpeckers ,7/16/16,2:00 PM,Participants,0,,40.653058,-79.707376,
July,North Park,,35,Stream Ecology ,7/30/16,2:00 PM,Participants,14,,40.600477,-80.005029,
July,"Brentwood, PA",Brentwood Community Day ,6,Info Table ,7/2/16,11:00 AM,Event contacts,409,,40.371124,-79.975265,
July,Boyce Park,Family Fun Day at the Pool,8,Skins and Skulls Table ,7/16/16,12:00 PM,Event contacts,78,,40.471959,-79.748357,
July,Wallace/Prospect Park,SHIFM Summer Camp ,7,Skins and Skulls ,7/28/16,9:30 AM,Outreach,107,,#N/A,#N/A,
July,Settlers Cabin Park,Family Fun Day at the Pool,10,Skins and Skulls Table ,7/19/16,12:00 PM,Event contacts,200,,40.424197,-80.163275,
July,South Park,Family Fun Day at the Pool,9,Skins and Skulls Table,7/21/16,12:00 PM,Event contacts,381,,40.319854,-80.008436,
July,Clairton Community Center,Youth Opportunities Development ,12,Skins and Skulls ,7/7/16,10:00 AM,Outreach,14,,#N/A,#N/A,
July,Jefferson Hills Library,,7,Skins and Skulls ,7/7/16,1:00 PM,Outreach,46,,#N/A,#N/A,
July,Baldwin United Methodist Church,Bright and Early Learning Center ,8,Skins and Skulls ,7/8/16,11:00 AM,Outreach,23,,#N/A,#N/A,
July,Boyce Park,Kool Camp ,9,Guided Hike ,7/8/16,11:00 AM,Outreach,48,,40.471959,-79.748357,
July,South Park,Girl Scouts ,6,Guided Hike ,7/9/16,10:00 AM,Outreach,17,,40.319854,-80.008436,
July,William Penn Elementary,Bethel Park Extended School Year ,7,Skins and Skulls ,7/12/16,10:00 AM,Outreach,44,Kids with developmental disabilities ,#N/A,#N/A,
July,Franciscan Child Day Care,,5,Skins and Skulls ,7/13/16,9:30 AM,Outreach,61,,#N/A,#N/A,
July,South Park,Wonderful World of Water Day Camp,9,Guided Hike ,7/13/16,1:15 PM,Outreach,33,,40.319854,-80.008436,
July,South Park,Bethel Park Extended School Year ,8,Round Robin ,7/14/16,10:00 AM,Outreach,54,,40.319854,-80.008436,
July,South Park,SCA Trail Crew,17,Invasive Species ,7/14/16,12:45 PM,Outreach,22,,40.319854,-80.008436,
July,South Park,Bright and Early Learning Center ,7,Guided Hike ,7/19/16,11:30 PM,Outreach,47,,40.319854,-80.008436,
July,St. Coleman's Catholic School,Turtle Creek Day Camp ,11,Round Robin ,7/20/16,9:30 AM,Outreach,28,,#N/A,#N/A,
July,White Oak Park,Mon Yaugh Camp ,9,Round Robin ,7/27/16,10:00 AM,Outreach,34,,40.336148,-79.798397,
July,Settlers Cabin Park,,4,Stream Ecology ,7/3/16,2:00 PM,Participants,8,,40.424197,-80.163275,
July,Settlers Cabin Park,,40,Dog Hike ,7/17/16,12:00 PM,Participants,7,,40.424197,-80.163275,
July,Settlers Cabin Park,,13,Explore Fossils ,7/17/16,2:00 PM,Participants,12,,40.424197,-80.163275,
July,Settlers Cabin Park,,37,Dog Hike ,7/24/16,12:00 PM,Participants,7,,40.424197,-80.163275,
July,South Park,,65,Foundations of South Park ,7/30/16,2:00 PM,Participants,2,Rain,40.319854,-80.008436,
July,South Park,,10,Rocks and Minerals ,7/31/16,2:00 PM,Participants,9,,40.319854,-80.008436,
July,Round Hill Park,,35,Guided Hike ,7/4/16,10:00 AM,Participants,4,,40.241079,-79.858802,
July,Round Hill Park,,8,Nifty Nests ,7/9/16,2:00 PM,Activity,60,,40.241079,-79.858802,
July,Round Hill Park,,30,Pollinators ,7/23/16,2:00 PM,Participants,10,,40.241079,-79.858802,
July,Round Hill Park,,8,Bugs Lifecycle ,7/23/16,2:00 PM,Activity,62,,40.241079,-79.858802,
July,White Oak Park,,36,Tree ID,7/9/16,2:00 PM,Participants,2,,40.336148,-79.798397,
July,White Oak Park,,2,Moths and Butterflies ,7/15/16,2:00 PM,Participants,6,,40.336148,-79.798397,
July,Boyce Park,,,Leave No Trace ,7/23/16,2:00 PM,Participants,0,,40.471959,-79.748357,
July,Boyce Park,,,Clouds ,7/31/16,2:00 PM,Participants,0,,40.471959,-79.748357,
July,South Park,,,Nature Journaling ,7/17/16,2:00 PM,Participants,0,,40.319854,-80.008436,
