Month,Location,Special Event,Avg age (outreach contacts),Programming,Date,Time,Contact type,Number,Notes,Lat,Long,
October,North Park,Home School Group ,,Home School Hike,10/12/2015,,Outreach,46,,40.600477,-80.005029,
October,Settlers Cabin Park,Chartiers Valley High School,15,Leadership ,10/15/2015,11:00:00 AM,Outreach,12,,40.424197,-80.163275,
October,South Park,,,Campfire Nocturnal Animals ,10/16/2015,7:00:00 PM,Participants,7,,40.319854,-80.008436,
October,Hartwood Acres,,,Campfire Ghost Stories ,10/16/2015,7:00:00 PM,Participants,68,,40.569882,-79.90942,
October,University Park Middle School,,9,Animal Adaptations,10/16/2015,11:00:00 AM,Outreach,50,,40.45114,-79.73417,
October,Hartwood Acres,,,Fall Foliage Hike,10/17/2015,10:00:00 AM,Participants,0,,40.569882,-79.90942,
October,Hartwood Acres,,,Fall Foliage Hike,10/17/2015,2:00:00 PM,Participants,3,,40.569882,-79.90942,
October,"Brentwood, PA",Open Streets ,,Info Table ,10/17/2015,8:00:00 AM,Event contacts,150,,40.371124,-79.975265,
October,South Park,Hay Day,,Info Table ,10/17/2015,11:00:00 AM,Event contacts,475,,40.319854,-80.008436,
October,South Park,Hay Day,,Guided Hike ,10/17/2015,1:00:00 PM,Participants,3,,40.319854,-80.008436,
October,Settlers Cabin Park,,,Campfire Chost Stories ,10/17/2015,7:00:00 PM,Participants,12,,40.424197,-80.163275,
October,Harrison Hills Park,,,Fall Foliage Hike,10/18/2015,2:00:00 PM,Participants,0,,40.653058,-79.707376,
October,White Oak Park,,,Fall Foliage Hike,10/18/2015,10:00:00 AM,Participants,0,,40.336148,-79.798397,
October,White Oak Park,,,Fall Foliage Hike,10/18/2015,2:00:00 PM,Participants,0,,40.336148,-79.798397,
October,Harrison Hills Park,,,Boy Scout ELC Tour Wildlife Program,10/20/2015,7:00:00 PM,Outreach,25,,40.653058,-79.707376,
October,North Park,,,Campfire Local Wildlife,10/23/2015,7:00:00 PM,Participants,5,,40.600477,-80.005029,
October,Harrison Hills Park,,,Campfire Ghost Stories ,10/23/2015,7:00:00 PM,Participants,72,,40.653058,-79.707376,
October,Hartwood Acres,,,Sasquatch Scavenger Hunt,10/24/2015,1:00:00 PM,Participants,0,,40.569882,-79.90942,
October,Deer Lakes Park,,,Fall Foliage Hike,10/24/2015,10:00:00 AM,Participants,2,,40.621298,-79.820963,
October,Deer Lakes Park,,,Fall Foliage Hike,10/24/2015,2:00:00 PM,Participants,2,,40.621298,-79.820963,
October,Round Hill Park,,6,Cub Scout Hike,10/24/2015,2:00:00 PM,Outreach,25,,40.241079,-79.858802,
October,South Park,,,Campfire Nocturnal Animals ,10/24/2015,7:00:00 PM,Participants,8,Cold/Rain - Star Party Scheduled ,40.319854,-80.008436,
October,White Oak Park,,,Campfire Ghost Stories ,10/24/2015,7:00:00 PM,Participants,22,Cold/Rain,40.336148,-79.798397,
October,Hartwood Acres,,,Sasquatch Scavenger Hunt,10/25/2015,1:00:00 PM,Participants,2,,40.569882,-79.90942,
October,Hartwood Acres,,,Fall Foliage Hike,10/25/2015,10:00:00 AM,Participants,0,,40.569882,-79.90942,
October,Hartwood Acres,,,Fall Foliage Hike,10/25/2015,2:00:00 PM,Participants,3,,40.569882,-79.90942,
October,South Park,,,Full Moon Hike,10/27/2015,7:30:00 PM,Participants,11,,40.319854,-80.008436,
October,North Park,,,Full Moon Hike,10/27/2015,7:30:00 PM,Participants,9,,40.600477,-80.005029,
October,Main Stay Life Services,Wellness Fair ,,Info Table ,10/28/2015,11:00:00 AM,Outreach,75,,40.395193,-80.058599,
October,Boyce Park,,,Campfire Ghost Stories ,10/30/2015,7:00:00 PM,Participants,34,,40.471959,-79.748357,
October,South Park,,,Campfire Halloween Harvest ,10/30/2015,7:00:00 PM,Participants,6,,40.319854,-80.008436,
October,Harrison Hills Park,Halloween 5k,,Halloween 5k,10/31/2015,8:00:00 AM,Event contacts,250,,40.653058,-79.707376,
October,North Park,,,Visitor contacts,,,In-park contacts,943,,40.600477,-80.005029,
October,Hartwood Acres,,,Visitor contacts,,,In-park contacts,533,,40.569882,-79.90942,
October,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,360,,40.621298,-79.820963,
October,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,203,,40.653058,-79.707376,
October,Boyce Park,,,Visitor contacts,,,In-park contacts,116,,40.471959,-79.748357,
October,White Oak Park,,,Visitor contacts,,,In-park contacts,3,,40.336148,-79.798397,
October,Round Hill Park,,,Visitor contacts,,,In-park contacts,106,,40.241079,-79.858802,
October,South Park,,,Visitor contacts,,,In-park contacts,188,,40.319854,-80.008436,
