Site,Site ID,Year,Electricity (kBtu),Natural Gas (kBtu),Steam (kBtu),Total Energy (kBtu),Total Energy Cost ($),Area (SqFt),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water (kGal),Sewer (kGal),Water Cost ($),Sewer Cost ($),Address Line 1,City,State,Zip Code,Zip Code +4,Department,Division/Department detail
Arsenal Health,CIKI,2014,0,"6,702,858",0,"6,702,858","63,900",0,,,,,0,0,0,0,3939 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Arsenal Health,CIKI,2013,0,"6,885,486",0,"6,885,486","66,306",0,,,,,0,0,0,0,3939 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Arsenal Health,CIKI,2012,0,"5,767,146",0,"5,767,146","57,014",0,,,,,0,0,0,0,3939 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Arsenal Health,CIKI,2011,0,"5,664,546",0,"5,664,546","62,670",0,,,,,0,0,0,0,3939 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Arsenal Health,CIKI,2010,0,"4,569,804",0,"4,569,804","48,661",0,,,,,0,0,0,0,3939 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Boyce Park Admin Bldg,BPADMIN,2014,0,"1,651,860",0,"1,651,860","7,108",0,,,,,0,"66,000",0,698,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Admin Bldg,BPADMIN,2013,0,"1,479,492",0,"1,479,492","6,305",0,,,,,0,132,0,"1,375",675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Admin Bldg,BPADMIN,2012,0,"1,160,406",0,"1,160,406","5,354",0,,,,,0,264,0,"3,161",675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Admin Bldg,BPADMIN,2011,0,"712,044",0,"712,044","7,745",0,,,,,0,198,0,"1,648",675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Admin Bldg,BPADMIN,2010,0,"538,650",0,"538,650","5,868",0,,,,,0,264,0,"2,197",675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Barn,BPB,2014,"28,287",0,0,"28,287","1,091","3,915",7.23,22.69,7.16,22.54,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Barn,BPB,2013,"18,426",0,0,"18,426",769,"3,915",4.71,14.78,4.71,14.77,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Barn,BPB,2012,"33,644",0,0,"33,644",900,"3,915",8.59,26.98,8.51,26.81,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Barn,BPB,2011,"43,164",0,0,"43,164",987,"3,915",11.03,34.62,10.92,34.29,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Barn,BPB,2010,"16,242",0,0,"16,242",943,"3,915",4.15,13.03,4.11,12.90,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Center Rd,BPCR,2014,0,0,0,0,0,0,,,,,723,0,"2,308",0,Center Rd,,PA,,,Parks,Boyce Park
Boyce Park Center Rd,BPCR,2013,0,0,0,0,0,0,,,,,"1,857",1,"10,573",246,Center Rd,,PA,,,Parks,Boyce Park
Boyce Park Center Rd,BPCR,2012,0,0,0,0,0,0,,,,,"8,244",1,"28,303",328,Center Rd,,PA,,,Parks,Boyce Park
Boyce Park Center Rd,BPCR,2011,0,0,0,0,0,0,,,,,"4,591",1,"20,535",198,Center Rd,,PA,,,Parks,Boyce Park
Boyce Park Center Rd,BPCR,2010,0,0,0,0,0,0,,,,,"5,488",6,"24,682",270,Center Rd,,PA,,,Parks,Boyce Park
Boyce Park Filter Room,BPFR,2014,0,0,0,0,0,0,,,,,0,0,0,0,Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Filter Room,BPFR,2013,0,0,0,0,0,0,,,,,"2,513",150,"13,400","1,056",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Filter Room,BPFR,2012,0,0,0,0,0,0,,,,,"2,536",300,"14,006","3,138",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Filter Room,BPFR,2011,0,0,0,0,0,0,,,,,"2,595",252,"13,890","3,045",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Filter Room,BPFR,2010,0,0,0,0,0,0,,,,,"3,470",300,"19,015","2,809",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Maint Center,BPMC,2014,"68,243","3,881,358",0,"3,949,601","19,831","30,096",131.23,142.53,130.02,141.63,719,0,"1,810",0,400 New Texas Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Maint Center,BPMC,2013,"129,661","4,016,790",0,"4,146,451","21,038","30,096",137.77,153.67,137.77,153.57,457,0,"1,956",0,400 New Texas Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Maint Center,BPMC,2012,"193,810","3,517,128",0,"3,710,938","22,708","30,096",123.30,142.93,122.17,142.02,806,0,"3,076",0,400 New Texas Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Maint Center,BPMC,2011,"353,156","2,515,752",0,"2,868,908","35,043","30,096",95.33,124.62,94.45,123.44,893,0,"3,331",0,400 New Texas Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Maint Center,BPMC,2010,"268,194","1,571,832",0,"1,840,026","27,551","30,096",61.14,82.82,60.57,82.04,640,0,"2,516",0,400 New Texas Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Master Meter,MSTR01,2014,0,0,0,0,0,0,,,,,"7,499",200,"38,040","2,401",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Master Meter,MSTR01,2013,0,0,0,0,0,0,,,,,"9,058",350,"48,497","4,185",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Master Meter,MSTR01,2012,0,0,0,0,0,0,,,,,"12,820",550,"68,480","6,261",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Master Meter,MSTR01,2011,0,0,0,0,0,0,,,,,"13,042",499,"67,930","6,090",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Master Meter,MSTR01,2010,0,0,0,0,0,0,,,,,"10,860",550,"51,456","5,059",Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Nature Center,BPNC,2014,"14,372","503,766",0,"518,138","5,363","2,070",250.31,277.33,248.00,275.58,0,0,0,0,641 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Nature Center,BPNC,2013,"16,542","470,934",0,"487,476","5,128","2,070",235.50,263.97,235.50,263.81,0,0,0,0,641 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Nature Center,BPNC,2012,"26,287","442,206",0,"468,493","5,100","2,070",226.33,264.18,224.24,262.51,0,0,0,0,641 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Nature Center,BPNC,2011,"31,651","513,000",0,"544,651","6,493","2,070",263.12,308.23,260.69,305.33,0,0,0,0,641 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Nature Center,BPNC,2010,"14,904","415,530",0,"430,434","5,037","2,070",207.94,233.38,206.02,231.19,0,0,0,0,641 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
