Site,Site ID,Year,Electricity (kBtu),Natural Gas (kBtu),Steam (kBtu),Total Energy (kBtu),Total Energy Cost ($),Area (SqFt),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water (kGal),Sewer (kGal),Water Cost ($),Sewer Cost ($),Address Line 1,City,State,Zip Code,Zip Code +4,Department,Division/Department detail
Light: 6th St Bridge,LGHT038,2014,"186,269",0,0,"186,269","4,849",0,,,,,0,0,0,0,6th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 6th St Bridge,LGHT038,2013,"190,261",0,0,"190,261","4,803",0,,,,,0,0,0,0,6th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 6th St Bridge,LGHT038,2012,"339,986",0,0,"339,986","6,074",0,,,,,0,0,0,0,6th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 6th St Bridge,LGHT038,2011,"338,860",0,0,"338,860","5,421",0,,,,,0,0,0,0,6th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 6th St Bridge,LGHT038,2010,"225,884",0,0,"225,884","5,524",0,,,,,0,0,0,0,6th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 7th St Bridge 3,LGHT024,2014,"104,309",0,0,"104,309","2,777",0,,,,,0,0,0,0,7th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 7th St Bridge 3,LGHT024,2013,"102,876",0,0,"102,876","2,611",0,,,,,0,0,0,0,7th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 7th St Bridge 3,LGHT024,2012,"178,523",0,0,"178,523","3,190",0,,,,,0,0,0,0,7th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 7th St Bridge 3,LGHT024,2011,"197,665",0,0,"197,665","3,362",0,,,,,0,0,0,0,7th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 7th St Bridge 3,LGHT024,2010,"144,914",0,0,"144,914","3,576",0,,,,,0,0,0,0,7th St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 8th Ave,LGHT036,2014,"14,672",0,0,"14,672",675,0,,,,,0,0,0,0,8th Ave,Homestead,PA,15120,,Public Works,Streetlights
Light: 8th Ave,LGHT036,2013,"19,927",0,0,"19,927",755,0,,,,,0,0,0,0,8th Ave,Homestead,PA,15120,,Public Works,Streetlights
Light: 8th Ave,LGHT036,2012,"36,988",0,0,"36,988",896,0,,,,,0,0,0,0,8th Ave,Homestead,PA,15120,,Public Works,Streetlights
Light: 8th Ave,LGHT036,2011,"40,331",0,0,"40,331",876,0,,,,,0,0,0,0,8th Ave,Homestead,PA,15120,,Public Works,Streetlights
Light: 8th Ave,LGHT036,2010,"17,641",0,0,"17,641",748,0,,,,,0,0,0,0,8th Ave,Homestead,PA,15120,,Public Works,Streetlights
Light: 9th St Bridge,LGHT035,2014,"90,797",0,0,"90,797","2,394",0,,,,,0,0,0,0,Ninth St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 9th St Bridge,LGHT035,2013,"97,417",0,0,"97,417","2,449",0,,,,,0,0,0,0,Ninth St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 9th St Bridge,LGHT035,2012,"178,830",0,0,"178,830","3,157",0,,,,,0,0,0,0,Ninth St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 9th St Bridge,LGHT035,2011,"197,938",0,0,"197,938","3,185",0,,,,,0,0,0,0,Ninth St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: 9th St Bridge,LGHT035,2010,"137,168",0,0,"137,168","3,382",0,,,,,0,0,0,0,Ninth St,Pittsburgh,PA,15222,,Public Works,Streetlights
Light: Boyce Park Ent Sign,LGHT005,2014,"1,651",0,0,"1,651",164,0,,,,,0,0,0,0,Center Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Ent Sign,LGHT005,2013,0,0,0,0,87,0,,,,,0,0,0,0,Center Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Ent Sign,LGHT005,2012,7,0,0,7,92,0,,,,,0,0,0,0,Center Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Ent Sign,LGHT005,2011,10,0,0,10,93,0,,,,,0,0,0,0,Center Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Ent Sign,LGHT005,2010,624,0,0,624,223,0,,,,,0,0,0,0,Center Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Rec Com,LGHT046,2014,"172,518",0,0,"172,518","4,819",0,,,,,0,0,0,0,400 New Texas Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Rec Com,LGHT046,2013,"166,512",0,0,"166,512","4,455",0,,,,,0,0,0,0,400 New Texas Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Rec Com,LGHT046,2012,"244,036",0,0,"244,036","4,636",0,,,,,0,0,0,0,400 New Texas Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Rec Com,LGHT046,2011,"302,862",0,0,"302,862","5,076",0,,,,,0,0,0,0,400 New Texas Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Boyce Park Rec Com,LGHT046,2010,"126,113",0,0,"126,113","5,260",0,,,,,0,0,0,0,400 New Texas Rd,Pittsburgh,PA,15239,,Facilities,Streetlights
Light: Browns Hill Rd,LGHT017,2014,"15,437",0,0,"15,437",561,0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: Browns Hill Rd,LGHT017,2013,"16,723",0,0,"16,723",534,0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: Browns Hill Rd,LGHT017,2012,"14,150",0,0,"14,150",571,0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: Browns Hill Rd,LGHT017,2011,"7,718",0,0,"7,718",297,0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: Browns Hill Rd,LGHT017,2010,0,0,0,0,248,0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: Coraopolis Br Nav,LGHT040,2014,"543,063",0,0,"543,063","13,911",0,,,,,0,0,0,0,7700 Grand Ave,Pittsburgh,PA,15225,,Public Works,Streetlights
Light: Coraopolis Br Nav,LGHT040,2013,"504,847",0,0,"504,847","12,311",0,,,,,0,0,0,0,7700 Grand Ave,Pittsburgh,PA,15225,,Public Works,Streetlights
Light: Coraopolis Br Nav,LGHT040,2012,"720,494",0,0,"720,494","9,587",0,,,,,0,0,0,0,7700 Grand Ave,Pittsburgh,PA,15225,,Public Works,Streetlights
Light: Coraopolis Br Nav,LGHT040,2011,"741,308",0,0,"741,308","5,990",0,,,,,0,0,0,0,7700 Grand Ave,Pittsburgh,PA,15225,,Public Works,Streetlights
Light: Coraopolis Br Nav,LGHT040,2010,"601,806",0,0,"601,806","13,473",0,,,,,0,0,0,0,7700 Grand Ave,Pittsburgh,PA,15225,,Public Works,Streetlights
Light: Coraopolis Bridge Lights,LGHT015,2014,"57,802",0,0,"57,802","2,994",0,,,,,0,0,0,0,Coraopolis Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Coraopolis Bridge Lights,LGHT015,2013,"63,056",0,0,"63,056","3,452",0,,,,,0,0,0,0,Coraopolis Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Coraopolis Bridge Lights,LGHT015,2012,"63,056",0,0,"63,056","3,510",0,,,,,0,0,0,0,Coraopolis Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Coraopolis Bridge Lights,LGHT015,2011,"63,056",0,0,"63,056","3,487",0,,,,,0,0,0,0,Coraopolis Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Coraopolis Bridge Lights,LGHT015,2010,"63,056",0,0,"63,056","3,422",0,,,,,0,0,0,0,Coraopolis Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Cornell Avenue Bridge,LGHT042,2014,"14,945",0,0,"14,945",611,0,,,,,0,0,0,0,Cornell Ave,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Cornell Avenue Bridge,LGHT042,2013,"15,150",0,0,"15,150",576,0,,,,,0,0,0,0,Cornell Ave,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Cornell Avenue Bridge,LGHT042,2012,"26,942",0,0,"26,942",697,0,,,,,0,0,0,0,Cornell Ave,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Cornell Avenue Bridge,LGHT042,2011,"30,832",0,0,"30,832",684,0,,,,,0,0,0,0,Cornell Ave,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Cornell Avenue Bridge,LGHT042,2010,"9,786",0,0,"9,786",482,0,,,,,0,0,0,0,Cornell Ave,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Ctr N Braddock Br,LGHT037,2014,"27,877",0,0,"27,877","1,045",0,,,,,0,0,0,0,Center St,Braddock,PA,15104,,Public Works,Streetlights
Light: Ctr N Braddock Br,LGHT037,2013,"30,846",0,0,"30,846","1,088",0,,,,,0,0,0,0,Center St,Braddock,PA,15104,,Public Works,Streetlights
Light: Ctr N Braddock Br,LGHT037,2012,"54,117",0,0,"54,117","1,308",0,,,,,0,0,0,0,Center St,Braddock,PA,15104,,Public Works,Streetlights
Light: Ctr N Braddock Br,LGHT037,2011,"61,691",0,0,"61,691","1,288",0,,,,,0,0,0,0,Center St,Braddock,PA,15104,,Public Works,Streetlights
Light: Ctr N Braddock Br,LGHT037,2010,"22,759",0,0,"22,759",990,0,,,,,0,0,0,0,Center St,Braddock,PA,15104,,Public Works,Streetlights
Light: Dravosburg Bridge,LGHT028,2014,"230,497",0,0,"230,497","8,131",0,,,,,0,0,0,0,Dravosburg Bridge,Dravosburg,PA,15034,,Public Works,Streetlights
Light: Dravosburg Bridge,LGHT028,2013,"101,450",0,0,"101,450","3,439",0,,,,,0,0,0,0,Dravosburg Bridge,Dravosburg,PA,15034,,Public Works,Streetlights
Light: Dravosburg Bridge,LGHT028,2012,"148,769",0,0,"148,769","4,187",0,,,,,0,0,0,0,Dravosburg Bridge,Dravosburg,PA,15034,,Public Works,Streetlights
Light: Dravosburg Bridge,LGHT028,2011,"275,701",0,0,"275,701","7,620",0,,,,,0,0,0,0,Dravosburg Bridge,Dravosburg,PA,15034,,Public Works,Streetlights
Light: Dravosburg Bridge,LGHT028,2010,"212,235",0,0,"212,235","5,869",0,,,,,0,0,0,0,Dravosburg Bridge,Dravosburg,PA,15034,,Public Works,Streetlights
Light: First & Greensburg Pike,LGHT030,2014,"1,604",0,0,"1,604",70,0,,,,,0,0,0,0,Greensburg Pike,North Versailles,PA,15137,,Public Works,Streetlights
Light: First & Greensburg Pike,LGHT030,2013,"10,919",0,0,"10,919",375,0,,,,,0,0,0,0,Greensburg Pike,N Versailles,PA,15137,,Public Works,Streetlights
Light: First & Greensburg Pike,LGHT030,2012,"60,634",0,0,"60,634","1,437",0,,,,,0,0,0,0,Greensburg Pike,North Versailles,PA,15137,,Public Works,Streetlights
Light: First & Greensburg Pike,LGHT030,2011,"70,973",0,0,"70,973","1,470",0,,,,,0,0,0,0,Greensburg Pike,North Versailles,PA,15137,,Public Works,Streetlights
Light: First & Greensburg Pike,LGHT030,2010,"24,704",0,0,"24,704","1,054",0,,,,,0,0,0,0,Greensburg Pike,North Versailles,PA,15137,,Public Works,Streetlights
Light: Fleming Park Bridge,LGHT52,2014,"68,618",0,0,"68,618","1,886",0,,,,,0,0,0,0,Fleming Park Rd,Mckees Rocks,PA,15136,,Public Works,Streetlights
Light: Fleming Park Bridge,LGHT52,2013,"74,043",0,0,"74,043","1,892",0,,,,,0,0,0,0,Fleming Park Rd,Mckees Rocks,PA,15136,,Public Works,Streetlights
Light: Fleming Park Bridge,LGHT52,2012,"114,580",0,0,"114,580","2,096",0,,,,,0,0,0,0,Fleming Park Rd,Mckees Rocks,PA,15136,,Public Works,Streetlights
Light: Fleming Park Bridge,LGHT52,2011,"138,533",0,0,"138,533","2,297",0,,,,,0,0,0,0,Fleming Park Rd,Mckees Rocks,PA,15136,,Public Works,Streetlights
Light: Fleming Park Bridge,LGHT52,2010,"40,434",0,0,"40,434","1,542",0,,,,,0,0,0,0,Fleming Park Rd,Mckees Rocks,PA,15136,,Public Works,Streetlights
Light: Glass Cabin,LGHT050,2014,659,0,0,659,69,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Facilities,Streetlights
Light: Glass Cabin,LGHT050,2013,0,0,0,0,49,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Facilities,Streetlights
Light: Glass Cabin,LGHT050,2012,0,0,0,0,47,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Facilities,Streetlights
Light: Glass Cabin,LGHT050,2011,7,0,0,7,361,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Facilities,Streetlights
Light: Glass Cabin,LGHT050,2010,20,0,0,20,818,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Facilities,Streetlights
Light: Hartwood Acres Amphitheater,LGHT006,2014,"97,587",0,0,"97,587","4,261",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Amphitheater,LGHT006,2013,"107,141",0,0,"107,141","4,906",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Amphitheater,LGHT006,2012,"235,438",0,0,"235,438","9,251",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Amphitheater,LGHT006,2011,"164,465",0,0,"164,465","7,661",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Amphitheater,LGHT006,2010,"156,958",0,0,"156,958","7,831",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Middle Rd Ent,LGHT011,2014,0,0,0,0,96,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Middle Rd Ent,LGHT011,2013,0,0,0,0,84,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Middle Rd Ent,LGHT011,2012,0,0,0,0,90,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Middle Rd Ent,LGHT011,2011,0,0,0,0,92,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Hartwood Acres Middle Rd Ent,LGHT011,2010,82,0,0,82,74,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: High Level Bridge,LGHT039,2014,"221,380",0,0,"221,380","6,025",0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: High Level Bridge,LGHT039,2013,"251,679",0,0,"251,679","6,661",0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: High Level Bridge,LGHT039,2012,"259,869",0,0,"259,869","7,697",0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: High Level Bridge,LGHT039,2011,"266,966",0,0,"266,966","8,168",0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: High Level Bridge,LGHT039,2010,"235,028",0,0,"235,028","7,191",0,,,,,0,0,0,0,Browns Hill Rd,Pittsburgh,PA,15217,,Public Works,Streetlights
Light: Jacks Run Bridge,LGHT022,2014,"46,678",0,0,"46,678","1,416",0,,,,,0,0,0,0,Jacks Run Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Jacks Run Bridge,LGHT022,2013,"43,948",0,0,"43,948","1,221",0,,,,,0,0,0,0,Jacks Run Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Jacks Run Bridge,LGHT022,2012,"83,529",0,0,"83,529","1,701",0,,,,,0,0,0,0,Jacks Run Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Jacks Run Bridge,LGHT022,2011,"81,673",0,0,"81,673","1,498",0,,,,,0,0,0,0,Jacks Run Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Jacks Run Bridge,LGHT022,2010,"24,158",0,0,"24,158","1,473",0,,,,,0,0,0,0,Jacks Run Bridge,Pittsburgh,PA,15202,,Public Works,Streetlights
Light: Lovedale Rd Elizabeth,LGHT049,2014,0,0,0,0,"3,149",0,,,,,0,0,0,0,Lovedale Rd,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Lovedale Rd Elizabeth,LGHT049,2013,0,0,0,0,"2,713",0,,,,,0,0,0,0,Lovedale Rd,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Lovedale Rd Elizabeth,LGHT049,2012,"75,613",0,0,"75,613","2,753",0,,,,,0,0,0,0,Lovedale Rd,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Lovedale Rd Elizabeth,LGHT049,2011,"134,302",0,0,"134,302","3,347",0,,,,,0,0,0,0,Lovedale Rd,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Lovedale Rd Elizabeth,LGHT049,2010,"125,021",0,0,"125,021","3,272",0,,,,,0,0,0,0,Lovedale Rd,Elizabeth,PA,15037,,Public Works,Streetlights
Light: N 40th St Bridge,LGHT016,2014,"18,057",0,0,"18,057",540,0,,,,,0,0,0,0,N 40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: N 40th St Bridge,LGHT016,2013,"19,562",0,0,"19,562",603,0,,,,,0,0,0,0,N 40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: N 40th St Bridge,LGHT016,2012,"16,552",0,0,"16,552",591,0,,,,,0,0,0,0,N 40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: N 40th St Bridge,LGHT016,2011,"9,029",0,0,"9,029",337,0,,,,,0,0,0,0,N 40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: N 40th St Bridge,LGHT016,2010,0,0,0,0,280,0,,,,,0,0,0,0,N 40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: N Park Prk Lot Rnk Crts,LGHT008,2014,"22,247",0,0,"22,247",902,0,,,,,0,0,0,0,303 Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Prk Lot Rnk Crts,LGHT008,2013,"92,094",0,0,"92,094","2,266",0,,,,,0,0,0,0,303 Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Prk Lot Rnk Crts,LGHT008,2012,"193,707",0,0,"193,707","3,461",0,,,,,0,0,0,0,303 Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Prk Lot Rnk Crts,LGHT008,2011,"249,359",0,0,"249,359","3,011",0,,,,,0,0,0,0,303 Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Prk Lot Rnk Crts,LGHT008,2010,"140,921",0,0,"140,921","3,307",0,,,,,0,0,0,0,303 Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Tennis Courts,LGHT045,2014,"55,140",0,0,"55,140","2,212",0,,,,,0,0,0,0,Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Tennis Courts,LGHT045,2013,"41,765",0,0,"41,765","2,077",0,,,,,0,0,0,0,Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Tennis Courts,LGHT045,2012,"63,602",0,0,"63,602","2,096",0,,,,,0,0,0,0,Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Tennis Courts,LGHT045,2011,"87,078",0,0,"87,078","2,245",0,,,,,0,0,0,0,Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Tennis Courts,LGHT045,2010,"19,927",0,0,"19,927","1,772",0,,,,,0,0,0,0,Pierce Mill Rd,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Traynor Field,LGHT007,2014,"47,770",0,0,"47,770","1,594",0,,,,,0,0,0,0,S Ridge Dr,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Traynor Field,LGHT007,2013,"46,405",0,0,"46,405","1,368",0,,,,,0,0,0,0,S Ridge Dr,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Traynor Field,LGHT007,2012,"120,892",0,0,"120,892","2,772",0,,,,,0,0,0,0,S Ridge Dr,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Traynor Field,LGHT007,2011,"173,678",0,0,"173,678","3,464",0,,,,,0,0,0,0,S Ridge Dr,Allison Park,PA,15101,,Facilities,Streetlights
Light: N Park Traynor Field,LGHT007,2010,"54,799",0,0,"54,799","1,491",0,,,,,0,0,0,0,S Ridge Dr,Allison Park,PA,15101,,Facilities,Streetlights
Light: NP Sr Citizens Softball Field,LGHT055,2014,"1,024",0,0,"1,024",164,0,,,,,0,0,0,0,N Ridge Drive,Allison Park,PA,15101,,Facilities,Streetlights
Light: NP Sr Citizens Softball Field,LGHT055,2013,"1,720",0,0,"1,720",140,0,,,,,0,0,0,0,N Ridge Drive,Allison Park,PA,15101,,Facilities,Streetlights
Light: NP Sr Citizens Softball Field,LGHT055,2012,"3,153",0,0,"3,153",170,0,,,,,0,0,0,0,N Ridge Drive,Allison Park,PA,15101,,Facilities,Streetlights
Light: NP Sr Citizens Softball Field,LGHT055,2011,"2,948",0,0,"2,948",150,0,,,,,0,0,0,0,N Ridge Drive,Allison Park,PA,15101,,Facilities,Streetlights
Light: NP Sr Citizens Softball Field,LGHT055,2010,"2,252",0,0,"2,252",131,0,,,,,0,0,0,0,N Ridge Drive,Allison Park,PA,15101,,Facilities,Streetlights
Light: Oakwood Run Bridge,LGHT034,2014,"12,570",0,0,"12,570",513,0,,,,,0,0,0,0,Oakwood Run Bridge,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Oakwood Run Bridge,LGHT034,2013,"14,126",0,0,"14,126",543,0,,,,,0,0,0,0,Oakwood Run Bridge,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Oakwood Run Bridge,LGHT034,2012,"22,561",0,0,"22,561",618,0,,,,,0,0,0,0,Oakwood Run Bridge,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Oakwood Run Bridge,LGHT034,2011,"27,188",0,0,"27,188",620,0,,,,,0,0,0,0,Oakwood Run Bridge,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Oakwood Run Bridge,LGHT034,2010,"9,581",0,0,"9,581",483,0,,,,,0,0,0,0,Oakwood Run Bridge,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Off Wildwood Rd,LGHT009,2014,"6,043",0,0,"6,043",241,0,,,,,0,0,0,0,Off Wildwood Rd,Gibsonia,PA,15044,,Public Works,Streetlights
Light: Off Wildwood Rd,LGHT009,2013,"6,592",0,0,"6,592",282,0,,,,,0,0,0,0,Off Wildwood Rd,Gibsonia,PA,15044,,Public Works,Streetlights
Light: Off Wildwood Rd,LGHT009,2012,"6,592",0,0,"6,592",289,0,,,,,0,0,0,0,Off Wildwood Rd,Gibsonia,PA,15044,,Public Works,Streetlights
Light: Off Wildwood Rd,LGHT009,2011,"6,592",0,0,"6,592",287,0,,,,,0,0,0,0,Off Wildwood Rd,Gibsonia,PA,15044,,Public Works,Streetlights
Light: Off Wildwood Rd,LGHT009,2010,"6,592",0,0,"6,592",282,0,,,,,0,0,0,0,Off Wildwood Rd,Gibsonia,PA,15044,,Public Works,Streetlights
Light: Patton Bridge App,LGHT027,2014,"139,761",0,0,"139,761","3,684",0,,,,,0,0,0,0,Patton St Bridge,Wilmerding,PA,15148,,Public Works,Streetlights
Light: Patton Bridge App,LGHT027,2013,"134,677",0,0,"134,677","3,434",0,,,,,0,0,0,0,Patton St Bridge,Wilmerding,PA,15148,,Public Works,Streetlights
Light: Patton Bridge App,LGHT027,2012,"225,372",0,0,"225,372","4,033",0,,,,,0,0,0,0,Patton St Bridge,Wilmerding,PA,15148,,Public Works,Streetlights
Light: Patton Bridge App,LGHT027,2011,"280,000",0,0,"280,000","4,582",0,,,,,0,0,0,0,Patton St Bridge,Wilmerding,PA,15148,,Public Works,Streetlights
Light: Patton Bridge App,LGHT027,2010,"167,604",0,0,"167,604","3,830",0,,,,,0,0,0,0,Patton St Bridge,Wilmerding,PA,15148,,Public Works,Streetlights
Light: Rankin Bridge - E End,LGHT014,2014,0,0,0,0,0,0,,,,,0,0,0,0,278 Mifflin Rd,Homestead,PA,15120,2363,Public Works,Streetlights
Light: Rankin Bridge - E End,LGHT014,2013,0,0,0,0,0,0,,,,,0,0,0,0,278 Mifflin Rd,Homestead,PA,15120,2363,Public Works,Streetlights
Light: Rankin Bridge - E End,LGHT014,2012,0,0,0,0,0,0,,,,,0,0,0,0,278 Mifflin Rd,Homestead,PA,15120,2363,Public Works,Streetlights
Light: Rankin Bridge - E End,LGHT014,2011,"19,108",0,0,"19,108",291,0,,,,,0,0,0,0,278 Mifflin Rd,Homestead,PA,15120,2363,Public Works,Streetlights
Light: Rankin Bridge - E End,LGHT014,2010,"174,019",0,0,"174,019","4,027",0,,,,,0,0,0,0,278 Mifflin Rd,Homestead,PA,15120,2363,Public Works,Streetlights
Light: Rankin Bridge 023,LGHT023,2014,"380,727",0,0,"380,727","9,845",0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023,LGHT023,2013,"463,062",0,0,"463,062","11,425",0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023,LGHT023,2012,"707,132",0,0,"707,132","12,456",0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023,LGHT023,2011,"781,721",0,0,"781,721","12,428",0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023,LGHT023,2010,"191,046",0,0,"191,046","4,476",0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023E2,LGHT023E2,2014,"3,378",0,0,"3,378",223,0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023E2,LGHT023E2,2013,"8,257",0,0,"8,257",350,0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023E2,LGHT023E2,2012,"17,948",0,0,"17,948",504,0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023E2,LGHT023E2,2011,"18,664",0,0,"18,664",445,0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Rankin Bridge 023E2,LGHT023E2,2010,"3,958",0,0,"3,958",463,0,,,,,0,0,0,0,Rankin Bridge,Braddock,PA,15104,,Public Works,Streetlights
Light: Round Hill Road Lights,LGHT048,2014,0,0,0,0,54,0,,,,,0,0,0,0,,Elizabeth,PA,15037,,Public Works,Streetlights
