FID,OBJECTID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,Shape_Le_1,Bridge_Typ
132,59,CM05,Campbells Run No. 5,72,16,3.375498,Vehicle
133,282,QY01,Quigley Run #1,456,8,14.946822,Vehicle
134,137,PG11,Pangburn Hollow Br #11,181,2,20.143724,Vehicle
135,283,XT02,Porter Creek #2,458,28.243524,28.243534,Vehicle
136,62,PA04,Painter's Run Br No 4,77,15,36.510593,Vehicle
137,138,PG13,Pangburn Hollow Br #13,182,6,19.924468,Vehicle
138,139,PC02,Pierce Run Bridge #2,183,7,21.607643,Vehicle
139,284,TE09,Thompson Run E Side #9,459,12,44.15525,Vehicle
140,63,SN02,Spring Run Rd Br No 2,78,14,20.547549,Vehicle
141,140,PC03,Pierce Run Bridge #3,184,5,11.742706,Vehicle
142,285,SF01,Shaffer's Run #1,460,18,22.588803,Vehicle
143,64,SN04,Spring Run Rd Br No 4,79,10,11.27048,Vehicle
144,141,PI29,Pine Creek Bridge #29,185,3,18.869718,Vehicle
145,286,DV01,Beaver Road Bridge No. 1,461,10,58.58073,Vehicle
146,65,CC17,Chartiers Creek No 17,84,205.834857,205.834902,Vehicle
147,142,PI30,Pine Creek Bridge #30,186,3,21.71058,Vehicle
148,287,KL12,Kilbuck Run Bridge No. 12,462,16,37.498979,Vehicle
149,67,MT20,Montour Run No 20,86,20,24.43254,Vehicle
150,143,PI36,Pine Creek Bridge #36,187,21.806536,21.806501,Vehicle
151,288,KL16,Kilbuck Run Bridge No. 16,464,20.091358,63.303595,Vehicle
152,70,XP05,Levi Bird Duff Br,89,889.556622,889.556638,Vehicle
153,289,MC05,McClaren's Run Bridge No. 5,466,6,39.993665,Vehicle
154,144,PN11,Pine Creek N Br #11,189,5,28.494998,Vehicle
155,71,GH03,Gourdhead Run #3,90,36,60.962674,Vehicle
156,290,MC04,McClaren's Run Bridge No. 4,465,10,34.887568,Vehicle
157,72,SW09,Saw Mill Run No 9,92,26.437079,26.437079,Vehicle
158,145,PN12,Pine Creek N Br #12,190,4,27.644415,Vehicle
159,291,MC08,McClaren's Run Bridge No. 8,467,5,23.181853,Vehicle
160,146,PR02,Pine Run Br #2,191,15,14.959362,Vehicle
161,73,PG08,Pangburn Hollow Br No 8,94,22,48.52755,Vehicle
162,74,PG07,Pangburn Hollow Br No 7,95,25,90.113239,Vehicle
163,147,SZ14,Street's Run Br #14,214,22.954946,22.954956,Vehicle
164,292,MT17,Montour Run Bridge No.17,469,22.198193,30.228276,Vehicle
165,148,CT13,Tennis Court's S Park Br #13,215,1.757387,1.757326,Vehicle
166,75,SD03,Shades Run No 3,96,395,395.834991,Vehicle
167,293,MT18,Montour Run Bridge No.18,470,11,49.215074,Vehicle
168,294,PJ02,Pierson's Run Bridge No. 2,471,8,58.906391,Vehicle
169,149,TN01,Thompson Run  North Side Br #,216,9,45.77925,Vehicle
170,76,AT01,Adtranz Ped Bridge,97,48,48.169866,Pedestrian
171,150,TN08,Thompson Run  North Side Br #,217,3,22.362483,Vehicle
172,295,RY06,Ryan's Run Bridge No. 6,472,5,43.055764,Vehicle
173,77,BC04,Beck's Run #4,98,27.293893,27.293927,Vehicle
174,78,BC07,Beck's Run #7,99,22.621746,45.522782,Vehicle
175,151,TE11,Thompson Run E. Side #11,218,4,25.959677,Vehicle
176,296,SA06,Sandy Creek Bridge #6,473,4,24.329906,Vehicle
177,79,BC08,Beck's Run #8,100,33.712605,56.466318,Vehicle
178,297,SN01,Spring Run Bridge No 1,474,6,29.550659,Vehicle
179,152,PS07,Thompson Run Road Bridge #7,219,4,22.81959,Vehicle
180,80,SB16,Big Sewickley Creek Br #16,101,4,21.219684,Vehicle
181,153,PS09,Thompson Run Road Bridge #9,220,6,21.647936,Vehicle
182,298,TH07,Thom's Run Bridge No. 7,475,8,19.815938,Vehicle
183,81,SB17,Big Sewickley Creek Br #17,102,5,21.200094,Vehicle
184,154,TS03,Thompson Run South Side Br #3,221,6,20.966545,Vehicle
185,299,TH08,Thom's Run Bridge No. 8,476,6,23.092593,Vehicle
186,155,MR03,McRobert's Run Br #3,161,8,34.400536,Vehicle
187,300,TH10,Thom's Run Bridge No. 10,477,14,19.414177,Vehicle
188,82,SB19,Big Sewickley Creek Br #19,103,5,21.827631,Vehicle
189,156,MH01,Mustard Hollow Run  Br #1,163,9,31.539603,Vehicle
190,301,TY01,Tassy Hollow Bridge No. 1,478,12,23.191267,Vehicle
191,83,SB20,Big Sewickley Creek Br #20,104,5,22.002281,Vehicle
192,302,WP01,White Oak Park Bridge No. 1,479,41.384056,41.383985,Vehicle
193,157,MH02,Mustard Hollow Run  Br #2,164,10,45.857921,Vehicle
194,84,SB18,Big Sewickley Crk Br #18,105,11,21.150575,Vehicle
195,303,WP03,White Oak Park Bridge No. 3,480,20.961964,20.961961,Vehicle
196,158,MH03,Mustard Hollow Run  Br #3,165,12,50.490688,Vehicle
197,85,YR11,Boston Greenock Rd Br #11,106,22.679399,22.679378,Vehicle
198,304,BB02,Blackburn Rd Bridge No.2,39,62.998715,62.998694,Vehicle
199,159,AL12,Natrona Rd Br #12,166,21.96404,33.668414,Vehicle
200,86,PN08,Brown Rd Br #8,107,6,19.892984,Vehicle
201,160,AL20,Natrona Rd Br #20,167,52.568281,118.321567,Vehicle
202,305,BB01,Blackburn Rd Bridge No.1,37,77.601645,89.621272,Vehicle
203,87,BR02,Bull Run #2,108,6,47.92508,Vehicle
204,306,BC03,Beck's Run Rd Bridge No.2,44,120.532014,122.316044,Vehicle
205,161,CT22,Catfish Run Bridge #22,116,4,21.412326,Vehicle
206,88,BR01,Bull Run Br #1,109,21.000269,21.000283,Vehicle
207,162,CT23,Catfish Run Bridge #23,117,3,13.638814,Vehicle
208,307,BC01,Beck's Run Rd Bridge No.2,40,80.892343,88.113838,Vehicle
209,89,CT10,Catfish Run # 10,110,12.5,20.493772,Vehicle
210,163,BY02,Creighton-Russellton Rd Br #2,118,22.837934,40.525387,Vehicle
211,308,BC02,Bajo Street Bridge No.2,41,22.274929,122.322232,Vehicle
212,90,CT04,Catfish Run #4,111,13,41.132747,Vehicle
213,164,DP01,Deer Lakes Park Br #1,119,5,25.084279,Vehicle
214,91,CT17,Catfish Run Bridge #17,112,38.712649,38.712641,Vehicle
215,309,BC06,Beck's Run Rd Bridge No.6,47,24,40.09573,Vehicle
216,165,DP02,Deer Lakes Park Br #2,120,4,66.917338,Vehicle
217,310,BF06,Thompson's Run No. 6,241,83.796723,83.796675,Vehicle
