"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Complaints",15/05/2014 17:03:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",308992.50002014,324233.12953346,"Completed Enquiries"
"Pothole","Public Enquiry",16/05/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",344574.022664235,340508.659837995,"Completed Enquiries"
"Pothole","Complaints",23/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",314392.94728668,369909.54445914,"Completed Enquiries"
"Pothole","Complaints",19/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",322877.39798194,366634.05079856,"Completed Enquiries"
"Pothole","Public Enquiry",20/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",284374.50304472,376349.05285031,"Completed Enquiries"
"Pothole","Public Enquiry",04/06/2014 12:53:00,"NORTHERN DIVISION","LARNE / BALLYMENA",310750.96214112,401850.83412711,"Completed Enquiries"
"Pothole","Public Enquiry",20/05/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",252449.703125,385239.21875,"Completed Enquiries"
"Pothole","Public Enquiry",04/06/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",305126.91474245,356997.69147739,"Completed Enquiries"
"Pothole","Complaints",19/05/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",315912.65996446,351478.79719579,"Completed Enquiries"
"Pothole","Public Enquiry",05/06/2014 09:55:45,"SOUTHERN DIVISION","?",0,0,"New Enquiries"
"Pothole","Complaints",09/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",332815.86339069,368189.72134155,"Completed Enquiries"
"Pothole","Public Enquiry",07/05/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",11/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",335553.78125,368660.25,"Completed Enquiries"
"Pothole","Public Enquiry",22/05/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",339796.39548722,359706.72353352,"Completed Enquiries"
"Pothole","Public Enquiry",13/06/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",293432.621601745,375370.663985674,"Completed Enquiries"
"Pothole","Complaints",13/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",333836.40625,360297.65625,"Completed Enquiries"
"Pothole","Public Enquiry",13/06/2014 15:43:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",285716.24361084,343378.3343668,"Completed Enquiries"
"Pothole","Public Enquiry",02/06/2014 09:10:00,"NORTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",08/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",319172.28229713,359394.29592537,"Completed Enquiries"
"Pothole","Complaints",02/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",316967.3271267,359557.03399027,"Completed Enquiries"
"Pothole","Complaints",02/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",315485.1,360482.5,"Completed Enquiries"
"Pothole","Public Enquiry",16/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",335689.47751804,382915.86932724,"Completed Enquiries"
"Pothole","Public Enquiry",16/06/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",300327.13200174,353621.84022846,"Completed Enquiries"
"Pothole","Complaints",03/06/2014 08:49:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",326524.04506464,355416.76143143,"Completed Enquiries"
"Pothole","Public Enquiry",17/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",325448.5785743,393644.67825133,"Completed Enquiries"
"Pothole","Complaints",23/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",324863.43684646,354523.73624936,"Completed Enquiries"
"Pothole","Public Enquiry",18/06/2014 00:00:00,"WESTERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",29/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",324280.3365978,358638.97430763,"Completed Enquiries"
"Pothole","Complaints",04/06/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",318319.89611181,326113.39559256,"Completed Enquiries"
"Pothole","Public Enquiry",04/06/2014 11:52:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",325793.91686556,364021.69820781,"Completed Enquiries"
"Pothole","Public Enquiry",23/06/2014 16:02:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",04/06/2014 14:15:00,"NORTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",02/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",336578.96238742,371187.24552361,"Completed Enquiries"
"Pothole","Public Enquiry",24/06/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",281525.85744338,375428.63420745,"Completed Enquiries"
"Pothole","Public Enquiry",09/06/2014 10:46:00,"NORTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",25/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",329330.47396853,391910.43946153,"Completed Enquiries"
"Pothole","Complaints",20/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",324746.59375,365026,"New Enquiries"
"Pothole","Public Enquiry",27/06/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",301082.14086212,353289.13945411,"Completed Enquiries"
"Pothole","Complaints",30/06/2014 10:11:51,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",300768.52950269,324710.568136775,"Completed Enquiries"
"Pothole","Public Enquiry",23/05/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",27/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",331218.02711675,389484.42015021,"Completed Enquiries"
"Pothole","Public Enquiry",30/06/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",285330.04522961,383682.09646061,"Completed Enquiries"
"Pothole","Public Enquiry",30/06/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",333587.836112064,373387.686060629,"Completed Enquiries"
"Pothole","Public Enquiry",30/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",334725.06849897,381448.841442,"Completed Enquiries"
"Pothole","Public Enquiry",30/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",335010.54005028,381768.72237025,"Completed Enquiries"
"Pothole","Public Enquiry",30/06/2014 03:20:00,"NORTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",01/07/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",327123.31016742,366538.54322556,"Completed Enquiries"
"Pothole","Complaints",23/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",317056.05057419,358973.40550063,"Completed Enquiries"
"Pothole","Public Enquiry",02/07/2014 15:11:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",294538.71748126,350876.54909327,"Completed Enquiries"
"Pothole","Public Enquiry",03/07/2014 09:39:29,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",13/06/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",283434.6224058,374860.21202999,"Completed Enquiries"
"Pothole","Complaints",13/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",325220.1875,364226.09375,"Completed Enquiries"
"Pothole","Public Enquiry",03/07/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",225893.453125,369390.53125,"Completed Enquiries"
"Pothole","Public Enquiry",03/07/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",280160.82051876,383300.44311396,"Completed Enquiries"
"Pothole","Public Enquiry",08/07/2014 00:00:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",359433.01862084,370509.20124387,"Completed Enquiries"
"Pothole","Public Enquiry",08/07/2014 11:20:00,"NORTHERN DIVISION","LARNE / BALLYMENA",340644.75109811,402724.84833956,"Completed Enquiries"
"Pothole","Public Enquiry",08/07/2014 15:27:00,"NORTHERN DIVISION","LARNE / BALLYMENA",311007.0680278,405062.93498792,"Completed Enquiries"
"Pothole","Public Enquiry",08/07/2014 16:46:00,"NORTHERN DIVISION","LARNE / BALLYMENA",316057.49643668,417963.95716323,"Completed Enquiries"
"Pothole","Public Enquiry",13/06/2014 11:42:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",305098.73141141,424149.26584433,"Completed Enquiries"
"Pothole","Public Enquiry",11/06/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",10/07/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",306283.35257354,339785.75627754,"Completed Enquiries"
"Pothole","Public Enquiry",16/06/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",16/07/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",305686.38720486,353931.41372979,"Completed Enquiries"
"Pothole","Public Enquiry",16/07/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",333152.4375,374963.625,"Completed Enquiries"
"Pothole","Complaints",16/07/2014 12:53:23,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",310446.5195891,335000.29660812,"Completed Enquiries"
"Pothole","Complaints",16/07/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",325212.375,365982.21875,"Completed Enquiries"
"Pothole","Public Enquiry",21/07/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",292500.13032777,370735.45442688,"Completed Enquiries"
"Pothole","Complaints",21/07/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",301261.28944397,352661.64368974,"Completed Enquiries"
"Pothole","Public Enquiry",22/07/2014 14:15:00,"WESTERN DIVISION","MID ULSTER (SOUTH)",275384.78125,357112.0625,"Completed Enquiries"
"Pothole","Public Enquiry",22/07/2014 00:00:00,"NORTHERN DIVISION","LARNE / BALLYMENA",310405.94033896,404431.03524894,"Completed Enquiries"
"Pothole","Public Enquiry",23/07/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",302775.80112263,353493.17550346,"Completed Enquiries"
"Pothole","Public Enquiry",18/06/2014 12:26:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",284534.65046474,334199.43526738,"Completed Enquiries"
"Pothole","Complaints",19/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",316428.39578964,358800.32447693,"Completed Enquiries"
"Pothole","Complaints",20/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",326716.45099991,365473.41347028,"Completed Enquiries"
"Pothole","Complaints",23/06/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",326997.28125,359767.90625,"Completed Enquiries"
"Pothole","Public Enquiry",24/06/2014 12:26:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292790.15226076,358251.98887312,"Completed Enquiries"
"Pothole","Complaints",25/07/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",343528.84994902,373690.33730589,"Completed Enquiries"
"Pothole","Public Enquiry",24/06/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",332456.210057181,383134.683327619,"Completed Enquiries"
"Pothole","Public Enquiry",28/07/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",353874.07330097,335765.44745621,"Completed Enquiries"
"Pothole","Public Enquiry",28/07/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",303005.91368666,355633.38204531,"Completed Enquiries"
