Council/Group Name,Financial Item,FY Ending,Value ($000)
Provincial,9006_Borrowing (total debt),2019,$3182517
Provincial,9006_Borrowing (total debt),2020,$3094073
Provincial,9006_Borrowing (total debt),2021,$3026170
Provincial,9006_Borrowing (total debt),2022,$3041757
Provincial,9007_Other liabilities,2013,$549113
Provincial,9007_Other liabilities,2014,$553983
Provincial,9007_Other liabilities,2015,$558829
Provincial,9007_Other liabilities,2016,$571705
Provincial,9007_Other liabilities,2017,$581072
Provincial,9007_Other liabilities,2018,$588890
Provincial,9007_Other liabilities,2019,$592179
Provincial,9007_Other liabilities,2020,$599965
Provincial,9007_Other liabilities,2021,$608687
Provincial,9007_Other liabilities,2022,$619986
Provincial,9008_Total liabilities (I),2013,$3158215
Provincial,9008_Total liabilities (I),2014,$3402698
Provincial,9008_Total liabilities (I),2015,$3540801
Provincial,9008_Total liabilities (I),2016,$3666532
Provincial,9008_Total liabilities (I),2017,$3760553
Provincial,9008_Total liabilities (I),2018,$3806671
Provincial,9008_Total liabilities (I),2019,$3774696
Provincial,9008_Total liabilities (I),2020,$3694042
Provincial,9008_Total liabilities (I),2021,$3634856
Provincial,9008_Total liabilities (I),2022,$3661744
Provincial,9009_Public equity (H-I),2013,$33205254
Provincial,9009_Public equity (H-I),2014,$34825152
Provincial,9009_Public equity (H-I),2015,$35918037
Provincial,9009_Public equity (H-I),2016,$36782015
Provincial,9009_Public equity (H-I),2017,$38607570
Provincial,9009_Public equity (H-I),2018,$39797578
Provincial,9009_Public equity (H-I),2019,$40891234
Provincial,9009_Public equity (H-I),2020,$43122535
Provincial,9009_Public equity (H-I),2021,$44662816
Provincial,9009_Public equity (H-I),2022,$45928004
Regional,"9001_Investment in CCOs, CCTOs & other entities",2013,$645943
Regional,"9001_Investment in CCOs, CCTOs & other entities",2014,$697795
Regional,"9001_Investment in CCOs, CCTOs & other entities",2015,$797869
Regional,"9001_Investment in CCOs, CCTOs & other entities",2016,$838438
Regional,"9001_Investment in CCOs, CCTOs & other entities",2017,$866730
Regional,"9001_Investment in CCOs, CCTOs & other entities",2018,$899660
Regional,"9001_Investment in CCOs, CCTOs & other entities",2019,$915723
Regional,"9001_Investment in CCOs, CCTOs & other entities",2020,$931766
Regional,"9001_Investment in CCOs, CCTOs & other entities",2021,$965977
Regional,"9001_Investment in CCOs, CCTOs & other entities",2022,$993057
Regional,9002_Other assets,2013,$486601
Regional,9002_Other assets,2014,$489855
Regional,9002_Other assets,2015,$492807
Regional,9002_Other assets,2016,$489178
Regional,9002_Other assets,2017,$479274
Regional,9002_Other assets,2018,$480486
Regional,9002_Other assets,2019,$482536
Regional,9002_Other assets,2020,$478464
Regional,9002_Other assets,2021,$479259
Regional,9002_Other assets,2022,$488394
Regional,9003_Total fixed assets,2013,$2742307
Regional,9003_Total fixed assets,2014,$2897835
Regional,9003_Total fixed assets,2015,$2980873
Regional,9003_Total fixed assets,2016,$3037632
Regional,9003_Total fixed assets,2017,$3155213
Regional,9003_Total fixed assets,2018,$3205604
Regional,9003_Total fixed assets,2019,$3282186
Regional,9003_Total fixed assets,2020,$3365276
Regional,9003_Total fixed assets,2021,$3404930
Regional,9003_Total fixed assets,2022,$3449454
Regional,9004_Cash & financial investments/monetary assets,2013,$504711
Regional,9004_Cash & financial investments/monetary assets,2014,$462747
Regional,9004_Cash & financial investments/monetary assets,2015,$426788
Regional,9004_Cash & financial investments/monetary assets,2016,$414814
Regional,9004_Cash & financial investments/monetary assets,2017,$435259
Regional,9004_Cash & financial investments/monetary assets,2018,$462294
Regional,9004_Cash & financial investments/monetary assets,2019,$485736
Regional,9004_Cash & financial investments/monetary assets,2020,$522119
Regional,9004_Cash & financial investments/monetary assets,2021,$545022
Regional,9004_Cash & financial investments/monetary assets,2022,$575665
Regional,9005_Total assets (H),2013,$4379562
Regional,9005_Total assets (H),2014,$4548230
Regional,9005_Total assets (H),2015,$4698336
Regional,9005_Total assets (H),2016,$4780060
Regional,9005_Total assets (H),2017,$4936472
Regional,9005_Total assets (H),2018,$5048044
Regional,9005_Total assets (H),2019,$5166181
Regional,9005_Total assets (H),2020,$5297622
Regional,9005_Total assets (H),2021,$5395187
Regional,9005_Total assets (H),2022,$5506568
Regional,9006_Borrowing (total debt),2013,$246812
Regional,9006_Borrowing (total debt),2014,$307994
Regional,9006_Borrowing (total debt),2015,$425966
Regional,9006_Borrowing (total debt),2016,$452885
Regional,9006_Borrowing (total debt),2017,$480438
Regional,9006_Borrowing (total debt),2018,$504162
Regional,9006_Borrowing (total debt),2019,$510190
Regional,9006_Borrowing (total debt),2020,$511606
Regional,9006_Borrowing (total debt),2021,$498766
Regional,9006_Borrowing (total debt),2022,$494842
Regional,9007_Other liabilities,2013,$274887
Regional,9007_Other liabilities,2014,$276998
Regional,9007_Other liabilities,2015,$279274
Regional,9007_Other liabilities,2016,$281830
Regional,9007_Other liabilities,2017,$284923
Regional,9007_Other liabilities,2018,$287073
Regional,9007_Other liabilities,2019,$289372
Regional,9007_Other liabilities,2020,$292921
Regional,9007_Other liabilities,2021,$293204
Regional,9007_Other liabilities,2022,$296725
Regional,9008_Total liabilities (I),2013,$521699
Regional,9008_Total liabilities (I),2014,$584994
Regional,9008_Total liabilities (I),2015,$705239
Regional,9008_Total liabilities (I),2016,$734714
Regional,9008_Total liabilities (I),2017,$765361
Regional,9008_Total liabilities (I),2018,$791235
Regional,9008_Total liabilities (I),2019,$799562
Regional,9008_Total liabilities (I),2020,$804527
Regional,9008_Total liabilities (I),2021,$791970
Regional,9008_Total liabilities (I),2022,$791566
Regional,9009_Public equity (H-I),2013,$3857863
Regional,9009_Public equity (H-I),2014,$3963240
Regional,9009_Public equity (H-I),2015,$3993099
Regional,9009_Public equity (H-I),2016,$4045349
Regional,9009_Public equity (H-I),2017,$4171115
Regional,9009_Public equity (H-I),2018,$4256812
Regional,9009_Public equity (H-I),2019,$4366622
Regional,9009_Public equity (H-I),2020,$4493098
Regional,9009_Public equity (H-I),2021,$4603219
Regional,9009_Public equity (H-I),2022,$4715005
Rural,"9001_Investment in CCOs, CCTOs & other entities",2013,$35881
Rural,"9001_Investment in CCOs, CCTOs & other entities",2014,$35275
Rural,"9001_Investment in CCOs, CCTOs & other entities",2015,$34682
Rural,"9001_Investment in CCOs, CCTOs & other entities",2016,$34054
Rural,"9001_Investment in CCOs, CCTOs & other entities",2017,$35670
Rural,"9001_Investment in CCOs, CCTOs & other entities",2018,$34990
Rural,"9001_Investment in CCOs, CCTOs & other entities",2019,$37594
Rural,"9001_Investment in CCOs, CCTOs & other entities",2020,$36914
Rural,"9001_Investment in CCOs, CCTOs & other entities",2021,$36233
Rural,"9001_Investment in CCOs, CCTOs & other entities",2022,$35553
Rural,9002_Other assets,2013,$192545
Rural,9002_Other assets,2014,$192959
