SAMPLE_NO,EASTING,NORTHING,B
550792,250770,360780,11
550793,245000,355910,17
550794,247110,356360,23
550795,245970,359660,16
550796,215600,367780,75
550797,246650,361300,26
550798,215430,369300,73
550799,207620,364410,29
550800,249980,359600,25
550801,233930,372060,20
550802,193250,354490,29
550804,230610,371500,80
550805,202230,357510,85
550806,191750,356550,39
550807,219740,366530,51
550808,200830,357290,76
550809,198860,355500,117
550811,244100,352550,90
550812,191150,355400,91
550813,225100,368900,39
550814,194410,357210,44
550815,230480,359000,41
550816,229470,357700,35
550817,231740,357900,53
550818,221300,368650,27
550819,228100,354530,41
550820,198500,353310,164
550821,218790,371300,115
550823,222660,369500,29
550824,198400,357010,50
550825,199190,356820,81
550826,231520,358840,37
550827,244080,353450,37
550828,229900,355850,25
550829,197180,354380,62
550830,243900,353350,14
550831,192300,354190,40
550832,226760,353230,41
550833,195500,355190,30
550834,219390,365860,53
550835,225110,369770,10
550836,223740,369850,16
550837,230060,370570,29
550838,220690,367400,70
550839,228580,354180,34
550840,217360,369210,35
550841,227130,352200,83
550842,194650,355900,57
550843,194900,353590,41
550844,198690,354690,64
550845,227420,354020,33
550846,226760,351670,35
550847,196300,356530,37
550848,225990,369790,46
550849,227180,351110,49
550850,196210,355780,34
550851,224190,368100,22
550852,204140,357960,93
550853,193150,353570,135
550854,231250,356530,37
550855,195450,354100,101
550856,230150,359900,38
550857,220200,370930,75
550858,199500,354190,72
550859,206500,365300,2
550860,201360,357200,62
550861,226610,369180,18
550862,231080,354800,56
550863,193380,354300,55
550864,206490,358100,87
550865,232520,357800,38
550866,194850,358840,63
550867,217310,366720,67
550869,233470,371750,9
550870,212930,367010,31
550871,218380,369860,63
550872,232690,358320,52
550873,196900,353710,91
550874,222800,368800,28
550876,244980,353080,81
550877,198660,356230,51
550879,203030,357560,80
550880,228880,356750,36
550881,244980,353080,43
550882,195580,354690,55
550883,219490,373320,30
550884,217620,371600,65
550885,197600,355320,62
550887,193580,356500,85
550888,196800,359930,6
550889,218050,365190,82
550890,231960,371400,33
550891,219100,368090,21
550892,193080,355240,35
550893,216290,371220,39
550894,227790,360470,57
550895,219380,372980,32
550896,199760,356900,104
550897,223710,368490,84
550899,222800,367580,138
550900,196980,357040,37
550901,226500,363550,56
550903,248610,352320,47
550904,219460,361710,29
550905,220330,363020,25
550906,225100,358350,40
550907,209290,357290,92
550908,210890,356160,22
550909,221700,360520,63
550910,210400,357840,114
550911,225410,362150,56
550912,223300,359970,14
550913,220500,360680,51
550914,224700,362310,63
550915,208830,357660,69
550916,246590,347320,37
550918,240590,347290,38
550919,247210,349280,10
550921,212400,355250,97
550922,210030,353210,16
550923,245200,351380,63
550924,244730,349550,55
550925,207300,356740,74
550926,206450,356700,49
550927,219020,357800,109
550928,207310,353450,94
550929,245400,351610,47
550930,200380,353070,126
550931,247850,348600,38
550932,247590,348210,64
550933,227420,363900,41
550934,202680,355350,119
550937,225920,362230,57
550938,243930,350250,94
550939,247220,351480,97
550940,224770,363880,44
550943,245940,352330,47
550945,204810,355440,167
550946,208580,354170,45
550947,217110,363100,43
550948,223080,360400,52
550949,207520,355300,93
550952,218700,363230,45
550954,248850,351470,54
550956,211120,354720,48
550957,247600,353100,23
550958,220140,359500,43
550959,221100,359520,63
550960,221310,361720,23
550961,226990,357410,22
550963,241250,348210,33
550964,203280,353260,53
550965,222710,360780,43
550966,243220,349050,31
550967,211400,353800,113
550968,219490,363980,32
550969,242550,351450,80
550970,245020,350700,77
550971,203630,355350,55
550973,206180,354760,108
550974,245570,349230,11
550976,223990,362160,46
550977,205130,354010,87
550978,206990,353100,100
550979,204110,356160,41
550980,226000,364680,19
550981,242510,348100,53
550982,224100,359290,71
550983,226200,358390,42
550984,242270,349550,32
550985,246220,350500,60
550986,246180,352560,61
550988,248950,352690,37
550989,226320,359910,27
550990,210030,356750,59
550991,217750,361990,87
550992,205120,353380,123
550993,246690,350170,117
550994,247410,352800,24
550995,209490,355200,69
550996,219460,361710,26
550997,208310,353520,64
550998,226480,364500,29
550999,226600,366800,58
551001,258550,361730,13
551002,244910,364270,37
551003,257030,360880,19
551004,227100,367000,35
551005,250430,367050,46
551006,246680,364970,50
551007,258420,357800,42
551008,248450,367220,50
551009,254160,365280,19
551011,239270,386970,25
551012,246560,364390,53
551013,255060,361140,29
551014,246260,369050,56
551015,224400,364490,30
551016,225860,365800,32
551017,224190,366410,24
551018,257050,362990,23
551019,223080,365700,35
551020,251700,368600,33
551021,257590,364500,20
551023,254980,367950,54
551024,247810,369430,57
551026,224610,364990,18
551027,243520,366840,37
551028,225180,368000,24
551029,245090,366730,36
551030,242600,366900,46
551031,243180,365720,74
551032,230200,364610,14
551033,252380,367560,50
551034,259680,359980,24
551035,255400,361900,24
551036,254800,366550,38
551037,227090,367270,31
551038,256930,360050,23
551039,222050,366120,26
551040,259810,364490,41
551041,230700,365170,25
551042,253400,368390,20
551043,247080,367380,32
551044,245230,367310,33
551045,228800,364340,27
551046,230620,365960,12
551047,249180,368780,92
551048,255380,362240,17
551049,231960,364980,40
551050,253610,366980,42
551051,254100,362130,14
551053,243240,366020,47
551054,225920,367400,25
551055,246250,368110,44
551056,223400,364920,57
551058,251190,369420,38
551059,256340,366700,82
551060,250860,367500,44
551061,256310,362250,27
551062,226510,367470,39
551063,244560,364890,69
551064,255920,369890,42
551065,228580,368120,19
551066,256680,369050,43
551067,259500,358980,23
551069,229900,366700,21
551070,255780,366800,35
551071,258810,368790,22
551072,228700,367840,18
551073,246370,366520,41
551074,253600,363710,33
551076,217610,381270,7
551077,253800,364710,25
551079,250070,366480,56
551080,225250,366890,35
551081,217610,381270,6
551082,246600,368400,60
551083,259290,364930,49
551084,257440,365730,22
551085,253170,365900,57
551087,243780,368960,42
551088,256470,367400,27
551089,259350,363710,24
551090,229410,366730,28
551091,257100,358250,37
551092,245570,363270,58
551093,258880,367300,36
551094,228110,365550,9
551095,257950,364410,27
551096,248080,367200,48
551097,254020,362560,19
551098,222230,364200,57
551099,257840,360450,22
551100,248080,369010,55
551101,237550,392430,6
551102,215500,378390,15
551103,227330,387970,5
551104,236670,393330,15
551105,233130,393830,12
551106,238780,395790,10
551107,209710,377480,11
551108,211890,377520,2
551110,208820,378670,15
551111,239350,391800,11
551112,237010,396400,23
551113,213580,377760,8
551114,239670,391420,4
551116,213520,384450,5
551118,223360,384620,5
551119,211650,385200,5
551120,210180,380170,5
551121,209100,379900,5
551122,209370,382120,5
551123,215570,382410,5
551124,219620,384600,5
551125,214580,384200,5
551126,215650,383830,5
551127,215180,376650,8
551128,206700,379700,10
551129,217990,383020,5
551131,210140,384350,5
551132,213300,385080,5
551133,238300,392570,10
551134,207300,383960,2
551135,210690,381100,3
551136,211090,382100,3
551137,238400,391730,16
551138,220910,384960,4
551139,222900,386540,5
551140,237560,390930,21
551141,211880,385030,1
551143,216900,381690,7
551145,216050,383680,1
551146,207140,381410,5
551147,231530,394790,8
551148,225310,386200,5
551149,206220,379580,19
551150,225110,386040,5
551151,237180,396100,15
551152,234900,393890,15
551154,223800,386840,5
551155,208120,383180,5
551156,208780,380130,5
551157,220290,381410,2
551158,214150,377900,6
551159,214410,377870,6
551160,238200,389950,23
551161,237790,394680,14
551163,225390,384370,5
551164,212610,382330,5
551165,214030,378950,9
551166,222090,385080,5
551167,208840,382110,5
551168,231950,395350,2
551169,219490,381640,5
551170,218570,386000,5
551171,208590,380380,5
551172,235330,392700,5
551173,210500,380030,6
551174,219300,384630,5
551176,239520,390700,15
551177,211530,382050,2
551178,207240,379350,19
551179,208800,382780,5
551180,235020,395190,18
551181,219690,383540,3
551182,238700,396290,22
551183,238140,395590,9
551184,221170,384910,5
551185,219550,385930,5
551186,213990,381820,5
551188,225290,387330,5
551189,236130,395520,29
551190,210320,376480,10
551191,230400,392400,5
551192,212090,382170,5
551193,220990,386480,5
551194,236740,407300,11
551195,208050,381040,5
551196,236670,393330,14
551198,239680,393200,20
551199,235710,395820,19
551200,212920,379470,5
551201,238250,399400,7
551202,221310,371080,32
551203,228990,388200,15
551204,237830,398200,22
551205,227030,381170,12
551206,224100,372900,21
551207,230410,386300,6
551208,226900,383680,8
551209,222910,376540,62
551211,229580,378790,39
551212,221860,372080,24
551213,219500,379460,12
551214,244510,351010,77
551215,236990,408620,25
551216,250500,367400,63
551217,238220,403490,11
551218,229500,392610,5
551219,239670,410020,24
551220,227530,374850,88
551221,218690,377610,2
551223,222300,379300,9
551224,222500,375410,107
551225,219770,374800,22
551226,237690,409990,29
551227,224040,371800,28
551228,238460,404810,23
551229,225220,374910,47
551230,229100,377770,97
551231,222530,370830,28
551232,231500,390300,19
551233,243120,352400,63
551234,229620,386250,8
551235,218140,379660,19
551236,223500,380410,18
551237,238820,399190,9
551238,231500,387300,7
551239,237320,406520,19
551240,216700,376200,10
551241,232100,391470,8
551242,227980,375020,48
551243,226020,374130,21
551244,227520,376010,123
551245,230480,388910,15
551246,232800,390600,17
551247,220950,374410,41
551248,217020,379300,7
551249,233400,391120,12
551250,223240,376490,35
551251,220900,378400,11
551252,224270,380020,4
551253,223600,370720,9
551254,239740,405150,25
551255,227290,374080,108
551256,236020,391570,3
551257,217210,377800,6
551258,227500,375800,138
551259,223060,382280,11
551260,227030,382500,5
551261,217500,378300,6
551262,239390,403400,9
551263,222240,370590,21
551264,224930,378860,1
551265,239690,399510,11
551266,226330,379560,7
551267,231200,386100,4
551269,239320,398250,13
551270,223910,381220,6
551271,216530,376600,6
551272,239140,402680,4
551273,224930,373990,13
551274,223270,378420,19
551277,222050,376230,12
551279,225390,380640,3
551282,226150,374350,98
551283,227660,385250,5
551284,217450,376310,5
551285,223880,376110,43
551287,225200,372280,12
551288,221550,382990,5
551289,228080,385810,3
551290,238470,397910,11
551291,232920,387140,5
551292,221450,372310,27
551293,217290,376810,5
551294,232290,389010,36
551295,226320,385720,13
551296,227390,383800,13
551297,221680,377490,91
551298,234600,389810,5
551299,236740,399600,5
551301,238420,383990,2
551302,237800,373720,41
551303,237320,386330,7
551306,233630,369400,21
551307,238910,377500,28
551308,238850,379940,18
551309,234870,372470,35
551310,236700,377950,27
551311,235670,383820,12
551312,236060,370290,16
551313,235600,372550,48
551314,236080,384450,26
551315,237130,377890,16
551316,227510,373360,81
551318,231410,379600,20
551319,230490,377790,54
551320,239810,378320,75
551321,239410,378400,37
551322,228910,382610,3
551323,226510,378120,40
551324,229110,376130,43
551325,228410,372490,68
551326,229210,372900,82
551327,238960,374030,66
551328,232700,385750,15
551329,225600,378490,44
551330,234190,374570,50
551331,226940,372840,11
551332,227500,372230,60
551333,237850,383510,41
551336,236380,375150,22
551337,235400,382010,20
551338,228750,376010,56
551339,230760,379410,22
551340,235280,380680,9
551341,231580,377440,102
551342,235680,377410,26
551343,226950,379110,45
551345,230110,373210,77
551346,231130,383180,13
551348,232780,380450,48
551349,233550,384210,12
551350,230700,380700,8
551351,235540,369300,16
551354,230180,380260,17
551355,232600,373810,38
551356,239400,380400,17
551357,224720,377500,43
551358,236070,372650,43
551359,237300,373550,63
551361,233110,371020,31
551365,233700,373110,40
551366,232720,377630,26
551367,229660,382300,13
551369,225720,378020,61
551370,230650,375900,64
551371,231090,373620,48
551373,235010,375700,39
551374,229610,375090,45
551377,236650,375850,47
551378,233730,386300,10
551379,229690,383970,20
551380,236350,381110,15
551382,235070,369520,111
551383,232970,369760,23
551384,233570,377800,53
551385,232000,375470,60
551386,228800,379340,44
551388,239830,385140,30
551389,236550,368520,49
551390,237920,379080,21
551392,238100,376120,63
551393,231990,376200,65
551394,210120,387170,5
