"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U9008_12 - KORONA PK1: VALENCIA WAY N TO END -  ARDS","ARDS","Surface Type",26,26,347873,374994
"7065U9016_04 - SLIEVE CROOB AV1: STRANMORE AV TO STRANGFORD HTS -  ARDS","ARDS","Surface Type",86,86,349988,373991
"7065A0002_48 - SPRINGVALE RD 41: KIRCUBBIN RD C257 TO GREYABBEY RD -  ARDS","ARDS","Surface Type",1149,1149,362817,368321
"7065U9107_06 - ENLER GDS1: CASTLELODGE PK TO END -  ARDS","ARDS","Surface Type",12,12,345870,369601
"7065U0260_41 - OLD BALLYGOWAN RD1: BALLYGOWAN RD TO MAGHERASCOUSE RD -  ARDS","ARDS","Surface Type",41,41,343624,364938
"7065U9008_01 - GLENFORD RD1: HARDFORD LK TO SHIRALEE DR -  ARDS","ARDS","Surface Type",272,272,348043,374693
"7065A0021_20 - COMBER RD N'ARDS: END DUAL C'WAY TO CIRCULAR RD -  ARDS","ARDS","?",1839,1839,0,0
"7065A0021_13 - BALLYGOWAN RD3: HILLSBOROUGH RD B178 TO RAILWAY ST -  ARDS","ARDS","Surface Type",1097,1097,344963,368568
"7065C0271_02 - KILCARN RD1: CARRICKMANNON RD C272 TO DRUMREAGH RD C274 -  ARDS","ARDS","Surface Type",1006,1006,345625,360405
"7065U0207_43 - TULLYNAGEE RD1: BALLYKEIGLE RD U209 TO KILLINCHY RD A22 -  ARDS","ARDS","Surface Type",1164,1164,346866,366079
"7065C0256_01 - DUNOVER RD1: BROADWAY A2 TO BALLYDOONAN RD U118 -  ARDS","ARDS","Surface Type",93,93,362637,369574
"7065C0251_02 - CRAWFORDSBURN RD3: HARDFOFD LK TO BOUNDARY SIGN -  ARDS","ARDS","Surface Type",1042,1042,348192,375604
"7065U9008_31 - ASCOT PK1: C0263 05 BELFAST RD TO U9008 32 ASCOT PK -  ARDS","ARDS","Surface Type",0,0,347799,374587
"7065U9750_03 - BAILIE TR1: NEWTOWNARDS RD TO END -  ARDS","ARDS","Surface Type",11,11,355058,379199
"7065C0268_03 - DRUMHIRK RD1: BALLYNICHOL RD U263 TO KILLINCHY RD A22 -  ARDS","ARDS","Surface Type",785,785,346822,367335
"7065A0048_03 - DONAGHADEE RD42: WYNNDEL PK TO KERR'S RD -  ARDS","ARDS","Surface Type",1739,1739,351446,376756
"7065U9007_06 - HARDFORD LK1: BELFAST RD A20 TO CRAWFORDSBURN RD C251 -  ARDS","ARDS","Surface Type",470,470,348488,374628
"7065U9000_43 - BRISTOL PK2 CDS3: SUNDERLAND PK TO END -  ARDS","ARDS","Surface Type",95,95,348716,372725
"7065U9014_31 - THORNLEIGH AV1: STRATHEDEN HTS TO END -  ARDS","ARDS","Surface Type",267,267,351211,374687
"7065U9600_30 - ARDMORE GGE1: THE BRAE TO THE GRANARY -  ARDS","ARDS","Surface Type",115,115,343180,364175
"7065U9015_03 - EDITH HELEN RD1: OLD MOVILLA RD TO MOVILLA RD B172 -  ARDS","ARDS","Surface Type",101,101,349920,374304
"7065U9202_28 - ASHFIELD CT:  NORTH TO SOUTH END -  ARDS","ARDS","Surface Type",87,87,358585,379245
"7065C0261_03 - SPRINGFIELD RD2: U9300_06 NEW RD TO A0002_30 WARNOCKS RD -  ARDS","ARDS","Surface Type",52,52,366015,359989
"7065C0271_06 - WHITEROCK RD1: CHURCHILL RD U321 TO BALLYDORAN RD -  ARDS","ARDS","Surface Type",671,671,351318,361021
"7065C0271_06 - WHITEROCK RD1: CHURCHILL RD U321 TO BALLYDORAN RD -  ARDS","ARDS","Surface Type",732,732,351369,361054
"7065C0254_02 - BALLYBLACK RD1: BOWTOWN RD U126 TO BALLYCASTLE RD U124 -  ARDS","ARDS","Surface Type",2653,2653,354972,372874
"7065U9010_06 - DICKSONIA DR1: GLENBROOK RD TO END -  ARDS","ARDS","?",76,76,0,0
"7065U0126_44 - OLD SHORE RD1: BOWTOWN RD U126 TO PORTAFERRY ST A20 -  ARDS","ARDS","Surface Type",356,356,350042,373417
"7065U0316_41 - BALLYPHILLIP RD1: BALLYBLACK RD C260 TO CLOUGHEY RD A2 -  ARDS","ARDS","Surface Type",929,929,359913,351124
"7065U9001_29 - SCRABO RD1: CIRCULAR RD TO SCRABO RD U243 -  ARDS","ARDS","?",354,354,0,0
"7065C0266_02 - BALLYRAINEY RD1: U0245_42 BALLYALTON RD TO KEMPSTONE RD -  ARDS","ARDS","Surface Type",917,917,346753,373513
"7065A0021_23 - GEORGES ST 41: GREENWELL ST TO GEORGES SRTEET RBT -  ARDS","ARDS","Surface Type",70,70,349513,374031
"7065U9014_48 - LAWNBROOK DRIVE1: STRATHEDEN HTS TO CRONSTOWN COTTAGE PK -  ARDS","ARDS","Surface Type",69,69,350897,374981
"7065U0169_41 - ISLANDHILL RD1: ABBEY RD C255 TO ABBEY RD C255 -  ARDS","ARDS","Surface Type",0,0,358184,374596
"7065U9008_15 - CRAWFORDSBURN WAY1: CRAWFORDSBURN PK TO END -  ARDS","ARDS","Surface Type",109,109,347885,375756
"7065U9012_03 - VICTORIA CRE2: VICTORIA PK TO VICTORIA RD -  ARDS","ARDS","Surface Type",40,40,349403,374441
"7065C0251_02 - CRAWFORDSBURN RD3: HARDFOFD LK TO BOUNDARY SIGN -  ARDS","ARDS","Surface Type",2066,2066,347862,376569
"7065U0161_41 - MOUNTAIN RD1: CRAWFORDSBURN RD C251 TO WHITEWAYS -  ARDS","ARDS","?",778,778,348456,376305
