"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065C0324_02 - WOOD RD1: WOOD RD RHS C324 TO CLONVARAGHAN RD C308 -  DOWN","DOWN","Surface Type",740,740,333416,339677
"7065U6007_20 - MALONE WAY: U6007_10 MALONE DR TO U6007_21 MALONE WAY -  DOWN","DOWN","Surface Type",37,37,348830,345421
"7065B0001_03 - ARDGLASS RD2: CREWE RD C283 TO BALLEE RD C285 RHS -  DOWN","DOWN","Surface Type",181,181,354033,338572
"7065U0386_01 - BROOMHILL RD1: CHERRYHILL RD U383 TO DUNMORE RD B175 -  DOWN","DOWN","Surface Type",1186,1186,337138,348700
"7065U6008_02 - ARDENLEE GDS1: SAUL RD TO ARDENLEE GDS -  DOWN","DOWN","Surface Type",71,71,350273,345676
"7065U6300_37 - THE GRANGE3: MOYRA DR TO T JUNCTION -  DOWN","DOWN","Surface Type",190,190,340325,358400
"7065U6206_08 - BEACH AV1: DOWNS RD TO END LHS FOOTWAY -  DOWN","DOWN","Surface Type",68,68,337780,331216
"7065A0024_06 - NEWCASTLE RD3: DRUMSNADE RD C291 TO DRUMANESS RD C388 -  DOWN","DOWN","Surface Type",256,256,339095,348504
"7065A0024_07 - DRUMANESS RD2: DRUMANESS RD C388 TO DOWNPATRICK RD B2 -  DOWN","DOWN","Surface Type",2654,2654,337763,350682
"7065U6300_65 - STATION MEWS CDS: STATION MEWS TO END -  DOWN","DOWN","Surface Type",47,47,340950,359034
"7065U6009_40 - ABBEY VW1: SCOTCH ST/FOUNTAIN ST TO END CDS -  DOWN","DOWN","Surface Type",44,44,348933,344663
"7065U6201_12 - TULLYBRANNIGAN BRAE CDS LHS: TULLYBRANNIGAN BRAE TO END -  DOWN","DOWN","Surface Type",1,1,336585,331083
"7065C0323_02 - SLIEVENABOLEY RD1: B0007 03 RATHFRILAND RD TO U4216 01 LEGANANNY HALL RD -  DOWN","DOWN","Surface Type",1264,1264,326951,343921
"7065C0366_04 - BALLYHORNAN RD2: BALLYTRUSTAN RD TO BALLYCULTER RD C282 -  DOWN","DOWN","Surface Type",659,659,353656,343404
"7065U0368_01 - BALLYMORRAN RD1: QUARTERLAND RD U381 TO TULLYCORE RD U382 -  DOWN","DOWN","Surface Type",894,894,351937,358935
"7065U0650_05 - THE BEECHES2: GROVE RD U119 TO END -  DOWN","DOWN","Surface Type",66,66,336326,349491
"7065U0351_01 - GREYSTOWN RD1: SCADDY RD C277 TO DOWNPATRICK RD A7 -  DOWN","DOWN","Surface Type",17,17,349504,348963
"7065C0297_02 - BALLYCREEN RD1: BOUNDARY SIGN TO LAUREL RD C294 -  DOWN","DOWN","Surface Type",605,605,333424,354418
"7065A0025_04 - STRANGFORD RD3: AUDLEYSTOWN RD TO CASTLE ISLAND RD -  DOWN","DOWN","Surface Type",2496,2496,352721,348149
"7065U6011_32 - BALLYMOTE WK1: U6011 02 COLMCILLE RD TO END -  DOWN","DOWN","Surface Type",173,173,349226,343349
"7065A0025_12 - MARKET ST3: IRISH ST TO LEISURE CENTRE EXIT ROAD -  DOWN","DOWN","Surface Type",391,391,348445,344295
"7065A0024_02 - NEWCASTLE RD1: A25 DOWNPATRICK RD RBT TO MAIN ST C290 -  DOWN","DOWN","Surface Type",361,361,340739,340752
"7065A0022_03 - KILLYLEAGH RD1: FINNEBROGUE RD C280 TO SCADDY RD C277 -  DOWN","DOWN","Surface Type",2431,2431,349461,348768
"7065A0025_03 - CASTLEWARD RD1: CHURCHTOWN RD C283 TO AUDLEYSTOWN RD U1216 -  DOWN","DOWN","Surface Type",2701,2701,354988,348755
"7065U0347_16 - NET WK1: SEASIDE RD TO END -  DOWN","DOWN","Surface Type",130,130,353030,352439
"7065U0102_01 - CARGYGRAY RD1: DROMORE RD B2 TO BURN RD C294 -  DOWN","DOWN","Surface Type",1756,1756,333219,353842
"7065U6002_21 - GALLAUN CTR1: START SOUTH WEST TO END NORTH EAST -  DOWN","DOWN","Surface Type",67,67,348488,343587
"7065A0021_03 - BALLYNAHINCH RD2: DRUMNACONNELL RD U384 TO LISBURN RD B6 -  DOWN","DOWN","Surface Type",462,462,340002,358481
"7065A0025_04 - STRANGFORD RD3: AUDLEYSTOWN RD TO CASTLE ISLAND RD -  DOWN","DOWN","Surface Type",3422,3422,351845,347927
"7065U6011_32 - BALLYMOTE WK1: U6011 02 COLMCILLE RD TO END -  DOWN","DOWN","Surface Type",206,206,349234,343376
"7065A0022_03 - KILLYLEAGH RD1: FINNEBROGUE RD C280 TO SCADDY RD C277 -  DOWN","DOWN","Surface Type",240,240,348864,346695
"7065C0279_04 - JUNCTION RD1: LISTOODER RD U361 TO CROSSGAR RD A7 -  DOWN","DOWN","Surface Type",518,518,341768,355678
"7065U6300_27 - LISLANE DR1: LISLANE PK TO END -  DOWN","DOWN","Surface Type",39,39,340627,358339
"7065U6009_55 - BRACKENRIDGE2: U0252_03 KNOCKNASHIMNA RD TO END CDS OPP HSE 17 -  DOWN","DOWN","Surface Type",2,2,349847,344478
"7065U6695_04 - TULLYRONAN: U6695_03 TULLYRONAN RD TO END CDS OPP HSE 17 -  DOWN","DOWN","Surface Type",80,80,358478,341586
"7065C0325_03 - CLANMAGHERY RD1: C0325 01 LACKAN RD TO A0050 23 BALLYWARD RD -  DOWN","DOWN","Surface Type",625,625,325707,336557
"7065C0325_03 - CLANMAGHERY RD1: C0325 01 LACKAN RD TO A0050 23 BALLYWARD RD -  DOWN","DOWN","Surface Type",657,657,325730,336579
"7065U0148_02 - CIRCULAR RD1: CIRCULAR RD U0148_04 LHS TO UPPER SQUARE -  DOWN","DOWN","Surface Type",34,34,334339,336004
"7065U0148_02 - CIRCULAR RD1: CIRCULAR RD U0148_04 LHS TO UPPER SQUARE -  DOWN","DOWN","Surface Type",70,70,334315,336031
"7065U6200_06 - GREENHILL PK1: TULLYBRANNIGAN RD TO END -  DOWN","DOWN","Surface Type",70,70,336937,330692
"7065C0281_08 - SAUL WAY1: SAUL STREET TO CHURCH STREET A25 -  DOWN","DOWN","Surface Type",95,95,348702,344781
"7065B0176_03 - KILLOUGH RD2: BALLYGALLUM RD C285 TO OLD COURSE RD C285 -  DOWN","DOWN","Surface Type",3,3,350613,340839
"7065B0176_03 - KILLOUGH RD2: BALLYGALLUM RD C285 TO OLD COURSE RD C285 -  DOWN","DOWN","Surface Type",64,64,350583,340892
"7065U6201_04 - SPELGA AV1: BRYANSFORD RD B180 TO SLIEVENAMADDY AV -  DOWN","DOWN","Surface Type",226,226,337071,331086
