Permit No.,Division,Event Date,Address,From,To
DPW1403078,1,6/28/2014,600 W NORTH AVE,ELOISE ST,W NORTH AVE
DPW1303895,2,6/29/2013,831 N SHERIDAN AVE,JACKSON,STANTON
DPW1303778,2,6/29/2013,1048 N WHEELER ST,MOHLER ST,FERNDALE ST
DPW1303658,1,6/29/2013,0 MONTEREY ST,W NORTH AVE,ELOISE
DPW1302592,3,6/29/2013,2225 BEDFORD AVE,MEMORY LANE,SOMMERS
DPW1303971,4,6/29/2013,1843 FAIRLAND ST,MIDWOOD ST,YALE ST
DPW1403358,4,6/29/2014,810 MONTOOTH ST,michigan st,bigger
DPW1303703,2,6/30/2013,721 COPELAND ST,WALNUT ST,ELMER ST
DPW1302566,2,7/1/2013,559 LENORA ST,VENUS WAY,SHETLAND ST
DPW1303684,2,7/1/2013,6611 JACKSON ST,HEBERTON ST,CONNECTING ROAD
DPW1403566,2,7/1/2014,559 LENORA ST,VENUS WAY,SHETLAND ST
DPW1304320,5,7/4/2013,3101 ASHLYN ST,THORNTON ST,LANDIS ST
DPW1304316,2,7/4/2013,6311 DEAN ST,LARIMER AVENUE,DEAD END
DPW1304317,5,7/4/2013,508 GRACE ST,MANN,DEAD END
DPW1303939,1,7/4/2013,100 E JEFFERSON ST,ARCH ST,SATURN WAY
DPW1303918,2,7/4/2013,6501 SHETLAND AVE,LOWELL,WINFIELD
DPW1303920,3,7/4/2013,1236 MALVERN AVE,FAIR OAKS,PLAINFIELD
DPW1304148,4,7/4/2013,418 JUCUNDA ST,GEORGIA,BELTZHOOVER
DPW1304153,1,7/4/2013,2628 KENN ST,CHARLES ST,WILSON ST
DPW1304241,1,7/4/2013,856 CALIFORNIA AVE,CALIFORNIA AVE,LYSLE ST
DPW1304155,1,7/4/2013,2010 STONELEA ST,OSWEGO ST,KETLER WAY
DPW1304163,1,7/4/2013,416 CATOMA ST,MEADVILLE ST,MYLER ST
DPW1304340,5,7/4/2013,117 SANFORD ST,ESPLEN STREET,FIELD WAY
DPW1304353,4,7/4/2013,141 JUCUNDA ST,IBIS WAY,KNOX AVE
DPW1304165,2,7/4/2013,8214 BRICELYN ST,TOKAY,THORNBUSH
DPW1304371,1,7/4/2013,2041 LAUTNER ST,EGGERS ST,LAUTNER ST
DPW1403048,2,7/4/2014,6327 SHETLAND AVE,WINFIELD ST,LOWELL ST
DPW1403765,2,7/4/2014,8214 BRICELYN ST,thornbush st,tokay st
DPW1403712,1,7/4/2014,100 COMPROMISE ST,FOUNTAIN ST,DUNLOE ST
DPW1403674,2,7/4/2014,6556 DEARY ST,GRAPEVINE ST,LINCOLN AVE
DPW1403604,4,7/4/2014,141 JUCUNDA ST,IBIS WAY,KNOX AVE
DPW1403591,2,7/4/2014,7151 MOUNT VERNON ST,N HOMEWOOD AVE,N LANG ST
DPW1403590,5,7/4/2014,117 SANFORD ST,ESPLEN,FIELD WAY
DPW1403582,1,7/4/2014,3853 OSWEGO ST,OSWEGO,KETLAR WAY
DPW1403524,2,7/4/2014,7302 MOUNT VERNON ST,STERRET STREET,COLLIER STREET
DPW1403511,1,7/4/2014,416 CATOMA ST,MEADVILLE ST,LANARK ST
DPW1403497,1,7/4/2014,1240 RESACA PL,ELOISE,N TAYLOR
DPW1403473,1,7/4/2014,1452 BELDALE ST,CHATEAU ST,MANHATTEN ST
DPW1403448,1,7/4/2014,936 BEECH AVE,ALLEGHENY AVE,GALVESTON
DPW1403391,1,7/4/2014,1506 MONTEREY ST,JACKSONIA ST,ALPINE ST
DPW1403388,4,7/4/2014,127 RENTZ WAY,KNOX AVE,IBIS WAY
DPW1403389,5,7/4/2014,508 GRACE ST,MANN,DEAD END
DPW1403342,5,7/4/2014,1818 HETHLON ST,colescott,wittman st
DPW1403322,3,7/4/2014,127 MOULTRIE ST,5th ave,orr st
DPW1402994,3,7/4/2014,1236 MALVERN AVE,FAIR OAKS,PLAINFIELD
DPW1403763,1,7/4/2014,2041 LAUTNER ST,egger st,lautner st
DPW1403194,2,7/4/2014,148 WINSLOW ST,LARIMER AVENUE,PAULSON AVENUE
DPW1403246,2,7/4/2014,604 SEAGIRT ST,TOKAY,NIMICK
DPW1403281,2,7/4/2014,126 N WHITFIELD ST,N. Charles Street,Dead End
DPW1303371,1,7/5/2013,0 BIDWELL ST,W NORTH AVE,SHEFFIELD ST
DPW1403673,2,7/5/2014,207 N WINEBIDDLE ST,BROAD ST,DEARBORN ST
DPW1303573,5,7/6/2013,3111 W CARSON ST,SAGINAW ST,SANFORD ST
DPW1403178,4,7/6/2014,832 DUNSTER ST,lamione st,abstract st
DPW1304522,5,7/13/2013,3105 ALLENDALE ST,UNIVERSAL ST,ALLENDALE PL
DPW1303568,1,7/13/2013,1 CALIFORNIA AVE,DAVIS AVE,ORCHLEE ST
DPW1304171,5,7/13/2013,3013 BERGMAN ST,SHERWOOD,THORNTON
DPW1403623,1,7/13/2014,0 SHAWANO ST,EAST ST,MIDDLE ST
DPW1303531,2,7/14/2012,6032 STEVENSON PL,S HIGHLAND AVE,SHAKESPERE ST
DPW1304343,1,7/14/2013,99 ROYAL ST,GERSHAWN,NETTIE
DPW1403547,3,7/18/2014,2200 WYLIE AVE,KIRKPATRICK STREET,SOHO STREET
DPW1403544,3,7/18/2014,2200 WYLIE AVE,KIRKPATRICK STREET,SOHO STREET
DPW1404037,1,7/18/2014,1205 DICKSON ST,SHADELAND AVE,FREDRICK ST
DPW1304357,1,7/19/2013,1205 DICKSON ST,SHADELAND AVE,FREDRICK ST
DPW1404067,2,7/19/2014,8214 BRICELYN ST,WILKINSBURG AVE,DORNBUSH ST
DPW1403474,1,7/19/2014,1452 BELDALE ST,CHATEAU ST,MANHATTEN ST
DPW1403997,1,7/19/2014,1319 ALLEGHENY AVE,MANHATTAN ST,DECATUR ST
DPW1403403,3,7/19/2014,2701 CENTRE AVE,CENTRE AVE,ELBA ST
DPW1303574,3,7/20/2013,2701 CENTRE AVE,CENTRE AVE,ELBA ST
DPW1304190,3,7/20/2013,6620 RIDGEVILLE ST,BARNSDALE ST,S DALLAS AVE
DPW1304488,3,7/20/2013,325 RAYMOND ST,NEVADA,OAK GROVE
DPW1304725,,7/20/2013,0 KEYSTONE ST,STANTON AVE,52ND ST
DPW1403875,5,7/20/2014,1268 STRAKA ST,SHIRLEY ST,SANBORN ST
DPW1403539,3,7/20/2014,3167 SHADY AVE,LANDVIEW ROAD,LUDWICK STREET
DPW1403109,2,7/20/2014,5000 DEARBORN ST,N WINEBIDDLE,N MILLVALE
DPW1303528,2,7/21/2013,5020 DEARBORN ST,N MILVALE AVE,WINEBIDDLE ST
DPW1304322,2,7/26/2013,611 N HOMEWOOD AVE,N HOMEWOOD AVE,STERRETT ST
DPW1402506,2,7/26/2014,5800 WAYNE RD,N EUCLID ST,N HIGHLAND AVE
DPW1404052,2,7/26/2014,0 COLONIAL PL,FORBES AVE,TUSTIN ST
DPW1404101,3,7/26/2014,2200 WYLIE AVE,KIRKPATRICK STREET,SOHO STREET
DPW1404312,2,7/26/2014,7128 IDLEWILD ST,N HOMEWOOD AVE,N LANG ST
DPW1304423,3,7/27/2013,2 ROBERTS ST,BEDFORD AVE,WEBSTER AVE
DPW1304847,2,7/27/2013,4719 HATFIELD ST,47TH ST,48TH ST
DPW1304692,3,7/27/2013,612 WATT ST,WYLIE AVENUE,WEBSTER AVENUE
DPW1403975,5,7/27/2014,146 OLYMPIA ST,GRANDVIEW AVE,PIERMONT ST
