Council,Date,Financial,Value ($000)
Northland Region,2018,20 Total Assets,137871
Northland Region,2018,21 Public Debt,130
Northland Region,2018,22 Public Debt Non-Current,130
Northland Region,2018,23 Public Debt Current,0
Northland Region,2018,24 Other Liabilities,5694
Northland Region,2018,25 Total Liabilities,5824
Northland Region,2018,26 Equity,132047
Northland Region,2019,15 Monetary Assets,31973
Northland Region,2019,17 Fixed Assets,16362
Northland Region,2019,18 Investment Properties,55606
Northland Region,2019,19 Other Assets,36242
Northland Region,2019,20 Total Assets,140183
Northland Region,2019,21 Public Debt,134
Northland Region,2019,22 Public Debt Non-Current,134
Northland Region,2019,23 Public Debt Current,0
Northland Region,2019,24 Other Liabilities,5844
Northland Region,2019,25 Total Liabilities,5978
Northland Region,2019,26 Equity,134204
Auckland Region,2010,15 Monetary Assets,250
Auckland Region,2010,17 Fixed Assets,287845
Auckland Region,2010,18 Investment Properties,0
Auckland Region,2010,19 Other Assets,847858
Auckland Region,2010,20 Total Assets,1135953
Auckland Region,2010,21 Public Debt,85417
Auckland Region,2010,22 Public Debt Non-Current,27096
Auckland Region,2010,23 Public Debt Current,58321
Auckland Region,2010,24 Other Liabilities,66450
Auckland Region,2010,25 Total Liabilities,151867
Auckland Region,2010,26 Equity,984086
Auckland Region,2011,15 Monetary Assets,250
Auckland Region,2011,17 Fixed Assets,285776
Auckland Region,2011,18 Investment Properties,0
Auckland Region,2011,19 Other Assets,842244
Auckland Region,2011,20 Total Assets,1128270
Auckland Region,2011,21 Public Debt,104137
Auckland Region,2011,22 Public Debt Non-Current,34751
Auckland Region,2011,23 Public Debt Current,69386
Auckland Region,2011,24 Other Liabilities,59531
Auckland Region,2011,25 Total Liabilities,163668
Auckland Region,2011,26 Equity,964602
Auckland Region,2012,15 Monetary Assets,250
Auckland Region,2012,17 Fixed Assets,284031
Auckland Region,2012,18 Investment Properties,0
Auckland Region,2012,19 Other Assets,840583
Auckland Region,2012,20 Total Assets,1124864
Auckland Region,2012,21 Public Debt,121861
Auckland Region,2012,22 Public Debt Non-Current,36315
Auckland Region,2012,23 Public Debt Current,85546
Auckland Region,2012,24 Other Liabilities,56660
Auckland Region,2012,25 Total Liabilities,178521
Auckland Region,2012,26 Equity,946343
Auckland Region,2013,15 Monetary Assets,250
Auckland Region,2013,17 Fixed Assets,282122
Auckland Region,2013,18 Investment Properties,0
Auckland Region,2013,19 Other Assets,835872
Auckland Region,2013,20 Total Assets,1118244
Auckland Region,2013,21 Public Debt,138378
Auckland Region,2013,22 Public Debt Non-Current,10800
Auckland Region,2013,23 Public Debt Current,127578
Auckland Region,2013,24 Other Liabilities,51675
Auckland Region,2013,25 Total Liabilities,190053
Auckland Region,2013,26 Equity,928191
Auckland Region,2014,15 Monetary Assets,250
Auckland Region,2014,17 Fixed Assets,296536
Auckland Region,2014,18 Investment Properties,0
Auckland Region,2014,19 Other Assets,836472
Auckland Region,2014,20 Total Assets,1133258
Auckland Region,2014,21 Public Debt,161522
Auckland Region,2014,22 Public Debt Non-Current,30100
Auckland Region,2014,23 Public Debt Current,131422
Auckland Region,2014,24 Other Liabilities,51485
Auckland Region,2014,25 Total Liabilities,213007
Auckland Region,2014,26 Equity,920251
Auckland Region,2015,15 Monetary Assets,250
Auckland Region,2015,17 Fixed Assets,295289
Auckland Region,2015,18 Investment Properties,0
Auckland Region,2015,19 Other Assets,837194
Auckland Region,2015,20 Total Assets,1132733
Auckland Region,2015,21 Public Debt,164644
Auckland Region,2015,22 Public Debt Non-Current,33600
Auckland Region,2015,23 Public Debt Current,131044
Auckland Region,2015,24 Other Liabilities,51287
Auckland Region,2015,25 Total Liabilities,215931
Auckland Region,2015,26 Equity,916802
Auckland Region,2016,15 Monetary Assets,250
Auckland Region,2016,17 Fixed Assets,293707
Auckland Region,2016,18 Investment Properties,0
Auckland Region,2016,19 Other Assets,837901
Auckland Region,2016,20 Total Assets,1131858
Auckland Region,2016,21 Public Debt,164290
Auckland Region,2016,22 Public Debt Non-Current,31800
Auckland Region,2016,23 Public Debt Current,132490
Auckland Region,2016,24 Other Liabilities,51083
Auckland Region,2016,25 Total Liabilities,215373
Auckland Region,2016,26 Equity,916485
Auckland Region,2017,15 Monetary Assets,250
Auckland Region,2017,17 Fixed Assets,312848
Auckland Region,2017,18 Investment Properties,0
Auckland Region,2017,19 Other Assets,838470
Auckland Region,2017,20 Total Assets,1151568
Auckland Region,2017,21 Public Debt,185075
Auckland Region,2017,22 Public Debt Non-Current,39500
Auckland Region,2017,23 Public Debt Current,145575
Auckland Region,2017,24 Other Liabilities,50870
Auckland Region,2017,25 Total Liabilities,235945
Auckland Region,2017,26 Equity,915623
Auckland Region,2018,15 Monetary Assets,250
Auckland Region,2018,17 Fixed Assets,310934
Auckland Region,2018,18 Investment Properties,0
Auckland Region,2018,19 Other Assets,839076
Auckland Region,2018,20 Total Assets,1150260
Auckland Region,2018,21 Public Debt,181427
Auckland Region,2018,22 Public Debt Non-Current,41100
Auckland Region,2018,23 Public Debt Current,140327
Auckland Region,2018,24 Other Liabilities,50650
Auckland Region,2018,25 Total Liabilities,232077
Auckland Region,2018,26 Equity,918183
Auckland Region,2019,15 Monetary Assets,250
Auckland Region,2019,17 Fixed Assets,309478
Auckland Region,2019,18 Investment Properties,0
Auckland Region,2019,19 Other Assets,839651
Auckland Region,2019,20 Total Assets,1149379
Auckland Region,2019,21 Public Debt,177587
Auckland Region,2019,22 Public Debt Non-Current,37800
Auckland Region,2019,23 Public Debt Current,139787
Auckland Region,2019,24 Other Liabilities,50421
Auckland Region,2019,25 Total Liabilities,228008
Auckland Region,2019,26 Equity,921371
Waikato Region,2010,15 Monetary Assets,54881
Waikato Region,2010,17 Fixed Assets,389837
Waikato Region,2010,18 Investment Properties,4208
Waikato Region,2010,19 Other Assets,23872
Waikato Region,2010,20 Total Assets,472798
Waikato Region,2010,21 Public Debt,0
Waikato Region,2010,22 Public Debt Non-Current,0
Waikato Region,2010,23 Public Debt Current,0
Waikato Region,2010,24 Other Liabilities,18529
Waikato Region,2010,25 Total Liabilities,18529
Waikato Region,2010,26 Equity,454269
Waikato Region,2011,15 Monetary Assets,55241
Waikato Region,2011,17 Fixed Assets,420124
Waikato Region,2011,18 Investment Properties,4208
Waikato Region,2011,19 Other Assets,25656
Waikato Region,2011,20 Total Assets,505229
Waikato Region,2011,21 Public Debt,0
Waikato Region,2011,22 Public Debt Non-Current,0
Waikato Region,2011,23 Public Debt Current,0
Waikato Region,2011,24 Other Liabilities,19494
Waikato Region,2011,25 Total Liabilities,19494
Waikato Region,2011,26 Equity,485735
Waikato Region,2012,15 Monetary Assets,58077
Waikato Region,2012,17 Fixed Assets,420096
Waikato Region,2012,18 Investment Properties,4208
Waikato Region,2012,19 Other Assets,26270
Waikato Region,2012,20 Total Assets,508651
Waikato Region,2012,21 Public Debt,0
Waikato Region,2012,22 Public Debt Non-Current,0
Waikato Region,2012,23 Public Debt Current,0
Waikato Region,2012,24 Other Liabilities,20621
Waikato Region,2012,25 Total Liabilities,20621
Waikato Region,2012,26 Equity,488030
Waikato Region,2013,15 Monetary Assets,61560
Waikato Region,2013,17 Fixed Assets,420919
Waikato Region,2013,18 Investment Properties,4208
Waikato Region,2013,19 Other Assets,26185
Waikato Region,2013,20 Total Assets,512872
Waikato Region,2013,21 Public Debt,0
Waikato Region,2013,22 Public Debt Non-Current,0
Waikato Region,2013,23 Public Debt Current,0
Waikato Region,2013,24 Other Liabilities,21720
Waikato Region,2013,25 Total Liabilities,21720
Waikato Region,2013,26 Equity,491152
Waikato Region,2014,15 Monetary Assets,64326
Waikato Region,2014,17 Fixed Assets,455871
Waikato Region,2014,18 Investment Properties,4208
Waikato Region,2014,19 Other Assets,26928
Waikato Region,2014,20 Total Assets,551333
Waikato Region,2014,21 Public Debt,0
Waikato Region,2014,22 Public Debt Non-Current,0
Waikato Region,2014,23 Public Debt Current,0
Waikato Region,2014,24 Other Liabilities,22963
Waikato Region,2014,25 Total Liabilities,22963
Waikato Region,2014,26 Equity,528370
Waikato Region,2015,15 Monetary Assets,67265
Waikato Region,2015,17 Fixed Assets,455745
Waikato Region,2015,18 Investment Properties,4208
Waikato Region,2015,19 Other Assets,27817
Waikato Region,2015,20 Total Assets,555035
Waikato Region,2015,21 Public Debt,0
Waikato Region,2015,22 Public Debt Non-Current,0
Waikato Region,2015,23 Public Debt Current,0
Waikato Region,2015,24 Other Liabilities,24225
Waikato Region,2015,25 Total Liabilities,24225
Waikato Region,2015,26 Equity,530810
Waikato Region,2016,15 Monetary Assets,70040
Waikato Region,2016,17 Fixed Assets,455694
Waikato Region,2016,18 Investment Properties,4208
Waikato Region,2016,19 Other Assets,28837
Waikato Region,2016,20 Total Assets,558779
Waikato Region,2016,21 Public Debt,0
Waikato Region,2016,22 Public Debt Non-Current,0
Waikato Region,2016,23 Public Debt Current,0
Waikato Region,2016,24 Other Liabilities,25584
Waikato Region,2016,25 Total Liabilities,25584
Waikato Region,2016,26 Equity,533195
Waikato Region,2017,15 Monetary Assets,72445
Waikato Region,2017,17 Fixed Assets,500849
Waikato Region,2017,18 Investment Properties,4208
Waikato Region,2017,19 Other Assets,29969
Waikato Region,2017,20 Total Assets,607471
Waikato Region,2017,21 Public Debt,0
Waikato Region,2017,22 Public Debt Non-Current,0
Waikato Region,2017,23 Public Debt Current,0
Waikato Region,2017,24 Other Liabilities,27083
Waikato Region,2017,25 Total Liabilities,27083
Waikato Region,2017,26 Equity,580388
Waikato Region,2018,15 Monetary Assets,75063
Waikato Region,2018,17 Fixed Assets,500971
Waikato Region,2018,18 Investment Properties,4208
Waikato Region,2018,19 Other Assets,31204
Waikato Region,2018,20 Total Assets,611446
Waikato Region,2018,21 Public Debt,0
Waikato Region,2018,22 Public Debt Non-Current,0
Waikato Region,2018,23 Public Debt Current,0
Waikato Region,2018,24 Other Liabilities,28571
Waikato Region,2018,25 Total Liabilities,28571
Waikato Region,2018,26 Equity,582875
Waikato Region,2019,15 Monetary Assets,77746
Waikato Region,2019,17 Fixed Assets,501156
Waikato Region,2019,18 Investment Properties,4208
Waikato Region,2019,19 Other Assets,32493
Waikato Region,2019,20 Total Assets,615603
Waikato Region,2019,21 Public Debt,0
Waikato Region,2019,22 Public Debt Non-Current,0
Waikato Region,2019,23 Public Debt Current,0
Waikato Region,2019,24 Other Liabilities,30082
Waikato Region,2019,25 Total Liabilities,30082
Waikato Region,2019,26 Equity,585521
Bay of Plenty Region,2010,15 Monetary Assets,227004
Bay of Plenty Region,2010,17 Fixed Assets,246512
Bay of Plenty Region,2010,18 Investment Properties,0
Bay of Plenty Region,2010,19 Other Assets,6858
Bay of Plenty Region,2010,20 Total Assets,480374
Bay of Plenty Region,2010,21 Public Debt,0
Bay of Plenty Region,2010,22 Public Debt Non-Current,0
Bay of Plenty Region,2010,23 Public Debt Current,0
Bay of Plenty Region,2010,24 Other Liabilities,85690
Bay of Plenty Region,2010,25 Total Liabilities,85690
Bay of Plenty Region,2010,26 Equity,394684
Bay of Plenty Region,2011,15 Monetary Assets,221002
Bay of Plenty Region,2011,17 Fixed Assets,256745
Bay of Plenty Region,2011,18 Investment Properties,0
Bay of Plenty Region,2011,19 Other Assets,7471
Bay of Plenty Region,2011,20 Total Assets,485218
Bay of Plenty Region,2011,21 Public Debt,0
Bay of Plenty Region,2011,22 Public Debt Non-Current,0
Bay of Plenty Region,2011,23 Public Debt Current,0
Bay of Plenty Region,2011,24 Other Liabilities,87185
Bay of Plenty Region,2011,25 Total Liabilities,87185
Bay of Plenty Region,2011,26 Equity,398033
Bay of Plenty Region,2012,15 Monetary Assets,202586
Bay of Plenty Region,2012,17 Fixed Assets,269367
Bay of Plenty Region,2012,18 Investment Properties,0
Bay of Plenty Region,2012,19 Other Assets,7645
Bay of Plenty Region,2012,20 Total Assets,479598
Bay of Plenty Region,2012,21 Public Debt,0
Bay of Plenty Region,2012,22 Public Debt Non-Current,0
Bay of Plenty Region,2012,23 Public Debt Current,0
Bay of Plenty Region,2012,24 Other Liabilities,88195
Bay of Plenty Region,2012,25 Total Liabilities,88195
Bay of Plenty Region,2012,26 Equity,391403
Bay of Plenty Region,2013,15 Monetary Assets,183090
Bay of Plenty Region,2013,17 Fixed Assets,284975
Bay of Plenty Region,2013,18 Investment Properties,0
Bay of Plenty Region,2013,19 Other Assets,7445
Bay of Plenty Region,2013,20 Total Assets,475510
Bay of Plenty Region,2013,21 Public Debt,0
Bay of Plenty Region,2013,22 Public Debt Non-Current,0
Bay of Plenty Region,2013,23 Public Debt Current,0
Bay of Plenty Region,2013,24 Other Liabilities,87061
Bay of Plenty Region,2013,25 Total Liabilities,87061
Bay of Plenty Region,2013,26 Equity,388449
Bay of Plenty Region,2014,15 Monetary Assets,165616
Bay of Plenty Region,2014,17 Fixed Assets,304298
Bay of Plenty Region,2014,18 Investment Properties,0
Bay of Plenty Region,2014,19 Other Assets,8274
Bay of Plenty Region,2014,20 Total Assets,478188
Bay of Plenty Region,2014,21 Public Debt,0
Bay of Plenty Region,2014,22 Public Debt Non-Current,0
Bay of Plenty Region,2014,23 Public Debt Current,0
Bay of Plenty Region,2014,24 Other Liabilities,90655
Bay of Plenty Region,2014,25 Total Liabilities,90655
Bay of Plenty Region,2014,26 Equity,387533
Bay of Plenty Region,2015,15 Monetary Assets,155417
Bay of Plenty Region,2015,17 Fixed Assets,311215
Bay of Plenty Region,2015,18 Investment Properties,0
Bay of Plenty Region,2015,19 Other Assets,8121
Bay of Plenty Region,2015,20 Total Assets,474753
Bay of Plenty Region,2015,21 Public Debt,0
Bay of Plenty Region,2015,22 Public Debt Non-Current,0
Bay of Plenty Region,2015,23 Public Debt Current,0
Bay of Plenty Region,2015,24 Other Liabilities,90850
Bay of Plenty Region,2015,25 Total Liabilities,90850
Bay of Plenty Region,2015,26 Equity,383903
Bay of Plenty Region,2016,15 Monetary Assets,147405
Bay of Plenty Region,2016,17 Fixed Assets,339325
Bay of Plenty Region,2016,18 Investment Properties,0
Bay of Plenty Region,2016,19 Other Assets,8058
Bay of Plenty Region,2016,20 Total Assets,494788
Bay of Plenty Region,2016,21 Public Debt,0
Bay of Plenty Region,2016,22 Public Debt Non-Current,0
Bay of Plenty Region,2016,23 Public Debt Current,0
Bay of Plenty Region,2016,24 Other Liabilities,92477
Bay of Plenty Region,2016,25 Total Liabilities,92477
Bay of Plenty Region,2016,26 Equity,402311
Bay of Plenty Region,2017,15 Monetary Assets,148240
Bay of Plenty Region,2017,17 Fixed Assets,345377
Bay of Plenty Region,2017,18 Investment Properties,0
Bay of Plenty Region,2017,19 Other Assets,7974
Bay of Plenty Region,2017,20 Total Assets,501591
Bay of Plenty Region,2017,21 Public Debt,0
Bay of Plenty Region,2017,22 Public Debt Non-Current,0
Bay of Plenty Region,2017,23 Public Debt Current,0
Bay of Plenty Region,2017,24 Other Liabilities,92284
Bay of Plenty Region,2017,25 Total Liabilities,92284
Bay of Plenty Region,2017,26 Equity,409307
Bay of Plenty Region,2018,15 Monetary Assets,147086
Bay of Plenty Region,2018,17 Fixed Assets,360775
Bay of Plenty Region,2018,18 Investment Properties,0
Bay of Plenty Region,2018,19 Other Assets,7939
Bay of Plenty Region,2018,20 Total Assets,515800
Bay of Plenty Region,2018,21 Public Debt,0
Bay of Plenty Region,2018,22 Public Debt Non-Current,0
Bay of Plenty Region,2018,23 Public Debt Current,0
Bay of Plenty Region,2018,24 Other Liabilities,91829
Bay of Plenty Region,2018,25 Total Liabilities,91829
Bay of Plenty Region,2018,26 Equity,423971
Bay of Plenty Region,2019,15 Monetary Assets,148898
Bay of Plenty Region,2019,17 Fixed Assets,376893
Bay of Plenty Region,2019,18 Investment Properties,0
Bay of Plenty Region,2019,19 Other Assets,7952
Bay of Plenty Region,2019,20 Total Assets,533743
Bay of Plenty Region,2019,21 Public Debt,0
Bay of Plenty Region,2019,22 Public Debt Non-Current,0
Bay of Plenty Region,2019,23 Public Debt Current,0
Bay of Plenty Region,2019,24 Other Liabilities,93289
Bay of Plenty Region,2019,25 Total Liabilities,93289
Bay of Plenty Region,2019,26 Equity,440454
Hawkes Bay Region,2010,15 Monetary Assets,155025
Hawkes Bay Region,2010,17 Fixed Assets,141453
Hawkes Bay Region,2010,18 Investment Properties,111421
Hawkes Bay Region,2010,19 Other Assets,7675
Hawkes Bay Region,2010,20 Total Assets,415574
Hawkes Bay Region,2010,21 Public Debt,11636
Hawkes Bay Region,2010,22 Public Debt Non-Current,9972
Hawkes Bay Region,2010,23 Public Debt Current,68
Hawkes Bay Region,2010,24 Other Liabilities,6248
Hawkes Bay Region,2010,25 Total Liabilities,17884
Hawkes Bay Region,2010,26 Equity,397690
Hawkes Bay Region,2011,15 Monetary Assets,155458
Hawkes Bay Region,2011,17 Fixed Assets,165365
Hawkes Bay Region,2011,18 Investment Properties,113883
Hawkes Bay Region,2011,19 Other Assets,8049
Hawkes Bay Region,2011,20 Total Assets,442755
Hawkes Bay Region,2011,21 Public Debt,16755
Hawkes Bay Region,2011,22 Public Debt Non-Current,15026
Hawkes Bay Region,2011,23 Public Debt Current,69
Hawkes Bay Region,2011,24 Other Liabilities,6248
Hawkes Bay Region,2011,25 Total Liabilities,23003
Hawkes Bay Region,2011,26 Equity,419752
Hawkes Bay Region,2012,15 Monetary Assets,164297
Hawkes Bay Region,2012,17 Fixed Assets,168130
Hawkes Bay Region,2012,18 Investment Properties,117057
Hawkes Bay Region,2012,19 Other Assets,8389
Hawkes Bay Region,2012,20 Total Assets,457873
Hawkes Bay Region,2012,21 Public Debt,21408
Hawkes Bay Region,2012,22 Public Debt Non-Current,19273
Hawkes Bay Region,2012,23 Public Debt Current,70
Hawkes Bay Region,2012,24 Other Liabilities,6248
Hawkes Bay Region,2012,25 Total Liabilities,27656
Hawkes Bay Region,2012,26 Equity,430217
Hawkes Bay Region,2013,15 Monetary Assets,168834
Hawkes Bay Region,2013,17 Fixed Assets,171161
Hawkes Bay Region,2013,18 Investment Properties,118521
Hawkes Bay Region,2013,19 Other Assets,8767
Hawkes Bay Region,2013,20 Total Assets,467283
Hawkes Bay Region,2013,21 Public Debt,24437
Hawkes Bay Region,2013,22 Public Debt Non-Current,21931
Hawkes Bay Region,2013,23 Public Debt Current,71
Hawkes Bay Region,2013,24 Other Liabilities,6248
Hawkes Bay Region,2013,25 Total Liabilities,30685
Hawkes Bay Region,2013,26 Equity,436598
Hawkes Bay Region,2014,15 Monetary Assets,172706
Hawkes Bay Region,2014,17 Fixed Assets,188814
Hawkes Bay Region,2014,18 Investment Properties,119936
Hawkes Bay Region,2014,19 Other Assets,9187
Hawkes Bay Region,2014,20 Total Assets,490643
Hawkes Bay Region,2014,21 Public Debt,25894
Hawkes Bay Region,2014,22 Public Debt Non-Current,23038
Hawkes Bay Region,2014,23 Public Debt Current,72
Hawkes Bay Region,2014,24 Other Liabilities,6248
Hawkes Bay Region,2014,25 Total Liabilities,32142
Hawkes Bay Region,2014,26 Equity,458501
Hawkes Bay Region,2015,15 Monetary Assets,182921
Hawkes Bay Region,2015,17 Fixed Assets,190427
Hawkes Bay Region,2015,18 Investment Properties,121973
Hawkes Bay Region,2015,19 Other Assets,9071
Hawkes Bay Region,2015,20 Total Assets,504392
Hawkes Bay Region,2015,21 Public Debt,27001
Hawkes Bay Region,2015,22 Public Debt Non-Current,23752
Hawkes Bay Region,2015,23 Public Debt Current,73
Hawkes Bay Region,2015,24 Other Liabilities,6248
Hawkes Bay Region,2015,25 Total Liabilities,33249
Hawkes Bay Region,2015,26 Equity,471143
Hawkes Bay Region,2016,15 Monetary Assets,186746
Hawkes Bay Region,2016,17 Fixed Assets,195120
Hawkes Bay Region,2016,18 Investment Properties,124171
Hawkes Bay Region,2016,19 Other Assets,9044
Hawkes Bay Region,2016,20 Total Assets,515081
Hawkes Bay Region,2016,21 Public Debt,27615
Hawkes Bay Region,2016,22 Public Debt Non-Current,24207
Hawkes Bay Region,2016,23 Public Debt Current,74
Hawkes Bay Region,2016,24 Other Liabilities,6248
Hawkes Bay Region,2016,25 Total Liabilities,33863
Hawkes Bay Region,2016,26 Equity,481218
Hawkes Bay Region,2017,15 Monetary Assets,191297
Hawkes Bay Region,2017,17 Fixed Assets,217857
Hawkes Bay Region,2017,18 Investment Properties,125702
Hawkes Bay Region,2017,19 Other Assets,9069
Hawkes Bay Region,2017,20 Total Assets,543925
Hawkes Bay Region,2017,21 Public Debt,28169
Hawkes Bay Region,2017,22 Public Debt Non-Current,24580
Hawkes Bay Region,2017,23 Public Debt Current,75
Hawkes Bay Region,2017,24 Other Liabilities,6248
Hawkes Bay Region,2017,25 Total Liabilities,34417
Hawkes Bay Region,2017,26 Equity,509508
Hawkes Bay Region,2018,15 Monetary Assets,202810
Hawkes Bay Region,2018,17 Fixed Assets,220909
Hawkes Bay Region,2018,18 Investment Properties,127149
Hawkes Bay Region,2018,19 Other Assets,8823
Hawkes Bay Region,2018,20 Total Assets,559691
Hawkes Bay Region,2018,21 Public Debt,28643
Hawkes Bay Region,2018,22 Public Debt Non-Current,24701
Hawkes Bay Region,2018,23 Public Debt Current,76
Hawkes Bay Region,2018,24 Other Liabilities,6248
Hawkes Bay Region,2018,25 Total Liabilities,34891
Hawkes Bay Region,2018,26 Equity,524800
Hawkes Bay Region,2019,15 Monetary Assets,209785
Hawkes Bay Region,2019,17 Fixed Assets,225269
Hawkes Bay Region,2019,18 Investment Properties,128541
Hawkes Bay Region,2019,19 Other Assets,8733
Hawkes Bay Region,2019,20 Total Assets,572328
Hawkes Bay Region,2019,21 Public Debt,28913
Hawkes Bay Region,2019,22 Public Debt Non-Current,24677
Hawkes Bay Region,2019,23 Public Debt Current,77
Hawkes Bay Region,2019,24 Other Liabilities,6248
Hawkes Bay Region,2019,25 Total Liabilities,35161
Hawkes Bay Region,2019,26 Equity,537167
Taranaki Region,2010,15 Monetary Assets,44269
Taranaki Region,2010,17 Fixed Assets,11048
Taranaki Region,2010,18 Investment Properties,17672
Taranaki Region,2010,19 Other Assets,2786
Taranaki Region,2010,20 Total Assets,75774
Taranaki Region,2010,21 Public Debt,0
Taranaki Region,2010,22 Public Debt Non-Current,0
Taranaki Region,2010,23 Public Debt Current,0
Taranaki Region,2010,24 Other Liabilities,3200
Taranaki Region,2010,25 Total Liabilities,3200
Taranaki Region,2010,26 Equity,72574
Taranaki Region,2011,15 Monetary Assets,44599
Taranaki Region,2011,17 Fixed Assets,11316
Taranaki Region,2011,18 Investment Properties,18555
Taranaki Region,2011,19 Other Assets,2934
Taranaki Region,2011,20 Total Assets,77404
Taranaki Region,2011,21 Public Debt,0
Taranaki Region,2011,22 Public Debt Non-Current,0
Taranaki Region,2011,23 Public Debt Current,0
Taranaki Region,2011,24 Other Liabilities,3200
Taranaki Region,2011,25 Total Liabilities,3200
Taranaki Region,2011,26 Equity,74204
Taranaki Region,2012,15 Monetary Assets,44796
Taranaki Region,2012,17 Fixed Assets,11484
Taranaki Region,2012,18 Investment Properties,19483
Taranaki Region,2012,19 Other Assets,3401
Taranaki Region,2012,20 Total Assets,79164
Taranaki Region,2012,21 Public Debt,0
Taranaki Region,2012,22 Public Debt Non-Current,0
Taranaki Region,2012,23 Public Debt Current,0
Taranaki Region,2012,24 Other Liabilities,3200
Taranaki Region,2012,25 Total Liabilities,3200
Taranaki Region,2012,26 Equity,75964
Taranaki Region,2013,15 Monetary Assets,44596
Taranaki Region,2013,17 Fixed Assets,11847
Taranaki Region,2013,18 Investment Properties,20457
Taranaki Region,2013,19 Other Assets,3360
Taranaki Region,2013,20 Total Assets,80260
Taranaki Region,2013,21 Public Debt,0
Taranaki Region,2013,22 Public Debt Non-Current,0
Taranaki Region,2013,23 Public Debt Current,0
Taranaki Region,2013,24 Other Liabilities,3200
Taranaki Region,2013,25 Total Liabilities,3200
Taranaki Region,2013,26 Equity,77060
Taranaki Region,2014,15 Monetary Assets,45000
Taranaki Region,2014,17 Fixed Assets,11458
