SAMPLE_NO,Easting,Northing,Au,Pt,Pd
563227,312691,329126,6.0,0.50,0.25
563228,317257,323526,132.0,0.90,2.10
563229,331706,320144,0.5,0.05,0.60
563230,310914,326853,4.0,0.30,0.25
563232,320446,326623,0.5,0.40,1.00
563233,323733,331351,2.0,0.10,0.60
563234,320676,325355,0.5,0.05,0.25
563235,317685,323979,2.0,0.20,0.80
563236,317347,324364,0.5,0.20,0.50
563239,317342,328047,0.5,0.10,0.70
563240,324669,331458,0.5,0.05,0.25
563241,337206,321761,0.5,0.05,0.25
563242,310653,325500,13.0,1.30,1.40
563243,330286,319332,0.5,0.20,0.25
563245,321452,325843,362.0,0.05,0.25
563246,316510,322611,5.0,0.10,0.25
563247,328686,331492,0.5,0.05,0.25
563249,316810,323984,0.5,0.05,0.70
563250,332718,318709,145.0,0.05,0.25
563251,315820,331090,6.0,0.10,0.25
563252,327795,330066,0.5,0.05,0.25
563254,335232,317535,0.5,0.05,0.25
563255,321106,325108,0.5,0.05,
563256,320846,329239,2.0,0.20,0.25
563257,331849,318363,1.0,0.20,0.25
563259,315864,329643,1.0,0.05,0.25
563261,314373,328768,1.0,0.40,0.25
563264,318688,326661,0.5,0.20,0.50
563265,324356,329231,0.5,0.50,0.90
563266,315651,323344,1.0,0.60,0.25
563267,318959,323158,0.5,0.30,0.80
563268,328720,330550,2.0,0.30,2.90
563269,331235,319044,2.0,0.40,1.30
563270,335380,321080,2.0,0.60,0.25
563271,320822,325671,1.0,0.20,0.25
563273,319730,328270,1.0,0.70,0.25
563274,334605,320373,1.0,0.30,0.25
563276,326712,330357,1.0,0.05,7.10
563277,317278,325838,1.0,0.30,0.25
563278,316519,327348,4.0,0.20,1.00
563279,318691,322475,2.0,0.30,
563280,320006,331259,0.5,0.05,0.25
563281,313885,323585,0.5,0.20,0.25
563282,316640,330360,0.5,0.05,0.25
563283,315327,328005,7.0,0.70,0.25
563284,313750,323780,8.0,0.80,
563285,334700,321100,0.5,0.30,0.25
563286,330936,320435,1.0,0.10,0.25
563288,333894,318626,158.0,0.05,0.25
563289,319331,330064,4.0,0.05,0.25
563290,316600,326006,2.0,0.40,0.25
563292,317481,326748,1.0,0.05,0.25
563293,335672,319291,5.0,0.10,0.25
563294,331430,317062,0.5,0.05,0.25
563295,319425,323890,0.5,0.05,0.25
563297,316440,323560,0.5,0.05,0.25
563298,322729,331199,1.0,0.10,0.25
563299,319470,331380,3.0,0.05,0.25
563300,311491,326242,2.0,0.05,0.25
563301,287532,432233,0.5,0.20,0.70
563304,281292,432048,2.0,2.90,2.80
563305,290408,438306,3.0,1.50,2.40
563306,282566,434590,2.0,2.20,1.50
563309,293807,436424,3.0,1.30,1.80
563311,292525,441670,3.0,1.20,1.30
563312,294231,433602,3.0,0.05,0.25
563313,290303,439730,3.0,0.60,0.25
563314,293422,440094,3.0,0.05,0.25
563315,291140,430217,0.5,0.90,0.25
563316,284111,439433,3.0,0.10,0.25
563317,279248,432724,3.0,0.90,0.25
563318,281740,434309,3.0,0.05,0.25
563319,322743,439887,1.0,1.80,2.00
563321,285506,436223,0.5,1.10,0.25
563322,288848,436042,1.0,1.00,0.25
563323,286060,438497,5.0,0.05,0.25
563324,286284,434460,5.0,2.10,6.40
563325,283094,434425,2.0,0.20,0.25
563327,288545,432942,5.0,0.30,0.25
563329,282863,430374,2.0,0.60,0.25
563331,293125,435407,2.0,1.20,0.25
563333,287410,432537,3.0,0.30,5.20
563335,282742,432570,3.0,1.00,0.25
563336,280552,428460,0.5,1.50,0.25
563337,290853,436278,7.0,2.20,2.20
563338,283112,431406,3.0,0.05,0.25
563342,280429,433781,24.0,0.50,0.25
563343,293086,439727,7.0,0.20,0.50
563344,285159,436353,6.0,3.80,9.20
563345,292459,430654,7.0,1.10,0.70
563346,291913,437507,2.0,1.70,1.00
563349,295924,433737,3.0,1.50,1.30
563350,290115,430325,3.0,1.00,0.25
563351,322473,440339,3.0,1.60,2.10
563352,286680,438087,4.0,0.90,0.70
563354,319600,437100,2.0,1.50,2.80
563355,295177,435912,3.0,0.90,0.90
563356,281067,434913,3.0,2.30,0.25
563357,292801,431254,3.0,4.70,3.60
563358,322178,440517,3.0,1.50,3.70
563362,290592,440886,0.5,0.60,0.25
563363,292655,432421,2.0,1.00,0.25
563364,288192,440086,4.0,2.00,7.30
563367,292635,431826,0.5,0.70,0.25
563368,292146,432733,0.5,0.70,1.30
563372,282092,432336,2.0,1.20,1.40
563373,279069,432078,0.5,1.60,0.50
563374,279030,429030,0.5,1.80,1.80
563375,289761,437511,8.0,1.40,4.70
563376,285064,438888,3.0,1.00,0.25
563377,288654,430506,2.0,0.70,0.25
563378,294784,434743,1.0,1.10,2.50
563380,280124,431528,0.5,0.90,1.30
563381,280169,433246,0.5,0.05,1.40
563384,291209,441427,0.5,0.05,2.50
563385,292671,438356,1.0,1.40,1.30
563387,289194,433893,0.5,0.50,36.00
563388,288889,430328,0.5,0.20,2.40
563389,289787,432400,0.5,0.60,0.60
563390,292136,439652,0.5,0.05,0.25
563391,293288,432769,2.0,0.70,0.70
563392,320334,440212,0.5,1.90,3.90
563393,293135,440649,1.0,0.05,0.25
563394,279658,434887,7.0,0.90,0.25
563395,283030,428604,0.5,0.05,0.25
563397,278048,432894,0.5,0.70,1.40
563400,296185,434589,1.0,2.20,1.00
563401,321998,322362,0.5,0.10,0.25
563402,327914,333920,2.0,0.80,0.70
563403,321163,322376,0.5,0.30,0.60
563404,316179,332081,14.0,1.80,2.00
563405,330146,324329,0.5,0.05,0.25
563406,330491,332803,0.5,0.05,0.25
563407,314392,331043,4.0,0.05,0.25
563408,332068,321485,502.0,0.05,0.25
563409,325293,321442,3.0,0.05,0.25
563412,330831,331437,0.5,0.05,0.25
563413,327168,335606,0.5,0.05,0.25
563414,328796,332804,0.5,0.05,0.25
563415,327341,326815,1.0,0.05,1.20
563417,314727,329533,1.0,0.10,0.25
563418,329644,326639,0.5,0.05,4.60
563419,326317,326363,886.0,0.05,1.70
563420,320610,327070,7.0,0.40,2.70
563421,317075,333071,0.5,0.05,0.25
563423,323936,324210,3.0,0.05,0.25
563425,329036,325135,0.5,0.05,0.25
563426,327022,325915,1.0,0.80,0.25
563427,320780,337301,5.0,0.30,0.25
563428,324145,325390,0.5,0.05,
563429,325038,327837,0.5,0.05,0.25
563430,322171,336086,0.5,0.05,0.25
563431,319558,336896,0.5,0.10,0.25
563432,331189,330167,0.5,0.05,0.25
563433,312251,322267,0.5,0.40,0.25
563434,313844,329965,0.5,0.05,0.25
563436,322217,324115,1.0,0.30,0.25
563437,315792,332125,4.0,0.20,0.25
563440,325363,322662,0.5,0.30,0.25
563441,329375,329564,0.5,0.05,0.25
563442,312686,326445,0.5,0.05,0.25
563443,326283,329466,0.5,0.30,0.25
563445,330715,331055,0.5,0.10,0.25
563446,329914,330308,0.5,0.10,0.25
563447,328879,323502,5.0,0.05,0.25
563448,326454,338803,1.0,0.05,0.25
563449,328445,328114,0.5,0.10,0.25
563453,319559,337530,0.5,0.05,0.25
563454,325099,324833,0.5,0.05,0.25
563456,327440,327258,0.5,0.05,0.25
563457,327083,322693,0.5,0.20,0.25
563458,320395,327118,0.5,0.05,0.25
563459,325487,334117,0.5,0.50,0.25
563461,326823,338738,0.5,0.70,0.25
563462,324510,326134,2.0,0.10,0.25
563463,319566,335482,3.0,0.05,0.25
563465,315330,332450,2.0,0.30,0.25
563466,327871,334982,2.0,0.60,0.25
563467,319318,324308,5.0,0.70,2.40
563469,322498,322209,0.5,0.05,0.25
563470,325039,334734,3.0,0.05,0.25
563472,314295,330620,6.0,0.20,0.25
563473,326076,328890,0.5,0.05,0.25
563474,323782,324190,0.5,0.05,0.25
563476,322714,338735,0.5,0.05,
563477,325208,321023,2.0,0.05,0.25
563480,330674,325325,0.5,0.60,0.25
563482,328257,332510,0.5,0.05,0.25
563483,316959,332461,1.0,0.05,0.25
563484,313249,331235,0.5,0.05,0.25
563485,325476,320214,0.5,0.20,0.25
563487,331197,333316,3.0,0.05,0.25
563488,325505,333129,0.5,0.05,0.25
563489,313211,329989,4.0,0.05,0.25
563490,316393,333057,2.0,0.05,0.25
563491,320133,323118,0.5,0.20,0.25
563492,328204,333978,1.0,0.05,
563493,325598,323210,153.0,0.05,0.25
563495,317286,332781,7.0,0.05,0.25
563496,331277,322810,0.5,0.05,0.25
563497,323325,324559,0.5,0.05,0.25
563498,327017,327809,1.0,0.05,0.25
563499,321828,322004,0.5,0.05,0.25
563501,319348,439312,0.5,0.40,0.25
563502,303531,439424,0.5,0.05,0.25
563503,302339,443406,0.5,0.80,1.70
563504,298381,442980,0.5,0.05,0.25
563505,298192,443968,2.0,0.20,0.25
563506,305576,441131,0.5,0.05,0.25
563507,293606,428329,0.5,0.30,0.25
563509,309035,436547,0.5,0.20,0.25
563511,319781,437245,0.5,1.10,0.25
563513,290494,426847,1.0,0.40,1.20
563515,297459,445252,0.5,1.00,1.70
563517,304742,444576,0.5,1.10,0.25
563518,286560,421569,0.5,0.60,1.30
563519,304044,440439,0.5,0.05,1.10
563520,298022,435892,0.5,1.50,1.70
563522,295203,441833,0.5,0.60,2.20
563523,306066,441381,0.5,0.10,0.80
563524,292135,427687,0.5,0.80,1.20
563526,300750,436513,1.0,0.90,2.10
563527,297295,442382,0.5,0.50,0.70
563529,303598,442123,0.5,0.30,0.25
563530,318087,435265,0.5,0.60,1.00
563532,319841,436005,0.5,1.20,1.30
563534,294461,440157,0.5,0.20,0.25
563535,300436,443603,2170.0,0.30,23.60
563539,294781,438296,0.5,0.60,0.25
563540,316993,438972,0.5,0.05,0.25
563542,286461,422861,0.5,0.90,0.60
563544,303171,443757,0.5,0.60,0.80
563545,309130,437522,1.0,0.80,2.20
563546,294207,428281,4.0,0.30,0.25
563547,295556,441504,1.0,0.05,0.25
563550,315923,437210,2.0,0.40,0.25
563551,318943,434924,0.5,1.40,2.80
563552,288330,428201,2.0,0.70,0.25
563553,299168,435872,0.5,1.50,1.60
563554,294201,429018,18.0,4.80,6.60
563555,299083,435411,0.5,1.60,0.25
563557,319409,435203,0.5,0.80,0.25
563559,301681,443208,0.5,0.05,0.25
563561,298461,436120,2.0,1.30,0.25
563564,298510,437939,0.5,0.90,3.70
563566,291100,427858,0.5,0.05,0.25
563567,317723,442439,0.5,0.05,0.25
563568,318404,438996,0.5,0.50,0.25
563569,287680,422825,0.5,0.70,0.25
563570,295739,439237,8.0,0.30,0.25
563571,319654,437770,2.0,0.30,0.25
563572,306623,443278,1.0,0.05,0.25
563574,291941,428447,1.0,0.05,0.70
563576,320165,438657,0.5,0.60,1.00
563578,305652,442671,1.0,0.05,0.25
563582,297743,438414,0.5,1.20,0.25
563583,298556,437371,0.5,0.50,0.25
563584,298226,437037,0.5,0.50,
563586,297842,444574,0.5,0.05,0.25
563588,301503,441642,0.5,0.05,0.25
563589,289346,429178,13.0,1.30,0.60
563592,301577,436517,2.0,0.60,1.20
563593,300234,441953,1.0,0.10,0.60
563595,317563,440026,0.5,0.30,0.25
563596,295937,443652,3.0,1.00,1.50
563598,291388,426873,0.5,0.60,0.25
563600,303881,442162,0.5,0.30,0.25
563601,310629,337828,1.0,0.90,0.90
563602,335296,332408,3.0,1.20,0.60
563603,331214,326884,1.0,0.05,2.20
563604,348083,336680,3.0,0.80,0.25
563605,316050,337300,0.5,0.70,0.90
563606,331890,334635,4.0,0.80,0.90
563607,333541,330514,0.5,2.60,0.80
563608,333107,330928,1.0,1.00,0.25
563609,334090,324293,1.0,0.30,0.80
563610,332061,330928,9.0,0.50,0.25
563611,313581,338068,2.0,0.70,0.25
563612,331007,334569,1.0,0.90,0.25
563613,334242,323922,0.5,0.05,0.25
563614,312914,338366,2.0,0.50,0.25
563615,333762,329744,0.5,0.10,0.25
563616,323546,332590,0.5,0.50,0.25
563618,335882,324352,1.0,0.60,0.25
563619,322773,333978,1.0,1.00,0.80
563620,329339,333378,0.5,0.30,0.25
563621,326286,332175,0.5,0.40,0.25
563622,331875,329159,0.5,0.20,0.25
563623,334283,326888,0.5,0.05,0.25
563624,318672,334471,1.0,0.10,0.25
563625,322448,332973,0.5,0.60,0.80
563627,335759,333750,9.0,1.10,0.60
563629,334349,325313,0.5,0.05,0.25
563630,333331,324224,0.5,0.60,0.25
563631,324400,334550,0.5,0.90,0.25
563632,323390,332570,1.0,1.50,0.25
563633,310561,338187,2.0,1.40,0.25
563634,325430,338560,3.0,1.00,0.90
563635,323424,334043,4.0,0.70,0.25
563636,328603,339792,5.0,1.20,0.25
563637,311841,337310,0.5,0.05,
563638,317879,335137,0.5,0.05,0.25
563640,312159,337248,631.0,6.80,0.80
563641,321492,334444,7.0,0.05,0.25
563642,333967,324929,0.5,0.10,0.25
563643,334424,327348,1.0,0.05,0.25
563645,325959,335641,2.0,0.30,0.25
563646,337081,329132,0.5,0.05,0.25
563648,332181,327736,0.5,0.05,0.25
563649,335482,330579,0.5,0.05,0.25
563650,333774,328068,0.5,0.05,0.25
563651,331339,333792,2.0,0.30,0.25
563652,316998,336455,0.5,0.05,0.25
563654,331509,329033,0.5,0.20,0.25
563655,324508,338530,0.5,0.05,0.25
563656,327224,320628,0.5,0.80,0.25
563657,337640,326875,0.5,0.05,0.25
563658,334635,324079,0.5,0.05,
563659,334781,323210,0.5,0.05,0.25
563660,315542,334061,0.5,0.05,0.25
563661,334571,335051,35.0,1.90,1.60
563663,337650,325170,4.0,0.05,1.10
563664,330368,339481,2.0,0.05,0.25
563665,333404,324201,0.5,0.05,0.25
563666,321580,337558,4.0,0.20,2.30
563668,315929,338263,0.5,2.60,2.30
563669,336447,326717,0.5,0.05,0.25
563670,317617,334367,0.5,0.40,2.50
563672,316977,335073,0.5,0.80,3.00
563673,338631,326409,1.0,0.05,1.90
563674,318186,333686,0.5,0.10,0.25
563676,314196,335945,4.0,10.20,14.40
563677,328582,338264,2.0,1.40,2.30
563678,336455,329444,5.0,1.90,5.80
563680,320050,321341,0.5,0.20,0.25
563681,338262,325031,42.0,0.90,1.30
563682,330558,335008,4.0,1.40,1.50
563683,333351,335452,5.0,1.40,2.00
563684,318156,335728,3.0,0.90,2.00
563685,317994,332888,40.0,1.90,0.25
563686,334451,327499,0.5,0.10,1.50
563688,332341,327505,0.5,0.05,0.25
563690,333580,330891,5.0,0.20,0.70
563692,330168,339237,1.0,0.40,1.20
563693,319528,332697,2.0,0.20,1.30
563694,337685,327220,3.0,0.05,0.25
563697,335301,330719,0.5,0.50,0.90
563700,333449,324468,2.0,0.05,0.25
563701,302189,438274,0.5,1.00,0.80
563702,305101,431908,0.5,0.70,2.60
563704,303333,421349,0.5,1.20,1.50
563705,304604,439513,0.5,0.50,0.90
563706,313153,437529,0.5,0.05,0.25
563707,295485,424845,1.0,0.60,1.50
563708,302115,427777,0.5,2.20,2.20
563710,309175,442886,0.5,0.20,0.25
563711,302643,436819,0.5,0.05,0.70
563712,291811,423751,0.5,0.90,0.50
563713,309405,439488,0.5,0.20,0.25
563714,308776,440938,0.5,0.70,0.25
563715,299128,433253,0.5,1.10,0.25
563716,311907,434624,0.5,0.05,0.80
563717,314025,438626,0.5,0.20,0.25
563718,312655,437739,0.5,0.50,0.50
563720,310223,442090,0.5,0.50,0.25
563721,310603,439101,0.5,0.10,0.25
563722,308758,439156,0.5,0.05,0.25
563723,309441,437367,0.5,0.05,0.25
563724,310032,439111,0.5,0.30,0.25
563725,315903,440890,0.5,0.05,0.25
563726,301907,432399,0.5,0.10,0.25
563727,302419,439214,0.5,0.05,0.25
563728,301983,428904,0.5,0.90,0.90
563729,308430,430472,0.5,0.10,0.25
563731,304390,435323,0.5,0.05,0.25
563733,302917,438220,0.5,1.10,1.30
563735,308623,436104,0.5,0.05,0.25
563737,305364,438786,0.5,0.05,0.25
563739,309589,440407,0.5,0.05,0.25
563740,305742,436534,0.5,0.70,0.25
563741,313489,434917,0.5,0.05,0.25
563742,314954,439126,2.0,0.10,0.25
563743,313307,435752,0.5,0.05,0.25
563746,301327,435461,0.5,0.90,0.25
563748,300802,435207,0.5,1.80,0.25
563749,290841,423340,0.5,0.70,0.25
563750,300326,433255,0.5,0.90,0.25
563751,300242,427159,0.5,1.50,0.25
563752,309441,437894,0.5,0.30,0.25
563753,303528,431690,0.5,0.60,0.25
563754,294022,423818,0.5,1.20,0.25
563755,305651,437492,0.5,0.05,0.25
563757,298091,434586,0.5,1.00,0.25
563758,307975,430582,0.5,0.40,0.25
563761,307030,435021,0.5,0.40,0.25
563762,303356,440351,0.5,0.20,0.25
563763,305299,430692,1.0,0.60,0.25
563765,306154,430959,0.5,1.20,0.25
563767,298937,434799,0.5,0.60,0.25
563768,304685,431553,2.0,0.90,0.25
563769,305263,435150,0.5,0.60,0.25
563770,302876,433956,0.5,2.40,0.25
563771,295229,424524,0.5,0.50,0.25
563773,313676,439195,0.5,0.05,0.25
563775,306360,439742,0.5,0.10,0.25
563776,310026,438215,0.5,0.10,0.25
563777,309167,433519,1.0,0.40,0.25
563778,303894,431076,0.5,0.80,0.25
563779,302833,437400,4.0,1.40,19.10
563781,314815,438694,0.5,0.05,0.25
563783,304443,439646,1.0,0.20,0.25
563784,301835,440539,0.5,0.40,0.60
563785,302148,428843,2.0,1.20,0.50
563786,308505,443221,1.0,0.80,0.25
563787,301937,439310,2.0,0.80,0.60
563788,309042,433178,0.5,0.20,0.25
563789,302026,439432,0.5,0.05,0.25
563790,308849,433455,0.5,0.10,0.25
563791,291768,423954,5.0,1.60,2.80
563793,307625,440981,0.5,0.05,0.25
563794,312436,440185,0.5,0.05,0.25
563795,306634,430373,0.5,0.05,0.25
563797,313411,436908,0.5,0.10,0.25
563798,313426,436075,0.5,0.05,0.25
563799,307283,438626,0.5,0.60,0.25
563800,290306,425817,0.5,0.70,0.25
563801,351509,339283,10.0,0.05,0.25
563802,358307,379810,10.0,0.05,0.25
563802,358307,379810,16.0,0.05,0.25
563803,352507,340073,1.0,0.05,0.25
563804,355803,338143,1.0,0.05,0.25
563805,340211,375892,0.5,0.30,0.25
563806,355790,380550,9.0,0.05,0.25
563807,353732,342161,0.5,0.05,0.25
563808,339063,376304,3.0,0.10,0.25
563809,341398,372784,1.0,0.05,0.25
563812,356634,380611,111.0,0.05,4.30
563813,343183,374885,6.0,0.40,
563814,347670,380489,2.0,0.05,0.25
563815,313336,335422,0.5,0.05,0.25
563816,353203,337428,1.0,0.05,0.25
563817,354338,339021,0.5,0.10,0.25
563818,311383,336513,2.0,0.05,0.25
563819,312563,333891,0.5,0.05,0.25
563821,357795,340979,1.0,0.70,0.25
563823,360263,363612,2.0,0.40,0.25
563824,345490,380956,4.0,2.50,22.80
563825,343410,381500,25.0,8.10,11.30
563826,312930,334337,5.0,1.00,0.25
563827,352662,375133,6.0,0.50,0.25
563828,349291,339206,1.0,0.10,1.10
563829,345120,378300,0.5,0.05,
563830,353741,373053,2.0,0.50,0.25
563831,356604,378335,0.5,0.30,0.25
563832,311665,332866,1.0,0.05,0.25
563833,342994,371192,3.0,0.10,0.25
563834,353737,340646,0.5,0.05,0.25
563835,344067,374692,19.0,0.05,0.25
563836,345958,371833,0.5,0.05,0.25
563837,355585,338498,0.5,0.05,0.25
563838,348311,375822,17.0,26.80,0.25
563839,348018,340572,2.0,0.50,
563840,350600,336383,1.0,0.05,0.25
563841,311147,334140,0.5,0.10,0.25
563842,343334,371573,2.0,0.40,0.25
563843,346001,379334,0.5,0.70,0.25
563844,346067,378147,0.5,0.40,0.25
563845,312799,333135,0.5,0.05,0.25
563846,311963,336062,0.5,0.20,0.25
563847,343653,380842,0.5,0.05,0.25
563848,344269,375321,0.5,0.20,0.25
563849,312719,336307,0.5,0.40,0.25
563850,342297,371901,3.0,0.80,0.25
563851,343313,376408,0.5,0.40,0.25
563852,341049,377704,0.5,0.30,0.25
563854,349515,338353,0.5,0.50,0.25
563856,314522,334970,0.5,0.60,0.50
563857,351963,375183,1.0,0.60,0.25
563859,344892,370738,3.0,1.80,0.80
563860,339768,375954,2.0,1.00,0.80
563862,348660,337257,1.0,0.10,0.25
563863,358527,378238,47.0,1.30,
563864,341411,378651,8.0,0.90,0.25
563865,355925,338541,5.0,1.50,0.25
563866,340777,345313,9.0,2.70,2.10
563867,353796,343439,2.0,0.60,0.25
563869,352563,339226,2.0,0.60,0.25
563870,345607,370658,1.0,0.40,
563871,351933,335115,2.0,0.10,0.25
563872,356041,339565,8.0,0.05,
563873,340754,344737,6.0,5.70,2.50
563874,342235,375077,2.0,1.00,0.25
563876,347146,376220,2.0,0.80,0.25
563877,359733,363768,4.0,1.40,0.25
563880,348481,337754,1.0,0.10,0.25
563882,346792,379754,0.5,0.05,0.25
563883,356666,340299,0.5,0.05,0.25
563884,344859,337639,3.0,1.00,2.20
563885,342041,371177,0.5,0.05,0.25
563887,356139,381798,12.0,0.20,0.25
563888,348089,370498,0.5,0.30,0.25
563889,355029,340359,7.0,0.30,0.25
563890,353653,338068,0.5,0.60,
563891,349908,374814,52.0,6.00,3.40
563892,357341,380767,0.5,0.20,0.25
563893,345559,336268,1.0,0.30,0.25
563894,314495,333485,0.5,0.10,0.25
563895,357454,339599,5.0,1.40,1.40
563896,342974,379649,1.0,0.80,1.60
563897,342304,376186,3.0,1.40,1.20
563898,313641,333986,1.0,0.40,0.25
563899,351849,340177,0.5,0.20,
563900,345000,380640,2.0,1.00,0.25
563901,295870,423286,1.0,1.30,0.25
563902,286936,370285,7.0,0.70,0.25
563903,290101,417697,1.0,0.90,0.25
563904,293740,415773,3.0,1.50,0.25
563905,291152,419654,1.0,0.70,0.25
563906,294646,419425,0.5,0.90,0.25
563907,284967,409881,0.5,0.50,0.25
563908,295290,408809,2.0,0.60,0.25
563909,287803,401376,2.0,1.00,0.25
563910,286038,407205,0.5,1.00,0.25
563911,294324,423084,0.5,1.00,0.25
563913,287589,411548,0.5,1.10,0.25
563915,291754,420856,0.5,0.60,0.25
563917,293155,421101,2.0,0.80,0.25
563919,294819,418428,5.0,0.40,0.25
563920,287063,374338,4.0,1.80,0.25
563921,302663,429788,4.0,0.60,0.25
563922,289975,424574,0.5,0.60,0.25
563923,295765,420847,2.0,1.60,0.25
563924,284560,410746,0.5,2.00,0.25
563926,286301,375863,2.0,1.30,0.25
563927,283279,372056,2.0,1.00,0.25
563929,292068,422231,3.0,1.60,0.60
563930,291047,408397,2.0,1.30,1.20
563931,289952,371413,3.0,0.80,0.25
563932,294985,410053,1.0,1.60,0.70
563933,286306,372945,2.0,1.00,1.20
563934,289270,425286,4.0,1.70,0.80
563935,288373,416214,2.0,2.30,2.10
563936,292340,418454,2.0,1.20,1.90
563938,292966,423553,2.0,1.30,1.50
563939,288623,426460,2.0,1.40,2.20
563940,289111,404430,0.5,0.60,0.25
563941,300825,429773,2.0,0.70,1.10
563942,289012,401478,2.0,1.40,1.60
563944,288785,418941,2.0,1.40,1.40
563945,286972,410330,3.0,1.90,2.30
563946,303083,430037,0.5,1.00,0.25
563947,304911,429632,0.5,1.60,0.25
563948,286113,428412,3.0,0.80,1.90
563950,289100,409895,2.0,0.50,0.90
563951,292553,410481,0.5,0.60,0.25
563953,287578,375434,6.0,0.70,0.50
563955,288880,374304,4.0,0.80,1.80
563956,285352,412172,3.0,0.70,2.20
563957,293406,408877,3.0,0.80,1.30
563959,289303,416414,2.0,0.90,0.50
563960,287096,408390,2.0,0.30,
563961,286296,374959,1.0,0.20,0.25
563963,289043,409121,2.0,1.30,0.80
563966,281412,370225,3.0,1.00,0.25
563967,286579,406830,1.0,0.40,0.25
563968,297230,423831,2.0,1.00,0.25
563969,289030,402244,1.0,0.70,0.25
563970,304754,428822,0.5,0.90,0.25
563971,296802,423598,1.0,0.70,0.25
563973,293021,422821,1.0,0.80,
563974,284884,410531,0.5,0.90,0.25
563975,288802,402951,29.0,0.20,0.25
563976,294701,422993,0.5,0.40,0.25
563978,294794,420603,1.0,0.50,0.25
563979,289132,407535,0.5,0.80,0.25
563981,291607,408879,3.0,1.10,0.25
563982,302804,429107,0.5,1.00,0.25
563983,285903,373703,0.5,0.30,0.25
563984,285962,374768,3.0,0.90,1.80
563985,290343,409255,2.0,1.10,1.30
563986,291271,420501,2.0,1.20,2.20
563987,283334,374659,2.0,0.60,2.00
563988,283795,371484,2.0,0.50,1.20
563989,285417,410296,2.0,1.00,1.90
563991,288108,406411,0.5,0.80,0.70
563993,288317,414955,3.0,1.50,2.10
563994,292539,409517,3.0,1.40,2.40
563995,287498,407162,2.0,0.70,1.80
563996,285514,428902,1.0,1.10,1.70
563997,282589,370688,4.0,0.90,1.60
563998,286929,411208,1.0,0.60,0.70
563999,289437,403717,2.0,1.50,1.80
564000,283011,370756,1.0,0.70,0.80
564001,344261,367386,3.0,0.90,1.80
564002,361059,354226,2.0,0.30,0.25
564003,341624,345159,1.0,0.50,0.60
564004,340480,368711,3.0,1.60,1.40
564005,339946,369139,1.0,0.70,0.25
564006,349815,350925,2.0,0.70,0.25
564007,344205,346587,2.0,1.30,3.50
564008,351611,345133,2.0,1.20,1.80
564009,344576,344860,1.0,1.90,1.40
564010,342041,347437,0.5,0.30,0.80
564011,342304,368537,3.0,1.40,2.10
564012,348007,350948,0.5,0.80,0.25
564013,345536,344771,1.0,0.50,0.70
564014,342620,369341,1.0,0.90,0.70
564015,342878,346108,5.0,0.50,0.25
564016,349733,365302,0.5,0.20,0.25
564018,359351,370529,2.0,0.05,0.25
564019,360101,374445,4.0,2.30,3.10
564020,349668,342473,3.0,1.40,2.70
564021,351776,342353,1.0,2.30,0.25
564022,356457,371913,1.0,0.05,0.25
564023,353569,378413,5.0,0.20,0.25
564024,348481,366951,1.0,0.05,0.25
564025,336880,371110,11.0,5.60,4.10
564026,350667,372717,45.0,2.00,3.20
564027,362038,354288,5.0,0.30,0.25
564028,343574,343386,14.0,0.05,0.25
564029,354142,380197,5.0,0.30,0.25
564030,347893,342883,5.0,0.20,0.25
564031,359486,375077,1.0,0.05,
564032,359496,374691,4.0,0.40,0.25
564033,343565,366322,1.0,0.05,0.70
564034,353830,371942,3.0,0.05,0.25
564035,350454,340963,2.0,1.00,1.20
564036,350143,340269,1.0,0.05,0.25
564037,341698,367584,8.0,0.50,0.70
564038,361328,372158,2.0,0.05,1.20
564039,358618,371509,1.0,0.05,0.25
564040,343722,367748,0.5,0.05,0.60
564041,359044,373769,13.0,0.05,1.20
564042,346536,343590,2.0,1.00,1.70
564043,352530,378192,3.0,0.10,0.70
564045,352371,371438,2.0,0.05,0.25
564046,342140,344206,4.0,0.05,1.30
564047,338524,369360,6.0,0.50,1.10
564048,358178,368892,2.0,0.40,0.25
564050,356625,369939,2.0,0.30,0.60
564052,340678,368203,5.0,2.20,4.40
564054,346215,367755,2.0,0.90,0.80
564055,354620,372328,4.0,0.70,1.70
564056,351346,343431,1.0,1.00,2.30
564057,354319,382098,3.0,3.20,2.30
564058,345189,346436,2.0,0.40,2.20
564059,347377,345668,2.0,1.00,2.00
564060,340860,370463,3.0,1.30,1.90
564061,348644,348746,1.0,0.90,0.25
564063,362702,369896,4.0,1.40,2.90
564064,347257,344237,2.0,1.10,2.40
564066,336632,333156,14.0,2.00,3.10
564067,336597,369898,5.0,0.70,2.20
564068,339766,368443,4.0,0.90,1.80
564069,355228,382455,4.0,1.10,2.30
564070,355732,375745,4.0,1.80,2.10
564071,354030,371597,1.0,1.10,2.40
564072,341361,369195,1.0,0.40,2.10
564073,350045,341518,2.0,1.10,0.60
564076,343921,370235,5.0,2.70,3.20
564077,347558,343580,2.0,0.40,1.00
564078,344724,343913,3.0,0.70,0.50
564079,354592,371258,3.0,0.40,0.50
564080,335874,365909,3.0,0.70,0.25
564081,361890,370960,2.0,0.20,0.25
564082,349232,351535,2.0,0.50,1.00
564083,350207,350136,4.0,0.50,0.25
564084,347372,367108,2.0,1.30,0.25
