SAMPLE_NO,Easting,Northing,Au,Pt,Pd
550310,237960,371790,2.0,0.80,0.25
550311,257200,399830,0.5,0.80,1.60
550312,259500,394930,0.5,1.20,0.90
550313,255780,398320,3.0,2.00,2.10
550314,257000,399950,0.5,0.60,0.25
550315,237770,372480,16.0,0.20,0.25
550316,249590,394530,6.0,0.90,1.20
550318,247290,385250,3.0,3.20,3.00
550319,253300,391400,2.0,0.90,1.20
550320,241310,375050,11.0,0.20,0.25
550321,240570,373280,59.0,0.40,0.25
550323,250400,386800,0.5,0.30,0.25
550324,254040,393860,3.0,0.80,1.00
550325,249830,393350,0.5,0.80,0.90
550326,250780,393720,0.5,0.70,0.80
550327,257600,395530,0.5,2.90,4.60
550328,241110,376060,6.0,0.40,0.25
550329,252270,387210,3.0,1.00,0.70
550330,256920,397990,0.5,1.90,3.40
550331,252720,390330,2.0,0.70,0.25
550332,254240,390170,2.0,0.50,0.60
550333,259170,398500,4.0,5.70,12.40
550334,251800,392210,15.0,1.90,2.70
550335,244500,384040,2.0,1.80,3.00
550336,243530,383630,3.0,1.20,2.40
550337,257660,399690,2.0,2.90,5.40
550338,259790,392030,329.0,1.50,1.90
550339,246690,386310,3.0,1.10,1.40
550340,258050,400100,0.5,1.40,2.00
550341,255300,391730,1.0,0.60,0.50
550342,240680,382520,0.5,0.90,1.40
550343,251220,388300,9.0,0.60,1.20
550345,250150,392210,2.0,0.60,1.30
550346,241860,378000,2.0,0.30,0.60
550347,241800,373720,2.0,0.70,1.30
550348,247880,387930,1.0,0.30,0.50
550349,240310,377030,2.0,0.40,0.80
550350,247400,387350,4.0,0.30,0.70
550351,259300,395210,2.0,3.00,7.30
550352,237500,367320,1.0,0.05,0.25
550354,247400,386620,1.0,0.40,0.25
550355,251620,390570,3.0,3.00,6.00
550356,239780,373020,39.0,0.05,0.25
550357,249820,388900,2.0,0.05,0.25
550358,256060,398900,3.0,0.10,0.25
550359,255150,399200,0.5,0.10,0.25
550360,238600,368360,30.0,0.20,0.25
550361,256920,395660,7.0,0.10,0.25
550363,256420,390300,2.0,0.20,0.25
550364,241240,383300,4.0,0.10,0.25
550365,256510,397740,3.0,0.80,1.20
550366,258250,391580,3.0,0.80,1.00
550367,239930,378200,1.0,0.20,0.25
550368,239550,367570,8.0,0.20,0.25
550369,250900,388660,0.5,3.30,2.10
550370,253940,392340,0.5,1.40,2.60
550371,251920,393810,0.5,0.50,0.25
550372,237830,368330,38.0,0.70,0.50
550373,245200,383400,2.0,0.30,0.25
550374,253990,394000,2.0,4.80,9.50
550376,239200,368650,16.0,0.30,0.25
550377,242400,382950,4.0,0.40,0.25
550378,242380,375810,2.0,0.90,0.25
550379,250400,390700,1.0,1.60,2.20
550380,259960,397900,2.0,3.20,5.60
550381,257340,390810,2.0,0.90,1.00
550382,259180,393770,1.0,2.40,3.50
550383,257230,395370,0.5,0.60,0.25
550384,258900,391900,4.0,1.00,0.80
550385,254920,392970,1.0,0.40,0.25
550386,250100,387450,0.5,0.50,0.70
550388,248600,387420,0.5,0.40,0.25
550389,254590,400110,1.0,0.90,1.20
550390,239740,371710,69.0,0.40,0.25
550391,240020,370300,480.0,0.70,0.25
550392,242250,383420,2.0,0.60,0.25
550393,255100,393120,2.0,1.00,0.70
550394,249160,388280,2.0,0.30,0.25
550395,241080,378100,1.0,0.60,0.70
550397,241800,377330,1.0,0.50,1.00
550398,259030,398040,3.0,5.10,10.00
550399,254260,399500,1.0,0.30,0.25
550400,241170,381300,1.0,0.50,0.25
550401,244820,386460,2.0,2.60,4.40
550402,235870,349610,0.5,0.20,0.25
550403,246310,386220,4.0,1.10,1.20
550404,245510,388780,2.0,0.20,0.25
550405,238300,352830,0.5,0.20,0.25
550406,236110,347230,2.0,0.20,0.50
550407,250680,383550,3.0,1.00,1.40
550408,235310,357910,0.5,0.30,0.25
550409,226370,350830,1.0,0.50,1.30
550411,234770,359480,1.0,0.70,1.10
550412,234900,348280,2.0,0.05,0.25
550413,237450,350830,3.0,0.05,0.25
550414,231770,348170,0.5,0.05,0.25
550415,242710,369350,4.0,0.10,1.00
550416,247620,382070,61.0,0.40,0.60
550417,247870,381190,31.0,0.20,1.10
550418,242220,372330,42.0,0.05,0.25
550419,241950,368850,5.0,0.05,0.25
550420,228820,351790,1.0,0.05,0.25
550421,229420,352770,0.5,0.05,0.25
550423,238450,350090,0.5,0.20,0.25
550424,230670,351890,0.5,0.05,0.25
550425,225720,348010,0.5,0.40,0.50
550426,242180,369200,15.0,0.05,1.30
550427,240700,351550,0.5,0.05,0.25
550428,248180,379320,164.0,0.20,0.25
550429,232810,346810,0.5,0.05,0.25
550430,236190,358700,2.0,1.20,1.80
550431,234990,351110,0.5,0.05,0.25
550432,237760,369700,0.5,0.05,0.25
550433,230010,349510,0.5,1.70,1.30
550434,252100,384200,330.0,0.30,0.70
550435,237210,351850,0.5,0.05,0.25
550436,239830,350970,2.0,0.05,0.25
550437,246900,388450,0.5,0.05,0.25
550438,252520,382900,126.0,0.05,0.25
550439,241160,368200,4.0,0.40,0.25
550440,242090,353240,2.0,1.70,0.25
550441,242560,372530,2.0,0.05,0.25
550442,229400,350810,0.5,0.05,0.25
550443,234090,347040,0.5,0.05,0.25
550445,241400,370500,1094.0,0.30,0.25
550446,239060,370100,22.0,0.20,0.25
550447,225240,348360,0.5,0.05,0.25
550448,237250,352360,0.5,0.10,0.25
550449,239180,369930,15.0,0.80,0.90
550450,229400,348290,0.5,0.05,0.25
550451,235720,351870,0.5,0.20,0.25
550452,239630,353410,1.0,0.20,0.25
550453,233690,350850,2.0,2.00,1.90
550454,248600,379850,27.0,0.50,0.60
550455,232390,349210,0.5,2.10,1.10
550456,243470,369100,6.0,1.60,1.30
550457,240410,352060,0.5,1.10,0.80
550458,228070,350500,0.5,1.60,0.60
550459,239930,348780,1.0,5.60,2.90
550460,238020,351770,0.5,0.60,0.25
550461,241160,353540,0.5,0.40,0.25
550462,249400,381230,88.0,0.40,0.25
550463,236670,349690,0.5,0.30,0.25
550464,239580,353820,0.5,0.40,0.75
550465,247180,380790,4.0,0.60,0.50
550466,238500,348210,62.0,0.10,0.25
550467,252650,383750,13.0,0.30,0.25
550469,244750,387060,4.0,6.80,4.30
550470,240530,349800,0.5,1.00,0.70
550471,241440,352490,4.0,1.30,0.25
550472,249200,382610,0.5,0.40,0.25
550473,234060,348070,0.5,0.30,0.25
550474,234850,351030,0.5,0.20,0.25
550476,233330,353280,0.5,0.20,0.25
550477,225540,350870,0.5,0.50,0.25
550479,238750,352950,0.5,2.70,0.25
550480,249400,381970,7.0,0.60,0.25
550481,233330,353280,0.5,0.50,0.25
550483,251400,385080,0.5,0.40,0.25
550484,242650,353580,3.0,0.05,0.25
550485,228650,348400,0.5,1.80,0.25
550487,230910,347300,0.5,0.20,0.25
550488,238950,348020,0.5,1.10,0.25
550489,252750,385320,150.0,1.10,1.40
550490,244500,388500,5.0,0.05,0.25
550491,252250,382980,9.0,0.05,0.25
550492,235220,348850,0.5,0.05,0.25
550493,242420,353630,3.0,0.05,0.25
550494,243280,370800,2.0,0.30,0.70
550495,250720,385070,5.0,0.40,1.30
550496,225960,347070,0.5,0.05,0.25
550497,235900,351950,0.5,0.05,0.25
550498,245200,370300,0.5,0.50,0.80
550499,245200,386370,4.0,1.30,3.10
550500,224220,348240,1.0,0.50,1.60
550501,256560,349540,0.5,0.05,0.25
550502,254980,349010,0.5,0.05,0.25
550503,232490,363140,2.0,1.50,0.90
550504,224610,353900,1.0,0.50,2.40
550505,253990,350910,0.5,0.05,0.25
550506,250680,349080,1.0,0.10,1.30
550507,237830,358590,0.5,0.20,0.70
550508,238510,356520,0.5,0.05,0.25
550509,252660,350410,0.5,0.50,0.60
550510,238840,359150,0.5,0.20,0.90
550512,259700,356520,0.5,0.60,0.60
550513,253230,349580,0.5,0.05,0.25
550514,255040,353390,0.5,0.20,0.25
550515,237190,358700,0.5,0.80,0.70
550516,231220,352580,1.0,2.80,1.80
550518,231180,363270,1.0,0.30,0.25
550519,231700,361150,2.0,0.50,0.70
550520,237330,354930,1.0,0.20,0.25
550521,237560,355480,2.0,0.50,0.80
550522,241740,356700,1.0,0.40,0.25
550523,235940,361000,3.0,0.30,0.25
550524,233800,360680,3.0,0.10,0.80
550525,231420,353400,0.5,0.05,0.50
