FID,AREA,PERIMETER,BLOCKS_,BLOCKS_ID,TILEBLOCK,TILE,BLOCK,TILENUM,TILEBLKNUM
2061,1025897,4087.396,2211,2112,1676M,1676,M,1676,1676M
2062,1026773,4088.638,2612,2694,1347C,1347,C,1347,1347C
2063,1024904,4086.01,2916,2949,1352J,1352,J,1352,1352J
2064,1020498,4076.05,2417,2484,1500M,1500,M,1500,1500M
2065,1021265,4078.973,2003,2135,1654R,1654,R,1654,1654R
2066,1025165,4085.74,2113,2083,1669L,1669,L,1669,1669L
2067,1023792,4084.229,2613,2613,1506N,1506,N,1506,1506N
2068,1025832,4088.806,2502,2585,1499N,1499,N,1499,1499N
2069,1030040,4096.344,2212,2273,1502A,1502,A,1502,1502A
2070,1026540,4088.213,2917,2776,1368A,1368,A,1368,1368A
2071,1025891,4087.039,2418,2331,1516C,1516,C,1516,1516C
2072,1025837,4086.911,2114,2247,1495C,1495,C,1495,1495C
2073,1023657,4083.181,2614,2537,1514J,1514,J,1514,1514J
2074,1023670,4083.217,2419,2407,1508G,1508,G,1508,1508G
2075,1024221,4084.456,2918,2864,1359H,1359,H,1359,1359H
2076,1019748,4074.358,2213,2352,1494H,1494,H,1494,1494H
2077,1025348,4087.004,2115,2004,1677H,1677,H,1677,1677H
2078,1022529,4081.277,2802,2665,1519N,1519,N,1519,1519N
2079,1026917,4090.553,2420,2485,1501J,1501,J,1501,1501J
2080,1019138,4073.967,2919,3036,1344S,1344,S,1344,1344S
2081,1023201,4080.631,2615,2695,1347D,1347,D,1347,1347D
2082,1022384,4081.567,2116,2165,1662N,1662,N,1662,1662N
2083,1027242,4090.131,2421,2332,1516D,1516,D,1516,1516D
2084,1026366,4088.448,2004,2053,1662J,1662,J,1662,1662J
2085,1023669,4083.22,2503,2507,1506L,1506,L,1506,1506L
2086,1020956,4077.091,2803,2920,1344M,1344,M,1344,1344M
2087,1020571,4077.411,2214,2192,1668S,1668,S,1668,1668S
2088,1026650,4088.432,2920,2777,1368B,1368,B,1368,1368B
2089,1023633,4083.139,2504,2431,1514G,1514,G,1514,1514G
2090,1023613,4083.088,2422,2408,1508H,1508,H,1508,1508H
2091,1028110,4091.703,2804,2744,1360A,1360,A,1360,1360A
2092,1022282,4080.851,2616,2614,1506P,1506,P,1506,1506P
2093,1025497,4086.488,2117,2084,1669M,1669,M,1669,1669M
2094,1023795,4083.506,2921,2950,1352K,1352,K,1352,1352K
2095,1023832,4083.579,2005,1972,1669H,1669,H,1669,1669H
2096,1024415,4084.045,2215,2113,1677J,1677,J,1677,1677J
2097,1029895,4095.799,2505,2784,1341A,1341,A,1341,1341A
2098,1022471,4081.176,2805,2666,1519P,1519,P,1519,1519P
2099,1027577,4092.69,2423,2565,1494N,1494,N,1494,1494N
2100,1023709,4083.3,2617,2538,1514K,1514,K,1514,1514K
2101,1025270,4086.828,2922,2865,1360E,1360,E,1360,1360E
2102,1023519,4082.871,2118,2005,1678E,1678,E,1678,1678E
2103,1025018,4085.464,2006,1893,1678A,1678,A,1678,1678A
2104,1023649,4083.169,2424,2486,1501K,1501,K,1501,1501K
2105,1023795,4083.506,2806,2834,1352F,1352,F,1352,1352F
2106,1023336,4082.468,2506,2508,1506M,1506,M,1506,1506M
2107,1018447,4072.563,2007,2136,1654S,1654,S,1654,1654S
2108,1024102,4082.932,2216,2274,1502B,1502,B,1502,1502B
2109,1030134,4096.25,2618,2696,1348A,1348,A,1348,1348A
2110,1026701,4091.087,2923,3037,1345N,1345,N,1345,1345N
2111,1026183,4087.747,2425,2333,1517A,1517,A,1517,1517A
2112,1022841,4080.186,2119,2248,1495D,1495,D,1495,1495D
2113,1023665,4083.206,2426,2409,1509E,1509,E,1509,1509E
2114,1022300,4080.881,2619,2615,1506R,1506,R,1506,1506R
2115,1027607,4092.114,2217,2353,1495E,1495,E,1495,1495E
2116,1026650,4088.432,2924,2778,1368C,1368,C,1368,1368C
2117,1025865,4086.993,2427,2334,1517B,1517,B,1517,1517B
2118,1023773,4083.446,2925,2866,1360F,1360,F,1360,1360F
2119,1023553,4082.96,2120,2006,1678F,1678,F,1678,1678F
2120,1023652,4083.171,2620,2539,1514L,1514,L,1514,1514L
2121,1022057,4080.777,2218,2193,1669N,1669,N,1669,1669N
2122,1026658,4089.107,2121,2085,1670J,1670,J,1670,1670J
2123,1027124,4091.022,2621,2789,1341E,1341,E,1341,1341E
2124,1022489,4081.212,2428,2566,1494P,1494,P,1494,1494P
2125,1025748,4087.908,2926,2951,1352L,1352,L,1352,1352L
2126,1028537,4094.218,2807,2921,1345J,1345,J,1345,1345J
2127,1022386,4081.049,2507,2586,1499P,1499,P,1499,1499P
2128,1025071,4085.555,2008,1894,1678B,1678,B,1678,1678B
2129,1025133,4085.665,2219,2114,1677K,1677,K,1677,1677K
2130,1026818,4088.743,2622,2697,1348B,1348,B,1348,1348B
2131,1021912,4080.297,2927,3038,1345P,1345,P,1345,1345P
2132,1023701,4083.288,2429,2487,1501L,1501,L,1501,1501L
2133,1022468,4081.17,2808,2667,1519R,1519,R,1519,1519R
2134,1025200,4085.817,2009,2054,1662K,1662,K,1662,1662K
2135,1021172,4078.85,2122,2166,1662P,1662,P,1662,1662P
2136,1024811,4085.791,2508,2432,1514H,1514,H,1514,1514H
2137,1021983,4080.127,2623,2616,1506S,1506,S,1506,1506S
2138,1026060,4087.336,2220,2275,1502C,1502,C,1502,1502C
2139,1027573,4090.551,2928,2779,1368D,1368,D,1368,1368D
2140,1025563,4087.486,2430,2410,1509F,1509,F,1509,1509F
2141,1026738,4088.574,2809,2745,1360B,1360,B,1360,1360B
2142,1025049,4086.328,2010,1973,1670E,1670,E,1670,1670E
2143,1030714,4097.936,2123,2249,1496A,1496,A,1496,1496A
2144,1028453,4092.52,2509,2785,1341B,1341,B,1341,1341B
2145,1025865,4086.991,2431,2335,1517C,1517,C,1517,1517C
2146,1023620,4083.107,2221,2354,1495F,1495,F,1495,1495F
2147,1023825,4083.565,2929,2867,1360G,1360,G,1360,1360G
2148,1024922,4086.041,2624,2540,1514M,1514,M,1514,1514M
2149,1025676,4087.754,2810,2835,1352G,1352,G,1352,1352G
2150,1026230,4090.186,2011,2137,1655N,1655,N,1655,1655N
2151,1024017,4083.996,2510,2509,1507J,1507,J,1507,1507J
2152,1022470,4081.179,2432,2567,1494R,1494,R,1494,1494R
2153,1023514,4082.862,2124,2007,1678G,1678,G,1678,1678G
2154,1021321,4079.15,2222,2194,1669P,1669,P,1669,1669P
2155,1025698,4087.793,2625,2790,1341F,1341,F,1341,1341F
2156,1022054,4079.555,2930,2952,1352M,1352,M,1352,1352M
2157,1023829,4083.582,2811,2922,1345K,1345,K,1345,1345K
2158,1024995,4085.396,2012,1895,1678C,1678,C,1678,1678C
2159,1024420,4084.909,2511,2433,1515E,1515,E,1515,1515E
2160,1021486,4078.285,2433,2488,1501M,1501,M,1501,1501M
2161,1025158,4085.726,2125,2086,1670K,1670,K,1670,1670K
2162,1021873,4080.199,2931,3039,1345R,1345,R,1345,1345R
2163,1025186,4085.786,2223,2115,1677L,1677,L,1677,1677L
2164,1028656,4092.868,2702,2716,1353A,1353,A,1353,1353A
2165,1023609,4083.703,2812,2668,1519S,1519,S,1519,1519S
2166,1022310,4080.888,2512,2587,1499R,1499,R,1499,1499R
2167,1023479,4082.792,2013,1974,1670F,1670,F,1670,1670F
2168,1023656,4083.184,2302,2375,1500G,1500,G,1500,1500G
2169,1022696,4081.742,2626,2617,1507N,1507,N,1507,1507N
2170,1023680,4083.232,2434,2411,1509G,1509,G,1509,1509G
2171,1025515,4085.915,2932,2780,1369A,1369,A,1369,1369A
2172,1022992,4082.972,2126,2167,1662R,1662,R,1662,1662R
2173,1024838,4084.611,2224,2276,1502D,1502,D,1502,1502D
2174,1026618,4088.388,2513,2673,1341C,1341,C,1341,1341C
2175,1026972,4089.816,2014,2055,1662L,1662,L,1662,1662L
2176,1026738,4088.574,2813,2746,1360C,1360,C,1360,1360C
2177,1020133,4075.225,2703,2808,1345H,1345,H,1345,1345H
2178,1026548,4088.551,2435,2336,1517D,1517,D,1517,1517D
2179,1021265,4078.979,2303,2218,1675P,1675,P,1675,1675P
2180,1023474,4082.782,2933,2868,1360H,1360,H,1360,1360H
2181,1025886,4087.023,2127,2250,1496B,1496,B,1496,1496B
2182,1026725,4088.524,2627,2698,1348C,1348,C,1348,1348C
2183,1025619,4087.617,2514,2510,1507K,1507,K,1507,1507K
2184,1021292,4079.048,2015,2138,1655P,1655,P,1655,1655P
2185,1021965,4079.371,2814,2836,1352H,1352,H,1352,1352H
2186,1023746,4083.379,2704,2562,1520K,1520,K,1520,1520K
2187,1026041,4087.318,2304,2298,1508B,1508,B,1508,1508B
2188,1027755,4092.438,2436,2489,1502J,1502,J,1502,1502J
2189,1025631,4087.646,2934,2953,1353J,1353,J,1353,1353J
2190,1021229,4078.93,2225,2195,1669R,1669,R,1669,1669R
2191,1023645,4083.158,2515,2434,1515F,1515,F,1515,1515F
2192,1025974,4087.642,2016,1896,1678D,1678,D,1678,1678D
2193,1024420,4084.909,2628,2541,1515J,1515,J,1515,1515J
2194,1023827,4083.578,2815,2923,1345L,1345,L,1345,1345L
2195,1022867,4082.084,2705,2637,1512N,1512,N,1512,1512N
2196,1020444,4075.928,2305,2376,1500H,1500,H,1500,1500H
2197,1024527,4085.141,2128,2008,1678H,1678,H,1678,1678H
2198,1018526,4072.238,2437,2568,1494S,1494,S,1494,1494S
2199,1026568,4088.259,2935,2781,1369B,1369,B,1369,1369B
2200,1026976,4089.843,2226,2116,1677M,1677,M,1677,1677M
2201,1023550,4082.943,2017,1975,1670G,1670,G,1670,1670G
2202,1019931,4075.478,2516,2588,1499S,1499,S,1499,1499S
2203,1021506,4078.946,2816,2669,1520N,1520,N,1520,1520N
2204,1023868,4083.659,2629,2791,1341G,1341,G,1341,1341G
2205,1026822,4088.708,2706,2717,1353B,1353,B,1353,1353B
2206,1021393,4079.259,2306,2219,1675R,1675,R,1675,1675R
2207,1022883,4081.442,2438,2412,1509H,1509,H,1509,1509H
2208,1018280,4072.039,2936,3040,1345S,1345,S,1345,1345S
2209,1025158,4085.725,2129,2087,1670L,1670,L,1670,1670L
2210,1023255,4081.433,2018,2056,1662M,1662,M,1662,1662M
2211,1022249,4078.563,2517,2674,1341D,1341,D,1341,1341D
2212,1026347,4087.722,2817,2747,1360D,1360,D,1360,1360D
2213,1025046,4085.165,2439,2337,1518A,1518,A,1518,1518A
2214,1025983,4087.188,2307,2299,1508C,1508,C,1508,1508C
2215,1025499,4087.348,2707,2563,1520L,1520,L,1520,1520L
2216,1023672,4083.225,2227,2355,1495G,1495,G,1495,1495G
2217,1024136,4084.279,2937,2869,1361E,1361,E,1361,1361E
2218,1024242,4085.27,2630,2618,1507P,1507,P,1507,1507P
2219,1019362,4074.715,2130,2168,1662S,1662,S,1662,1662S
2220,1023643,4083.153,2518,2435,1515G,1515,G,1515,1515G
2221,1025560,4087.493,2818,2837,1353E,1353,E,1353,1353E
2222,1021345,4079.168,2019,2139,1655R,1655,R,1655,1655R
2223,1021830,4079.053,2440,2490,1502K,1502,K,1502,1502K
2224,1026860,4090.425,2308,2377,1501E,1501,E,1501,1501E
2225,1027492,4091.851,2708,2809,1346E,1346,E,1346,1346E
2226,1023859,4083.642,2938,2954,1353K,1353,K,1353,1353K
2227,1027107,4089.728,2228,2277,1503A,1503,A,1503,1503A
2228,1023627,4083.126,2631,2542,1515K,1515,K,1515,1515K
2229,1023679,4083.234,2519,2511,1507L,1507,L,1507,1507L
2230,1025886,4087.023,2131,2251,1496C,1496,C,1496,1496C
2231,1023865,4082.885,2020,1897,1679A,1679,A,1679,1679A
2232,1020191,4075.355,2819,2924,1345M,1345,M,1345,1345M
2233,1026426,4090.108,2441,2569,1495N,1495,N,1495,1495N
2234,1022862,4082.537,2309,2220,1675S,1675,S,1675,1675S
2235,1022370,4080.989,2709,2638,1512P,1512,P,1512,1512P
2236,1021685,4079.926,2229,2196,1669S,1669,S,1669,1669S
2237,1024281,4083.048,2632,2699,1348D,1348,D,1348,1348D
2238,1028508,4092.631,2939,2782,1369C,1369,C,1369,1369C
2239,1026672,4090.726,2520,2589,1500N,1500,N,1500,1500N
2240,1022476,4080.509,2132,2009,1679E,1679,E,1679,1679E
2241,1023049,4081.813,2021,1976,1670H,1670,H,1670,1670H
2242,1022482,4081.192,2820,2670,1520P,1520,P,1520,1520P
2243,1024392,4084.843,2442,2413,1510E,1510,E,1510,1510E
2244,1026875,4088.828,2710,2718,1353C,1353,C,1353,1353C
2245,1025090,4085.59,2230,2117,1678J,1678,J,1678,1678J
2246,1025854,4086.936,2310,2300,1508D,1508,D,1508,1508D
2247,1019603,4074.026,2633,2792,1341H,1341,H,1341,1341H
2248,1025662,4088.756,2940,3041,1346N,1346,N,1346,1346N
2249,1027077,4090.053,2022,2057,1663J,1663,J,1663,1663J
2250,1030753,4097.715,2521,2786,1342A,1342,A,1342,1342A
2251,1025858,4086.977,2443,2338,1518B,1518,B,1518,1518B
2252,1027063,4089.338,2821,2748,1361A,1361,A,1361,1361A
2253,1024002,4083.967,2711,2564,1520M,1520,M,1520,1520M
2254,1024766,4084.842,2133,2088,1670M,1670,M,1670,1670M
2255,1028722,4094.632,2311,2457,1494J,1494,J,1494,1494J
2256,1023679,4083.245,2634,2543,1515L,1515,L,1515,1515L
2257,1023746,4083.398,2941,2870,1361F,1361,F,1361,1361F
2258,1024028,4084.024,2522,2436,1515H,1515,H,1515,1515H
2259,1025027,4085.478,2023,1898,1679B,1679,B,1679,1679B
2260,1020678,4076.463,2231,2356,1495H,1495,H,1495,1495H
2261,1023692,4083.27,2444,2491,1502L,1502,L,1502,1502L
2262,1023840,4083.61,2822,2838,1353F,1353,F,1353,1353F
2263,1023185,4083.363,2134,2169,1663N,1663,N,1663,1663N
2264,1023857,4083.639,2942,2955,1353L,1353,L,1353,1353L
2265,1023781,4083.467,2712,2810,1346F,1346,F,1346,1346F
2266,1023649,4083.169,2312,2378,1501F,1501,F,1501,1501F
2267,1017550,4070.538,2024,2140,1655S,1655,S,1655,1655S
2268,1022571,4080.732,2523,2512,1507M,1507,M,1507,1507M
2269,1022252,4080.767,2635,2619,1507R,1507,R,1507,1507R
2270,1026012,4087.222,2232,2278,1503B,1503,B,1503,1503B
2271,1022444,4081.131,2445,2570,1495P,1495,P,1495,1495P
2272,1024322,4085.345,2823,2671,1520R,1520,R,1520,1520R
2273,1026842,4088.907,2943,2783,1369D,1369,D,1369,1369D
2274,1021790,4080.121,2313,2221,1676N,1676,N,1676,1676N
2275,1022370,4080.989,2713,2639,1512R,1512,R,1512,1512R
2276,1023969,4083.901,2025,1977,1671E,1671,E,1671,1671E
2277,1022341,4080.968,2524,2590,1500P,1500,P,1500,1500P
2278,1022055,4078.417,2135,2252,1496D,1496,D,1496,1496D
2279,1031046,4098.29,2636,2700,1349A,1349,A,1349,1349A
2280,1025236,4085.9,2233,2118,1678K,1678,K,1678,1678K
2281,1027567,4092.01,2824,2925,1346J,1346,J,1346,1346J
2282,1023691,4083.249,2446,2414,1510F,1510,F,1510,1510F
2283,1021903,4080.279,2944,3042,1346P,1346,P,1346,1346P
2284,1025968,4086.824,2714,2719,1353D,1353,D,1353,1353D
2285,1025961,4087.178,2314,2301,1509A,1509,A,1509,1509A
2286,1025134,4085.672,2026,2058,1663K,1663,K,1663,1663K
2287,1023306,4082.393,2525,2437,1516E,1516,E,1516,1516E
2288,1023525,4082.879,2136,2010,1679F,1679,F,1679,1679F
2289,1024082,4084.146,2637,2544,1515M,1515,M,1515,1515M
2290,1022840,4082.542,2234,2197,1670N,1670,N,1670,1670N
2291,1026673,4088.43,2825,2749,1361B,1361,B,1361,1361B
2292,1025839,4086.944,2447,2339,1518C,1518,C,1518,1518C
2293,1023799,4083.518,2945,2871,1361G,1361,G,1361,1361G
2294,1023251,4082.953,2715,2640,1512S,1512,S,1512,1512S
2295,1023740,4083.375,2315,2458,1494K,1494,K,1494,1494K
2296,1026854,4089.6,2027,1899,1679C,1679,C,1679,1679C
2297,1026642,4088.426,2526,2787,1342B,1342,B,1342,1342B
2298,1025541,4086.59,2137,2089,1671J,1671,J,1671,1671J
2299,1023800,4083.511,2826,2839,1353G,1353,G,1353,1353G
2300,1022584,4080.768,2448,2492,1502M,1502,M,1502,1502M
2301,1023134,4082.007,2946,2956,1353M,1353,M,1353,1353M
2302,1028426,4093.968,2235,2357,1496E,1496,E,1496,1496E
2303,1027956,4092.899,2638,2793,1342E,1342,E,1342,1342E
2304,1023797,4083.494,2716,2811,1346G,1346,G,1346,1346G
2305,1021386,4079.245,2316,2222,1676P,1676,P,1676,1676P
2306,1025151,4087.756,2028,2141,1656N,1656,N,1656,1656N
2307,1024837,4085.852,2527,2513,1508J,1508,J,1508,1508J
2308,1022882,4082.06,2827,2672,1520S,1520,S,1520,1520S
2309,1021196,4078.889,2138,2170,1663P,1663,P,1663,1663P
2310,1024644,4085.419,2947,2872,1361H,1361,H,1361,1361H
2311,1023615,4083.088,2449,2415,1510G,1510,G,1510,1510G
2312,1027573,4090.44,2717,2720,1354A,1354,A,1354,1354A
2313,1023647,4083.166,2317,2379,1501G,1501,G,1501,1501G
2314,1023414,4082.648,2029,1978,1671F,1671,F,1671,1671F
2315,1022283,4080.838,2528,2591,1500R,1500,R,1500,1500R
2316,1025125,4085.648,2236,2119,1678L,1678,L,1678,1678L
2317,1021272,4078.513,2639,2620,1507S,1507,S,1507,1507S
2318,1023838,4083.595,2828,2926,1346K,1346,K,1346,1346K
2319,1027613,4090.974,2450,2340,1518D,1518,D,1518,1518D
2320,1021846,4080.149,2948,3043,1346R,1346,R,1346,1346R
2321,1027843,4091.393,2318,2302,1509B,1509,B,1509,1509B
2322,1023522,4083.568,2718,2641,1513N,1513,N,1513,1513N
2323,1023637,4083.14,2529,2438,1516F,1516,F,1516,1516F
2324,1025186,4085.791,2030,2059,1663L,1663,L,1663,1663L
2325,1026726,4088.552,2829,2750,1361C,1361,C,1361,1361C
2326,1025406,4087.128,2139,2011,1679G,1679,G,1679,1679G
2327,1022443,4081.13,2451,2571,1495R,1495,R,1495,1495R
2328,1024534,4085.159,2949,2957,1354J,1354,J,1354,1354J
2329,1021232,4077.709,2719,2812,1346H,1346,H,1346,1346H
2330,1021346,4079.146,2319,2223,1676R,1676,R,1676,1676R
2331,1026788,4088.66,2640,2701,1349B,1349,B,1349,1349B
2332,1027898,4091.473,2237,2279,1503C,1503,C,1503,1503C
2333,1023077,4081.879,2830,2840,1353H,1353,H,1353,1353H
2334,1023672,4083.22,2530,2514,1508K,1508,K,1508,1508K
2335,1025116,4085.718,2031,1900,1679D,1679,D,1679,1679D
2336,1024815,4085.797,2452,2493,1503J,1503,J,1503,1503J
2337,1024826,4085.82,2950,2873,1362E,1362,E,1362,1362E
2338,1029556,4095.319,2140,2253,1497A,1497,A,1497,1497A
2339,1026756,4088.562,2720,2721,1354B,1354,B,1354,1354B
2340,1021239,4078.946,2238,2198,1670P,1670,P,1670,1670P
2341,1023306,4082.393,2641,2545,1516J,1516,J,1516,1516J
2342,1023681,4083.244,2320,2459,1494L,1494,L,1494,1494L
2343,1027484,4090.297,2831,2751,1361D,1361,D,1361,1361D
2344,1026602,4088.328,2531,2788,1342C,1342,C,1342,1342C
2345,1019340,4074.459,2951,3044,1346S,1346,S,1346,1346S
2346,1021265,4078.998,2032,2142,1656P,1656,P,1656,1656P
2347,1025779,4086.838,2453,2341,1519A,1519,A,1519,1519A
2348,1025097,4085.588,2141,2090,1671K,1671,K,1671,1671K
2349,1021486,4078.285,2321,2380,1501H,1501,H,1501,1501H
2350,1023682,4083.24,2239,2358,1496F,1496,F,1496,1496F
2351,1022416,4081.096,2721,2642,1513P,1513,P,1513,1513P
2352,1023533,4083.629,2642,2621,1508N,1508,N,1508,1508N
2353,1023811,4083.527,2952,2958,1354K,1354,K,1354,1354K
2354,1019148,4073.709,2532,2592,1500S,1500,S,1500,1500S
2355,1023761,4083.432,2832,2927,1346L,1346,L,1346,1346L
2356,1023542,4082.927,2033,1979,1671G,1671,G,1671,1671G
2357,1024110,4084.206,2454,2416,1510H,1510,H,1510,1510H
2358,1025954,4087.135,2322,2303,1509C,1509,C,1509,1509C
2359,1026175,4088.019,2240,2120,1678M,1678,M,1678,1678M
2360,1028257,4093.582,2722,2813,1347E,1347,E,1347,1347E
2361,1023860,4083.644,2643,2794,1342F,1342,F,1342,1342F
2362,1021195,4078.887,2142,2171,1663R,1663,R,1663,1663R
2363,1023828,4083.566,2953,2874,1362F,1362,F,1362,1362F
2364,1024498,4085.097,2833,2841,1354E,1354,E,1354,1354E
2365,1023690,4083.261,2533,2439,1516G,1516,G,1516,1516G
2366,1024298,4083.788,2034,2060,1663M,1663,M,1663,1663M
2367,1019565,4074.592,2455,2572,1495S,1495,S,1495,1495S
2368,1022117,4080.862,2323,2224,1676S,1676,S,1676,1676S
2369,1023798,4083.498,2143,2012,1679H,1679,H,1679,1679H
2370,1028754,4093.063,2723,2722,1354C,1354,C,1354,1354C
2371,1026787,4088.658,2644,2702,1349C,1349,C,1349,1349C
2372,1021292,4079.068,2241,2199,1670R,1670,R,1670,1670R
2373,1026333,4090.298,2954,3045,1347N,1347,N,1347,1347N
2374,1023670,4083.217,2534,2515,1508L,1508,L,1508,1508L
2375,1027703,4090.791,2834,2752,1362A,1362,A,1362,1362A
2376,1024723,4084.833,2035,1901,1680A,1680,A,1680,1680A
2377,1025832,4086.93,2456,2342,1519B,1519,B,1519,1519B
2378,1022358,4080.965,2724,2643,1513R,1513,R,1513,1513R
2379,1023690,4083.262,2645,2546,1516K,1516,K,1516,1516K
2380,1027683,4092.285,2324,2381,1502E,1502,E,1502,1502E
2381,1024106,4082.966,2242,2280,1503D,1503,D,1503,1503D
2382,1025985,4087.221,2144,2254,1497B,1497,B,1497,1497B
2383,1030167,4096.949,2955,3137,1197A,1197,A,1197,1197A
2384,1023439,4081.229,2535,2675,1342D,1342,D,1342,1342D
2385,1021286,4077.831,2835,2928,1346M,1346,M,1346,1346M
2386,1024276,4084.578,2036,1980,1671H,1671,H,1671,1671H
2387,1023772,4083.449,2725,2814,1347F,1347,F,1347,1347F
2388,1023721,4083.318,2457,2494,1503K,1503,K,1503,1503K
2389,1023624,4083.111,2243,2359,1496G,1496,G,1496,1496G
2390,1025203,4085.83,2145,2091,1671L,1671,L,1671,1671L
2391,1022244,4080.751,2646,2622,1508P,1508,P,1508,1508P
2392,1019766,4074.391,2325,2460,1494M,1494,M,1494,1494M
2393,1025727,4087.867,2956,2959,1354L,1354,L,1354,1354L
2394,1025611,4088.329,2536,2593,1501N,1501,N,1501,1501N
2395,1023721,4083.343,2836,2842,1354F,1354,F,1354,1354F
2396,1021336,4079.15,2037,2143,1656R,1656,R,1656,1656R
2397,1025159,4086.578,2458,2417,1511E,1511,E,1511,1511E
2398,1025293,4085.306,2726,2723,1354D,1354,D,1354,1354D
2399,1023827,4083.565,2957,2875,1362G,1362,G,1362,1362G
2400,1023748,4083.393,2647,2795,1342G,1342,G,1342,1342G
2401,1024121,4083.386,2244,2121,1679J,1679,J,1679,1679J
2402,1020419,4077.101,2146,2172,1663S,1663,S,1663,1663S
2403,1025122,4085.29,2326,2304,1509D,1509,D,1509,1509D
2404,1025960,4087.537,2038,2061,1664J,1664,J,1664,1664J
2405,1025123,4086.501,2537,2440,1516H,1516,H,1516,1516H
2406,1026758,4088.633,2837,2753,1362B,1362,B,1362,1362B
2407,1022484,4081.212,2727,2644,1513S,1513,S,1513,1513S
