Quarter Year,Antrim and Newtownabbey RPPI,Antrim and Newtownabbey Standardised Price,Ards and North Down RPPI,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon RPPI,Armagh City Banbridge and Craigavon Standardised Price,Belfast RPPI,Belfast Standardised Price,Causeway Coast and Glens RPPI,Causeway Coast and Glens Standardised Price,Derry City and Strabane RPPI,Derry City and Strabane Standardised Price,Fermanagh and Omagh RPPI,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh RPPI,Lisburn and Castlereagh Standardised Price,Mid and East Antrim RPPI,Mid and East Antrim Standardised Price,Mid Ulster Average RPPI,Mid Ulster Standardised Price,Newry Mourne and Down RPPI,Newry Mourne and Down Standardised Price
Q3 2009,128.1,147298,129.3,173532,126.9,125062,129.4,136800,128.7,138984,126.3,119582,131,125595,121.9,163611,131,135618,116.4,130214,135.3,152198
Q4 2009,129.5,148821,126.4,169689,125.2,123414,127.4,134658,135.4,146168,128.9,122016,134,128384,124.1,166599,132.8,137522,115.1,128696,134.6,151415
Q1 2010,122.3,140651,124,166400,122.2,120423,121.6,128524,125.9,135889,125.9,119151,126.5,121279,120.7,162105,121.6,125913,109.6,122587,127.1,143027
Q2 2010,120.9,139025,123.6,165887,118,116292,120,126796,128.9,139194,118,111695,123,117836,119.1,159909,129.4,134004,108.8,121647,124.5,140040
Q3 2010,121.6,139780,122.7,164684,118.9,117214,116.2,122763,118.8,128264,115.9,109748,128.4,123022,120,161108,123,127308,106.6,119214,123.3,138734
Q4 2010,110.9,127457,113.5,152288,114.2,112574,107.2,113296,122.5,132245,108.1,102351,116.4,111560,112.3,150709,117,121189,100.6,112559,118.6,133475
Q1 2011,106.6,122514,108.4,145486,110.1,108574,101.2,106996,118.4,127835,113.1,107114,115.2,110386,105.9,142211,101.8,105406,102.8,114975,112.2,126189
Q2 2011,107.6,123702,103.6,139001,102.4,100970,101.6,107326,112.5,121491,105.4,99808,124.9,119664,100.5,134980,111.8,115763,98.5,110182,111.9,125890
Q3 2011,107.6,123724,103.3,138659,104.6,103122,100.4,106097,105.9,114370,101.5,96070,109.8,105189,101.8,136726,109.1,112930,93.8,104896,109.7,123456
Q4 2011,99.7,114613,104.6,140362,99.5,98108,97.1,102660,108.7,117409,95.9,90779,107.3,102848,99.7,133824,105.8,109526,89.3,99868,108.3,121879
Q1 2012,94,108008,95.4,128029,95.4,94044,88.5,93542,97.9,105742,98.3,93074,101.9,97657,94.3,126580,98.7,102177,85.4,95560,102.5,115281
Q2 2012,94.5,108628,93.8,125869,94.7,93360,90.2,95298,101.1,109124,96.4,91264,98.8,94673,93.6,125720,102.5,106136,89.9,100596,95.4,107388
Q3 2012,94.2,108245,93.8,125891,88,86783,88.8,93797,95,102619,91.5,86608,99,94856,93.6,125686,97.1,100526,84.6,94676,95.3,107209
Q4 2012,92.1,105923,92,123470,85.8,84527,85.6,90431,93.9,101401,91.1,86230,93.1,89211,92.8,124628,95.4,98801,81.3,90972,93.5,105141
Q1 2013,88.9,102233,88.9,119281,86.4,85165,83.2,87890,91.9,99267,87.4,82705,95.5,91494,90,120871,93.7,97035,83.3,93222,88.3,99325
Q2 2013,90.8,104342,90,120819,88,86764,85.8,90661,92.9,100283,90.2,85433,94.7,90786,90.9,122054,94.4,97771,85.9,96038,89,100078
Q3 2013,91.4,105093,91.1,122264,88.8,87505,88.8,93800,94.7,102248,91.3,86407,102.4,98123,92.5,124205,94.1,97416,88,98477,90.8,102129
Q4 2013,92.3,106097,92.2,123741,92.1,90739,90.5,95599,95.2,102823,90.7,85857,93.4,89543,92.7,124428,95.8,99200,87.2,97573,88.9,100001
Q1 2014,93.9,107984,94,126184,92.8,91434,91,96224,91.9,99241,91.1,86293,96.4,92406,93.8,125887,98.3,101796,91.6,102446,96.8,108948
Q2 2014,96.9,111416,95.9,128684,94.7,93307,95.5,100892,98.8,106684,92.3,87352,103.2,98861,97.9,131480,99.4,102886,92.2,103144,98.4,110653
Q3 2014,99.1,113900,97.2,130490,97,95586,97.8,103413,103,111254,96.2,91072,102.3,98045,96.6,129743,101.2,104731,92.1,103007,101.6,114359
Q4 2014,99.6,114470,98.8,132664,99.2,97790,99.4,105087,101.5,109533,98.3,93042,102.7,98380,101.2,135891,100.5,104013,98.1,109757,100.6,113147
Q1 2015,100,114963,100,134223,100,98572,100,105686,100,107966,100,94673,100,95838,100,134254,100,103539,100,111846,100,112509
Q2 2015,104.1,119685,101.2,135879,102.3,100809,102.5,108329,105.9,114359,99.7,94368,104.6,100243,103.2,138556,105.4,109128,104.1,116442,103.5,116410
Q3 2015,105.6,121423,104.2,139826,105.7,104149,106.8,112844,110,118771,103.6,98115,110.8,106165,105,140947,104.9,108577,104.1,116411,108,121469
Q4 2015,106.8,122798,104.3,140056,108.3,106715,107,113046,109.6,118374,103.1,97635,116.4,111510,106.3,142762,106.9,110679,103.6,115884,108.8,122418
Q1 2016,105.1,120823,104.2,139916,108.2,106619,105,110951,113.4,122382,106.1,100454,115.4,110613,106.1,142481,106.7,110501,109.4,122337,107.4,120818
Q2 2016,111.6,128355,107.2,143937,111.7,110118,112.5,118894,113.2,122173,108.5,102715,115,110247,110.7,148600,111.8,115747,107.8,120583,111.2,125137
