OBJECTID_1,DISTRICT,WARD,MUNICODE,YRAPPROV,MWD_NOPAD,PSEUDONUM,OPA_MUNI,OBJECTID,LABEL,Shape_Leng
1226,4,2,228,2004,22824,1312,866,0, ,0
1227,6,0,165,2005,16506,0313,923,0, ,0
1228,3,0,165,2005,16503,0310,923,0, ,0
1229,2,0,165,2005,16502,0309,923,0, ,0
1230,4,0,165,2005,16504,0311,923,0, ,0
1231,1,0,204,2007,20401,1141,946,0, ,0
1232,2,0,204,2007,20402,1142,946,0, ,0
1234,4,0,204,2007,20404,1144,946,0, ,0
1235,5,0,204,2007,20405,1145,946,0, ,0
1236,6,0,204,2007,20406,1146,946,0, ,0
1237,7,0,204,2007,20407,1147,946,0, ,0
1238,8,0,204,2007,20408,1148,946,0, ,0
1239,9,0,204,2007,20409,1149,946,0, ,0
1240,10,0,204,2007,204010,1150,946,0, ,0
1241,11,0,204,2007,204011,1151,946,0, ,0
1242,3,0,183,2008,18303,0520,932,0, ,0
1243,1,0,160,0,16001,0301,920,0, ,0
1244,1,0,138,1975,13801,0196,826,0, ,0
1245,2,0,183,2008,18302,0519,932,0, ,0
1246,1,0,183,2008,18301,0518,932,0, ,0
1247,5,14,188,1988,188145,0746,100,0, ,0
1248,41,14,188,1988,1881441,0782,100,0, ,0
1249,38,14,188,1988,1881438,0779,100,0, ,0
1250,7,14,188,1988,188147,0748,100,0, ,0
1251,4,0,195,1992,19504,1040,939,0, ,0
1252,1,0,212,0,21201,1198,856,0, ,0
1253,1,0,195,1992,19501,1037,939,0, ,0
1254,2,5,182,1992,18252,0517,931,0, ,0
1255,1,1,182,1992,18211,0508,931,0, ,0
1256,1,4,182,1992,18241,0514,931,0, ,0
1259,1,2,884,2014, , ,0,0, ,0
1260,1,1,884,2014, , ,0,0, ,0
1261,3,2,884,2014, , ,0,0, ,0
1262,2,1,884,2014, , ,0,0, ,0
1263,3,3,884,2014, , ,0,0, ,0
1264,2,3,884,2014, , ,0,0, ,0
1265,2,2,0,2014, , ,0,0, ,0
1267,2,5,110,1992,11052,0054,876,0, ,0
1268,3,5,110,1992,11053,0055,876,0, ,0
1269,1,4,110,1992,11041,0050,876,0, ,0
1270,2,8,110,1992,11082,0063,876,0, ,0
1271,1,8,110,1992,11081,0062,876,0, ,0
1272,2,7,110,1992,11072,0060,876,0, ,0
1273,4,8,110,1993,11084,0065,876,0, ,0
1274,2,4,110,1992,11042,0051,876,0, ,0
1275,3,8,110,1993,11083,0064,876,0, ,0
1276,3,4,110,1992,11043,0052,876,0, ,0
1277,3,1,110,1992,11013,0043,876,0, ,0
1278,3,7,110,1992,11073,0061,876,0, ,0
1279,2,1,110,1992,11012,0042,876,0, ,0
1280,1,6,110,1992,11061,0056,876,0, ,0
1281,2,2,110,1992,11022,0045,876,0, ,0
1282,2,6,110,1992,11062,0057,876,0, ,0
1283,3,6,110,1992,11063,0058,876,0, ,0
1284,3,3,110,1992,11033,0049,876,0, ,0
1285,3,9,110,1992,11093,0068,876,0, ,0
1286,3,2,110,1992,11023,0046,876,0, ,0
1287,1,2,110,1992,11021,0044,876,0, ,0
1288,2,9,110,1992,11092,0067,876,0, ,0
1289,1,9,110,1992,11091,0066,876,0, ,0
1290,1,5,110,1992,11051,0053,876,0, ,0
1291,2,3,110,1992,11032,0048,876,0, ,0
1292,1,3,110,1992,11031,0047,876,0, ,0
1293,1,7,110,1992,11071,0059,876,0, ,0
1294,1,1,110,1992,11011,0041,876,0, ,0
1295,2,3,198,1993,19832,1085,941,0, ,0
1296,2,4,198,1993,19842,1087,941,0, ,0
1297,1,2,173,1991,17321,0425,926,0, ,0
1298,2,0,117,1992,11702,0090,811,0, ,0
1299,3,0,117,1992,11703,0091,811,0, ,0
1300,4,0,117,1992,11704,0092,811,0, ,0
1301,12,0,204,2007,204012,1152,946,0, ,0
1302,3,1,0,2014, , ,0,1,"Ward 1, District 3",34692.09512
1303,3,2,0,2014, , ,0,2,"Ward 2, District 3",22045.793075
1304,1,2,0,2014, , ,0,3,"Ward 2, District 1",14975.617491
1305,4,1,0,2014, , ,0,4,"Ward 1, District 4",21786.770905
1306,4,2,0,2014, , ,0,5,"Ward 2, District 4",14070.023925
1307,2,1,0,2014, , ,0,6,"Ward 1, District 2",17947.019156
1308,2,2,0,2014, , ,0,7,"Ward 2, District 2",20564.507298
1309,1,1,0,2014, , ,0,8,"Ward 1, District 1",19260.586826
1310,1,4,0,2014, , ,0,9,"Ward 4, District 1",25786.900124
1311,1,3,0,2014, , ,0,10,"Ward 3, District 1",26378.337351
1312,3,3,0,2014, , ,0,11,"Ward 3, District 3",22370.722152
1313,4,4,0,2014, , ,0,12,"Ward 4, District 4",46179.25819
1314,2,3,0,2014, , ,0,13,"Ward 3, District 2",26940.053723
