FID,AREA,GRID_CODE,SQFT,ACRES,SQMI
3124,1983580,6,1983580,45.53673,0.071151
3125,60516,6,60516,1.389256,0.002171
3126,20172,5,20172,0.463085,0.000724
3127,26896,5,26896,0.617447,0.000965
3128,47068,5,47068,1.080533,0.001688
3129,6724,6,6724,0.154362,0.000241
3130,60516,5,60516,1.389256,0.002171
3131,53792,6,53792,1.234894,0.00193
3132,6724,5,6724,0.154362,0.000241
3133,40344,5,40344,0.926171,0.001447
3134,87412,2,87412,2.006703,0.003135
3135,20172,5,20172,0.463085,0.000724
3136,100860,6,100860,2.315427,0.003618
3137,6724,11,6724,0.154362,0.000241
3138,13448,5,13448,0.308724,0.000482
3139,20172,6,20172,0.463085,0.000724
3140,114308,7,114308,2.624151,0.0041
3141,26896,6,26896,0.617447,0.000965
3142,87412,5,87412,2.006703,0.003135
3143,20172,5,20172,0.463085,0.000724
3144,6724,6,6724,0.154362,0.000241
3145,26896,6,26896,0.617447,0.000965
3146,268960,5,268960,6.174472,0.009648
3147,484128,7,484128,11.11405,0.017366
3148,6724,5,6724,0.154362,0.000241
3149,60516,6,60516,1.389256,0.002171
3150,20172,3,20172,0.463085,0.000724
3151,26896,6,26896,0.617447,0.000965
3152,20172,6,20172,0.463085,0.000724
3153,20172,5,20172,0.463085,0.000724
3154,356372,6,356372,8.181175,0.012783
3155,47068,5,47068,1.080533,0.001688
3156,208444,6,208444,4.785216,0.007477
3157,80688,6,80688,1.852342,0.002894
3158,255512,6,255512,5.865748,0.009165
3159,33620,5,33620,0.771809,0.001206
3160,26896,5,26896,0.617447,0.000965
3161,147928,5,147928,3.39596,0.005306
3162,26896,5,26896,0.617447,0.000965
3163,40344,5,40344,0.926171,0.001447
3164,6724,6,6724,0.154362,0.000241
3165,13448,6,13448,0.308724,0.000482
3166,6724,4,6724,0.154362,0.000241
3167,40344,5,40344,0.926171,0.001447
3168,221892,5,221892,5.093939,0.007959
3169,13448,6,13448,0.308724,0.000482
3170,6724,6,6724,0.154362,0.000241
3171,558092,6,558092,12.81203,0.020019
3172,6724,4,6724,0.154362,0.000241
3173,33620,6,33620,0.771809,0.001206
3174,1250664,5,1250664,28.71129,0.044861
3175,6724,6,6724,0.154362,0.000241
3176,40344,6,40344,0.926171,0.001447
3177,228616,5,228616,5.248301,0.0082
3178,26896,5,26896,0.617447,0.000965
3179,242064,5,242064,5.557025,0.008683
3180,194996,5,194996,4.476492,0.006995
3181,6724,3,6724,0.154362,0.000241
3182,6724,1,6724,0.154362,0.000241
3183,121032,6,121032,2.778512,0.004341
3184,26896,5,26896,0.617447,0.000965
3185,6724,6,6724,0.154362,0.000241
3186,20172,6,20172,0.463085,0.000724
3187,33620,14,33620,0.771809,0.001206
3188,6724,5,6724,0.154362,0.000241
3189,6724,6,6724,0.154362,0.000241
3190,6724,14,6724,0.154362,0.000241
3191,174824,6,174824,4.013407,0.006271
3192,26896,5,26896,0.617447,0.000965
3193,6724,3,6724,0.154362,0.000241
3194,134480,3,134480,3.087236,0.004824
3195,181548,6,181548,4.167768,0.006512
3196,80688,6,80688,1.852342,0.002894
3197,6724,3,6724,0.154362,0.000241
3198,13448,6,13448,0.308724,0.000482
3199,154652,14,154652,3.550321,0.005547
3200,26896,4,26896,0.617447,0.000965
3201,174824,2,174824,4.013407,0.006271
3202,13448,6,13448,0.308724,0.000482
3203,13448,4,13448,0.308724,0.000482
3204,100860,5,100860,2.315427,0.003618
3205,33620,3,33620,0.771809,0.001206
3206,53792,5,53792,1.234894,0.00193
3207,26896,5,26896,0.617447,0.000965
3208,181548,5,181548,4.167768,0.006512
3209,363096,6,363096,8.335537,0.013024
3210,20172,6,20172,0.463085,0.000724
3211,6724,6,6724,0.154362,0.000241
3212,26896,5,26896,0.617447,0.000965
3213,6724,5,6724,0.154362,0.000241
3214,114308,5,114308,2.624151,0.0041
3215,6724,6,6724,0.154362,0.000241
3216,6724,3,6724,0.154362,0.000241
3217,87412,3,87412,2.006703,0.003135
3218,47068,5,47068,1.080533,0.001688
3219,60516,6,60516,1.389256,0.002171
3220,13448,14,13448,0.308724,0.000482
3221,40344,6,40344,0.926171,0.001447
3222,13448,5,13448,0.308724,0.000482
3223,242064,5,242064,5.557025,0.008683
3224,6724,5,6724,0.154362,0.000241
3225,215168,3,215168,4.939578,0.007718
3226,53792,3,53792,1.234894,0.00193
3227,47068,6,47068,1.080533,0.001688
3228,6724,2,6724,0.154362,0.000241
3229,6724,5,6724,0.154362,0.000241
3230,6724,6,6724,0.154362,0.000241
3231,47068,5,47068,1.080533,0.001688
3232,20172,6,20172,0.463085,0.000724
3233,208444,6,208444,4.785216,0.007477
3234,114308,5,114308,2.624151,0.0041
3235,235340,3,235340,5.402663,0.008442
3236,6724,5,6724,0.154362,0.000241
3237,33620,5,33620,0.771809,0.001206
3238,60516,5,60516,1.389256,0.002171
3239,47068,14,47068,1.080533,0.001688
3240,53792,11,53792,1.234894,0.00193
3241,248788,6,248788,5.711387,0.008924
3242,188272,6,188272,4.32213,0.006753
3243,6724,3,6724,0.154362,0.000241
3244,114308,6,114308,2.624151,0.0041
3245,188272,3,188272,4.32213,0.006753
3246,20172,2,20172,0.463085,0.000724
3247,80688,4,80688,1.852342,0.002894
3248,80688,5,80688,1.852342,0.002894
3249,6724,5,6724,0.154362,0.000241
3250,6724,6,6724,0.154362,0.000241
3251,6724,5,6724,0.154362,0.000241
3252,87412,5,87412,2.006703,0.003135
3253,6724,4,6724,0.154362,0.000241
3254,40344,6,40344,0.926171,0.001447
3255,127756,5,127756,2.932874,0.004583
3256,87412,5,87412,2.006703,0.003135
3257,47068,4,47068,1.080533,0.001688
3258,13448,2,13448,0.308724,0.000482
3259,6724,4,6724,0.154362,0.000241
3260,6724,6,6724,0.154362,0.000241
3261,47068,5,47068,1.080533,0.001688
3262,6724,6,6724,0.154362,0.000241
3263,6724,6,6724,0.154362,0.000241
3264,40344,6,40344,0.926171,0.001447
3265,4363876,5,4363876,100.1808,0.156532
3266,26896,5,26896,0.617447,0.000965
3267,94136,6,94136,2.161065,0.003377
3268,53792,5,53792,1.234894,0.00193
3269,13448,5,13448,0.308724,0.000482
3270,6724,5,6724,0.154362,0.000241
3271,33620,6,33620,0.771809,0.001206
3272,67240,3,67240,1.543618,0.002412
3273,20172,6,20172,0.463085,0.000724
3274,188272,3,188272,4.32213,0.006753
3275,33620,5,33620,0.771809,0.001206
3276,94136,5,94136,2.161065,0.003377
3277,20172,3,20172,0.463085,0.000724
3278,2064268,5,2064268,47.38907,0.074045
3279,6724,6,6724,0.154362,0.000241
3280,13448,3,13448,0.308724,0.000482
3281,6724,3,6724,0.154362,0.000241
3282,255512,14,255512,5.865748,0.009165
3283,47068,6,47068,1.080533,0.001688
3284,1479280,5,1479280,33.95959,0.053062
3285,6724,5,6724,0.154362,0.000241
3286,13448,6,13448,0.308724,0.000482
3287,141204,2,141204,3.241598,0.005065
3288,47068,3,47068,1.080533,0.001688
3289,6724,5,6724,0.154362,0.000241
3290,13448,5,13448,0.308724,0.000482
3291,20172,5,20172,0.463085,0.000724
3292,73964,6,73964,1.69798,0.002653
3293,13448,5,13448,0.308724,0.000482
3294,33620,5,33620,0.771809,0.001206
3295,13448,2,13448,0.308724,0.000482
3296,6724,5,6724,0.154362,0.000241
3297,161376,5,161376,3.704683,0.005789
3298,6724,5,6724,0.154362,0.000241
3299,13448,14,13448,0.308724,0.000482
3300,87412,3,87412,2.006703,0.003135
3301,13448,3,13448,0.308724,0.000482
3302,6724,5,6724,0.154362,0.000241
3303,531196,6,531196,12.1946,0.019054
3304,26896,6,26896,0.617447,0.000965
3305,2716496,6,2716496,62.36217,0.097441
3306,6724,3,6724,0.154362,0.000241
3307,988428,5,988428,22.69118,0.035455
3308,60516,4,60516,1.389256,0.002171
3309,174824,6,174824,4.013407,0.006271
3310,13448,5,13448,0.308724,0.000482
3311,121032,3,121032,2.778512,0.004341
3312,618608,5,618608,14.20129,0.02219
3313,329476,7,329476,7.563728,0.011818
3314,134480,7,134480,3.087236,0.004824
3315,53792,11,53792,1.234894,0.00193
3316,40344,6,40344,0.926171,0.001447
3317,6724,6,6724,0.154362,0.000241
3318,564816,3,564816,12.96639,0.02026
3319,443784,5,443784,10.18788,0.015919
3320,114308,5,114308,2.624151,0.0041
3321,13448,3,13448,0.308724,0.000482
3322,6724,6,6724,0.154362,0.000241
3323,13448,6,13448,0.308724,0.000482
3324,6724,5,6724,0.154362,0.000241
3325,6724,6,6724,0.154362,0.000241
3326,100860,5,100860,2.315427,0.003618
3327,6724,4,6724,0.154362,0.000241
3328,20172,5,20172,0.463085,0.000724
3329,6724,5,6724,0.154362,0.000241
3330,20172,5,20172,0.463085,0.000724
3331,6724,3,6724,0.154362,0.000241
3332,33620,6,33620,0.771809,0.001206
3333,13448,6,13448,0.308724,0.000482
3334,6724,5,6724,0.154362,0.000241
3335,26896,5,26896,0.617447,0.000965
3336,26896,11,26896,0.617447,0.000965
3337,80688,5,80688,1.852342,0.002894
3338,6724,6,6724,0.154362,0.000241
3339,1768412,3,1768412,40.59715,0.063433
3340,161376,6,161376,3.704683,0.005789
3341,67240,6,67240,1.543618,0.002412
3342,282408,5,282408,6.483196,0.01013
3343,60516,14,60516,1.389256,0.002171
3344,13448,6,13448,0.308724,0.000482
3345,215168,5,215168,4.939578,0.007718
3346,107584,5,107584,2.469789,0.003859
3347,13448,3,13448,0.308724,0.000482
3348,13448,6,13448,0.308724,0.000482
3349,1304456,14,1304456,29.94619,0.046791
3350,33620,6,33620,0.771809,0.001206
3351,53792,6,53792,1.234894,0.00193
3352,437060,6,437060,10.03352,0.015677
3353,6724,3,6724,0.154362,0.000241
3354,208444,6,208444,4.785216,0.007477
3355,6724,2,6724,0.154362,0.000241
3356,6724,6,6724,0.154362,0.000241
3357,73964,6,73964,1.69798,0.002653
3358,6724,2,6724,0.154362,0.000241
3359,33620,6,33620,0.771809,0.001206
3360,322752,6,322752,7.409367,0.011577
3361,6724,6,6724,0.154362,0.000241
3362,6724,5,6724,0.154362,0.000241
3363,13448,6,13448,0.308724,0.000482
3364,6724,6,6724,0.154362,0.000241
3365,26896,5,26896,0.617447,0.000965
3366,6724,6,6724,0.154362,0.000241
3367,100860,6,100860,2.315427,0.003618
3368,33620,3,33620,0.771809,0.001206
3369,20172,6,20172,0.463085,0.000724
3370,33620,6,33620,0.771809,0.001206
3371,20172,6,20172,0.463085,0.000724
3372,100860,6,100860,2.315427,0.003618
3373,6724,6,6724,0.154362,0.000241
3374,60516,14,60516,1.389256,0.002171
3375,33620,6,33620,0.771809,0.001206
3376,87412,6,87412,2.006703,0.003135
3377,60516,5,60516,1.389256,0.002171
3378,80688,5,80688,1.852342,0.002894
3379,73964,3,73964,1.69798,0.002653
3380,94136,3,94136,2.161065,0.003377
3381,6724,6,6724,0.154362,0.000241
3382,73964,3,73964,1.69798,0.002653
3383,67240,5,67240,1.543618,0.002412
3384,13448,5,13448,0.308724,0.000482
3385,6724,3,6724,0.154362,0.000241
3386,13448,5,13448,0.308724,0.000482
3387,121032,6,121032,2.778512,0.004341
3388,477404,5,477404,10.95969,0.017125
3389,134480,6,134480,3.087236,0.004824
3390,26896,5,26896,0.617447,0.000965
3391,53792,5,53792,1.234894,0.00193
3392,437060,6,437060,10.03352,0.015677
3393,6724,6,6724,0.154362,0.000241
3394,26896,6,26896,0.617447,0.000965
3395,73964,10,73964,1.69798,0.002653
3396,2286160,4,2286160,52.483,0.082005
3397,208444,4,208444,4.785216,0.007477
3398,215168,6,215168,4.939578,0.007718
3399,457232,6,457232,10.4966,0.016401
3400,6724,5,6724,0.154362,0.000241
3401,168100,6,168100,3.859045,0.00603
3402,40344,14,40344,0.926171,0.001447
3403,6724,6,6724,0.154362,0.000241
3404,47068,6,47068,1.080533,0.001688
3405,26896,2,26896,0.617447,0.000965
3406,26896,5,26896,0.617447,0.000965
3407,20172,5,20172,0.463085,0.000724
3408,13448,6,13448,0.308724,0.000482
3409,53792,6,53792,1.234894,0.00193
3410,87412,6,87412,2.006703,0.003135
3411,20172,5,20172,0.463085,0.000724
3412,584988,5,584988,13.42948,0.020984
3413,47068,14,47068,1.080533,0.001688
3414,289132,5,289132,6.637558,0.010371
3415,33620,6,33620,0.771809,0.001206
3416,13448,6,13448,0.308724,0.000482
3417,20172,6,20172,0.463085,0.000724
3418,114308,5,114308,2.624151,0.0041
3419,53792,6,53792,1.234894,0.00193
3420,13448,5,13448,0.308724,0.000482
3421,13448,5,13448,0.308724,0.000482
3422,6724,6,6724,0.154362,0.000241
3423,127756,6,127756,2.932874,0.004583
3424,47068,3,47068,1.080533,0.001688
3425,6724,6,6724,0.154362,0.000241
3426,6724,5,6724,0.154362,0.000241
3427,20172,2,20172,0.463085,0.000724
3428,20172,6,20172,0.463085,0.000724
3429,2501328,3,2501328,57.42259,0.089723
3430,20172,6,20172,0.463085,0.000724
3431,127756,6,127756,2.932874,0.004583
3432,13448,6,13448,0.308724,0.000482
3433,1486000,5,1486000,34.114,0.053303
3434,47068,5,47068,1.080533,0.001688
3435,6724,6,6724,0.154362,0.000241
3436,40344,14,40344,0.926171,0.001447
3437,6724,6,6724,0.154362,0.000241
3438,6724,6,6724,0.154362,0.000241
3439,13448,14,13448,0.308724,0.000482
3440,13448,3,13448,0.308724,0.000482
3441,53792,6,53792,1.234894,0.00193
3442,40344,5,40344,0.926171,0.001447
3443,80688,6,80688,1.852342,0.002894
3444,6724,14,6724,0.154362,0.000241
3445,26896,5,26896,0.617447,0.000965
3446,6724,6,6724,0.154362,0.000241
3447,497576,6,497576,11.42277,0.017848
3448,6724,3,6724,0.154362,0.000241
3449,699296,6,699296,16.05363,0.025084
3450,6724,4,6724,0.154362,0.000241
3451,6724,6,6724,0.154362,0.000241
3452,13448,4,13448,0.308724,0.000482
3453,121032,2,121032,2.778512,0.004341
3454,6724,14,6724,0.154362,0.000241
3455,161376,6,161376,3.704683,0.005789
3456,53792,14,53792,1.234894,0.00193
3457,60516,6,60516,1.389256,0.002171
3458,26896,3,26896,0.617447,0.000965
3459,80688,5,80688,1.852342,0.002894
3460,11646000,6,11646000,267.355,0.417742
3461,6724,5,6724,0.154362,0.000241
3462,13448,6,13448,0.308724,0.000482
3463,1129632,6,1129632,25.93278,0.04052
3464,20172,5,20172,0.463085,0.000724
3465,67240,5,67240,1.543618,0.002412
3466,255512,6,255512,5.865748,0.009165
3467,6724,6,6724,0.154362,0.000241
3468,20172,2,20172,0.463085,0.000724
3469,26896,5,26896,0.617447,0.000965
3470,625332,14,625332,14.35565,0.022431
3471,53792,6,53792,1.234894,0.00193
3472,6724,5,6724,0.154362,0.000241
3473,33620,2,33620,0.771809,0.001206
3474,6724,5,6724,0.154362,0.000241
3475,6724,6,6724,0.154362,0.000241
3476,33620,5,33620,0.771809,0.001206
3477,6724,6,6724,0.154362,0.000241
3478,215168,5,215168,4.939578,0.007718
3479,107584,5,107584,2.469789,0.003859
3480,127756,14,127756,2.932874,0.004583
3481,490852,5,490852,11.26841,0.017607
3482,154652,10,154652,3.550321,0.005547
3483,1566692,5,1566692,35.9663,0.056197
3484,6724,6,6724,0.154362,0.000241
3485,73964,5,73964,1.69798,0.002653
3486,13448,6,13448,0.308724,0.000482
3487,188272,5,188272,4.32213,0.006753
3488,60516,6,60516,1.389256,0.002171
3489,20172,6,20172,0.463085,0.000724
3490,67240,14,67240,1.543618,0.002412
3491,235340,14,235340,5.402663,0.008442
3492,6724,5,6724,0.154362,0.000241
3493,201720,14,201720,4.630854,0.007236
3494,87412,5,87412,2.006703,0.003135
3495,94136,6,94136,2.161065,0.003377
3496,47068,6,47068,1.080533,0.001688
3497,181548,5,181548,4.167768,0.006512
3498,6724,5,6724,0.154362,0.000241
3499,591712,5,591712,13.58384,0.021225
3500,13448,6,13448,0.308724,0.000482
3501,53792,5,53792,1.234894,0.00193
3502,26896,6,26896,0.617447,0.000965
3503,87412,5,87412,2.006703,0.003135
3504,80688,5,80688,1.852342,0.002894
3505,6724,5,6724,0.154362,0.000241
3506,147928,5,147928,3.39596,0.005306
3507,6724,4,6724,0.154362,0.000241
3508,121032,5,121032,2.778512,0.004341
3509,6724,5,6724,0.154362,0.000241
3510,389992,6,389992,8.952985,0.013989
3511,1304456,5,1304456,29.94619,0.046791
3512,67240,3,67240,1.543618,0.002412
3513,201720,5,201720,4.630854,0.007236
3514,53792,6,53792,1.234894,0.00193
3515,73964,5,73964,1.69798,0.002653
3516,6724,3,6724,0.154362,0.000241
3517,40344,5,40344,0.926171,0.001447
3518,13448,4,13448,0.308724,0.000482
3519,6724,5,6724,0.154362,0.000241
3520,67240,6,67240,1.543618,0.002412
3521,6724,6,6724,0.154362,0.000241
3522,87412,5,87412,2.006703,0.003135
3523,60516,6,60516,1.389256,0.002171
3524,13448,14,13448,0.308724,0.000482
3525,437060,5,437060,10.03352,0.015677
3526,13448,4,13448,0.308724,0.000482
3527,53792,6,53792,1.234894,0.00193
3528,47068,5,47068,1.080533,0.001688
3529,20172,14,20172,0.463085,0.000724
3530,20172,5,20172,0.463085,0.000724
3531,141204,5,141204,3.241598,0.005065
3532,13448,5,13448,0.308724,0.000482
3533,40344,5,40344,0.926171,0.001447
3534,20172,6,20172,0.463085,0.000724
3535,67240,5,67240,1.543618,0.002412
3536,47068,5,47068,1.080533,0.001688
3537,6724,6,6724,0.154362,0.000241
3538,20172,6,20172,0.463085,0.000724
3539,20172,6,20172,0.463085,0.000724
3540,33620,14,33620,0.771809,0.001206
3541,33620,5,33620,0.771809,0.001206
3542,47068,2,47068,1.080533,0.001688
3543,497576,5,497576,11.42277,0.017848
3544,13448,6,13448,0.308724,0.000482
3545,188272,6,188272,4.32213,0.006753
3546,100860,6,100860,2.315427,0.003618
3547,6724,5,6724,0.154362,0.000241
3548,26896,6,26896,0.617447,0.000965
3549,40344,5,40344,0.926171,0.001447
3550,40344,2,40344,0.926171,0.001447
3551,67240,3,67240,1.543618,0.002412
3552,47068,5,47068,1.080533,0.001688
3553,6724,3,6724,0.154362,0.000241
3554,26896,6,26896,0.617447,0.000965
3555,20172,5,20172,0.463085,0.000724
3556,6724,11,6724,0.154362,0.000241
3557,1116184,5,1116184,25.62406,0.040038
3558,20172,5,20172,0.463085,0.000724
3559,13448,5,13448,0.308724,0.000482
3560,60516,6,60516,1.389256,0.002171
3561,107584,5,107584,2.469789,0.003859
3562,20172,5,20172,0.463085,0.000724
3563,6724,6,6724,0.154362,0.000241
3564,47068,5,47068,1.080533,0.001688
3565,94136,5,94136,2.161065,0.003377
3566,3059420,6,3059420,70.23462,0.109742
3567,26896,14,26896,0.617447,0.000965
3568,20172,6,20172,0.463085,0.000724
3569,73964,3,73964,1.69798,0.002653
3570,3664580,5,3664580,84.12718,0.131449
3571,6724,6,6724,0.154362,0.000241
3572,33620,14,33620,0.771809,0.001206
3573,181548,6,181548,4.167768,0.006512
3574,477404,6,477404,10.95969,0.017125
3575,524472,6,524472,12.04022,0.018813
3576,6724,5,6724,0.154362,0.000241
3577,13448,6,13448,0.308724,0.000482
3578,26896,6,26896,0.617447,0.000965
3579,127756,6,127756,2.932874,0.004583
3580,60516,6,60516,1.389256,0.002171
3581,100860,4,100860,2.315427,0.003618
3582,26896,6,26896,0.617447,0.000965
3583,6724,5,6724,0.154362,0.000241
3584,1176700,6,1176700,27.01332,0.042208
3585,13448,5,13448,0.308724,0.000482
3586,80688,6,80688,1.852342,0.002894
3587,275684,6,275684,6.328834,0.009889
3588,948084,3,948084,21.76501,0.034008
3589,6724,6,6724,0.154362,0.000241
3590,73964,6,73964,1.69798,0.002653
3591,100860,6,100860,2.315427,0.003618
3592,47068,6,47068,1.080533,0.001688
3593,6724,5,6724,0.154362,0.000241
3594,53792,6,53792,1.234894,0.00193
3595,13448,13,13448,0.308724,0.000482
3596,6724,5,6724,0.154362,0.000241
3597,208444,6,208444,4.785216,0.007477
3598,194996,5,194996,4.476492,0.006995
3599,26896,6,26896,0.617447,0.000965
3600,584988,5,584988,13.42948,0.020984
3601,13448,6,13448,0.308724,0.000482
3602,6724,6,6724,0.154362,0.000241
3603,20172,6,20172,0.463085,0.000724
3604,6724,5,6724,0.154362,0.000241
3605,221892,5,221892,5.093939,0.007959
3606,6724,5,6724,0.154362,0.000241
3607,316028,6,316028,7.255004,0.011336
3608,60516,3,60516,1.389256,0.002171
3609,33620,5,33620,0.771809,0.001206
3610,20172,5,20172,0.463085,0.000724
3611,356372,6,356372,8.181175,0.012783
3612,26896,14,26896,0.617447,0.000965
3613,188272,6,188272,4.32213,0.006753
3614,73964,6,73964,1.69798,0.002653
3615,13448,5,13448,0.308724,0.000482
3616,40344,14,40344,0.926171,0.001447
3617,154652,5,154652,3.550321,0.005547
3618,80688,6,80688,1.852342,0.002894
3619,584988,5,584988,13.42948,0.020984
3620,87412,14,87412,2.006703,0.003135
3621,53792,5,53792,1.234894,0.00193
3622,6724,3,6724,0.154362,0.000241
3623,60516,6,60516,1.389256,0.002171
3624,6724,3,6724,0.154362,0.000241
3625,437060,5,437060,10.03352,0.015677
3626,80688,6,80688,1.852342,0.002894
3627,194996,14,194996,4.476492,0.006995
3628,114308,5,114308,2.624151,0.0041
3629,67240,14,67240,1.543618,0.002412
3630,591712,5,591712,13.58384,0.021225
3631,40344,6,40344,0.926171,0.001447
3632,141204,5,141204,3.241598,0.005065
3633,6724,3,6724,0.154362,0.000241
3634,13448,5,13448,0.308724,0.000482
3635,53792,5,53792,1.234894,0.00193
3636,13448,6,13448,0.308724,0.000482
3637,6724,4,6724,0.154362,0.000241
3638,33620,6,33620,0.771809,0.001206
3639,13448,6,13448,0.308724,0.000482
3640,6724,5,6724,0.154362,0.000241
3641,121032,3,121032,2.778512,0.004341
3642,13448,4,13448,0.308724,0.000482
3643,33620,6,33620,0.771809,0.001206
3644,47068,3,47068,1.080533,0.001688
3645,611884,6,611884,14.04692,0.021948
3646,517748,5,517748,11.88586,0.018572
3647,6724,5,6724,0.154362,0.000241
3648,20172,2,20172,0.463085,0.000724
3649,6724,5,6724,0.154362,0.000241
3650,60516,7,60516,1.389256,0.002171
3651,20172,5,20172,0.463085,0.000724
3652,201720,5,201720,4.630854,0.007236
3653,302580,4,302580,6.946281,0.010854
3654,13448,6,13448,0.308724,0.000482
3655,26896,5,26896,0.617447,0.000965
3656,6724,14,6724,0.154362,0.000241
3657,60516,14,60516,1.389256,0.002171
3658,73964,6,73964,1.69798,0.002653
3659,26896,5,26896,0.617447,0.000965
3660,26896,3,26896,0.617447,0.000965
3661,8707580,6,8707580,199.898,0.312341
