Year,"All cancers (C00–C96, D45–D47) No.","All cancers (C00–C96, D45–D47) Rate","Lip, Oral Cavity and Pharynx (C00–C14) No.","Lip, Oral Cavity and Pharynx (C00–C14) Rate",Oesophagus (C15) No.,Oesophagus (C15) Rate,Stomach (C16) No.,Stomach (C16) Rate,Colorectum and anus (C18–C21) No.,Colorectum and anus (C18–C21) Rate,Liver and intrahepatic bile ducts (C22) No.,Liver and intrahepatic bile ducts (C22) Rate,Pancreas (C25) No.,Pancreas (C25) Rate,Lung (C33–C34)No.,Lung (C33–C34) Rate,Melanoma (C43) No.,Melanoma (C43) Rate,Prostate (C61) No.,Prostate (C61) Rate,Testis (C62) No.,Testis (C62) Rate,"Kidney (C64–C66, C68) No.","Kidney (C64–C66, C68) Rate",Bladder (C67) No.,Bladder (C67) Rate,Brain (C71) No.,Brain (C71) Rate,Thyroid (C73) No.,Thyroid (C73) Rate,Hodgkin Lymphoma (C81) No.,Hodgkin Lymphoma (C81) Rate,"Non-Hodgkin Lymphoma (C82–C85, C96)   No.","Non-Hodgkin Lymphoma (C82–C85, C96)   Rate",Myeloma (C90) No.,Myeloma (C90) Rate,Leukaemia (C91–C95)  No.,Leukaemia (C91–C95)  Rate
1984,5888,160.8,102,2.9,121,3.3,319,8.6,962,26.1,81,2.4,245,6.5,1282,34.4,161,4.7,111,3.1,120,3.1,169,4.9,7,0.2,21,0.6,125,3.4,87,2.3,186,5.2,,,,
1985,6167,165.6,107,2.9,153,4,325,8.5,989,26.7,61,1.6,275,7.2,1197,31.9,160,4.6,150,4,134,3.4,179,5.2,18,0.5,23,0.6,161,4.2,111,2.9,203,5.5,,,,
1986,6221,163.1,116,3,135,3.4,345,8.9,1037,27.1,57,1.6,278,7,1278,33.1,159,4.4,111,2.9,138,3.4,148,4.3,12,0.3,29,0.8,179,4.7,113,2.9,220,5.9,,,,
1987,6410,165.8,105,2.8,160,4,333,8.3,997,25.6,81,2.2,268,6.7,1346,34.5,150,4.2,112,3,141,3.4,148,4.3,19,0.5,22,0.6,176,4.4,101,2.6,223,5.9,,,,
1988,6481,165.2,115,2.9,175,4.3,309,7.6,1020,26.1,89,2.3,255,6.4,1287,32.7,170,4.5,126,3.2,156,3.7,164,4.6,15,0.4,27,0.7,199,5.1,97,2.4,223,5.9,,,,
1989,6631,166.9,125,3.2,168,4.1,312,7.6,1064,26.5,91,2.4,253,6.2,1307,32.9,166,4.4,135,3.4,154,3.6,135,3.8,19,0.5,19,0.5,192,4.9,96,2.4,241,6.2,,,,
1990,6746,166.2,97,2.5,178,4.3,302,7.2,1024,25.3,82,2.1,258,6.1,1336,33,188,4.9,120,3,149,3.4,163,4.4,18,0.4,13,0.3,228,5.7,111,2.7,215,5.4,,,,
1991,6792,165.2,111,2.8,179,4.3,302,7.2,1101,26.5,98,2.4,290,6.8,1296,31.6,180,4.7,124,2.9,149,3.3,204,5.6,19,0.4,14,0.3,204,5,97,2.3,215,5.2,,,,
1992,6881,161.5,100,2.3,174,4,314,7.2,1060,24.9,84,2.1,273,6.2,1392,32.5,182,4.5,134,3.2,141,3,184,4.9,19,0.5,13,0.3,255,6,106,2.4,247,6,,,,
1993,7094,163.4,84,2.1,209,4.7,275,6.2,1074,24.4,93,2.3,268,6.1,1336,30.9,194,4.6,144,3.4,150,3.2,203,5.4,26,0.6,23,0.6,229,5.4,128,2.8,248,5.8,,,,
1994,7166,161.3,89,2.1,202,4.4,251,5.4,1149,25.9,91,2.2,272,6,1403,31.7,193,4.6,150,3.5,166,3.4,192,4.8,18,0.4,15,0.4,244,5.5,125,2.8,258,5.9,,,,
1995,7422,164.5,109,2.5,225,4.8,265,5.7,1110,24.5,113,2.6,286,6.2,1406,31.5,197,4.6,144,3.4,155,3.1,167,4,28,0.6,18,0.5,237,5.3,116,2.5,245,5.5,,,,
1996,7461,160.8,114,2.6,192,4.1,297,6.3,1133,24.3,104,2.4,298,6.3,1406,30.5,194,4.4,149,3.2,186,3.7,200,4.8,22,0.5,11,0.2,286,6.2,120,2.5,255,5.7,,,,
1997,7282,150.6,92,2,212,4.3,268,5.3,1089,22.3,122,2.7,284,5.8,1412,29.6,201,4.3,144,3,157,2.9,207,4.7,16,0.3,22,0.5,290,5.9,157,3.1,232,5.1,,,,
1998,7582,152.4,90,1.8,162,3.1,303,6,1123,22.2,124,2.7,343,6.8,1381,28.1,248,5.2,174,3.6,169,3,203,4.5,19,0.4,14,0.3,316,6.5,153,2.9,257,5.2,,,,
1999,7674,151.4,114,2.3,172,3.3,334,6.6,1137,22.3,127,2.6,298,5.7,1443,28.8,231,4.8,168,3.4,168,3,205,4.6,21,0.4,15,0.4,327,6.6,135,2.5,266,5.3,,,,
2000,7620,146.1,133,2.7,187,3.5,309,5.8,1134,21.4,143,2.9,312,5.9,1406,27.3,253,5.2,143,2.7,159,2.8,229,5,17,0.3,8,0.1,265,5.1,135,2.5,260,5.1,,,,
2001,7810,145.5,113,2.2,212,3.8,303,5.6,1177,21.6,120,2.4,285,5.3,1435,27.3,244,4.7,160,3,176,2.9,225,5,14,0.3,13,0.3,300,5.6,149,2.6,252,4.8,,,,
2002,7800,140.7,122,2.3,185,3.2,301,5.4,1135,20.2,153,2.9,303,5.4,1471,26.9,235,4.6,173,3.2,184,3,215,4.5,19,0.3,15,0.3,283,5.2,143,2.5,236,4.3,,,,
2003,8027,141.8,132,2.4,204,3.5,315,5.5,1116,19.3,148,2.8,306,5.4,1466,26.6,285,5.2,191,3.4,176,2.8,224,4.5,21,0.4,20,0.4,335,6,154,2.7,269,4.8,,,,
2004,8145,140.7,101,1.9,206,3.5,301,5.4,1173,19.7,176,3.1,355,6,1555,27.8,249,4.4,183,3.3,180,2.8,222,4.3,29,0.5,15,0.3,288,5,148,2.5,291,5.1,,,,
2005,7971,133.6,126,2.2,196,3.2,256,4.3,1222,19.9,140,2.5,353,5.9,1451,25,269,4.8,183,3.1,185,2.8,219,4.3,21,0.4,17,0.3,263,4.4,154,2.5,307,5.2,,,,
2006,8094,132.4,118,2,208,3.4,273,4.6,1190,18.9,207,3.6,352,5.5,1457,24.7,287,4.7,165,2.8,197,3,235,4.4,34,0.6,18,0.3,312,5.2,147,2.4,298,4.8,,,,
2007,8519,135.1,123,2,244,3.7,297,4.9,1252,19.4,203,3.4,428,6.8,1528,24.7,292,4.8,194,3.1,169,2.4,219,4.2,20,0.3,23,0.4,306,4.9,177,2.7,306,4.9,,,,
2008,8566,132.3,127,2,229,3.4,283,4.4,1280,19.3,190,3.1,373,5.6,1634,25.7,317,5.1,192,3,200,2.7,207,3.6,23,0.4,23,0.4,273,4.2,164,2.5,287,4.6,,,,
2009,8437,126.8,124,2,241,3.5,248,3.8,1244,18.3,208,3.2,413,6.2,1593,24.4,326,5.1,196,3.1,209,2.9,216,3.9,21,0.3,18,0.3,291,4.4,124,1.8,266,4,,,,
2010,8593,125.2,116,1.8,221,3.2,253,3.8,1208,17.1,205,3.2,435,6.3,1650,24.6,324,4.9,205,3,175,2.2,238,4,25,0.4,16,0.3,263,3.6,166,2.4,289,4.2,,,,
2011,8891,125.9,127,1.9,262,3.8,296,4.4,1191,16.2,240,3.6,429,6.1,1682,24.2,359,5.3,221,3.2,200,2.6,249,4.3,32,0.5,16,0.2,288,3.9,192,2.6,318,4.6,,,,
2012,8905,124,115,1.8,227,3.1,302,4.3,1283,17.4,236,3.5,463,6.2,1628,23.1,354,5.1,210,2.9,207,2.6,278,4.5,30,0.4,26,0.4,274,4,156,2.1,346,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: New Zealand Mortality Collection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rates are expressed per 100,000 population and age-standardised to the World Health Organisation world standard population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank areas indicate information is not available for that cancer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See coding information for full details of sites included in each ICD code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
