FID,WARD93_ID,NAME,SHAPE_AREA
152,1922,PENNYBURN,2154941.06048
153,103,BALLYCRAIGY,556247.874581
154,1205,BLEARY,17405284.3671
155,2108,GLENAAN,15874669.4038
156,1010,HOPEFIELD,2088422.82376
157,1014,MOUNT SANDEL,1856679.60651
158,1004,CASTLEROCK,29042712.9929
159,1317,MURLOUGH,12121774.5994
160,605,DROMORE NORTH,3474725.24173
161,220,WHITESPOTS,2698556.03401
162,1604,BLACKCAVE,855171.779813
163,1105,KILLYCOLPY,94971856.5146
164,2418,HOLYWOOD PRIORY,4453470.05356
165,1007,CROSS GLEBE,1259000.60949
166,1520,NEWTOWNBUTLER,90673637.2317
167,119,TOOME,64792833.9627
168,743,SYDENHAM,6235593.87348
169,1819,LISNAGARVY,697468.643796
170,2216,FORKHILL,43622112.0633
171,2506,DROMORE,40283409.3696
172,302,BALLYMARTRIM,61403428.752
173,1605,CARNCASTLE,14.861146
174,913,KNOCKBRACKEN,1082340.18317
175,1321,SHIMNA,1344173.15487
176,101,ALDERGROVE,156140438.774
177,811,NORTHLAND,189381.917171
178,2106,DALRIADA,832402.972538
179,2604,DUNNAMANAGH,94289208.7335
180,1315,KILLYLEAGH,10833924.2233
181,1923,ROSEMOUNT,424365.802813
182,2412,CRAWFORDSBURN,31.271931
183,2411,CRAIGAVAD,32.137498
184,2412,CRAWFORDSBURN,6421626.78768
185,1111,OLDTOWN,816959.033961
186,121,FARRANSHANE,4020976.16435
187,304,CARRIGATUKE,62730971.7025
188,2508,DRUMQUIN,133589166.243
189,726,GLENCAIRN,4098736.37939
190,722,FALLS PARK,2349543.33066
191,513,ROUTE,2643958.50048
192,1022,CENTRAL,1069571.67702
193,2411,CRAIGAVAD,103.464302
194,404,BALLYKEEL,1086318.08926
195,212,KIRCUBBIN,64181843.1035
196,1901,ALTNAGELVIN,3158617.86686
197,2503,CLANABOGAN,87768591.517
198,1912,CREGGAN SOUTH,773172.065854
199,1827,TWINBROOK,609215.199513
200,2201,ANNALONG,57.791921
201,1909,CLONDERMOT,1189870.04819
202,201,BALLYGOWAN,15589334.3263
203,211,KILLINCHY,70233822.8151
204,115,STEEPLE,414249.614985
205,1930,WESTLAND,310767.388383
206,1906,CARN HILL,918628.521043
207,735,ORANGEFIELD,1460097.84036
208,407,CASTLE DEMESNE,1132015.52143
209,2302,BALLYCLARE NORTH,1819426.81292
210,1614,KILWAUGHTER,65663664.3477
211,1701,AGHANLOO,76062652.7687
212,2107,DUNSEVERICK,4877.492256
213,2228,ST PATRICK'S,1664169.17124
214,1613,ISLAND MAGEE,31627696.354
215,1904,BEECHWOOD,415623.920677
216,1307,CROSSGAR,32606908.7012
217,2416,HARBOUR,20.483966
218,809,LOVE LANE,811548.710048
219,308,DOWNS,1532782.98468
220,2323,ROSTULLA,1946032.18841
221,208,DONAGHADEE NORTH,9436.780371
222,2617,BALLYCOLMAN,567477.090542
223,312,KILLEEN,62378751.0421
224,815,WOODBURN,36218113.127
225,611,KATESBRIDGE,71415779.7495
226,1924,SHANTALLOW EAST,423529.113537
227,1808,DRUMBO,25364602.5279
228,2416,HARBOUR,6.554457
229,2322,MOSSLEY,1425986.80839
230,1201,AGHAGALLON,100182232.783
231,1609,GARDENMORE,1213230.90275
232,409,CULLYBACKEY,4848777.17534
233,1801,BALLYMACASH,1921985.16652
234,2233,DERRYLECKAGH,14846963.2668
235,2409,CLANDEBOYE,6624824.39063
236,2011,TOBERMORE,60697887.9799
237,731,LADYBROOK,1287222.82899
238,2205,BINNIAN,65621816.7042
239,2509,DRUMRAGH,4044020.27353
240,2103,BONAMARGY AND RATHLIN,2130.386614
241,2614,VICTORIA BRIDGE,81414852.6367
242,926,GALWALLY,1051502.45003
243,1910,VICTORIA,1121064.70282
244,317,MILFORD,44324634.5029
245,742,STRANMILLIS,2467768.92841
246,1702,BALLYKELLY,20524239.322
247,1714,THE HIGHLANDS,57273832.8247
248,2112,GLENTAISIE,627423.103547
249,2519,STRULE,1706469.20466
250,1412,COALISLAND WEST AND NEWMILLS,9217403.44932
251,1713,ROESIDE,1322790.13669
252,608,FORT,1235695.839
253,2404,BANGOR CASTLE,1682750.87195
254,902,BEECHILL,3815021.20702
255,1815,KILWEE,1000698.16374
256,2411,CRAIGAVAD,19284344.736
257,2010,SWATRAGH,69000308.2004
258,703,BALLYHACKAMORE,1151369.91428
259,2411,CRAIGAVAD,7.811479
260,2306,BALLYNURE,45361827.2523
261,2512,GORTIN,90459353.897
262,724,FORTWILLIAM,1034714.88782
263,914,LISNASHARRAGH,974753.776669
264,1703,ENAGH,759339.18503
265,106,CRUMLIN,14662581.4152
266,612,LAWRENCETOWN,27691897.3166
267,603,BANNSIDE,71300989.4908
268,901,BALLYHANWOOD,10543464.9388
269,713,CASTLEVIEW,1408991.24037
270,1717,GREYSTONE,294576.380275
271,903,CARROWREAGH,7496117.01342
272,2301,ABBEY,1931174.46508
273,2107,DUNSEVERICK,37405359.1093
274,1611,GLYNN,35102383.1419
275,208,DONAGHADEE NORTH,6031.677461
276,1927,STRAND,1198139.13025
277,1525,"KESH, EDERNEY and LACK",112860352.87
278,2012,TOWN PARKS EAST,1169619.2878
279,1219,MOURNEVIEW,749937.849182
280,203,BRADSHAW'S BRAE,10389696.9389
281,1013,MACOSQUIN,73495194.3361
282,923,CAIRNSHILL,910884.445725
283,1225,WARINGSTOWN,11744704.541
284,921,WYNCHURCH,494221.378093
285,2327,BALLYROBERT,25338371.8784
286,1312,DUNMORE,45800208.1609
287,2303,BALLYCLARE SOUTH,1789496.91967
288,2521,TRILLICK,84064851.4353
289,721,FALLS,1199963.03706
290,109,GREYSTONE,566518.036289
291,305,CHARLEMONT,34297530.0361
292,2502,CAMOWEN,1727841.26598
293,208,DONAGHADEE NORTH,175068.908986
294,1207,CHURCH,554719.069791
295,1704,COOLESSAN,801454.478687
296,2514,KILLYCLOGHER,2168418.8715
297,2420,PRINCETOWN,400.563341
298,2304,BALLYDUFF,518686.191761
299,2607,GLENDERG,170900736.9
300,318,OBSERVATORY,4179882.98452
301,2325,WHITEHOUSE,690143.912235
302,2411,CRAIGAVAD,68.318687
303,2414,DUFFERIN,826431.123762
304,1310,DRUMANESS,35295763.623
305,808,KNOCKAGH,3173216.81836
306,506,DUNLOY,22400142.9333
307,2221,NEWTOWNHAMILTON,77339610.4094
308,417,HARRYVILLE,2893140.31979
309,1513,FLORENCE COURT AND KINAWLEY,163754269.859
310,727,GLENCOLIN,9542178.46973
311,704,BALLYMACARRETT,780313.920864
312,2603,CLARE,89682156.3422
313,750,WOODSTOCK,557154.533022
314,2105,CARNMOON,30888601.7911
315,1712,RATHBRADY,783796.087318
316,309,HAMILTONSBAWN,54753672.9712
317,1708,FOREST,38938733.871
318,1016,RINGSEND,107212727.717
319,818,BURLEIGH HILL,1145813.95639
320,2609,NORTH,4770964.50824
321,741,STORMONT,7042747.11339
322,2420,PRINCETOWN,1624008.07775
323,1818,LAMBEG,4194777.07338
324,620,THE CUT,758448.246655
325,501,BALLYHOE AND CORKEY,81634899.5599
326,310,HOCKLEY,41905893.9987
327,1212,DRUMGOR,3003695.83507
328,2516,NEWTOWNSAVILLE,71441783.2042
329,1302,AUDLEYS ACRE,1826954.1028
330,614,QUILLY,48624527.7367
331,1319,SAINTFIELD,13949709.7309
332,2015,GLEBE,1904808.41332
333,1803,BALLYMACOSS,14010006.176
334,810,MILEBUSH,382827.417091
335,906,DOWNSHIRE,442904.804898
336,2411,CRAIGAVAD,413.405277
337,1215,KILLYCOMAIN,911256.325446
338,1603,BALLYLORAN,288294.506288
339,217,PORTAVOGIE,22964048.5517
340,817,BLUEFIELD,920846.882609
341,205,COMBER NORTH,3641720.89692
342,1921,NEW BUILDINGS,5244997.69002
343,2115,MOSS-SIDE AND MOYARGET,39907773.6113
344,2424,WHITEHILL,478757.927953
345,2208,CREGGAN,59942327.9617
346,1810,GLENAVY,79076236.4188
347,1420,MOY,26589288.4574
348,2310,CLOUGHFERN,3323546.90508
349,1309,DONARD,181.602125
350,1415,DRUMGLASS,4721066.20432
351,701,ANDERSONSTOWN,1078930.62549
352,2408,CHURCHILL,794740.98439
353,2320,MALLUSK,23659616.21
354,1505,BROOKEBOROUGH,123772619.04
355,1807,DROMARA,45184770.2048
356,2415,GROOMSPORT,7356788.34027
357,401,AHOGHILL,11175528.5375
358,2207,CLONALLAN,2596712.72227
359,208,DONAGHADEE NORTH,1.118504
360,920,UPPER BRANIEL,2819142.43104
361,1107,LISSAN,73030386.8357
362,1214,KERNAN,17057825.2507
363,1018,STRAND,3347078.33614
364,1309,DONARD,15.560868
365,715,CHERRYVALLEY,1988251.88228
366,728,HIGHFIELD,2693860.83735
367,738,SHAFTESBURY,2232267.74419
368,1220,PARKLAKE,2762187.10259
369,2016,VALLEY,36713904.9802
370,1503,BELLEEK AND BOA,172971083.812
371,1915,EBRINGTON,1537571.76124
372,2613,SOUTH,1703819.38209
373,2005,GULLADUFF,36357036.9335
374,2316,GLENGORMLEY,517765.084318
375,416,GRANGE,60368561.7718
376,2103,BONAMARGY AND RATHLIN,170.361085
377,222,BALLYRAINEY,10179531.2944
378,1512,ERNE,6530726.77134
379,208,DONAGHADEE NORTH,1.166347
380,1828,WALLACE PARK,1742650.70377
381,112,RANDALSTOWN,23083699.8996
382,1405,BALLYSAGGART,2551820.37739
383,202,BALLYWALTER,49041890.7373
384,905,CREGAGH,326988.467492
385,2601,ARTIGARVAN,46833847.1822
386,2520,TERMON,84420926.0717
387,1814,HILLSBOROUGH,29802067.9437
388,718,CLONARD,610963.244161
389,2425,BLOOMFIELD,1446308.71826
390,1521,ROSSLEA,95439275.2605
