Facility,Division,Total Acreage,Maintainable Acreage,Shelter,Rec Center,Senior Center,Pool,Spray Pool,Play Area,Tennis Court with Lights,Tennis Court without NO Lights,Basketball Full Court with Lights,Basketball Full Court without Lights,Basketball half Court with Lights,Basketball Half Court without Lights,Basketball Standards,Multi-Purpose Court,Funnel Ball,Baseball Field with Lights,Baseball Field without lights,Volleball Court,Boccie Court,Hockey Court,Horseshoe,Drinking Fount,Neighborhood,Census Tract,Council Dist,CD Area,Bleachers,Benches,Tables,Grill,Decorative Foutain,Flag Pole,Grandstand,Control Link for Basketball Courts,Control Link for Tennis Court,Control Linkl for Hockey Court,Dek Hockey Court,Dog Park,Spray Park,Ownership of Facility,Buildings
Moore Park,Southern,10.11,6.7,1 Gazebo 1 Shelter,,,1,,1,3,,1,,1,,3,,,1,1,,,1,,2,Brookline,1917,4,No,3,22,3,,,1,1,No,No,No,,,,,
Monongahela Park,Southern,6.52,3.3,,,,,,1,,,,,,,,,,,1,,,,,,Southside Slopes,1608,3,Yes,,4,,,,,,No,No,No,,,,,
Mission St Field,Southern,2.4,2.1,,,,,,,,,,,,,,,,,1,,,,,,Southside Slopes,1608,3,Yes,,2,,,,,,No,No,No,,,,,
Mellon Square Park,State,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,Central Business District,201,6,No,,1,,,2,,,No,No,No,,,,,
McKnight Park,Northern,1.62,1.1,,,,,,1,,,,1,,,1,,1,,1,,,,,1,Manchester,2107,6,Yes,,5,,,,,,No,No,No,,,,,
McCandless Park,Northeast,0.2,0.2,,,,,,1,,,,,,,,,,,,,,,,1,Upper Lawrenceville,1011,7,Yes,,4,,,,,,No,No,No,,,,,
West Penn Park,State,23.26,6.7,,1,1,1,1,1,2,,,,,1,1,,,2,,,,,,2,Polish Hill,605,7,Yes,2,6,,,,,,No,No,No,,,,,
EsplenPark,Western,,,,,,,,1,,,,,,,,,,,,,,,,,Esplen,2017,2,No,,3,,,,,,No,No,No,,,,,
Emerald View Park (Grandview Overlooks),Western,6.15,0.7,,,,,,,,,,,,,,,,,,,,,,,Mount Washington,1903,2,No,,13,,,,,,No,No,No,,,,,
Emerald View Park (Eileen McCoy Park),Western,0.85,1.3,,,,,1,1,,,,,,1,1,,1,,,,,1,,1,Duquesne Heights,1911,2,No,,12,2,,,,,No,No,No,,,,,
Scherer Park,Northern,0.18,0.18,,,,,,,,,,,,,,,,,1,,,,,,Spring Hill-City View,2620,1,Yes,,2,,,,,,No,No,No,,,,,
Allegheny Riverfront Park,State,1.5,1.13,,,,,,,,,,,,,,,,,,,,,,,Central Business District,201,6,No,,,,,,,,No,No,No,,,,,
Herron Hill Tennis Courts,Schenley,0.46,0.8,,,,,,,3,,,,,,,,,,,,,,,,Upper Hill,506,6,Yes,,4,,,,,,No,No,No,,,,,
Robert E Williams Park,Schenley,12.31,8.6,,,,,,1,,,1,,,,2,,,,,,,,,1,Upper Hill,506,6,Yes,,12,4,,,,,No,No,No,,,,,
Hazelwood Senior Center,Schenley,,0.1,,,1,,,,,,,,,,,,,,,,1,,2,,Hazelwood,1515,5,Yes,,6,,,,,,No,No,No,,,,,
Enright Park,Northeast,2.62,2.5,,,,,1,1,,,2,,,,4,,,,,,,,,1,East Liberty,1115,9,Yes,,11,,,,,,Yes,No,No,,,,,
Carrick Farmers Market,Southern,,0.9,,,,,,,,,,,,,,,,,,,,,,,Carrick,2901,4,No,,,,,,,,No,No,No,,,,,
Allegheny Landing Park,State,2.21,1.7,,,,,,,,,,,,,,,,,,,,,,,North Shore,2205,6,No,,8,,,1,1,,No,No,No,,,,,
Friendship Park,Northeast,1.96,1.9,,,,,,,,,,,,,,,,,,,,,,1,Bloomfield,809,8,Yes,,12,,,,1,,No,No,No,,,,,
Frazier Park,Schenley,3.26,2.5,,,,,1,1,,,,1,,,2,,,1,,,,,,1,South Oakland,409,6,Yes,2,6,,,,,,Yes,No,No,,,,,
Fowler Park,Northern,12.69,8,,,,,,,,,,,,,,,,1,1,,,,,,Perry South,2614,6,Yes,5,9,,,,,,No,No,No,,,,,
Four Mile Run Park,Schenley,0.66,2.1,,,,,,1,,,,1,,,2,,,,,,,2,1,1,Greenfield,1516,5,No,,7,1,,,,,No,No,No,,,,,
