Council,Financial,Date,Value
Nelson City,03 Subsidies,2008,10505
Nelson City,04 Investment Income,2008,2023
Nelson City,05 Vested Assets,2008,3090
Nelson City,06 Other Income,2008,21963
Nelson City,07 Total Income,2008,81046
Nelson City,08 Direct Costs,2008,42090
Nelson City,09 Interest,2008,4421
Nelson City,10 Depreciation,2008,13584
Nelson City,11 Other Expense,2008,843
Nelson City,12 Total Expenditure,2008,60938
Nelson City,13 Net Surplus/(Deficit),2008,20108
Nelson City,01 Rates,2009,42750
Nelson City,02 Development Contributions,2009,2994
Nelson City,03 Subsidies,2009,12333
Nelson City,04 Investment Income,2009,2075
Nelson City,05 Vested Assets,2009,3183
Nelson City,06 Other Income,2009,19190
Nelson City,07 Total Income,2009,82525
Nelson City,08 Direct Costs,2009,43717
Nelson City,09 Interest,2009,5394
Nelson City,10 Depreciation,2009,14501
Nelson City,11 Other Expense,2009,90
Nelson City,12 Total Expenditure,2009,63702
Nelson City,13 Net Surplus/(Deficit),2009,18823
Nelson City,01 Rates,2010,45078
Nelson City,02 Development Contributions,2010,3515
Nelson City,03 Subsidies,2010,19345
Nelson City,04 Investment Income,2010,2129
Nelson City,05 Vested Assets,2010,3278
Nelson City,06 Other Income,2010,21807
Nelson City,07 Total Income,2010,95152
Nelson City,08 Direct Costs,2010,44872
Nelson City,09 Interest,2010,6171
Nelson City,10 Depreciation,2010,15333
Nelson City,11 Other Expense,2010,93
Nelson City,12 Total Expenditure,2010,66469
Nelson City,13 Net Surplus/(Deficit),2010,28683
Nelson City,01 Rates,2011,46605
Nelson City,02 Development Contributions,2011,4144
Nelson City,03 Subsidies,2011,18775
Nelson City,04 Investment Income,2011,2184
Nelson City,05 Vested Assets,2011,3376
Nelson City,06 Other Income,2011,22826
Nelson City,07 Total Income,2011,97910
Nelson City,08 Direct Costs,2011,44770
Nelson City,09 Interest,2011,6248
Nelson City,10 Depreciation,2011,16191
Nelson City,11 Other Expense,2011,95
Nelson City,12 Total Expenditure,2011,67304
Nelson City,13 Net Surplus/(Deficit),2011,30606
Nelson City,01 Rates,2012,47645
Nelson City,02 Development Contributions,2012,4647
Nelson City,03 Subsidies,2012,4629
Nelson City,04 Investment Income,2012,2242
Nelson City,05 Vested Assets,2012,3477
Nelson City,06 Other Income,2012,24454
Nelson City,07 Total Income,2012,87094
Nelson City,08 Direct Costs,2012,45628
Nelson City,09 Interest,2012,5785
Nelson City,10 Depreciation,2012,17018
Nelson City,11 Other Expense,2012,98
Nelson City,12 Total Expenditure,2012,68529
Nelson City,13 Net Surplus/(Deficit),2012,18565
Nelson City,01 Rates,2013,48069
Nelson City,02 Development Contributions,2013,5076
Nelson City,03 Subsidies,2013,4105
Nelson City,04 Investment Income,2013,2273
Nelson City,05 Vested Assets,2013,3557
Nelson City,06 Other Income,2013,25069
Nelson City,07 Total Income,2013,88149
Nelson City,08 Direct Costs,2013,46386
Nelson City,09 Interest,2013,5213
Nelson City,10 Depreciation,2013,17539
Nelson City,11 Other Expense,2013,99
Nelson City,12 Total Expenditure,2013,69237
Nelson City,13 Net Surplus/(Deficit),2013,18912
Nelson City,01 Rates,2014,47952
Nelson City,02 Development Contributions,2014,5545
Nelson City,03 Subsidies,2014,3197
Nelson City,04 Investment Income,2014,2305
Nelson City,05 Vested Assets,2014,3640
Nelson City,06 Other Income,2014,25206
Nelson City,07 Total Income,2014,87845
Nelson City,08 Direct Costs,2014,46443
Nelson City,09 Interest,2014,4405
Nelson City,10 Depreciation,2014,18104
Nelson City,11 Other Expense,2014,100
Nelson City,12 Total Expenditure,2014,69052
Nelson City,13 Net Surplus/(Deficit),2014,18793
Nelson City,01 Rates,2015,47076
Nelson City,02 Development Contributions,2015,5924
Nelson City,03 Subsidies,2015,4030
Nelson City,04 Investment Income,2015,2337
Nelson City,05 Vested Assets,2015,3724
Nelson City,06 Other Income,2015,26016
Nelson City,07 Total Income,2015,89107
Nelson City,08 Direct Costs,2015,47159
Nelson City,09 Interest,2015,3316
Nelson City,10 Depreciation,2015,18565
Nelson City,11 Other Expense,2015,102
Nelson City,12 Total Expenditure,2015,69142
Nelson City,13 Net Surplus/(Deficit),2015,19965
Nelson City,01 Rates,2016,47159
Nelson City,02 Development Contributions,2016,6403
Nelson City,03 Subsidies,2016,3285
Nelson City,04 Investment Income,2016,2370
Nelson City,05 Vested Assets,2016,3809
Nelson City,06 Other Income,2016,26449
Nelson City,07 Total Income,2016,89475
Nelson City,08 Direct Costs,2016,47413
Nelson City,09 Interest,2016,2231
Nelson City,10 Depreciation,2016,19091
Nelson City,11 Other Expense,2016,104
Nelson City,12 Total Expenditure,2016,68839
Nelson City,13 Net Surplus/(Deficit),2016,20636
New Plymouth District,01 Rates,2007,41990
New Plymouth District,02 Development Contributions,2007,0
New Plymouth District,03 Subsidies,2007,8323
New Plymouth District,04 Investment Income,2007,23790
New Plymouth District,05 Vested Assets,2007,0
New Plymouth District,06 Other Income,2007,22817
New Plymouth District,07 Total Income,2007,96920
New Plymouth District,08 Direct Costs,2007,64170
New Plymouth District,09 Interest,2007,6670
New Plymouth District,10 Depreciation,2007,21670
New Plymouth District,11 Other Expense,2007,0
New Plymouth District,12 Total Expenditure,2007,92510
New Plymouth District,13 Net Surplus/(Deficit),2007,4410
New Plymouth District,01 Rates,2008,44660
New Plymouth District,02 Development Contributions,2008,0
New Plymouth District,03 Subsidies,2008,8874
New Plymouth District,04 Investment Income,2008,24100
New Plymouth District,05 Vested Assets,2008,0
New Plymouth District,06 Other Income,2008,23866
New Plymouth District,07 Total Income,2008,101500
New Plymouth District,08 Direct Costs,2008,65410
New Plymouth District,09 Interest,2008,7990
New Plymouth District,10 Depreciation,2008,23380
New Plymouth District,11 Other Expense,2008,0
New Plymouth District,12 Total Expenditure,2008,96780
New Plymouth District,13 Net Surplus/(Deficit),2008,4720
New Plymouth District,01 Rates,2009,47530
New Plymouth District,02 Development Contributions,2009,0
New Plymouth District,03 Subsidies,2009,14134
New Plymouth District,04 Investment Income,2009,24780
New Plymouth District,05 Vested Assets,2009,0
New Plymouth District,06 Other Income,2009,24816
New Plymouth District,07 Total Income,2009,111260
New Plymouth District,08 Direct Costs,2009,66290
New Plymouth District,09 Interest,2009,8800
New Plymouth District,10 Depreciation,2009,24890
New Plymouth District,11 Other Expense,2009,0
New Plymouth District,12 Total Expenditure,2009,99980
New Plymouth District,13 Net Surplus/(Deficit),2009,11280
New Plymouth District,01 Rates,2010,50630
New Plymouth District,02 Development Contributions,2010,0
New Plymouth District,03 Subsidies,2010,16373
New Plymouth District,04 Investment Income,2010,25410
New Plymouth District,05 Vested Assets,2010,0
New Plymouth District,06 Other Income,2010,25917
New Plymouth District,07 Total Income,2010,118330
New Plymouth District,08 Direct Costs,2010,68820
New Plymouth District,09 Interest,2010,9000
New Plymouth District,10 Depreciation,2010,26150
New Plymouth District,11 Other Expense,2010,0
New Plymouth District,12 Total Expenditure,2010,103970
New Plymouth District,13 Net Surplus/(Deficit),2010,14360
New Plymouth District,01 Rates,2011,53940
New Plymouth District,02 Development Contributions,2011,0
New Plymouth District,03 Subsidies,2011,10949
New Plymouth District,04 Investment Income,2011,26020
New Plymouth District,05 Vested Assets,2011,0
New Plymouth District,06 Other Income,2011,27041
New Plymouth District,07 Total Income,2011,117950
New Plymouth District,08 Direct Costs,2011,71320
New Plymouth District,09 Interest,2011,9190
New Plymouth District,10 Depreciation,2011,27190
New Plymouth District,11 Other Expense,2011,0
New Plymouth District,12 Total Expenditure,2011,107700
New Plymouth District,13 Net Surplus/(Deficit),2011,10250
New Plymouth District,01 Rates,2012,57480
New Plymouth District,02 Development Contributions,2012,0
New Plymouth District,03 Subsidies,2012,11794
New Plymouth District,04 Investment Income,2012,26580
New Plymouth District,05 Vested Assets,2012,0
New Plymouth District,06 Other Income,2012,28036
New Plymouth District,07 Total Income,2012,123890
New Plymouth District,08 Direct Costs,2012,72840
New Plymouth District,09 Interest,2012,9420
New Plymouth District,10 Depreciation,2012,28360
New Plymouth District,11 Other Expense,2012,0
New Plymouth District,12 Total Expenditure,2012,110620
New Plymouth District,13 Net Surplus/(Deficit),2012,13270
New Plymouth District,01 Rates,2013,61260
New Plymouth District,02 Development Contributions,2013,0
New Plymouth District,03 Subsidies,2013,13131
New Plymouth District,04 Investment Income,2013,27120
New Plymouth District,05 Vested Assets,2013,0
New Plymouth District,06 Other Income,2013,29079
New Plymouth District,07 Total Income,2013,130590
New Plymouth District,08 Direct Costs,2013,74360
New Plymouth District,09 Interest,2013,9390
New Plymouth District,10 Depreciation,2013,29510
New Plymouth District,11 Other Expense,2013,0
New Plymouth District,12 Total Expenditure,2013,113260
New Plymouth District,13 Net Surplus/(Deficit),2013,17330
New Plymouth District,01 Rates,2014,65280
New Plymouth District,02 Development Contributions,2014,0
New Plymouth District,03 Subsidies,2014,12523
New Plymouth District,04 Investment Income,2014,27610
New Plymouth District,05 Vested Assets,2014,0
New Plymouth District,06 Other Income,2014,30297
New Plymouth District,07 Total Income,2014,135710
New Plymouth District,08 Direct Costs,2014,76630
New Plymouth District,09 Interest,2014,9220
New Plymouth District,10 Depreciation,2014,30630
New Plymouth District,11 Other Expense,2014,0
New Plymouth District,12 Total Expenditure,2014,116480
New Plymouth District,13 Net Surplus/(Deficit),2014,19230
New Plymouth District,01 Rates,2015,69590
New Plymouth District,02 Development Contributions,2015,0
New Plymouth District,03 Subsidies,2015,9496
New Plymouth District,04 Investment Income,2015,28030
New Plymouth District,05 Vested Assets,2015,0
New Plymouth District,06 Other Income,2015,31164
New Plymouth District,07 Total Income,2015,138280
New Plymouth District,08 Direct Costs,2015,77250
New Plymouth District,09 Interest,2015,8890
New Plymouth District,10 Depreciation,2015,31640
New Plymouth District,11 Other Expense,2015,0
New Plymouth District,12 Total Expenditure,2015,117780
New Plymouth District,13 Net Surplus/(Deficit),2015,20500
New Plymouth District,01 Rates,2016,74180
New Plymouth District,02 Development Contributions,2016,0
New Plymouth District,03 Subsidies,2016,9660
New Plymouth District,04 Investment Income,2016,28460
New Plymouth District,05 Vested Assets,2016,0
New Plymouth District,06 Other Income,2016,32100
New Plymouth District,07 Total Income,2016,144400
New Plymouth District,08 Direct Costs,2016,78640
New Plymouth District,09 Interest,2016,8040
New Plymouth District,10 Depreciation,2016,32460
New Plymouth District,11 Other Expense,2016,0
New Plymouth District,12 Total Expenditure,2016,119140
New Plymouth District,13 Net Surplus/(Deficit),2016,25260
North Shore City,01 Rates,2007,150430
North Shore City,02 Development Contributions,2007,14624
North Shore City,03 Subsidies,2007,39427
North Shore City,04 Investment Income,2007,3828
North Shore City,05 Vested Assets,2007,13852
North Shore City,06 Other Income,2007,54710
North Shore City,07 Total Income,2007,276871
North Shore City,08 Direct Costs,2007,159267
North Shore City,09 Interest,2007,11317
North Shore City,10 Depreciation,2007,44102
North Shore City,11 Other Expense,2007,0
North Shore City,12 Total Expenditure,2007,214686
North Shore City,13 Net Surplus/(Deficit),2007,62185
North Shore City,01 Rates,2008,165975
North Shore City,02 Development Contributions,2008,21660
North Shore City,03 Subsidies,2008,54703
North Shore City,04 Investment Income,2008,3990
North Shore City,05 Vested Assets,2008,13855
North Shore City,06 Other Income,2008,56161
North Shore City,07 Total Income,2008,316344
North Shore City,08 Direct Costs,2008,166274
North Shore City,09 Interest,2008,17060
North Shore City,10 Depreciation,2008,48494
North Shore City,11 Other Expense,2008,0
North Shore City,12 Total Expenditure,2008,231828
North Shore City,13 Net Surplus/(Deficit),2008,84516
North Shore City,01 Rates,2009,181369
North Shore City,02 Development Contributions,2009,29767
North Shore City,03 Subsidies,2009,41614
North Shore City,04 Investment Income,2009,3914
North Shore City,05 Vested Assets,2009,14368
North Shore City,06 Other Income,2009,57131
North Shore City,07 Total Income,2009,328163
North Shore City,08 Direct Costs,2009,173832
North Shore City,09 Interest,2009,22308
North Shore City,10 Depreciation,2009,55535
North Shore City,11 Other Expense,2009,0
North Shore City,12 Total Expenditure,2009,251675
North Shore City,13 Net Surplus/(Deficit),2009,76488
North Shore City,01 Rates,2010,198945
North Shore City,02 Development Contributions,2010,35514
North Shore City,03 Subsidies,2010,44276
North Shore City,04 Investment Income,2010,3841
North Shore City,05 Vested Assets,2010,14311
North Shore City,06 Other Income,2010,58133
North Shore City,07 Total Income,2010,355020
North Shore City,08 Direct Costs,2010,181243
North Shore City,09 Interest,2010,28259
North Shore City,10 Depreciation,2010,59006
North Shore City,11 Other Expense,2010,0
North Shore City,12 Total Expenditure,2010,268508
North Shore City,13 Net Surplus/(Deficit),2010,86512
North Shore City,01 Rates,2011,217742
North Shore City,02 Development Contributions,2011,39448
North Shore City,03 Subsidies,2011,45888
North Shore City,04 Investment Income,2011,3959
North Shore City,05 Vested Assets,2011,14811
North Shore City,06 Other Income,2011,61070
North Shore City,07 Total Income,2011,382918
North Shore City,08 Direct Costs,2011,188947
North Shore City,09 Interest,2011,29466
North Shore City,10 Depreciation,2011,62554
North Shore City,11 Other Expense,2011,0
North Shore City,12 Total Expenditure,2011,280967
North Shore City,13 Net Surplus/(Deficit),2011,101951
North Shore City,01 Rates,2012,238398
North Shore City,02 Development Contributions,2012,36585
North Shore City,03 Subsidies,2012,41007
North Shore City,04 Investment Income,2012,4030
North Shore City,05 Vested Assets,2012,15330
North Shore City,06 Other Income,2012,62235
North Shore City,07 Total Income,2012,397585
North Shore City,08 Direct Costs,2012,197027
North Shore City,09 Interest,2012,31362
North Shore City,10 Depreciation,2012,70705
North Shore City,11 Other Expense,2012,0
North Shore City,12 Total Expenditure,2012,299094
North Shore City,13 Net Surplus/(Deficit),2012,98491
North Shore City,01 Rates,2013,259700
North Shore City,02 Development Contributions,2013,37807
North Shore City,03 Subsidies,2013,40839
North Shore City,04 Investment Income,2013,4101
North Shore City,05 Vested Assets,2013,15866
North Shore City,06 Other Income,2013,63624
North Shore City,07 Total Income,2013,421937
North Shore City,08 Direct Costs,2013,207384
North Shore City,09 Interest,2013,32040
North Shore City,10 Depreciation,2013,74254
North Shore City,11 Other Expense,2013,0
North Shore City,12 Total Expenditure,2013,313678
North Shore City,13 Net Surplus/(Deficit),2013,108259
North Shore City,01 Rates,2014,280415
North Shore City,02 Development Contributions,2014,39076
North Shore City,03 Subsidies,2014,36613
North Shore City,04 Investment Income,2014,4203
North Shore City,05 Vested Assets,2014,16422
North Shore City,06 Other Income,2014,65654
North Shore City,07 Total Income,2014,442383
North Shore City,08 Direct Costs,2014,213438
North Shore City,09 Interest,2014,31111
North Shore City,10 Depreciation,2014,77184
North Shore City,11 Other Expense,2014,0
North Shore City,12 Total Expenditure,2014,321733
North Shore City,13 Net Surplus/(Deficit),2014,120650
North Shore City,01 Rates,2015,299285
North Shore City,02 Development Contributions,2015,40396
North Shore City,03 Subsidies,2015,41738
North Shore City,04 Investment Income,2015,4289
North Shore City,05 Vested Assets,2015,16996
North Shore City,06 Other Income,2015,67164
North Shore City,07 Total Income,2015,469868
North Shore City,08 Direct Costs,2015,218710
North Shore City,09 Interest,2015,28600
North Shore City,10 Depreciation,2015,83492
North Shore City,11 Other Expense,2015,0
North Shore City,12 Total Expenditure,2015,330802
North Shore City,13 Net Surplus/(Deficit),2015,139066
North Shore City,01 Rates,2016,319172
North Shore City,02 Development Contributions,2016,40570
North Shore City,03 Subsidies,2016,41757
North Shore City,04 Investment Income,2016,4375
North Shore City,05 Vested Assets,2016,17591
North Shore City,06 Other Income,2016,69188
North Shore City,07 Total Income,2016,492653
North Shore City,08 Direct Costs,2016,225304
North Shore City,09 Interest,2016,24515
North Shore City,10 Depreciation,2016,86344
North Shore City,11 Other Expense,2016,0
North Shore City,12 Total Expenditure,2016,336163
North Shore City,13 Net Surplus/(Deficit),2016,156490
Northland Region,01 Rates,2007,7655
Northland Region,02 Development Contributions,2007,0
Northland Region,03 Subsidies,2007,435
Northland Region,04 Investment Income,2007,7067
Northland Region,05 Vested Assets,2007,0
Northland Region,06 Other Income,2007,4066
Northland Region,07 Total Income,2007,19225
Northland Region,08 Direct Costs,2007,28797
Northland Region,09 Interest,2007,418
Northland Region,10 Depreciation,2007,1144
Northland Region,11 Other Expense,2007,0
Northland Region,12 Total Expenditure,2007,30360
Northland Region,13 Net Surplus/(Deficit),2007,1134
Northland Region,01 Rates,2008,8683
Northland Region,02 Development Contributions,2008,0
Northland Region,03 Subsidies,2008,441
Northland Region,04 Investment Income,2008,7710
Northland Region,05 Vested Assets,2008,0
Northland Region,06 Other Income,2008,3398
Northland Region,07 Total Income,2008,20234
Northland Region,08 Direct Costs,2008,17245
Northland Region,09 Interest,2008,814
Northland Region,10 Depreciation,2008,1204
Northland Region,11 Other Expense,2008,0
Northland Region,12 Total Expenditure,2008,19263
Northland Region,13 Net Surplus/(Deficit),2008,970
Northland Region,01 Rates,2009,9311
Northland Region,02 Development Contributions,2009,0
Northland Region,03 Subsidies,2009,451
Northland Region,04 Investment Income,2009,7142
Northland Region,05 Vested Assets,2009,0
Northland Region,06 Other Income,2009,4155
Northland Region,07 Total Income,2009,21061
Northland Region,08 Direct Costs,2009,17702
Northland Region,09 Interest,2009,782
Northland Region,10 Depreciation,2009,1264
Northland Region,11 Other Expense,2009,0
Northland Region,12 Total Expenditure,2009,19749
Northland Region,13 Net Surplus/(Deficit),2009,1311
Northland Region,01 Rates,2010,9369
Northland Region,02 Development Contributions,2010,0
Northland Region,03 Subsidies,2010,487
Northland Region,04 Investment Income,2010,7261
Northland Region,05 Vested Assets,2010,0
Northland Region,06 Other Income,2010,4219
Northland Region,07 Total Income,2010,21337
Northland Region,08 Direct Costs,2010,17844
Northland Region,09 Interest,2010,748
Northland Region,10 Depreciation,2010,1259
Northland Region,11 Other Expense,2010,0
Northland Region,12 Total Expenditure,2010,19852
Northland Region,13 Net Surplus/(Deficit),2010,1484
Northland Region,01 Rates,2011,9604
Northland Region,02 Development Contributions,2011,0
Northland Region,03 Subsidies,2011,457
Northland Region,04 Investment Income,2011,7400
Northland Region,05 Vested Assets,2011,0
Northland Region,06 Other Income,2011,4298
Northland Region,07 Total Income,2011,21760
Northland Region,08 Direct Costs,2011,18089
Northland Region,09 Interest,2011,712
Northland Region,10 Depreciation,2011,1259
Northland Region,11 Other Expense,2011,0
Northland Region,12 Total Expenditure,2011,20061
Northland Region,13 Net Surplus/(Deficit),2011,1699
Northland Region,01 Rates,2012,9544
Northland Region,02 Development Contributions,2012,0
Northland Region,03 Subsidies,2012,498
Northland Region,04 Investment Income,2012,7560
Northland Region,05 Vested Assets,2012,0
Northland Region,06 Other Income,2012,4367
Northland Region,07 Total Income,2012,21971
Northland Region,08 Direct Costs,2012,18232
Northland Region,09 Interest,2012,673
Northland Region,10 Depreciation,2012,1259
Northland Region,11 Other Expense,2012,0
Northland Region,12 Total Expenditure,2012,20165
Northland Region,13 Net Surplus/(Deficit),2012,1806
Northland Region,01 Rates,2013,9439
Northland Region,02 Development Contributions,2013,0
Northland Region,03 Subsidies,2013,476
Northland Region,04 Investment Income,2013,7753
Northland Region,05 Vested Assets,2013,0
Northland Region,06 Other Income,2013,4460
Northland Region,07 Total Income,2013,22128
Northland Region,08 Direct Costs,2013,18326
Northland Region,09 Interest,2013,632
Northland Region,10 Depreciation,2013,1259
Northland Region,11 Other Expense,2013,0
Northland Region,12 Total Expenditure,2013,20217
Northland Region,13 Net Surplus/(Deficit),2013,1910
Northland Region,01 Rates,2014,9628
Northland Region,02 Development Contributions,2014,0
Northland Region,03 Subsidies,2014,478
Northland Region,04 Investment Income,2014,7962
Northland Region,05 Vested Assets,2014,0
Northland Region,06 Other Income,2014,4601
Northland Region,07 Total Income,2014,22670
Northland Region,08 Direct Costs,2014,18768
Northland Region,09 Interest,2014,587
Northland Region,10 Depreciation,2014,1259
Northland Region,11 Other Expense,2014,0
Northland Region,12 Total Expenditure,2014,20615
Northland Region,13 Net Surplus/(Deficit),2014,2055
Northland Region,01 Rates,2015,9509
Northland Region,02 Development Contributions,2015,0
Northland Region,03 Subsidies,2015,485
Northland Region,04 Investment Income,2015,8175
Northland Region,05 Vested Assets,2015,0
Northland Region,06 Other Income,2015,4693
Northland Region,07 Total Income,2015,22864
Northland Region,08 Direct Costs,2015,18911
Northland Region,09 Interest,2015,539
Northland Region,10 Depreciation,2015,1259
Northland Region,11 Other Expense,2015,0
Northland Region,12 Total Expenditure,2015,20710
Northland Region,13 Net Surplus/(Deficit),2015,2153
Northland Region,01 Rates,2016,9052
Northland Region,02 Development Contributions,2016,0
Northland Region,03 Subsidies,2016,482
Northland Region,04 Investment Income,2016,8740
Northland Region,05 Vested Assets,2016,0
Northland Region,06 Other Income,2016,4414
Northland Region,07 Total Income,2016,22689
Northland Region,08 Direct Costs,2016,19057
Northland Region,09 Interest,2016,488
Northland Region,10 Depreciation,2016,1259
Northland Region,11 Other Expense,2016,0
Northland Region,12 Total Expenditure,2016,20804
Northland Region,13 Net Surplus/(Deficit),2016,1884
Opotiki District,01 Rates,2007,6304
Opotiki District,02 Development Contributions,2007,222
Opotiki District,03 Subsidies,2007,1789
Opotiki District,04 Investment Income,2007,95
Opotiki District,05 Vested Assets,2007,858
Opotiki District,06 Other Income,2007,814
Opotiki District,07 Total Income,2007,10082
Opotiki District,08 Direct Costs,2007,6571
Opotiki District,09 Interest,2007,343
Opotiki District,10 Depreciation,2007,1545
Opotiki District,11 Other Expense,2007,0
Opotiki District,12 Total Expenditure,2007,8459
Opotiki District,13 Net Surplus/(Deficit),2007,1623
Opotiki District,01 Rates,2008,6608
Opotiki District,02 Development Contributions,2008,228
Opotiki District,03 Subsidies,2008,1674
Opotiki District,04 Investment Income,2008,95
Opotiki District,05 Vested Assets,2008,0
Opotiki District,06 Other Income,2008,781
Opotiki District,07 Total Income,2008,9386
Opotiki District,08 Direct Costs,2008,6802
Opotiki District,09 Interest,2008,329
Opotiki District,10 Depreciation,2008,1573
Opotiki District,11 Other Expense,2008,0
Opotiki District,12 Total Expenditure,2008,8704
Opotiki District,13 Net Surplus/(Deficit),2008,682
Opotiki District,01 Rates,2009,6855
Opotiki District,02 Development Contributions,2009,234
Opotiki District,03 Subsidies,2009,1527
Opotiki District,04 Investment Income,2009,102
Opotiki District,05 Vested Assets,2009,0
Opotiki District,06 Other Income,2009,795
Opotiki District,07 Total Income,2009,9513
Opotiki District,08 Direct Costs,2009,6545
Opotiki District,09 Interest,2009,323
Opotiki District,10 Depreciation,2009,1775
Opotiki District,11 Other Expense,2009,0
Opotiki District,12 Total Expenditure,2009,8643
Opotiki District,13 Net Surplus/(Deficit),2009,870
Opotiki District,01 Rates,2010,7250
Opotiki District,02 Development Contributions,2010,240
Opotiki District,03 Subsidies,2010,1385
Opotiki District,04 Investment Income,2010,177
Opotiki District,05 Vested Assets,2010,0
Opotiki District,06 Other Income,2010,715
Opotiki District,07 Total Income,2010,9767
Opotiki District,08 Direct Costs,2010,6670
Opotiki District,09 Interest,2010,313
Opotiki District,10 Depreciation,2010,1804
Opotiki District,11 Other Expense,2010,0
Opotiki District,12 Total Expenditure,2010,8787
Opotiki District,13 Net Surplus/(Deficit),2010,980
Opotiki District,01 Rates,2011,7245
Opotiki District,02 Development Contributions,2011,245
Opotiki District,03 Subsidies,2011,8739
Opotiki District,04 Investment Income,2011,123
Opotiki District,05 Vested Assets,2011,0
Opotiki District,06 Other Income,2011,841
Opotiki District,07 Total Income,2011,17193
Opotiki District,08 Direct Costs,2011,6783
Opotiki District,09 Interest,2011,304
Opotiki District,10 Depreciation,2011,1849
Opotiki District,11 Other Expense,2011,0
Opotiki District,12 Total Expenditure,2011,8936
Opotiki District,13 Net Surplus/(Deficit),2011,8257
Opotiki District,01 Rates,2012,7453
Opotiki District,02 Development Contributions,2012,251
Opotiki District,03 Subsidies,2012,5764
Opotiki District,04 Investment Income,2012,145
Opotiki District,05 Vested Assets,2012,0
Opotiki District,06 Other Income,2012,854
Opotiki District,07 Total Income,2012,14467
Opotiki District,08 Direct Costs,2012,6916
Opotiki District,09 Interest,2012,455
Opotiki District,10 Depreciation,2012,2105
Opotiki District,11 Other Expense,2012,0
Opotiki District,12 Total Expenditure,2012,9476
Opotiki District,13 Net Surplus/(Deficit),2012,4991
Opotiki District,01 Rates,2013,7933
Opotiki District,02 Development Contributions,2013,256
Opotiki District,03 Subsidies,2013,5458
Opotiki District,04 Investment Income,2013,75
Opotiki District,05 Vested Assets,2013,0
Opotiki District,06 Other Income,2013,872
Opotiki District,07 Total Income,2013,14594
Opotiki District,08 Direct Costs,2013,7070
Opotiki District,09 Interest,2013,442
Opotiki District,10 Depreciation,2013,2224
Opotiki District,11 Other Expense,2013,0
Opotiki District,12 Total Expenditure,2013,9736
Opotiki District,13 Net Surplus/(Deficit),2013,4858
Opotiki District,01 Rates,2014,7971
Opotiki District,02 Development Contributions,2014,260
Opotiki District,03 Subsidies,2014,1276
Opotiki District,04 Investment Income,2014,150
Opotiki District,05 Vested Assets,2014,0
Opotiki District,06 Other Income,2014,896
Opotiki District,07 Total Income,2014,10553
Opotiki District,08 Direct Costs,2014,7210
Opotiki District,09 Interest,2014,432
Opotiki District,10 Depreciation,2014,2399
Opotiki District,11 Other Expense,2014,0
Opotiki District,12 Total Expenditure,2014,10041
Opotiki District,13 Net Surplus/(Deficit),2014,512
Opotiki District,01 Rates,2015,8170
Opotiki District,02 Development Contributions,2015,264
Opotiki District,03 Subsidies,2015,1292
Opotiki District,04 Investment Income,2015,231
Opotiki District,05 Vested Assets,2015,0
Opotiki District,06 Other Income,2015,900
Opotiki District,07 Total Income,2015,10857
Opotiki District,08 Direct Costs,2015,7370
Opotiki District,09 Interest,2015,426
Opotiki District,10 Depreciation,2015,2504
Opotiki District,11 Other Expense,2015,0
Opotiki District,12 Total Expenditure,2015,10300
Opotiki District,13 Net Surplus/(Deficit),2015,557
Opotiki District,01 Rates,2016,8228
Opotiki District,02 Development Contributions,2016,268
Opotiki District,03 Subsidies,2016,1309
Opotiki District,04 Investment Income,2016,306
Opotiki District,05 Vested Assets,2016,0
Opotiki District,06 Other Income,2016,914
Opotiki District,07 Total Income,2016,11025
Opotiki District,08 Direct Costs,2016,7470
Opotiki District,09 Interest,2016,411
Opotiki District,10 Depreciation,2016,2515
Opotiki District,11 Other Expense,2016,0
Opotiki District,12 Total Expenditure,2016,10396
Opotiki District,13 Net Surplus/(Deficit),2016,629
Otago Region,01 Rates,2007,8984
Otago Region,02 Development Contributions,2007,0
Otago Region,03 Subsidies,2007,2277
Otago Region,04 Investment Income,2007,9097
Otago Region,05 Vested Assets,2007,0
Otago Region,06 Other Income,2007,3438
Otago Region,07 Total Income,2007,23796
Otago Region,08 Direct Costs,2007,21581
Otago Region,09 Interest,2007,0
Otago Region,10 Depreciation,2007,1041
Otago Region,11 Other Expense,2007,0
Otago Region,12 Total Expenditure,2007,22622
Otago Region,13 Net Surplus/(Deficit),2007,1174
Otago Region,01 Rates,2008,10000
Otago Region,02 Development Contributions,2008,0
Otago Region,03 Subsidies,2008,3381
Otago Region,04 Investment Income,2008,11201
Otago Region,05 Vested Assets,2008,0
Otago Region,06 Other Income,2008,3782
Otago Region,07 Total Income,2008,28364
Otago Region,08 Direct Costs,2008,22262
Otago Region,09 Interest,2008,0
Otago Region,10 Depreciation,2008,1217
Otago Region,11 Other Expense,2008,0
Otago Region,12 Total Expenditure,2008,23479
Otago Region,13 Net Surplus/(Deficit),2008,4885
Otago Region,01 Rates,2009,10851
Otago Region,02 Development Contributions,2009,0
Otago Region,03 Subsidies,2009,3686
Otago Region,04 Investment Income,2009,10810
Otago Region,05 Vested Assets,2009,0
Otago Region,06 Other Income,2009,3471
Otago Region,07 Total Income,2009,28818
Otago Region,08 Direct Costs,2009,22739
Otago Region,09 Interest,2009,0
Otago Region,10 Depreciation,2009,1369
Otago Region,11 Other Expense,2009,0
Otago Region,12 Total Expenditure,2009,24108
