Council,Financial,Date,Value
Auckland Region,11 Other Expense,2010,0
Auckland Region,12 Total Expenditure,2010,289857
Auckland Region,13 Net Surplus/(Deficit),2010,4150
Auckland Region,01 Rates,2011,166901
Auckland Region,02 Development Contributions,2011,0
Auckland Region,03 Subsidies,2011,656
Auckland Region,04 Investment Income,2011,100499
Auckland Region,05 Vested Assets,2011,0
Auckland Region,06 Other Income,2011,25962
Auckland Region,07 Total Income,2011,294018
Auckland Region,08 Direct Costs,2011,277669
Auckland Region,09 Interest,2011,2107
Auckland Region,10 Depreciation,2011,8232
Auckland Region,11 Other Expense,2011,0
Auckland Region,12 Total Expenditure,2011,288008
Auckland Region,13 Net Surplus/(Deficit),2011,6010
Auckland Region,01 Rates,2012,178127
Auckland Region,02 Development Contributions,2012,0
Auckland Region,03 Subsidies,2012,663
Auckland Region,04 Investment Income,2012,92851
Auckland Region,05 Vested Assets,2012,0
Auckland Region,06 Other Income,2012,26403
Auckland Region,07 Total Income,2012,298044
Auckland Region,08 Direct Costs,2012,279387
Auckland Region,09 Interest,2012,2185
Auckland Region,10 Depreciation,2012,8220
Auckland Region,11 Other Expense,2012,0
Auckland Region,12 Total Expenditure,2012,289792
Auckland Region,13 Net Surplus/(Deficit),2012,8252
Auckland Region,01 Rates,2013,189961
Auckland Region,02 Development Contributions,2013,0
Auckland Region,03 Subsidies,2013,666
Auckland Region,04 Investment Income,2013,59284
Auckland Region,05 Vested Assets,2013,0
Auckland Region,06 Other Income,2013,26746
Auckland Region,07 Total Income,2013,276657
Auckland Region,08 Direct Costs,2013,257104
Auckland Region,09 Interest,2013,2269
Auckland Region,10 Depreciation,2013,8837
Auckland Region,11 Other Expense,2013,0
Auckland Region,12 Total Expenditure,2013,268210
Auckland Region,13 Net Surplus/(Deficit),2013,8447
Auckland Region,01 Rates,2014,201661
Auckland Region,02 Development Contributions,2014,0
Auckland Region,03 Subsidies,2014,690
Auckland Region,04 Investment Income,2014,54160
Auckland Region,05 Vested Assets,2014,0
Auckland Region,06 Other Income,2014,27061
Auckland Region,07 Total Income,2014,283572
Auckland Region,08 Direct Costs,2014,261559
Auckland Region,09 Interest,2014,4197
Auckland Region,10 Depreciation,2014,9282
Auckland Region,11 Other Expense,2014,0
Auckland Region,12 Total Expenditure,2014,275038
Auckland Region,13 Net Surplus/(Deficit),2014,8534
Auckland Region,01 Rates,2015,211432
Auckland Region,02 Development Contributions,2015,0
Auckland Region,03 Subsidies,2015,695
Auckland Region,04 Investment Income,2015,55035
Auckland Region,05 Vested Assets,2015,0
Auckland Region,06 Other Income,2015,27342
Auckland Region,07 Total Income,2015,294504
Auckland Region,08 Direct Costs,2015,273418
Auckland Region,09 Interest,2015,3366
Auckland Region,10 Depreciation,2015,9614
Auckland Region,11 Other Expense,2015,0
Auckland Region,12 Total Expenditure,2015,286398
Auckland Region,13 Net Surplus/(Deficit),2015,8106
Auckland Region,01 Rates,2016,223671
Auckland Region,02 Development Contributions,2016,0
Auckland Region,03 Subsidies,2016,696
Auckland Region,04 Investment Income,2016,55673
Auckland Region,05 Vested Assets,2016,0
Auckland Region,06 Other Income,2016,27615
Auckland Region,07 Total Income,2016,307655
Auckland Region,08 Direct Costs,2016,286192
Auckland Region,09 Interest,2016,3371
Auckland Region,10 Depreciation,2016,9951
Auckland Region,11 Other Expense,2016,0
Auckland Region,12 Total Expenditure,2016,299514
Auckland Region,13 Net Surplus/(Deficit),2016,8141
Bay of Plenty Region,01 Rates,2007,17676
Bay of Plenty Region,02 Development Contributions,2007,0
Bay of Plenty Region,03 Subsidies,2007,0
Bay of Plenty Region,04 Investment Income,2007,19294
Bay of Plenty Region,05 Vested Assets,2007,0
Bay of Plenty Region,06 Other Income,2007,13826
Bay of Plenty Region,07 Total Income,2007,50797
Bay of Plenty Region,08 Direct Costs,2007,41821
Bay of Plenty Region,09 Interest,2007,601
Bay of Plenty Region,10 Depreciation,2007,2080
Bay of Plenty Region,11 Other Expense,2007,0
Bay of Plenty Region,12 Total Expenditure,2007,44504
Bay of Plenty Region,13 Net Surplus/(Deficit),2007,6293
Bay of Plenty Region,01 Rates,2008,19153
Bay of Plenty Region,02 Development Contributions,2008,0
Bay of Plenty Region,03 Subsidies,2008,0
Bay of Plenty Region,04 Investment Income,2008,20499
Bay of Plenty Region,05 Vested Assets,2008,0
Bay of Plenty Region,06 Other Income,2008,12335
Bay of Plenty Region,07 Total Income,2008,51988
Bay of Plenty Region,08 Direct Costs,2008,45546
Bay of Plenty Region,09 Interest,2008,1686
Bay of Plenty Region,10 Depreciation,2008,2457
Bay of Plenty Region,11 Other Expense,2008,0
Bay of Plenty Region,12 Total Expenditure,2008,49689
Bay of Plenty Region,13 Net Surplus/(Deficit),2008,2298
Bay of Plenty Region,01 Rates,2009,21764
Bay of Plenty Region,02 Development Contributions,2009,0
Bay of Plenty Region,03 Subsidies,2009,0
Bay of Plenty Region,04 Investment Income,2009,21933
Bay of Plenty Region,05 Vested Assets,2009,0
Bay of Plenty Region,06 Other Income,2009,24015
Bay of Plenty Region,07 Total Income,2009,67713
Bay of Plenty Region,08 Direct Costs,2009,49597
Bay of Plenty Region,09 Interest,2009,2672
Bay of Plenty Region,10 Depreciation,2009,3002
Bay of Plenty Region,11 Other Expense,2009,0
Bay of Plenty Region,12 Total Expenditure,2009,55272
Bay of Plenty Region,13 Net Surplus/(Deficit),2009,12440
Bay of Plenty Region,01 Rates,2010,22933
Bay of Plenty Region,02 Development Contributions,2010,0
Bay of Plenty Region,03 Subsidies,2010,0
Bay of Plenty Region,04 Investment Income,2010,23489
Bay of Plenty Region,05 Vested Assets,2010,0
Bay of Plenty Region,06 Other Income,2010,15561
Bay of Plenty Region,07 Total Income,2010,61984
Bay of Plenty Region,08 Direct Costs,2010,50049
Bay of Plenty Region,09 Interest,2010,3157
Bay of Plenty Region,10 Depreciation,2010,3334
Bay of Plenty Region,11 Other Expense,2010,0
Bay of Plenty Region,12 Total Expenditure,2010,56540
Bay of Plenty Region,13 Net Surplus/(Deficit),2010,5443
Bay of Plenty Region,01 Rates,2011,24077
Bay of Plenty Region,02 Development Contributions,2011,0
Bay of Plenty Region,03 Subsidies,2011,0
Bay of Plenty Region,04 Investment Income,2011,24351
Bay of Plenty Region,05 Vested Assets,2011,0
Bay of Plenty Region,06 Other Income,2011,16452
Bay of Plenty Region,07 Total Income,2011,64881
Bay of Plenty Region,08 Direct Costs,2011,51759
Bay of Plenty Region,09 Interest,2011,3463
Bay of Plenty Region,10 Depreciation,2011,3595
Bay of Plenty Region,11 Other Expense,2011,0
Bay of Plenty Region,12 Total Expenditure,2011,58818
Bay of Plenty Region,13 Net Surplus/(Deficit),2011,6062
Bay of Plenty Region,01 Rates,2012,24671
Bay of Plenty Region,02 Development Contributions,2012,0
Bay of Plenty Region,03 Subsidies,2012,0
Bay of Plenty Region,04 Investment Income,2012,25322
Bay of Plenty Region,05 Vested Assets,2012,0
Bay of Plenty Region,06 Other Income,2012,16918
Bay of Plenty Region,07 Total Income,2012,66912
Bay of Plenty Region,08 Direct Costs,2012,56578
Bay of Plenty Region,09 Interest,2012,3567
Bay of Plenty Region,10 Depreciation,2012,3824
Bay of Plenty Region,11 Other Expense,2012,0
Bay of Plenty Region,12 Total Expenditure,2012,63970
Bay of Plenty Region,13 Net Surplus/(Deficit),2012,2942
Bay of Plenty Region,01 Rates,2013,25382
Bay of Plenty Region,02 Development Contributions,2013,0
Bay of Plenty Region,03 Subsidies,2013,0
Bay of Plenty Region,04 Investment Income,2013,25755
Bay of Plenty Region,05 Vested Assets,2013,0
Bay of Plenty Region,06 Other Income,2013,15963
Bay of Plenty Region,07 Total Income,2013,67101
Bay of Plenty Region,08 Direct Costs,2013,54787
Bay of Plenty Region,09 Interest,2013,3622
Bay of Plenty Region,10 Depreciation,2013,3935
Bay of Plenty Region,11 Other Expense,2013,0
Bay of Plenty Region,12 Total Expenditure,2013,62345
Bay of Plenty Region,13 Net Surplus/(Deficit),2013,4755
Bay of Plenty Region,01 Rates,2014,25362
Bay of Plenty Region,02 Development Contributions,2014,0
Bay of Plenty Region,03 Subsidies,2014,0
Bay of Plenty Region,04 Investment Income,2014,26161
Bay of Plenty Region,05 Vested Assets,2014,0
Bay of Plenty Region,06 Other Income,2014,11543
Bay of Plenty Region,07 Total Income,2014,63066
Bay of Plenty Region,08 Direct Costs,2014,53529
Bay of Plenty Region,09 Interest,2014,3665
Bay of Plenty Region,10 Depreciation,2014,3867
Bay of Plenty Region,11 Other Expense,2014,0
Bay of Plenty Region,12 Total Expenditure,2014,61062
Bay of Plenty Region,13 Net Surplus/(Deficit),2014,2003
Bay of Plenty Region,01 Rates,2015,25100
Bay of Plenty Region,02 Development Contributions,2015,0
Bay of Plenty Region,03 Subsidies,2015,0
Bay of Plenty Region,04 Investment Income,2015,26453
Bay of Plenty Region,05 Vested Assets,2015,0
Bay of Plenty Region,06 Other Income,2015,11446
Bay of Plenty Region,07 Total Income,2015,62999
Bay of Plenty Region,08 Direct Costs,2015,51753
Bay of Plenty Region,09 Interest,2015,3696
Bay of Plenty Region,10 Depreciation,2015,3899
Bay of Plenty Region,11 Other Expense,2015,0
Bay of Plenty Region,12 Total Expenditure,2015,59350
Bay of Plenty Region,13 Net Surplus/(Deficit),2015,3649
Bay of Plenty Region,01 Rates,2016,25834
Bay of Plenty Region,02 Development Contributions,2016,0
Bay of Plenty Region,03 Subsidies,2016,0
Bay of Plenty Region,04 Investment Income,2016,26652
Bay of Plenty Region,05 Vested Assets,2016,0
Bay of Plenty Region,06 Other Income,2016,11341
Bay of Plenty Region,07 Total Income,2016,63828
Bay of Plenty Region,08 Direct Costs,2016,52622
Bay of Plenty Region,09 Interest,2016,3531
Bay of Plenty Region,10 Depreciation,2016,4146
Bay of Plenty Region,11 Other Expense,2016,0
Bay of Plenty Region,12 Total Expenditure,2016,60300
Bay of Plenty Region,13 Net Surplus/(Deficit),2016,3528
Buller District,01 Rates,2007,7838
Buller District,02 Development Contributions,2007,0
Buller District,03 Subsidies,2007,8462
Buller District,04 Investment Income,2007,1550
Buller District,05 Vested Assets,2007,0
Buller District,06 Other Income,2007,4760
Buller District,07 Total Income,2007,22612
Buller District,08 Direct Costs,2007,9988
Buller District,09 Interest,2007,487
Buller District,10 Depreciation,2007,2998
Buller District,11 Other Expense,2007,0
Buller District,12 Total Expenditure,2007,13475
Buller District,13 Net Surplus/(Deficit),2007,9137
Buller District,01 Rates,2008,8581
Buller District,02 Development Contributions,2008,0
Buller District,03 Subsidies,2008,3254
Buller District,04 Investment Income,2008,1513
Buller District,05 Vested Assets,2008,0
Buller District,06 Other Income,2008,3991
Buller District,07 Total Income,2008,17341
Buller District,08 Direct Costs,2008,10477
Buller District,09 Interest,2008,1116
Buller District,10 Depreciation,2008,3085
Buller District,11 Other Expense,2008,0
Buller District,12 Total Expenditure,2008,14680
Buller District,13 Net Surplus/(Deficit),2008,2661
Buller District,01 Rates,2009,9953
Buller District,02 Development Contributions,2009,0
Buller District,03 Subsidies,2009,2989
Buller District,04 Investment Income,2009,1597
Buller District,05 Vested Assets,2009,0
Buller District,06 Other Income,2009,4335
Buller District,07 Total Income,2009,18875
Buller District,08 Direct Costs,2009,11199
Buller District,09 Interest,2009,1743
Buller District,10 Depreciation,2009,3598
Buller District,11 Other Expense,2009,0
Buller District,12 Total Expenditure,2009,16540
Buller District,13 Net Surplus/(Deficit),2009,2334
Buller District,01 Rates,2010,10152
Buller District,02 Development Contributions,2010,0
Buller District,03 Subsidies,2010,3056
Buller District,04 Investment Income,2010,1597
Buller District,05 Vested Assets,2010,0
Buller District,06 Other Income,2010,4156
Buller District,07 Total Income,2010,18963
Buller District,08 Direct Costs,2010,11426
Buller District,09 Interest,2010,1854
Buller District,10 Depreciation,2010,3708
Buller District,11 Other Expense,2010,0
Buller District,12 Total Expenditure,2010,16988
Buller District,13 Net Surplus/(Deficit),2010,1974
Buller District,01 Rates,2011,10376
Buller District,02 Development Contributions,2011,0
Buller District,03 Subsidies,2011,4015
Buller District,04 Investment Income,2011,1667
Buller District,05 Vested Assets,2011,0
Buller District,06 Other Income,2011,4472
Buller District,07 Total Income,2011,20532
Buller District,08 Direct Costs,2011,11667
Buller District,09 Interest,2011,1826
Buller District,10 Depreciation,2011,3753
Buller District,11 Other Expense,2011,0
Buller District,12 Total Expenditure,2011,17246
Buller District,13 Net Surplus/(Deficit),2011,3285
Buller District,01 Rates,2012,10549
Buller District,02 Development Contributions,2012,0
Buller District,03 Subsidies,2012,4090
Buller District,04 Investment Income,2012,1702
Buller District,05 Vested Assets,2012,0
Buller District,06 Other Income,2012,4170
Buller District,07 Total Income,2012,20511
Buller District,08 Direct Costs,2012,11900
Buller District,09 Interest,2012,1722
Buller District,10 Depreciation,2012,3996
Buller District,11 Other Expense,2012,0
Buller District,12 Total Expenditure,2012,17620
Buller District,13 Net Surplus/(Deficit),2012,2891
Buller District,01 Rates,2013,10479
Buller District,02 Development Contributions,2013,0
Buller District,03 Subsidies,2013,3218
Buller District,04 Investment Income,2013,1772
Buller District,05 Vested Assets,2013,0
Buller District,06 Other Income,2013,3813
Buller District,07 Total Income,2013,19283
Buller District,08 Direct Costs,2013,12116
Buller District,09 Interest,2013,1643
Buller District,10 Depreciation,2013,4004
Buller District,11 Other Expense,2013,0
Buller District,12 Total Expenditure,2013,17764
Buller District,13 Net Surplus/(Deficit),2013,1519
Buller District,01 Rates,2014,10462
Buller District,02 Development Contributions,2014,0
Buller District,03 Subsidies,2014,3264
Buller District,04 Investment Income,2014,1856
Buller District,05 Vested Assets,2014,0
Buller District,06 Other Income,2014,3837
Buller District,07 Total Income,2014,19421
Buller District,08 Direct Costs,2014,12354
Buller District,09 Interest,2014,1572
Buller District,10 Depreciation,2014,4014
Buller District,11 Other Expense,2014,0
Buller District,12 Total Expenditure,2014,17942
Buller District,13 Net Surplus/(Deficit),2014,1479
Buller District,01 Rates,2015,10560
Buller District,02 Development Contributions,2015,0
Buller District,03 Subsidies,2015,3305
Buller District,04 Investment Income,2015,1926
Buller District,05 Vested Assets,2015,0
Buller District,06 Other Income,2015,3865
Buller District,07 Total Income,2015,19657
Buller District,08 Direct Costs,2015,12526
Buller District,09 Interest,2015,1492
Buller District,10 Depreciation,2015,4219
Buller District,11 Other Expense,2015,0
Buller District,12 Total Expenditure,2015,18238
Buller District,13 Net Surplus/(Deficit),2015,1419
Buller District,01 Rates,2016,10506
Buller District,02 Development Contributions,2016,0
Buller District,03 Subsidies,2016,3349
Buller District,04 Investment Income,2016,2010
Buller District,05 Vested Assets,2016,0
Buller District,06 Other Income,2016,3912
Buller District,07 Total Income,2016,19778
Buller District,08 Direct Costs,2016,12702
Buller District,09 Interest,2016,1406
Buller District,10 Depreciation,2016,4219
Buller District,11 Other Expense,2016,0
Buller District,12 Total Expenditure,2016,18328
Buller District,13 Net Surplus/(Deficit),2016,1449
Canterbury Region,01 Rates,2007,59805
