Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CA Total Claimants (2015),ca Claimants Male 16-34 (2015),ca Claimants Male 35-49 (2015),ca Claimants Male 50-64 (2015),ca Claimants Male 65+ (2015),ca Claimants Female 16-34 (2015),ca Claimants Female 35-49 (2015),ca Claimants Female 50-64 (2015),ca Claimants Female 65+ (2015)
95II21,TULLYCARNET,CASTLEREAGH,130,20,20,10,20,10,20,20,20
95II22,UPPER BRANIEL,CASTLEREAGH,70,0,0,10,20,10,10,20,10
95II23,WYNCHURCH,CASTLEREAGH,60,0,10,0,10,0,10,20,20
95JJ01,AGIVEY,COLERAINE,70,0,0,10,10,0,20,10,20
95JJ02,ATLANTIC,COLERAINE,80,0,0,10,10,10,20,10,20
95JJ03,BALLYSALLY,COLERAINE,130,10,10,10,10,20,30,20,10
95JJ04,CASTLEROCK,COLERAINE,110,10,10,10,20,10,10,20,30
95JJ05,CENTRAL (COLERAINE),COLERAINE,80,0,10,10,20,10,10,20,10
95JJ06,CHURCHLAND,COLERAINE,110,0,10,20,10,10,20,20,20
95JJ07,CROSS GLEBE,COLERAINE,140,10,20,10,10,10,40,30,20
95JJ08,DUNDOOAN,COLERAINE,80,0,0,10,20,0,10,20,20
95JJ09,DUNLUCE,COLERAINE,60,0,0,0,10,0,0,10,20
95JJ10,GARVAGH,COLERAINE,90,0,10,10,10,10,20,20,20
95JJ11,HOPEFIELD,COLERAINE,120,10,10,10,30,0,20,20,30
95JJ12,KILREA,COLERAINE,120,0,10,10,20,10,30,20,30
95JJ13,KNOCKLYNN,COLERAINE,110,0,0,10,10,10,30,20,20
95JJ14,MACOSQUIN,COLERAINE,90,0,0,10,20,0,20,10,20
95JJ15,MOUNT SANDEL,COLERAINE,70,0,0,10,10,10,10,20,10
95JJ16,PORTSTEWART,COLERAINE,50,10,0,0,10,10,10,10,10
95JJ17,RINGSEND,COLERAINE,80,10,0,10,10,0,10,20,10
95JJ18,ROYAL PORTRUSH,COLERAINE,60,0,10,10,10,0,10,10,10
95JJ19,STRAND (COLERAINE),COLERAINE,30,0,0,0,10,0,10,10,10
95JJ20,THE CUTS,COLERAINE,140,10,0,10,30,10,20,30,30
95JJ21,UNIVERSITY,COLERAINE,90,10,10,10,10,10,10,10,20
95JJ22,WATERSIDE,COLERAINE,50,0,0,0,10,0,10,20,10
95KK01,ARDBOE,COOKSTOWN,200,10,20,30,30,20,30,40,40
95KK02,COAGH,COOKSTOWN,100,0,10,10,30,10,10,10,30
95KK03,DUNNAMORE,COOKSTOWN,110,0,10,10,10,10,20,30,20
95KK04,GORTALOWRY,COOKSTOWN,120,10,0,10,10,10,30,30,20
95KK05,KILLYCOLPY,COOKSTOWN,150,10,20,10,20,10,30,30,30
95KK06,KILLYMOON,COOKSTOWN,110,10,10,10,10,10,20,30,20
95KK07,LISSAN,COOKSTOWN,70,10,10,10,0,0,20,10,10
95KK08,MONEYMORE,COOKSTOWN,90,0,10,10,10,10,30,20,20
95KK09,NEWBUILDINGS,COOKSTOWN,90,0,10,10,10,0,30,10,20
95KK10,OAKLANDS,COOKSTOWN,60,0,10,10,10,0,10,10,10
95KK11,OLDTOWN,COOKSTOWN,120,10,10,10,20,10,20,20,20
95KK12,POMEROY,COOKSTOWN,110,10,10,20,20,10,20,20,20
95KK13,SANDHOLES,COOKSTOWN,60,0,0,10,10,0,10,20,10
95KK14,STEWARTSTOWN,COOKSTOWN,100,0,10,10,20,10,20,20,20
95KK15,THE LOOP,COOKSTOWN,120,0,10,20,10,10,20,20,20
95KK16,TULLAGH,COOKSTOWN,100,0,10,10,10,10,20,20,20
95LL01,AGHAGALLON,CRAIGAVON,180,10,20,20,30,10,30,40,30
95LL02,ANNAGH,CRAIGAVON,90,0,10,10,20,10,10,20,20
95LL03,BALLYBAY,CRAIGAVON,100,0,10,10,10,20,20,20,20
95LL04,BALLYORAN,CRAIGAVON,130,0,10,10,20,20,20,20,30
95LL05,BLEARY,CRAIGAVON,140,10,10,20,20,10,30,20,20
95LL06,BROWNSTOWN,CRAIGAVON,100,0,0,10,10,10,20,20,20
95LL07,CHURCH,CRAIGAVON,110,0,10,10,20,0,20,20,20
95LL08,CORCRAIN,CRAIGAVON,180,10,20,20,10,20,40,30,20
95LL09,COURT,CRAIGAVON,200,10,20,20,30,10,30,40,40
95LL10,DERRYTRASNA,CRAIGAVON,170,0,10,20,20,10,40,40,30
95LL11,DONAGHCLONEY,CRAIGAVON,110,0,10,20,20,10,30,20,20
95LL12,DRUMGASK,CRAIGAVON,260,10,40,30,30,30,50,50,30
95LL13,DRUMGOR,CRAIGAVON,160,10,20,20,20,20,30,20,30
95LL14,DRUMNAMOE,CRAIGAVON,230,10,10,40,40,10,30,50,40
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,90,0,0,0,10,0,20,20,20
95LL16,KERNAN,CRAIGAVON,170,0,20,20,30,20,30,30,30
95LL17,KILLYCOMAIN,CRAIGAVON,110,0,10,20,20,10,10,20,30
95LL18,KNOCKNASHANE,CRAIGAVON,90,0,10,10,20,10,10,20,20
95LL19,MAGHERALIN,CRAIGAVON,140,0,0,20,30,10,20,30,30
95LL20,MOURNEVIEW,CRAIGAVON,140,0,10,10,20,10,20,30,30
95LL21,PARKLAKE,CRAIGAVON,160,10,10,10,30,10,30,20,40
95LL22,TAGHNEVAN,CRAIGAVON,200,10,10,30,40,20,50,20,30
95LL23,TAVANAGH,CRAIGAVON,130,0,10,20,20,20,20,30,20
95LL24,THE BIRCHES,CRAIGAVON,110,0,10,10,10,10,20,20,20
95LL25,WARINGSTOWN,CRAIGAVON,100,0,10,10,20,0,20,10,30
95LL26,WOODVILLE,CRAIGAVON,140,0,10,20,20,10,20,30,20
95MM01,ALTNAGELVIN,DERRY,180,10,20,20,20,20,40,30,20
95MM02,BALLYNASHALLOG,DERRY,100,0,10,10,20,0,20,20,20
95MM03,BANAGHER,DERRY,130,10,10,10,20,10,20,20,30
95MM04,BEECHWOOD,DERRY,150,10,10,30,20,10,10,20,30
95MM05,BRANDYWELL,DERRY,160,10,20,20,10,10,40,30,20
95MM06,CARN HILL,DERRY,200,10,20,10,30,20,40,40,30
95MM07,CAW,DERRY,120,10,10,10,10,10,30,20,20
95MM08,CLONDERMOT,DERRY,140,10,10,20,20,10,30,20,20
95MM09,CLAUDY,DERRY,140,10,10,10,30,10,20,20,30
95MM10,CREGGAN CENTRAL,DERRY,220,10,10,30,20,30,60,40,20
95MM11,CREGGAN SOUTH,DERRY,190,10,10,30,10,30,40,50,20
95MM12,CREVAGH,DERRY,320,30,40,30,20,30,80,70,30
95MM13,CULMORE,DERRY,440,20,40,50,60,40,90,70,60
95MM14,EBRINGTON,DERRY,110,10,20,10,20,10,20,20,10
95MM15,EGLINTON,DERRY,140,10,10,10,20,10,30,30,30
95MM16,ENAGH (DERRY),DERRY,220,10,20,20,20,30,50,40,30
95MM17,FOYLE SPRINGS,DERRY,170,10,20,30,20,20,30,30,20
95MM18,HOLLY MOUNT,DERRY,190,20,20,20,20,10,40,40,20
95MM19,KILFENNAN,DERRY,100,0,10,10,10,10,20,20,10
95MM20,LISNAGELVIN,DERRY,160,0,10,20,30,10,30,30,30
95MM21,NEW BUILDINGS,DERRY,120,0,10,10,10,10,20,30,20
95MM22,PENNYBURN,DERRY,70,0,0,10,20,0,10,20,20
95MM23,ROSEMOUNT,DERRY,130,10,10,20,10,20,20,20,20
95MM24,SHANTALLOW EAST,DERRY,220,10,30,20,30,20,40,40,30
95MM25,SHANTALLOW WEST,DERRY,380,20,40,50,30,50,90,70,30
95MM26,SPRINGTOWN,DERRY,160,10,10,20,20,10,30,40,20
95MM27,STRAND (DERRY),DERRY,120,10,20,20,20,10,10,20,20
95MM28,THE DIAMOND,DERRY,120,10,20,20,20,10,20,20,10
95MM29,VICTORIA (DERRY),DERRY,130,10,20,10,10,20,30,20,20
95MM30,WESTLAND,DERRY,140,0,20,20,10,10,30,30,20
95NN01,ARDGLASS,DOWN,160,20,20,20,20,20,30,20,20
95NN02,AUDLEYS ACRE,DOWN,90,0,10,10,10,10,10,20,20
95NN03,BALLYMAGLAVE,DOWN,90,0,10,10,20,10,20,10,20
95NN04,BALLYMOTE,DOWN,200,20,20,20,20,30,50,30,20
95NN05,BALLYNAHINCH EAST,DOWN,100,10,10,0,10,10,30,10,20
95NN06,CASTLEWELLAN,DOWN,160,10,10,20,10,20,30,30,20
95NN07,CATHEDRAL,DOWN,160,10,10,20,20,20,30,20,30
95NN08,CROSSGAR,DOWN,90,0,0,10,20,0,10,30,30
95NN09,DERRYBOY,DOWN,80,0,0,0,10,10,10,20,20
95NN10,DONARD,DOWN,90,10,10,10,20,10,20,20,10
95NN11,DRUMANESS,DOWN,130,10,20,10,20,0,30,20,20
95NN12,DUNDRUM,DOWN,90,0,10,10,10,10,20,10,20
95NN13,DUNMORE,DOWN,70,0,0,10,10,10,20,10,20
95NN14,KILLOUGH,DOWN,130,10,20,20,10,10,30,30,20
95NN15,KILLYLEAGH,DOWN,120,0,10,10,20,10,20,30,20
95NN16,KILMORE,DOWN,80,0,10,10,10,0,20,20,20
95NN17,MURLOUGH,DOWN,140,10,10,10,10,20,30,30,20
95NN18,QUOILE,DOWN,100,0,10,10,10,20,20,20,10
95NN19,SAINTFIELD,DOWN,80,0,0,10,10,10,20,20,20
95NN20,SEAFORDE,DOWN,110,10,10,20,10,10,20,20,20
95NN21,SHIMNA,DOWN,120,10,10,10,20,20,20,20,20
95NN22,STRANGFORD,DOWN,100,10,10,10,20,10,20,10,20
95NN23,TOLLYMORE,DOWN,130,10,10,20,10,10,30,30,30
95OO01,ALTMORE,DUNGANNON,130,10,10,20,20,10,20,20,20
95OO02,AUGHER,DUNGANNON,50,0,10,0,0,0,10,20,20
95OO03,AUGHNACLOY,DUNGANNON,100,0,0,10,20,0,20,30,20
95OO04,BALLYGAWLEY,DUNGANNON,110,0,10,10,20,10,20,20,20
95OO05,BALLYSAGGART,DUNGANNON,130,10,20,20,10,10,30,20,20
95OO06,BENBURB,DUNGANNON,100,10,10,10,30,10,10,20,20
95OO07,CALEDON,DUNGANNON,90,0,0,10,20,0,20,20,20
95OO08,CASTLECAULFIELD,DUNGANNON,110,0,10,10,20,10,20,20,30
95OO09,CLOGHER,DUNGANNON,70,0,0,10,10,0,10,10,20
95OO10,COALISLAND NORTH,DUNGANNON,190,10,20,20,20,10,40,40,40
95OO11,COALISLAND SOUTH,DUNGANNON,160,10,10,20,20,10,40,30,20
95OO12,COALISLAND WEST AND NEWMILLS,DUNGANNON,160,10,20,10,10,20,30,30,20
95OO13,COOLHILL,DUNGANNON,60,0,0,10,10,10,10,10,10
95OO14,DONAGHMORE (DUNGANNON),DUNGANNON,100,0,10,10,20,10,20,20,30
95OO15,DRUMGLASS,DUNGANNON,120,10,10,20,10,10,20,20,20
95OO16,FIVEMILETOWN,DUNGANNON,60,0,0,10,10,0,10,10,10
95OO17,KILLYMAN,DUNGANNON,90,0,0,10,10,10,10,20,20
