OBJECTID,MAPBLOCKLO,TIF_NAME,NOTES
82,1-D-259-C514,CENTER TRIANGLE - LAZARUS,
83,1-D-259-C515,CENTER TRIANGLE - LAZARUS,
84,1-D-259-C516,CENTER TRIANGLE - LAZARUS,
85,1-D-259-C517,CENTER TRIANGLE - LAZARUS,
86,1-D-259-C518,CENTER TRIANGLE - LAZARUS,
87,1-D-259-C519,CENTER TRIANGLE - LAZARUS,
88,1-D-259-C520,CENTER TRIANGLE - LAZARUS,
89,1-D-259-C521,CENTER TRIANGLE - LAZARUS,
90,1-D-259-C601,CENTER TRIANGLE - LAZARUS,
91,1-D-259-C603,CENTER TRIANGLE - LAZARUS,
92,1-D-259-C602,CENTER TRIANGLE - LAZARUS,
93,1-D-259-C604,CENTER TRIANGLE - LAZARUS,
94,1-D-259-C605,CENTER TRIANGLE - LAZARUS,
95,1-D-259-C618,CENTER TRIANGLE - LAZARUS,
96,1-D-259-C617,CENTER TRIANGLE - LAZARUS,
97,1-D-259-C616,CENTER TRIANGLE - LAZARUS,
98,1-D-259-C615,CENTER TRIANGLE - LAZARUS,
99,1-D-259-C614,CENTER TRIANGLE - LAZARUS,
100,1-D-259-C613,CENTER TRIANGLE - LAZARUS,
101,1-D-259-C612,CENTER TRIANGLE - LAZARUS,
102,1-D-259-C611,CENTER TRIANGLE - LAZARUS,
103,1-D-259-C610,CENTER TRIANGLE - LAZARUS,
104,1-D-259-C608,CENTER TRIANGLE - LAZARUS,
105,1-D-259-C609,CENTER TRIANGLE - LAZARUS,
106,1-D-259-C607,CENTER TRIANGLE - LAZARUS,
107,1-D-259-C606,CENTER TRIANGLE - LAZARUS,
108,1-D-259-C722,CENTER TRIANGLE - LAZARUS,
109,1-D-259-C619,CENTER TRIANGLE - LAZARUS,
110,1-D-259-C721,CENTER TRIANGLE - LAZARUS,
111,1-D-259-C620,CENTER TRIANGLE - LAZARUS,
112,1-D-259-C720,CENTER TRIANGLE - LAZARUS,
113,1-D-259-C621,CENTER TRIANGLE - LAZARUS,
114,1-D-259-C719,CENTER TRIANGLE - LAZARUS,
115,1-D-259-C622,CENTER TRIANGLE - LAZARUS,
116,1-D-259-C718,CENTER TRIANGLE - LAZARUS,
117,1-D-259-C701,CENTER TRIANGLE - LAZARUS,
118,1-D-259-C717,CENTER TRIANGLE - LAZARUS,
119,1-D-259-C702,CENTER TRIANGLE - LAZARUS,
120,1-D-259-C716,CENTER TRIANGLE - LAZARUS,
121,1-D-259-C703,CENTER TRIANGLE - LAZARUS,
122,1-D-259-C715,CENTER TRIANGLE - LAZARUS,
123,1-D-259-C704,CENTER TRIANGLE - LAZARUS,
124,1-D-259-C714,CENTER TRIANGLE - LAZARUS,
125,1-D-259-C705,CENTER TRIANGLE - LAZARUS,
126,1-D-259-C712,CENTER TRIANGLE - LAZARUS,
127,1-D-259-C707,CENTER TRIANGLE - LAZARUS,
128,1-D-259-C713,CENTER TRIANGLE - LAZARUS,
129,1-D-259-C706,CENTER TRIANGLE - LAZARUS,
130,1-D-259-C711,CENTER TRIANGLE - LAZARUS,
131,1-D-259-C708,CENTER TRIANGLE - LAZARUS,
132,1-D-259-C710,CENTER TRIANGLE - LAZARUS,
133,1-D-259-C709,CENTER TRIANGLE - LAZARUS,
134,29-B-305-1,PITTSBURGH TECHNOLOGY CENTER,
135,29-B-305-2,PITTSBURGH TECHNOLOGY CENTER,
136,29-B-305-3,PITTSBURGH TECHNOLOGY CENTER,
137,12-H-220,SOUTH SIDE WORKS,
138,29-E-3,SOUTH SIDE WORKS,
139,12-H-230,SOUTH SIDE WORKS,
140,12-H-240,SOUTH SIDE WORKS,
141,29-E-7,SOUTH SIDE WORKS,
142,29-E-9,SOUTH SIDE WORKS,
143,11-K-340-9,PITTSBURGH TECHNOLOGY CENTER,
144,1-D-173,FIFTH & MARKET,
145,125-J-2,BAKERY SQUARE,
146,29-E-70,SOUTH SIDE WORKS,
147,1-D-173-22A,FIFTH & MARKET,
148,1-D-173-22B,FIFTH & MARKET,
149,1-D-173-23,FIFTH & MARKET,
150,1-D-173-20B,FIFTH & MARKET,
151,1-D-173-20A,FIFTH & MARKET,
152,1-D-173-21C,FIFTH & MARKET,
153,1-D-173-21A,FIFTH & MARKET,
154,1-D-173-21B,FIFTH & MARKET,
155,1-D-173-20C,FIFTH & MARKET,
156,1-D-173-14A,FIFTH & MARKET,
157,1-D-173-14B,FIFTH & MARKET,
158,1-D-173-14C,FIFTH & MARKET,
159,1-D-173-18A,FIFTH & MARKET,
160,1-D-173-18B,FIFTH & MARKET,
161,1-D-173-18C,FIFTH & MARKET,
162,1-D-173-19A,FIFTH & MARKET,
163,1-D-173-19B,FIFTH & MARKET,
164,1-D-173-19C,FIFTH & MARKET,
165,1-D-173-17A,FIFTH & MARKET,
166,1-D-173-17B,FIFTH & MARKET,
167,1-D-173-17C,FIFTH & MARKET,
168,1-D-173-15A,FIFTH & MARKET,
169,1-D-173-15B,FIFTH & MARKET,
170,1-D-173-15C,FIFTH & MARKET,
171,1-D-173-16A,FIFTH & MARKET,
172,1-D-173-16B,FIFTH & MARKET,
173,1-D-173-16C,FIFTH & MARKET,
174,83-R-220,HOME DEPOT,
175,29-J-225,SOUTH SIDE WORKS,
176,29-J-227,SOUTH SIDE WORKS,
177,9-K-97,PENN LIBERTY PLAZA,
178,9-L-31,PENN LIBERTY PLAZA,
179,9-L-17,PENN LIBERTY PLAZA,
