Year,"All cancers (C00–C96, D45–D47) No.","All cancers (C00–C96, D45–D47) Rate","Lip, Oral Cavity and Pharynx (C00–C14) No.","Lip, Oral Cavity and Pharynx (C00–C14) Rate",Oesophagus (C15) No.,Oesophagus (C15) Rate,Stomach (C16) No.,Stomach (C16) Rate,Colorectum and anus (C18–C21) No.,Colorectum and anus (C18–C21) Rate,Liver and intrahepatic bile ducts (C22) No.,Liver and intrahepatic bile ducts (C22) Rate,Pancreas (C25) No.,Pancreas (C25) Rate,Lung (C33–C34)No.,Lung (C33–C34) Rate,Melanoma (C43) No.,Melanoma (C43) Rate,Prostate (C61) No.,Prostate (C61) Rate,Testis (C62) No.,Testis (C62) Rate,"Kidney (C64–C66, C68) No.","Kidney (C64–C66, C68) Rate",Bladder (C67) No.,Bladder (C67) Rate,Brain (C71) No.,Brain (C71) Rate,Thyroid (C73) No.,Thyroid (C73) Rate,Hodgkin Lymphoma (C81) No.,Hodgkin Lymphoma (C81) Rate,"Non-Hodgkin Lymphoma (C82–C85, C96)   No.","Non-Hodgkin Lymphoma (C82–C85, C96)   Rate",Myeloma (C90) No.,Myeloma (C90) Rate,Leukaemia (C91–C95)  No.,Leukaemia (C91–C95)  Rate,,,,,,
1964,1712,125.7,21,1.5,32,2.3,140,9.6,299,21.7,50,3.5,84,5.9,79,5.8,25,2,344,26.1,90,7.1,45,3.1,121,9.3,,,27,1.9,27,1.9,41,3.3,17,1.2,17,1.3,51,3.7,12,0.8,75,5.4
1965,1783,128.7,17,1.2,28,2,155,10.7,309,22,48,3.4,76,5.3,69,5.1,30,2.3,355,26.5,102,7.9,52,3.7,109,8.1,,,33,2.2,27,1.8,50,3.7,12,0.8,27,2,33,2.4,22,1.5,89,6.3
1966,1774,124.6,16,1.1,30,1.9,149,10.1,328,22.7,36,2.4,87,5.9,74,5.3,36,2.9,343,24.8,91,6.8,41,2.8,114,8.3,,,26,1.8,22,1.5,39,2.8,11,0.7,15,1.1,49,3.5,19,1.3,93,6.4
1967,1815,125.5,23,1.6,42,2.7,134,8.8,335,22.7,43,2.9,81,5.4,94,6.6,29,2.2,385,27.4,97,7,50,3.4,104,7.5,,,34,2.3,23,1.4,43,3.1,10,0.7,21,1.5,40,2.7,22,1.5,67,4.6
1968,1844,124.7,30,1.9,35,2.3,134,8.7,325,21.7,16,1.1,76,4.9,102,6.9,41,2.9,389,27.2,76,5.5,54,3.5,118,8.2,,,25,1.7,34,2.1,38,2.7,9,0.6,20,1.4,51,3.5,21,1.4,68,4.6
1969,1875,124.9,14,0.9,34,2.2,132,8.3,378,24.7,15,1,65,4.1,117,8,24,1.7,369,25.5,85,6.3,54,3.5,126,8.7,,,36,2.4,34,2.1,33,2.4,20,1.2,20,1.4,56,3.6,22,1.4,94,6.2
1970,2024,132.5,14,0.8,41,2.5,136,8.6,337,21.6,16,1,87,5.4,149,9.8,38,2.7,422,28.7,90,6.3,63,4,142,9.7,,,44,2.7,23,1.4,46,3.2,13,0.8,21,1.5,47,3,33,2.1,68,4.4
1971,2007,129.7,26,1.6,30,1.8,128,7.9,354,21.9,17,1.1,81,5,135,8.9,34,2.4,424,28.5,94,6.5,49,3,138,9.2,,,37,2.4,37,2.2,51,3.5,14,0.8,16,1.1,45,2.8,28,1.8,72,4.8
1972,2115,132.4,20,1.2,44,2.5,130,7.8,396,24.4,17,1.1,82,5,172,10.9,29,1.9,392,25.3,84,5.8,74,4.5,152,9.7,,,39,2.4,45,2.6,49,3.3,9,0.5,14,0.9,46,2.9,30,1.8,94,5.8
1973,2141,131.7,26,1.6,41,2.4,120,7.1,323,19.5,10,0.6,74,4.4,193,11.9,29,1.9,449,28.5,87,5.8,52,3.1,127,8,,,25,1.5,41,2.3,50,3.3,19,1.1,22,1.3,63,3.7,31,1.8,79,4.9
1974,2284,138.6,24,1.4,43,2.5,154,8.8,464,27.5,17,1,100,5.8,198,12.2,19,1.4,447,28.5,95,6.2,70,4.1,123,7.6,,,27,1.6,26,1.4,56,3.7,14,0.8,15,0.9,42,2.5,32,1.9,86,5.1
1975,2281,134.8,25,1.4,43,2.4,135,7.6,456,26.4,22,1.3,105,5.8,200,11.9,40,2.6,422,26,89,5.6,60,3.3,151,8.8,,,37,2.1,38,2.1,67,4.3,15,0.8,20,1.3,54,3.2,38,2.1,86,5
1976,2330,136.1,27,1.5,53,2.9,135,7.4,465,26.7,17,1,130,7.3,196,11.5,71,4.7,449,27.4,91,5.9,59,3.3,133,8,,,28,1.5,37,1.9,44,2.8,10,0.5,15,0.9,78,4.4,33,1.8,81,4.7
1977,2402,137.9,29,1.6,50,2.6,126,6.7,458,25.8,15,0.9,93,5.1,220,12.8,56,3.4,473,28.4,93,5.8,70,3.8,151,9,,,38,2.1,40,2.1,61,3.8,12,0.7,12,0.7,73,4.1,33,1.8,74,4.2
1978,2410,137.2,30,1.6,47,2.5,124,6.5,474,26.1,17,1,119,6.5,237,13.8,47,3,437,26.5,105,6.5,66,3.5,153,8.8,,,32,1.8,29,1.6,49,3,13,0.7,21,1.2,89,5.1,44,2.4,80,4.6
1979,2465,137.3,26,1.4,62,3,122,6.5,462,24.9,22,1.2,111,5.8,256,14.2,51,3.1,481,28.6,79,4.8,69,3.7,155,8.9,,,34,1.9,39,1.9,65,4,11,0.6,18,1,58,3.2,34,1.8,80,4.5
1980,2513,138.5,31,1.6,40,2,130,7,439,23.4,20,1.1,104,5.3,265,14.5,50,2.9,509,29.5,94,5.8,62,3.3,160,9.3,,,38,2,42,2,61,3.8,12,0.6,9,0.5,65,3.5,37,1.9,82,4.6
1981,2527,134.6,24,1.3,43,2.1,133,6.6,483,25,21,1.1,111,5.7,298,15.8,47,2.8,478,27.3,95,5.5,46,2.2,139,7.5,,,29,1.5,27,1.2,72,4.2,10,0.5,7,0.4,71,3.8,41,2,80,4.2
1982,2647,138.7,32,1.6,52,2.4,133,6.4,502,25.1,26,1.5,86,4.1,298,15.4,57,3.4,524,29.4,110,6.4,70,3.5,151,8,,,36,1.8,33,1.6,44,2.7,12,0.6,14,0.8,80,3.9,45,2.3,71,3.9
1983,2771,142.3,24,1.2,55,2.6,156,7.4,498,24.8,29,1.4,110,5,291,15,54,3.1,537,29.8,90,5.3,68,3.3,164,8.6,,,47,2.3,33,1.5,60,3.3,9,0.4,18,0.9,72,3.6,45,2.2,102,5.5
1984,2651,133.1,33,1.6,46,2.2,119,5.4,467,22.4,28,1.5,105,4.8,307,15.2,71,4,504,26.8,98,5.8,64,3.2,150,7.6,,,30,1.6,37,1.6,83,4.6,6,0.3,10,0.5,60,3,41,1.9,78,4.1
1985,2849,140.2,33,1.5,52,2.3,119,5.4,474,22.6,19,0.9,137,6.1,331,16.6,60,3.2,565,29.5,97,5.5,58,2.8,153,8,,,59,2.7,44,1.9,76,4.3,10,0.5,10,0.6,67,3.1,52,2.3,100,5
1986,2857,137.2,41,1.7,50,2,131,5.8,548,25.3,17,0.8,134,5.9,329,15.9,71,3.6,529,27.6,89,4.8,63,2.9,139,6.9,,,35,1.5,42,1.8,64,3.6,8,0.4,11,0.5,81,3.8,43,1.9,104,5.1
1987,3035,144.3,33,1.5,53,2.2,118,5,543,24.3,18,0.8,133,5.7,396,18.9,67,3.5,607,31.5,117,6.3,64,2.8,143,7.4,,,42,2,41,1.6,65,3.5,11,0.5,8,0.3,83,3.7,39,1.8,112,5.3
1988,3037,141.5,34,1.5,71,2.8,124,5.3,523,23.4,32,1.5,103,4.5,395,18.4,69,3.4,593,30,99,5.3,63,2.8,143,6.9,,,54,2.4,52,2,63,3.3,12,0.5,13,0.6,104,4.8,47,2,81,4
1989,3139,145.6,37,1.7,54,2.2,132,5.8,539,23.9,27,1.3,120,5.1,411,19.7,71,3.5,605,30,85,4.6,73,3.6,152,7.3,,,52,2.3,48,1.9,59,3.3,15,0.8,8,0.4,87,3.8,41,1.8,105,4.9
1990,3198,145.7,30,1.3,67,2.7,116,4.8,507,22.4,29,1.3,105,4.3,433,20.2,73,3.4,635,31.2,101,5.5,82,3.5,181,7.8,,,55,2.4,48,1.9,68,3.5,12,0.5,9,0.3,94,4.1,50,2.2,95,4.2
1991,3251,145.4,38,1.6,65,2.6,103,4.5,550,23.1,43,1.7,140,5.7,427,19.8,71,3.4,588,28.6,106,5.3,68,3.1,161,6.8,,,54,2.3,54,2,79,4.2,14,0.6,7,0.3,101,4.4,41,1.7,99,4.3
1992,3110,133.8,37,1.5,63,2.4,113,4.5,487,19.7,26,1.1,133,5.2,445,19.5,83,3.8,569,26.6,84,4.1,65,2.7,161,6.6,14,0.5,56,2.4,47,1.6,76,3.8,10,0.5,3,0.2,127,5.3,36,1.5,94,4
1993,3282,138.6,25,1.1,69,2.6,104,4,527,21.1,26,1.1,121,4.9,444,19.4,82,3.5,584,26.6,80,3.8,70,2.8,188,7.7,17,0.6,45,1.8,45,1.7,92,4.9,14,0.5,10,0.5,112,4.7,71,2.8,99,4.2
1994,3332,137.6,30,1.3,63,2.2,111,3.9,558,22.1,33,1.3,133,5.1,484,20.7,79,3.4,567,25.5,77,3.7,59,2.4,172,6.8,12,0.4,60,2.5,51,1.6,82,3.8,13,0.5,8,0.4,111,4.4,64,2.5,124,5.1
1995,3504,143.8,36,1.4,77,2.6,113,4.2,537,21.3,35,1.4,143,5.3,514,21.6,71,3.2,638,28.4,96,4.6,73,2.9,175,7.5,19,0.7,49,2,40,1.5,94,4.3,21,0.8,8,0.4,117,4.7,61,2.4,105,4.1
1996,3589,142.1,28,1,68,2.5,121,4.5,546,20.9,39,1.6,167,6.2,502,20.2,87,3.7,681,28.6,82,3.8,67,2.6,179,7.6,14,0.5,60,2.3,75,2.5,93,4.3,15,0.6,4,0.1,141,5.5,66,2.5,114,4.6
1997,3448,130.7,31,1.1,68,2.1,112,3.6,514,18.4,44,1.6,145,5,530,21.2,80,3.2,620,25.8,73,3.2,60,2.3,166,6.5,10,0.3,66,2.4,47,1.5,82,3.4,11,0.4,10,0.4,146,5.3,70,2.4,97,3.8
1998,3671,134.9,36,1.2,58,1.7,120,4.1,554,19.2,37,1.4,178,6.1,526,20.2,105,4,629,25.2,77,3.2,85,3.1,177,7.1,9,0.3,66,2.3,53,1.6,91,3.7,14,0.5,5,0.2,166,5.9,76,2.6,124,4.5
1999,3611,130.7,44,1.5,59,1.9,128,4.3,557,19.3,36,1.3,149,5.2,569,21.4,85,3.3,647,25.3,71,3,73,2.5,170,6.6,13,0.4,71,2.5,54,1.6,75,3,12,0.4,6,0.3,146,5.2,60,1.9,107,3.7
2000,3500,123.2,35,1.1,60,1.7,123,4,563,18.8,44,1.6,144,4.7,546,19.7,98,3.7,622,23.6,66,2.7,91,3.4,186,7,13,0.4,54,1.8,56,1.5,101,4.2,11,0.4,3,0.1,102,3.5,56,1.8,95,3.3
2001,3644,124.6,32,1,76,2.2,108,3.5,571,18.4,44,1.4,148,4.9,594,21.4,88,3.1,615,22.7,63,2.4,83,2.9,185,6.6,12,0.4,53,1.9,64,1.7,95,4,7,0.2,4,0.2,130,4.1,66,1.9,116,3.9
2002,3675,120.9,39,1.2,67,2,112,3.6,545,16.8,59,2,153,4.7,605,20.7,86,3.1,625,22.4,65,2.4,95,3.1,179,6.1,12,0.4,71,2.4,56,1.4,79,3,13,0.4,8,0.3,146,4.7,70,2.2,108,3.6
2003,3735,121.7,39,1.1,75,2.2,109,3.4,555,17,48,1.5,153,4.5,618,21.6,111,3.6,647,23.1,58,2.1,77,2.5,173,6,9,0.2,74,2.3,56,1.4,82,3.1,13,0.4,8,0.4,158,5.1,63,2,111,3.5
2004,3899,124.1,35,1.1,74,2.1,115,3.6,603,18,57,1.8,183,5.3,626,21.5,97,3,642,22.4,71,2.4,69,2.3,194,6.4,13,0.3,62,2,56,1.4,92,3.4,19,0.6,6,0.2,152,4.6,72,2.1,145,4.7
2005,3787,116.9,38,1.1,66,1.8,113,3.5,614,17.7,45,1.4,173,5.1,587,19.2,113,3.7,648,21.7,54,1.9,90,2.8,197,6.3,14,0.4,68,2,64,1.6,87,3.2,14,0.5,6,0.2,108,3.1,68,1.9,148,4.6
2006,3950,118.5,38,1.1,79,2.1,112,3.4,625,17.4,76,2.4,197,5.3,659,21.2,114,3.4,614,20.3,52,1.7,98,3.2,222,6.9,13,0.3,59,1.7,51,1.3,87,3.1,23,0.7,7,0.2,144,4.2,71,2.1,128,3.5
2007,3980,117.3,42,1.1,80,1.9,113,3.6,608,16.8,59,1.8,216,6.2,664,20.4,114,3.4,643,20.8,65,2.2,97,2.9,214,6.7,15,0.4,72,2,51,1.2,96,3.5,14,0.4,5,0.2,142,3.9,79,2.2,134,3.9
2008,4005,115.3,39,1.1,75,1.9,110,3.1,587,15.8,66,1.9,197,5.3,745,22.6,115,3.2,618,19.1,59,1.9,90,2.7,198,6.1,15,0.4,77,2.1,66,1.6,98,3.4,10,0.3,11,0.4,123,3.3,68,1.9,130,3.7
2009,4035,112.6,41,1.2,78,1.9,84,2.4,610,16,78,2,202,5.5,717,21,113,3.3,658,19.9,44,1.4,105,3,230,6.6,15,0.4,66,1.9,65,1.6,98,3.4,15,0.4,6,0.2,143,3.9,58,1.4,121,3.2
2010,4082,110.6,26,0.7,82,2.1,95,2.6,590,15,63,1.8,215,5.6,757,21.2,125,3.5,641,19.1,52,1.7,100,2.7,228,6.4,14,0.3,68,1.7,49,1.1,96,3,21,0.6,8,0.3,128,3.1,72,1.8,117,3
2011,4241,112.6,46,1.2,88,2.2,103,3,589,14.2,76,2,210,5.5,773,21.2,116,3.2,636,18.3,53,1.7,108,3,228,6.4,18,0.5,93,2.4,74,1.6,113,3.7,19,0.5,7,0.2,133,3.3,77,1.9,127,3.4
2012,4170,109,41,1.2,66,1.6,123,3.2,619,15,82,2.2,234,5.8,737,19.7,132,3.6,617,17.7,56,1.8,121,3.2,195,5.3,14,0.4,69,1.8,74,1.7,95,2.8,18,0.4,16,0.5,121,3.2,60,1.5,148,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: New Zealand Mortality Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rates are expressed per 100,000 population and age-standardised to the World Health Organisation world standard population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank areas indicate information is not available for that cancer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See coding information for full details of sites included in each ICD code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
