Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CGA Total Claimants (2015),CGA Claimants Male 16-34 (2015),CGA Claimants Male 35-49 (2015),CGA Claimants Male 50-64 (2015),CGA Claimants Male 65+ (2015),CGA Claimants Female 16-34 (2015),CGA Claimants Female 35-49 (2015),CGA Claimants Female 50-59 (2015),CGA Claimants Female 60-64 (2015),CGA Claimants Female 65+ (2015)
95CC21,TANDRAGEE,ARMAGH,850,60,40,80,210,50,70,50,40,250
95CC22,THE MALL,ARMAGH,680,40,40,60,150,40,50,50,40,230
95DD01,ACADEMY,BALLYMENA,920,30,30,50,300,30,30,40,60,360
95DD02,AHOGHILL,BALLYMENA,980,40,50,70,250,50,70,70,70,330
95DD03,ARDEEVIN,BALLYMENA,880,30,20,40,270,40,50,20,50,350
95DD04,BALLEE,BALLYMENA,840,80,90,80,130,100,80,50,60,190
95DD05,BALLYKEEL,BALLYMENA,610,60,60,40,90,100,60,40,30,120
95DD06,BALLYLOUGHAN,BALLYMENA,830,20,10,30,250,10,20,20,60,400
95DD07,BROUGHSHANE,BALLYMENA,1130,40,40,70,330,50,60,50,60,440
95DD08,CASTLE DEMESNE,BALLYMENA,860,80,70,100,170,50,50,40,50,260
95DD09,CRAIGYWARREN,BALLYMENA,720,20,30,40,240,20,40,40,40,260
95DD10,CULLYBACKEY,BALLYMENA,990,50,60,70,250,70,60,70,50,320
95DD11,DUNCLUG,BALLYMENA,780,100,60,70,110,110,80,50,50,150
95DD12,DUNMINNING,BALLYMENA,700,20,30,40,220,20,40,30,50,240
95DD13,FAIR GREEN,BALLYMENA,640,70,60,60,140,50,50,30,30,160
95DD14,GALGORM,BALLYMENA,790,20,20,30,250,30,40,40,50,320
95DD15,GLENRAVEL,BALLYMENA,810,50,40,60,220,50,70,30,50,240
95DD16,GLENWHIRRY,BALLYMENA,760,20,30,40,250,30,40,30,60,270
95DD17,GRANGE,BALLYMENA,870,30,40,70,270,30,60,30,70,280
95DD18,HARRYVILLE,BALLYMENA,820,50,60,50,220,60,40,50,40,250
95DD19,KELLS,BALLYMENA,910,50,40,70,230,50,80,50,50,300
95DD20,MOAT,BALLYMENA,720,50,70,70,150,60,70,50,30,180
95DD21,PARK,BALLYMENA,670,30,30,30,200,40,30,30,40,240
95DD22,PORTGLENONE,BALLYMENA,890,40,50,70,240,50,70,50,60,280
95DD23,SLEMISH,BALLYMENA,650,20,30,40,210,20,30,40,30,250
95DD24,SUMMERFIELD,BALLYMENA,770,50,30,50,180,40,50,40,60,270
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,460,30,40,50,120,20,30,30,30,110
95EE02,BENVARDIN,BALLYMONEY,620,30,40,60,150,40,60,50,40,160
95EE03,CARNANY,BALLYMONEY,650,50,50,70,120,60,60,40,30,180
95EE04,CLOGH MILLS,BALLYMONEY,550,30,40,50,140,30,50,30,30,160
95EE05,DERVOCK,BALLYMONEY,590,30,30,60,180,20,30,30,40,190
95EE06,DUNLOY,BALLYMONEY,500,30,40,40,120,30,50,20,20,160
95EE07,FAIRHILL,BALLYMONEY,630,20,40,50,150,50,40,40,30,210
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,650,30,30,50,170,30,30,40,40,250
95EE09,KILLOQUIN LOWER,BALLYMONEY,510,20,30,50,130,20,40,40,30,160
95EE10,KILLOQUIN UPPER,BALLYMONEY,450,30,20,40,110,20,30,30,20,140
95EE11,KNOCKAHOLET,BALLYMONEY,440,20,20,40,120,20,30,20,30,140
95EE12,NEWHILL,BALLYMONEY,780,60,50,80,130,90,80,70,40,170
95EE13,ROUTE,BALLYMONEY,670,40,60,60,140,30,50,40,30,220
95EE14,SEACON,BALLYMONEY,780,50,50,50,200,60,80,60,40,200
95EE15,STRANOCUM,BALLYMONEY,500,20,30,50,130,30,30,30,30,140
95EE16,THE VOW,BALLYMONEY,540,40,30,40,140,30,30,40,30,160
95FF01,BALLYDOWN,BANBRIDGE,1070,50,40,60,290,50,80,60,70,370
95FF02,BALLYWARD,BANBRIDGE,700,40,50,80,170,40,60,30,40,200
95FF03,BANBRIDGE WEST,BANBRIDGE,810,60,50,70,150,60,100,70,50,200
95FF04,BANNSIDE,BANBRIDGE,700,20,30,70,210,40,40,40,40,210
95FF05,DROMORE NORTH,BANBRIDGE,800,60,40,50,200,40,50,40,40,270
95FF06,DROMORE SOUTH,BANBRIDGE,880,40,40,70,220,40,70,50,50,300
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,940,90,80,100,130,90,110,100,50,180
95FF08,FORT,BANBRIDGE,860,50,40,80,200,50,60,50,50,300
95FF09,GILFORD,BANBRIDGE,790,60,60,80,170,60,70,60,40,190
95FF10,GRANSHA,BANBRIDGE,760,40,40,70,200,40,60,60,40,220
95FF11,KATESBRIDGE,BANBRIDGE,670,20,30,50,210,30,40,40,50,210
95FF12,LAWRENCETOWN,BANBRIDGE,810,40,40,80,200,40,60,50,60,250
95FF13,LOUGHBRICKLAND,BANBRIDGE,770,40,40,70,180,50,50,60,50,240
95FF14,QUILLY,BANBRIDGE,700,20,30,60,240,10,30,40,40,240
95FF15,RATHFRILAND,BANBRIDGE,890,50,50,80,190,60,60,50,40,310
95FF16,SEAPATRICK,BANBRIDGE,780,40,30,70,220,40,50,40,40,260
95FF17,THE CUT,BANBRIDGE,720,50,60,90,140,40,40,50,40,220
95GG01,ANDERSONSTOWN,BELFAST,2070,130,100,230,430,110,110,180,110,660
95GG02,ARDOYNE,BELFAST,2710,340,280,310,330,400,280,250,110,410
95GG03,BALLYHACKAMORE,BELFAST,1580,70,70,110,400,60,80,80,100,620
95GG04,BALLYMACARRETT,BELFAST,2090,230,200,280,270,250,220,190,90,380
95GG05,BALLYNAFEIGH,BELFAST,1300,170,130,140,200,130,120,90,50,270
95GG06,BALLYSILLAN,BELFAST,1860,160,130,200,330,170,170,150,90,460
95GG07,BEECHMOUNT,BELFAST,2170,280,200,260,270,270,240,190,80,370
95GG08,BELLEVUE,BELFAST,1690,140,140,150,360,150,150,120,70,420
95GG09,BELMONT,BELFAST,1750,70,60,130,460,100,90,120,110,600
95GG10,BLACKSTAFF,BELFAST,1320,180,150,150,170,150,120,90,60,240
95GG11,BLOOMFIELD (BELFAST),BELFAST,1680,150,130,180,320,160,120,110,70,440
95GG12,BOTANIC,BELFAST,1550,260,240,190,180,180,140,140,50,180
95GG13,CASTLEVIEW,BELFAST,1570,110,80,130,360,100,100,110,100,480
95GG14,CAVEHILL,BELFAST,1290,60,40,80,370,50,60,70,70,500
95GG15,CHERRYVALLEY,BELFAST,1770,50,50,90,480,50,70,80,80,820
95GG16,CHICHESTER PARK,BELFAST,1760,170,200,220,300,140,130,140,80,400
95GG17,CLIFTONVILLE,BELFAST,2000,230,180,180,320,240,190,150,100,420
95GG18,CLONARD,BELFAST,2150,280,260,270,240,310,210,180,80,320
95GG19,CRUMLIN (BELFAST),BELFAST,2270,220,180,240,370,250,220,220,80,500
95GG20,DUNCAIRN,BELFAST,2120,290,240,280,300,250,200,140,60,360
95GG21,FALLS,BELFAST,2420,300,300,320,270,290,240,230,90,370
95GG22,FALLS PARK,BELFAST,2070,160,130,210,410,130,110,170,140,610
95GG23,FINAGHY,BELFAST,1340,40,50,70,420,30,50,60,90,550
95GG24,FORTWILLIAM,BELFAST,1570,70,90,120,360,90,90,90,80,570
95GG25,GLEN ROAD,BELFAST,2320,220,150,340,350,240,210,230,120,470
95GG26,GLENCAIRN,BELFAST,1600,140,120,130,310,180,150,100,50,410
95GG27,GLENCOLIN,BELFAST,2440,290,250,290,350,230,230,210,100,490
95GG28,HIGHFIELD,BELFAST,2010,170,130,200,390,170,190,170,110,490
