FID,OBJECTID,WARDNAME,WardCode
348,118,ROSETTA,N08000345
349,119,SANDOWN,N08000346
350,120,SHANKILL,N08000348
351,121,SHAW'S ROAD,N08000349
352,122,STRANMILLIS,N08000352
353,123,SYDENHAM,N08000353
354,124,TURF LODGE,N08000354
355,125,TWINBROOK,N08000355
356,126,UPPER MALONE,N08000356
357,127,WATER WORKS,N08000357
358,128,WINDSOR,N08000358
359,129,WOODSTOCK,N08000359
360,130,WOODVALE,N08000360
361,131,AGHADOWEY,N08000401
362,132,ALTAHULLION,N08000402
363,133,ATLANTIC,N08000403
364,134,BALLYCASTLE,N08000404
365,135,BALLYKELLY,N08000405
366,136,BALLYMONEY EAST,N08000406
367,137,BALLYMONEY NORTH,N08000407
368,138,BALLYMONEY SOUTH,N08000408
369,139,CASTLEROCK,N08000409
370,140,CHURCHLAND,N08000410
371,141,CLOGH MILLS,N08000411
372,142,COOLESSAN,N08000412
373,143,DERVOCK,N08000413
374,144,DRUMSURN,N08000414
375,145,DUNDOOAN,N08000415
376,146,DUNGIVEN,N08000416
377,147,DUNLOY,N08000417
378,148,FEENY,N08000418
379,149,GARVAGH,N08000419
380,150,GIANT'S CAUSEWAY,N08000420
381,151,GREYSTEEL,N08000421
382,152,GREYSTONE,N08000422
383,153,HOPEFIELD,N08000423
384,154,KILREA,N08000424
385,155,KINBANE,N08000425
386,156,LOUGHGUILE and STRANOCUM,N08000426
387,157,LURIGETHAN,N08000427
388,158,MACOSQUIN,N08000428
389,159,MAGILLIGAN,N08000429
390,160,MOUNTSANDEL,N08000430
391,161,PORTRUSH and DUNLUCE,N08000431
392,162,PORTSTEWART,N08000432
393,163,QUARRY,N08000433
394,164,RASHARKIN,N08000434
395,165,ROESIDE,N08000435
396,166,ROUTE,N08000436
397,168,UNIVERSITY,N08000438
398,169,WATERSIDE,N08000439
399,170,WINDY HALL,N08000440
400,171,ARTIGARVAN,N08000501
401,172,BALLYCOLMAN,N08000502
402,173,BALLYMAGROARTY,N08000503
403,174,BRANDYWELL,N08000504
404,175,CARN HILL,N08000505
405,176,CASTLEDERG,N08000506
406,177,CAW,N08000507
407,178,CITY WALLS,N08000508
408,179,CLAUDY,N08000509
409,180,CLONDERMOT,N08000510
410,181,CREGGAN,N08000511
411,182,CREGGAN SOUTH,N08000512
412,183,DRUMAHOE,N08000514
413,184,DUNNAMANAGH,N08000515
414,185,EBRINGTON,N08000516
415,186,EGLINTON,N08000517
416,187,ENAGH,N08000518
417,188,FINN,N08000519
418,189,FOYLE SPRINGS,N08000520
419,190,GALLIAGH,N08000521
420,191,GLENDERG,N08000522
421,192,GLENELLY VALLEY,N08000523
422,193,KILFENNAN,N08000524
423,194,LISNAGELVIN,N08000525
424,195,MADAM'S BANK,N08000526
425,196,NEW BUILDINGS,N08000527
426,197,NEWTOWNSTEWART,N08000528
427,198,NORTHLAND,N08000529
428,199,PARK,N08000530
429,200,SHANTALLOW,N08000531
430,201,SHERIFF'S MOUNTAIN,N08000533
431,202,SION MILLS,N08000534
432,203,SLIEVEKIRK,N08000536
433,204,STRABANE NORTH,N08000538
434,205,VICTORIA,N08000540
435,206,BELCOO and GARRISON,N08000602
436,207,BOHO CLEENISH and LETTERBREEN,N08000605
437,208,COOLNAGARD,N08000609
438,209,DERRYGONNELLY,N08000611
439,210,DERRYLIN,N08000612
440,211,FLORENCE COURT and KINAWLEY,N08000621
441,212,GORTRUSH,N08000623
442,213,KILLYCLOGHER,N08000625
443,214,MAGUIRESBRIDGE,N08000629
444,215,ROSSLEA,N08000634
445,216,ROSSORRY,N08000635
446,217,STRULE,N08000637
447,218,BALLINDERRY,N08000701
448,219,BALLYMACBRENNAN,N08000704
449,220,BALLYMACOSS,N08000705
450,221,BEECHILL,N08000706
451,222,BLARIS,N08000707
452,223,CAIRNSHILL,N08000708
453,224,CARROWREAGH,N08000709
454,225,CARRYDUFF EAST,N08000710
455,226,CARRYDUFF WEST,N08000711
456,227,DERRYAGHY,N08000712
457,228,DROMARA,N08000713
458,229,DRUMBO,N08000714
459,230,DUNDONALD,N08000715
460,231,GALWALLY,N08000717
461,232,GLENAVY,N08000718
462,233,GRAHAM'S BRIDGE,N08000719
