OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,YEARCONVERTED,GlobalID,Magisterial_District,Judge,Address,Unit,City,State,Zip,Coverage
85,TARENTUM,BOROUGH,Tarentum Borough,Allegheny Valley North,Highlands,4,76104,NH,903.48877,1.411701,855,003555,3,NEWCOM,1969,7d6055c8-ed3c-4cd3-8392-0e3601ebd769,Magisterial District 05-2-05,Honorable Carolyn S. Bengel,1010 Broadview Boulevard,,Brackenridge,PA,15014,Tarentum
86,FAWN,TOWNSHIP,Fawn Township,Allegheny Valley North,Highlands,4,25400,NH,8234.729492,12.866764,909,003195,3,NEWCOM,1980,e6e41024-58c0-4093-86f5-b5d4831a81a4,Magisterial District 05-2-05,Honorable Carolyn S. Bengel,1010 Broadview Boulevard,,Brackenridge,PA,15014,Fawn
87,SHALER,TOWNSHIP,Shaler Township,North Hills,Shaler Area,18,69584,NH,7172.964844,11.207758,944,003510,3,NEWCOM,1965,b6d24f29-0853-4f32-b5d1-8138334b04f4,Magisterial District 05-2-03,Honorable Robert P. Dzvonick,1007 Mount Royal Blvd,,Pittsburgh,PA,15223,Shaler
88,MILLVALE,BOROUGH,Millvale Borough,North Hills,Shaler Area,18,49920,NH,441.883026,0.690442,838,003345,3,NEWCOM,1956,33c337dc-2f02-46ed-ad49-446007fc18c3,Magisterial District 05-2-03,Honorable Robert P. Dzvonick,1007 Mount Royal Blvd,,Pittsburgh,PA,15223,Millvale
89,KILBUCK,TOWNSHIP,Kilbuck Township,Quaker Valley,Avonworth,14,39624,NH,1696.042969,2.650067,920,003295,1,Northwest Regional,1971,63fb907f-6f2e-4231-9464-338bb5162886,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Kilbuck
90,SEWICKLEY HEIGHTS,BOROUGH,Sewickley Heights Borough, ,Quaker Valley,14,69400,AA,4738.989746,7.404672,869,003500,2,Northwest Regional,1976,4d20d985-340d-4174-865b-d45734d391a5,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Sewickley Heights
91,BELL ACRES,BOROUGH,Bell Acres Borough,Quaker Valley,Quaker Valley,14,5216,AA,3385.003418,5.289067,883,003028,2, ,1978,2d75f2ac-5f8b-4af1-8421-3e9ce09eb009,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Bell Acres
92,NORTH VERSAILLES,TOWNSHIP,North Versailles Township,Turtle Creek Valley,East Allegheny,18,55488,MV,5342.856934,8.348214,930,003390,8,East Regional,1972,f5a0e60e-7841-429a-861c-71b7beff1dc9,Magisterial District 05-2-11,Honorable Vacant,371 Lincoln Highway,,North Versailles,PA,15137,North Versailles
93,WHITE OAK,BOROUGH,White Oak Borough,Twin Rivers,McKeesport Area,18,84704,MV,4233.855957,6.6154,875,003630,9,Mon-Valley,1975,56458792-33a5-4a7e-bbd3-85345cd6c799,Magisterial District 05-3-05,Honorable Thomas G. Miller,1985 Lincoln Way,,White Oak,PA,15131,White Oak
94,CLAIRTON,CITY,Clairton,Steel Valley,Clairton City,18,13704,MV,1933.003052,3.020317,200,003110,6,Mon-Valley,1966,1f40d438-2436-4a07-86e8-52239e7d45a9,Magisterial District 05-3-09,Honorable Armand A. Martin,800 Monongahela Avenue,,Glassport,PA,15045,Clairton
95,JEFFERSON HILLS,BOROUGH,Jefferson Hills Borough,South Hills Area,West Jefferson Hills,18,37816,SH,10813.691406,16.896391,878,003285,6,South Hills Regional,1968,68e55304-ca05-4b01-8a21-0f2c8c021a22,Magisterial District 05-2-16,Honorable Guy Reschenthaler,343 Old Curry Hollow Road,,Pittsburgh,PA,15236,Jefferson Hills
96,WEST DEER,TOWNSHIP,West Deer Township,Allegheny Valley North,Deer Lakes,4,82800,NH,18471.134766,28.861141,952,003595,2,NEWCOM,1988,c75c4696-9e7f-4010-8e0b-96abd4b0742b,Magisterial District 05-3-04,Honorable Suzanne Blaschak,2060 Saxonburg Boulevard,,Gibsonia,PA,15044,West Deer
97,PINE,TOWNSHIP,Pine Township,North Hills,Pine-Richland,4,60272,NH,10785.910156,16.852983,935,003425,2,NEWCOM,2007,ba05aee4-97ed-452a-874f-834611feb76d,Magisterial District 05-2-12,Honorable William K. Wagner,8105 Perry Highway,,Pittsburgh,PA,15237,Pine
98,MCCANDLESS,TOWNSHIP,McCandless Township,North Hills,North Allegheny,14,45900,NH,10586.797852,16.541876,927,003320,2,Northwest Regional,1987,6f73d933-9d05-4b60-ad52-16592443c39c,Magisterial District 05-2-12,Honorable William K. Wagner,8105 Perry Highway,,Pittsburgh,PA,15237,McCandless
99,UPPER ST. CLAIR,MUNICIPALI,Upper St. Clair Municipality,South Hills Area,Upper St. Clair Area,20,79274,SH,6255.606934,9.774386,950,003575,5,South Hills Regional,1966,4e22c70c-ea0f-4d33-8bcd-8df3adac75a4,Magisterial District 05-2-20,Honorable Ronald A. Arnoni,5100 West Library Avenue,,Bethel Park,PA,15102,Upper St. Clair
100,BETHEL PARK,MUNICIPALI,Bethel Park Municipality,South Hills Area,Bethel Park,20,6064,SH,7491.746582,11.705854,876,003045,5,South Hills Regional,1962,4e8938b4-f94f-4ce5-85fc-0a5ed056b4f0,Magisterial District 05-2-20,Honorable Ronald A. Arnoni,5100 West Library Avenue,,Bethel Park,PA,15102,Bethel Park
101,ASPINWALL,BOROUGH,Aspinwall Borough,Allegheny Valley North,Fox Chapel Area,18,3320,NH,245.543152,0.383661,801,003010,3,NEWCOM,1954,ade52d36-329f-4bf2-a6c9-3646f239a94b,Magisterial District 05-2-04,Honorable Elissa M. Lang,1205 Main Street,,Pittsburgh,PA,15215,Aspinwall
103,ROSSLYN FARMS,BOROUGH,Rosslyn Farms Borough,Char-West,Carlynton,14,66320,AA,353.490936,0.55233,850,003480,4,Southwest Regional,1955,94497b7d-5afb-4480-b9b7-0b1df575ee54,Magisterial District 05-2-23,Honorable Dennis R. Joyce,136 Bradford Avenue,,Pittsburgh,PA,15205,Rosslyn Farms
104,ROBINSON,TOWNSHIP,Robinson Township,Char-West,Montour,14,65352,AA,9622.300781,15.034845,939,003470,4,Northwest Regional,1977,bad9eff2-79b9-46db-a530-b34d350e3a34,Magisterial District 05-2-43,Honorable Carla M. Swearingen,5624 Steubenville Pike,,McKees Rocks,PA,15136,Robinson
105,CARNEGIE,BOROUGH,Carnegie Borough,Char-West,Carlynton,18,11336,SH,1040.548096,1.625856,812,003085,4,Southwest Regional,1958,615b8ba2-ad0b-4251-814d-a8afec4de270,Magisterial District 05-2-23,Honorable Dennis R. Joyce,136 Bradford Avenue,,Pittsburgh,PA,15205,Carnegie
106,WEST MIFFLIN,BOROUGH,West Mifflin Borough,Steel Valley,West Mifflin Area,18,83512,MV,1510.908081,2.360794,870,003370,9,Mon-Valley,1964,111f2669-c74c-4b5c-9b77-059b8879c643,Magisterial District 05-2-14,"Honorable Richard D. Olasz, Jr.",2629 Skyline Drive,,West Mifflin,PA,15122,West Mifflin
107,MUNHALL,BOROUGH,Munhall Borough,Steel Valley,Steel Valley,18,52320,MV,1510.908081,2.360794,840,003370,11,Mon-Valley,1955,37123ddd-d1e6-48ca-9d5a-fedab46b64b6,Magisterial District 05-2-15,Honorable Thomas R. Torkowsky,510 East Eighth Avenue,,Munhall,PA,15120,Munhall
108,OHIO,TOWNSHIP,Ohio Township,North Hills,Avonworth,14,56392,NH,4355.547852,6.805544,932,003410,2,Northwest Regional,1976,b3bad0ff-1393-49d2-b3d2-926cfd22c27c,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Ohio
109,FRANKLIN PARK,BOROUGH,Franklin Park Borough,North Hills,North Allegheny,14,27552,NH,8670.269531,13.547297,884,003223,2,Northwest Regional,1988,4e1ee398-405b-4341-b113-bdbca0fcd506,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Franklin Park
110,PENN HILLS,MUNICIPALI,Penn Hills Municipality,Turtle Creek Valley,Penn Hills,18,59032,ES,12455.728516,19.462078,934,003420,7,East Regional,1984,974bbf4e-f551-4d81-87ac-eff9997e3935,Magisterial District 05-2-06,Honorable Leonard J. HRomyak,85 Universal Road,,Pittsburgh,PA,15235,Penn Hills
111,GLEN OSBORNE,BOROUGH,Glen Osborne Borough,Quaker Valley,Quaker Valley,20,57200,AA,358.957794,0.560872,846,003415,4,Northwest Regional,1971,10bb8f2a-d6aa-4e07-99ce-6941d472a4f8,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,glen Osborne
112,SEWICKLEY,BOROUGH,Sewickley Borough,Quaker Valley,Quaker Valley,20,69376,AA,718.30957,1.122359,851,003490,1,Northwest Regional,1972,77fd8b54-a4ad-4940-aa51-b55b1ecafbdc,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Sewickley
113,MOON,TOWNSHIP,Moon Township,Char-West,Moon Area,20,50784,AA,15352.370117,23.988079,925,003355,1,Northwest Regional,1979,bfa01438-fd3f-4a74-af2b-6ca064771b46,Magisterial District 05-2-25,Honorable Mary P. Murray,923 Fifth Avenue,,Coraopolis,PA,15108,Moon
114,SOUTH FAYETTE,TOWNSHIP,South Fayette Township,Char-West,South Fayete Township,20,72160,AA,13000.657227,20.313532,946,003525,5,Southwest Regional,2007,c05fb0b8-50af-48fe-beee-11da0bda2097,Magisterial District 05-2-21,Honorable Maureen McGraw-Desmet,295 Millers Run Road,,Bridgeville,PA,15017,South Fayette
115,HAMPTON,TOWNSHIP,Hampton Township,North Hills,Hampton Township,14,32328,NH,10367.599609,16.199375,914,003245,2,NEWCOM,1986,dcb7c404-ab7f-462b-b0d4-e81146f4a88f,Magisterial District 05-3-04,Honorable Suzanne Blaschak,2060 Saxonburg Boulevard,,Gibsonia,PA,15044,Hampton
116,INDIANA,TOWNSHIP,Indiana Township,North Hills,Fox Chapel Area,18,36808,NH,11256.240234,17.587875,917,003275,3,NEWCOM,1986,048022e2-8606-4673-9708-c8f11806b8df,Magisterial District 05-2-04,Honorable Elissa M. Lang,1205 Main Street,,Pittsburgh,PA,15215,Indiana
117,SCOTT,TOWNSHIP,Scott Township,South Hills Area,Chartiers Valley,18,68388,SH,2484.294434,3.881709,941,003485,4,Southwest Regional,1961,30417901-bc6d-467e-a20b-8710cb8862e6,Magisterial District 05-2-22,Honorable Gary M. Zyra,301 Lindsay Road,,Carnegie,PA,15106,Scott
118,COLLIER,TOWNSHIP,Collier Township,Char-West,Chartiers Valley,14,15216,AA,8943.533203,13.97427,905,003115,4,Southwest Regional,2007,e342e8c1-fb88-4e9b-a15e-b9ec55737857,Magisterial District 05-2-21,Honorable Maureen McGraw-Desmet,295 Millers Run Road,,Bridgeville,PA,15017,Collier
119,HEIDELBERG,BOROUGH,Heidelberg Borough,South Hills Area,Chartiers Valley,18,33592,SH,175.082489,0.273566,833,003265,4,Southwest Regional,1962,cef33603-3819-4f9a-916c-b86c4120e1d1,Magisterial District 05-2-22,Honorable Gary M. Zyra,301 Lindsay Road,,Carnegie,PA,15106,Heidelberg
120,MCKEES ROCKS,BOROUGH,McKees Rocks Borough,Char-West,Sto-Rox,14,46264,AA,717.449707,1.121015,842,003335,4,Southwest Regional,1953,6d5b6370-1a0c-4cad-8179-9211d1729919,Magisterial District 05-3-06,Honorable Mary Ann Cercone,301 Chartiers Avenue,,Pittsburgh,PA,15136,McKees Rocks
121,STOWE,TOWNSHIP,Stowe Township,Char-West,Sto-Rox,14,74648,AA,1464.63147,2.288486,949,003545,4,Southwest Regional,1974,df11356f-8d81-48f8-bc0d-d085d71c8356,Magisterial District 05-3-06,Honorable Mary Ann Cercone,301 Chartiers Avenue,,Pittsburgh,PA,15136,STOWE
122,WILKINS,TOWNSHIP,Wilkins Township,Turtle Creek Valley,Woodland Hills,18,85184,ES,1671.226318,2.611291,953,003635,7,East Regional,1959,ce7d83fc-dccb-4c44-944c-e86fdd989f07,Magisterial District 05-2-06,Honorable Leonard J. HRomyak,85 Universal Road,,Pittsburgh,PA,15235,Wilkins
123,TURTLE CREEK,BOROUGH,Turtle Creek Borough,Turtle Creek Valley,Woodland Hills,18,77912,MV,644.897644,1.007653,858,003570,8,East Regional,1959,31b0d801-68c9-44f1-b880-d2a4ccd01526,Magisterial District 05-2-47,Honorable Scott H. Schricker,100 Penn Plaza Shopping Center,,Turtle Creek,PA,15145,Turtle Creek
124,MONROEVILLE,MUNICIPALI,Monroeville Municipality,Turtle Creek Valley,Gateway,18,52330,ES,12622.498047,19.722656,879,003350,8,East Regional,1985,8328dcfc-b41c-44cb-a917-07bcd45cbfdb,Magisterial District 05-2-07,Honorable Jeffrey L. Herbst,339 Old Haymaker Road,,Monroeville,PA,15146,Monroeville
125,PITCAIRN,BOROUGH,Pitcairn Borough,Turtle Creek Valley,Gateway,18,60712,ES,309.703888,0.483912,847,003430,8,East Regional,1982,1fca9e61-3f36-44e4-b5bd-376c71866bcc,Magisterial District 05-2-07,Honorable Jeffrey L. Herbst,339 Old Haymaker Road,,Monroeville,PA,15146,Pitcairn
126,O'HARA,TOWNSHIP,O Hara Township,North Hills,Fox Chapel Area,18,56384,NH,2247.916992,3.51237,931,003405,3,NEWCOM,1960,b85d4caa-b1fb-4f07-9590-97e6176c8228,Magisterial District 05-2-04,Honorable Elissa M. Lang,1205 Main Street,,Pittsburgh,PA,15215,O'Hara
127,SHARPSBURG,BOROUGH,Sharpsburg Borough,North Hills,Fox Chapel Area,18,69776,NH,414.509033,0.64767,852,003515,3,NEWCOM,1954,e4d77a86-9f32-411a-a737-8e7a59d7914d,Magisterial District 05-2-04,Honorable Elissa M. Lang,1205 Main Street,,Pittsburgh,PA,15215,Sharpsburg
128,WEST VIEW,BOROUGH,West View Borough,North Hills,North Hills,14,84144,NH,647.374268,1.011522,864,003615,1,Northwest Regional,1969,15c262e7-5316-41f5-952e-380829a7c736,Magisterial District 05-2-02,Honorable Richard G. Opiela,439 Perry Highway,,Pittsburgh,PA,15229,West View
129,ROSS,TOWNSHIP,Ross Township,North Hills,North Hills,14,66264,NH,9257.419922,14.464719,940,003475,1,NEWCOM,1970,5273558c-e96b-4dae-9a75-bf88530f7b94,Magisterial District 05-2-02,Honorable Richard G. Opiela,439 Perry Highway,,Pittsburgh,PA,15229,Ross
130,FOREST HILLS,BOROUGH,Forest Hills Borough,Turtle Creek Valley,Woodland Hills,18,26592,ES,990.75531,1.548055,828,003205,8,East Regional,1953,17677b41-06eb-4be9-8094-e90b111b6a62,Magisterial District 05-2-08,Honorable Thomas Caulfield,2065 Ardmore Blvd,,Forest Hills,PA,15221,Forest Hills
163,PITTSBURGH 26,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,126,003435,13,City of Pittsburgh,1948,8f5a65f1-2011-4297-80a0-16bbc7e2a313,Magisterial District 05-2-42,"Honorable Robert P. Ravenstahl , Jr.",3874 Perrysville Avenue,,Pittsburgh,PA,15214,Pittsburgh 26
164,PITTSBURGH 27,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,127,003435,13,City of Pittsburgh,1948,f2a44416-8f2d-43b5-9593-b4a1316d23ff,Magisterial District 05-2-42,"Honorable Robert P. Ravenstahl , Jr.",3874 Perrysville Avenue,,Pittsburgh,PA,15214,Pittsburgh 27
165,PITTSBURGH 12,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,112,003435,13,City of Pittsburgh,1948,142f7aac-207b-4688-8114-55569d65da46,Magisterial District 05-3-12,Honorable Kevin E. Cooper,566 Brushton Avenue,,Pittsburgh,PA,15208,Pittsburgh 12
166,PITTSBURGH 10,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,110,003435,13,City of Pittsburgh,1948,9eae4588-6afc-4765-9490-b03392e7456e,Magisterial District 05-2-31,"Honorable Ronald N. Costa , Sr.",1800 Morningside Avenue,,Pittsburgh,PA,15206,Pittsburgh 10
167,PITTSBURGH 11,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,111,003435,13,City of Pittsburgh,1948,7efe9547-d8cd-4bea-90ff-adffc81a9c5a,Magisterial District 05-2-31,"Honorable Ronald N. Costa , Sr.",1800 Morningside Avenue,,Pittsburgh,PA,15206,Pittsburgh 11
168,PITTSBURGH 9,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,109,003435,13,City of Pittsburgh,1948,d7a58b14-8434-48ad-86f5-ffa397ff647c,Magisterial District 05-3-10,Honorable Anthony Ceoffe,4211 Butler Street,,Pittsburgh,PA,15201,Pittsburgh 9
169,PITTSBURGH 6,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,106,003435,13,City of Pittsburgh,1948,b6f5b3c4-f91e-4144-9881-0ce0245aa2c4,Magisterial District 05-3-10,Honorable Anthony Ceoffe,4211 Butler Street,,Pittsburgh,PA,15201,Pittsburgh 6
170,PITTSBURGH 24,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,124,003435,13,City of Pittsburgh,1948,b0318d8a-e38b-49d8-a177-3d213fd1d7dc,Magisterial District 05-2-40,Honorable Derwin Rushing,421 East Ohio Street,,Pittsburgh,PA,15212,Pittsburgh 24
171,PITTSBURGH 20,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,120,003435,13,City of Pittsburgh,1948,e35ca25a-e0d7-4990-a451-de3eca1739d6,Magisterial District 05-3-13,Honorable Randy C. Martini,22 Wabash Avenue,,Pittsburgh,PA,15220,Pittsburgh 20
172,PITTSBURGH 28,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,128,003435,13,City of Pittsburgh,1948,6ab99a7c-e212-4898-bb0b-9fe359ee58e6,Magisterial District 05-3-13,Honorable Randy C. Martini,22 Wabash Avenue,,Pittsburgh,PA,15220,Pittsburgh 28
173,PITTSBURGH 25,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,125,003435,13,City of Pittsburgh,1948,0bf99a06-956c-4a9b-8d67-4e96160bd926,Magisterial District 05-2-40,Honorable Derwin Rushing,421 East Ohio Street,,Pittsburgh,PA,15212,Pittsburgh 25
174,PITTSBURGH 8,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,108,003435,13,City of Pittsburgh,1948,f48076c8-98c9-4b21-a186-0aa048e3fe4a,Magisterial District 05-2-31,"Honorable Ronald N. Costa , Sr.",1800 Morningside Avenue,,Pittsburgh,PA,15206,Pittsburgh 8
175,PITTSBURGH 21,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,37352.070312,58.36261,121,003435,13,City of Pittsburgh,1948,d1117f80-a665-4e6b-a38d-9d43c4397c2b,Magisterial District 05-2-40,Honorable Derwin Rushing,421 East Ohio Street,,Pittsburgh,PA,15212,Pittsburgh 21
176,PITTSBURGH 13,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,113,003435,13,City of Pittsburgh,1948,271e99ce-15b0-4d28-8546-7fa2f7f23284,Magisterial District 05-3-12,Honorable Kevin E. Cooper,566 Brushton Avenue,,Pittsburgh,PA,15208,Pittsburgh 13
177,PITTSBURGH 23,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,123,003435,13,City of Pittsburgh,1948,faf9ef18-525a-4c8e-af37-889ec5825563,Magisterial District 05-2-40,Honorable Derwin Rushing,421 East Ohio Street,,Pittsburgh,PA,15212,Pittsburgh 23
178,PITTSBURGH 5,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,37352.070312,58.36261,105,003435,13,City of Pittsburgh,1948,5dc2bc85-27d7-4541-bb3b-864376cff8fc,Magisterial District 05-2-28,"Honorable Oscar J. Petite, Jr.",1030 5th Avenue,,Pittsburgh,PA,15219,Pittsburgh 5
179,PITTSBURGH 7,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,107,003435,13,City of Pittsburgh,1948,7d908752-25b7-4d85-99fc-dcf513d2d8ac,Magisterial District 05-2-35,Honorable Hugh Fitzpatrick McGough,5801 Forward Avenue,,Pittsburgh,PA,15217,Pittsburgh 7
180,PITTSBURGH 2,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,102,003435,13,City of Pittsburgh,1948,f5c933b2-68a9-4329-9735-36657f6b918c,Magisterial District 05-2-28,"Honorable Oscar J. Petite, Jr.",1030 5th Avenue,,Pittsburgh,PA,15219,Pittsburgh 2
181,PITTSBURGH 22,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,122,003435,13,City of Pittsburgh,1948,5c77fb9d-c0b8-40bd-a0c1-6468f6ba4afe,Magisterial District 05-2-40,Honorable Derwin Rushing,421 East Ohio Street,,Pittsburgh,PA,15212,Pittsburgh 22
182,PITTSBURGH 14,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,114,003435,13,City of Pittsburgh,1948,36259292-b349-4965-83a0-f69ed3e4210e,Magisterial District 05-2-35,Honorable Hugh Fitzpatrick McGough,5801 Forward Avenue,,Pittsburgh,PA,15217,Pittsburgh 14
183,PITTSBURGH 4,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,104,003435,13,City of Pittsburgh,1948,0c33481c-3cd9-4247-a9d5-7511ba2f50a1,Magisterial District 05-2-27,Honorable Eugene N. Ricciardi,1700 East Carson Street,,Pittsburgh,PA,15203,Pittsburgh 4
184,PITTSBURGH 3,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,103,003435,13,City of Pittsburgh,1948,1ae8b06f-3a6a-4da7-b8bb-77c1882f2677,Magisterial District 05-2-28,"Honorable Oscar J. Petite, Jr.",1030 5th Avenue,,Pittsburgh,PA,15219,Pittsburgh 3
185,PITTSBURGH 19,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,37352.070312,58.36261,119,003435,13,City of Pittsburgh,1948,6be8c59e-f53b-4b41-a421-6072d5cc8d91,Magisterial District 05-2-38,Honorable James A. Motznik,736 Brookline Blvd,,Pittsburgh,PA,15226,Pittsburgh 19
186,PITTSBURGH 1,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,37352.070312,58.36261,101,003435,13,City of Pittsburgh,1948,31ebd138-96bd-4bc1-b5ce-cce413e9f91f,Magisterial District 05-2-28,"Honorable Oscar J. Petite, Jr.",1030 5th Avenue,,Pittsburgh,PA,15219,Pittsburgh 1
187,PITTSBURGH 17,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,117,003435,13,City of Pittsburgh,1948,95958e57-5fb3-4133-8acb-bf6b320e3f56,Magisterial District 05-2-27,Honorable Eugene N. Ricciardi,1700 East Carson Street,,Pittsburgh,PA,15203,Pittsburgh 17
188,PITTSBURGH 16,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,116,003435,13,City of Pittsburgh,1948,21355c7b-c0c1-44b6-b495-25538b75d776,Magisterial District 05-2-27,Honorable Eugene N. Ricciardi,1700 East Carson Street,,Pittsburgh,PA,15203,Pittsburgh 16
189,PITTSBURGH 18,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,118,003435,13,City of Pittsburgh,1948,79932553-98de-48b3-940a-073859e09b75,Magisterial District 05-3-14,Honorable Richard G. King,2213 Brownsville Road,,Pittsburgh,PA,15210,Pittsburgh 18
190,PITTSBURGH 15,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,115,003435,13,City of Pittsburgh,1948,0082c7b0-c39c-41cd-b9dc-4c9c912cb854,Magisterial District 05-2-36,"Honorable James J. Hanley , Jr.",4371 Murray Avenue,,Pittsburgh,PA,15217,Pittsburgh 15
191,PITTSBURGH 30,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,130,003435,13,City of Pittsburgh,1948,62afad6e-87f6-40a6-8737-fdd29f2622af,Magisterial District 05-3-14,Honorable Richard G. King,2213 Brownsville Road,,Pittsburgh,PA,15210,Pittsburgh 30
192,PITTSBURGH 31,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,131,003435,13,City of Pittsburgh,1948,54159a97-6857-471c-bbf4-1fba85e1735c,Magisterial District 05-2-36,"Honorable James J. Hanley , Jr.",4371 Murray Avenue,,Pittsburgh,PA,15217,Pittsburgh 31
193,PITTSBURGH 29,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,129,003435,13,City of Pittsburgh,1948,107f3161-8de1-40f6-b70c-af9d23a185cf,Magisterial District 05-3-14,Honorable Richard G. King,2213 Brownsville Road,,Pittsburgh,PA,15210,Pittsburgh 29
194,PITTSBURGH 32,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,0,0,132,003435,13,City of Pittsburgh,1948,ead1fcd3-d20f-4168-846e-db3f9ae1657c,Magisterial District 05-3-14,Honorable Richard G. King,2213 Brownsville Road,,Pittsburgh,PA,15210,Pittsburgh 32
