FID,AREA,PERIMETER,RINGS_OK,DESCR,COUNT_
40,21589250,21402.5,1,FINK RUN BASIN,7
41,64579400,36789.69,1,FISH RUN BASIN,10
42,56490880,36801.28,1,FISHING RUN BASIN,9
43,145429000,67006.54,1,FLAUGHERTY RUN BASIN,20
44,145610600,83568.82,1,GILLESPIE RUN BASIN,22
45,298890000,111491.1,1,GIRTYS RUN BASIN,36
46,93619970,58626.72,2,GLADE RUN BASIN,16
47,83344000,43972.16,1,GOURDHEAD RUN BASIN,13
48,56392860,29314.43,1,GRAESERS RUN BASIN,13
49,24244720,22074.68,1,GUYASUTA RUN BASIN,5
50,24473020,26302.65,1,GUYS RUN BASIN,5
51,62818070,39297.54,1,HALF CROWN RUN BASIN,11
52,14536640,17257.59,1,HARTS RUN BASIN,4
53,3188384,8539.744,1,HAYMAKERS RUN BASIN,2
54,49084510,36638.48,1,HUMMS RUN BASIN,7
55,11819190,13579.92,1,INDIAN CREEK BASIN,4
56,176354300,78199.2,2,JACKS RUN BASIN,26
57,14588290,17235.18,1,KAUFMAN RUN BASIN,4
58,63303830,36815.86,1,KELLY RUN BASIN,10
59,143158400,66084.37,1,KILBUCK RUN BASIN,18
60,45478840,28364.3,1,LARDINTOWN RUN BASIN,9
61,47508070,30096.2,1,LEAK RUN BASIN,8
62,130680800,52856.98,1,LEWIS RUN BASIN,20
63,227865000,79063.38,1,LICK RUN BASIN,27
64,8778479,13138.96,1,LINTONS RUN BASIN,6
65,188230200,65636.4,1,LITTLE BULL CREEK RUN,23
66,372836900,109116.6,1,LITTLE DEER CREEK BASIN,43
67,361486500,147554.6,2,LITTLE PINE CREEK BASIN,47
68,34173690,29366.12,1,LITTLE RACCOON RUN BASIN,7
69,269342200,85445.85,1,LITTLE SEWICKLEY CREEK BASIN,37
70,70380980,39047.78,1,LOBBS RUN BASIN,17
71,164592100,91514.9,2,LONG RUN BASIN,27
72,301786300,102930,1,LOWRIES RUN BASIN,33
73,25964270,20795.71,1,MCCABE RUN BASIN,6
74,31603810,27867.05,1,MCCASLIN RUN BASIN,5
75,173386900,60588.87,1,MCCLARENS RUN BASIN,21
76,38594820,27058.98,1,MCDOWELL RUN BASIN,8
77,141005600,66668.41,1,MCLAUGHLIN RUN BASIN,21
78,64993640,35196.81,1,MEEKS RUN BASIN,10
79,200505600,95669.07,1,MILLERS RUN BASIN,32
80,1172494000,592909.8,18,MONONGAHELA RIVER BASIN,209
81,763882200,239066.7,2,MONTOUR RUN BASIN,95
82,155230000,59323.14,1,MOON RUN BASIN,28
83,58780290,30899.79,1,NARROWS RUN BASIN,12
84,31595840,22767.02,1,NELSON RUN BASIN,7
85,278815900,103257.1,1,NORTH BRANCH ROBINSON RUN BASIN,35
86,59997870,32339.29,1,NORTH FORK MONTOUR RUN BASIN,10
87,225076800,66376.28,1,NORTH FORK PINE RUN BASIN,27
88,64621330,43702,1,NORTH PARK LAKE BASIN,11
89,1729425000,1391177,2,OHIO RIVER BASIN,790
90,100206500,42184.09,1,PERRYMILL RUN BASIN,15
91,164361700,90609.49,1,PETERS CREEK BASIN,34
92,54357380,34695.54,1,PIERSON RUN BASIN,10
93,213352900,115679,1,PINE RUN BAASIN,34
94,331003300,130364.7,1,PINE RUN BASIN,39
95,225971700,86156.27,1,PINEY FORK BASIN,30
96,67127530,39766.68,1,PINKERTONS RUN BASIN,16
97,510212300,119177.9,1,PLUM CREEK BASIN,51
98,256924700,74522.54,1,POTATO GARDEN RUN BASIN,28
99,23493960,20302.06,1,POWERS RUN BASIN,5
100,121765500,59777.1,1,PUCKETA CREEK BASIN,18
101,7763518,11619.16,1,RACCOON CREEK BASIN,4
102,149865200,54277.99,1,RAREDON RUN BASIN,19
103,48491650,27524.88,1,RAWLINS RUN BASIN,9
104,38994280,26904.5,1,RIDDLE RUN BASIN,8
105,43357400,30528.93,1,RINAMAN RUN BASIN,8
106,68085250,37436.47,1,RIPPLING RUN BASIN,12
107,364343900,152803.2,1,ROBINSON RUN BASIN,46
108,17994620,17517.64,1,SAINT PATRICKS RUN BASIN,4
109,91816600,43614.25,1,SANDY CREEK BASIN,14
110,496151500,104043.1,1,SAWMILL RUN BASIN,56
111,30891230,27571.91,1,SCOTTS RUN BASIN,7
112,14373430,14995.09,1,SHADES RUN BASIN,4
113,38433850,27914,1,SHAFFERS RUN BASIN,10
114,22070510,21311.81,1,SHOUSE RUN BASIN,6
115,31274900,28351.7,1,SLEEPY HOLLOW RUN BASIN,8
116,5446749,8914.062,1,SMITHS RUN BASIN,2
117,75988860,35471.91,1,SOUTH FORK MONTOUR RUN BASIN,12
118,14309460,16651.98,1,SPRING RUN BASIN,4
119,53352300,31560.35,1,SPRUCE RUN BASIN,10
120,150842800,71605.23,1,SQUAW RUN BASIN,23
121,25580330,25820.56,1,STONY CAMP RUN BASIN,7
122,290584600,75397.85,1,STREETS RUN BASIN,34
123,39195670,28675.41,1,SUNFISH RUN BASIN,12
124,49440790,36719.25,1,TAWNEY RUN BASIN,11
125,511759800,222580.4,3,THOMPSON RUN BASIN,64
126,97157210,46324.74,1,THOMS RUN BASIN,13
127,54290260,32193.08,1,THORN RUN BASIN,10
128,61290900,34212.99,1,TOMS RUN BASIN,11
129,28731130,25433.71,1,TROUT RUN BASIN,7
130,651146000,158653.8,2,TURTLE CREEK BASIN,75
131,93341840,52399.44,1,WEST BRANCH DEER CREEK BASIN,15
132,5463056,9481.169,1,WEST DEER CREEK BASIN,4
133,62212700,39664.64,1,WEXFORD RUN BASIN,13
134,130685600,58004.84,1,WILLOW RUN BASIN,16
135,106623800,47341.82,1,WYLIE RUN BASIN,17
136,356308800,201652.2,6,YOUGHIOGHENY RIVER,97
137,15513140,18214.71,1,YUTES RUN BASIN,3
138,15648580,57548.05,10,,68
