Year,Zone Code,Zone Name,Sample Id,Date,Postcode,Parameter,PCV,Result,Units
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1974340,10-Mar-14,BT53 6UD,Aluminium,200,15,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1976516,12-Mar-14,BT56 8JW,Aluminium,200,17,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1979842,19-Mar-14,BT51 3HE,Aluminium,200,20,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1980364,24-Mar-14,BT55 7BQ,Aluminium,200,14,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1983486,26-Mar-14,BT51 5UN,Aluminium,200,23,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1984084,31-Mar-14,BT51 3RL,Aluminium,200,29,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1987572,07-Apr-14,BT52 1WR,Aluminium,200,22,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1990930,09-Apr-14,BT52 2HB,Aluminium,200,25,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1991420,14-Apr-14,BT51 4PR,Aluminium,200,30,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997600,23-Apr-14,BT53 7BJ,Aluminium,200,25,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997937,25-Apr-14,BT51 5AJ,Aluminium,200,35,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1998311,28-Apr-14,BT52 2DZ,Aluminium,200,51,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005174,07-May-14,BT55 7PX,Aluminium,200,34,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005754,12-May-14,BT53 7AE,Aluminium,200,48,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005507,13-May-14,BT53 6DW,Aluminium,200,37,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2009612,19-May-14,BT52 2FN,Aluminium,200,25,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2012372,21-May-14,BT52 1PP,Aluminium,200,37,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2015610,28-May-14,BT55 7BX,Aluminium,200,31,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2016269,02-Jun-14,BT51 3SZ,Aluminium,200,31,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2019162,05-Jun-14,BT52 1RB,Aluminium,200,31,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2021073,09-Jun-14,BT55 7JZ,Aluminium,200,26,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2023595,16-Jun-14,BT52 1AR,Aluminium,200,34,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2026743,18-Jun-14,BT51 3TN,Aluminium,200,29,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2027195,23-Jun-14,BT51 3LP,Aluminium,200,32,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2033828,30-Jun-14,BT52 2EA,Aluminium,200,56,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2037670,01-Jul-14,BT56 8FD,Aluminium,200,37,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2039120,09-Jul-14,BT56 8BZ,Aluminium,200,40,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2041165,16-Jul-14,BT53 6NF,Aluminium,200,205,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2041323,17-Jul-14,BT53 7UE,Aluminium,200,40,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2041905,24-Jul-14,BT51 5AJ,Aluminium,200,46,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2045797,28-Jul-14,BT52 1TU,Aluminium,200,71,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2045946,29-Jul-14,BT55 7BS,Aluminium,200,41,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Aluminium,200,41,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2052182,11-Aug-14,BT52 1TX,Aluminium,200,78,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2052376,12-Aug-14,BT53 6BF,Aluminium,200,35,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2054927,19-Aug-14,BT53 8EQ,Aluminium,200,41,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2057661,27-Aug-14,BT52 1LL,Aluminium,200,35,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2060374,01-Sep-14,BT56 8FH,Aluminium,200,51,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2061183,02-Sep-14,BT51 3EH,Aluminium,200,46,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064430,08-Sep-14,BT52 1PQ,Aluminium,200,40,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064571,09-Sep-14,BT56 8JJ,Aluminium,200,33,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2068221,16-Sep-14,BT56 8SH,Aluminium,200,37,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2071604,22-Sep-14,BT52 2JE,Aluminium,200,32,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2071755,23-Sep-14,BT56 8GW,Aluminium,200,32,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2075009,30-Sep-14,BT52 1UU,Aluminium,200,40,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2078307,06-Oct-14,BT52 1HH,Aluminium,200,45,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2078500,07-Oct-14,BT52 1DF,Aluminium,200,34,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Aluminium,200,26,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087105,20-Oct-14,BT55 7LQ,Aluminium,200,36,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087106,21-Oct-14,BT51 3LZ,Aluminium,200,33,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2089240,28-Oct-14,BT56 8HB,Aluminium,200,33,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2092698,03-Nov-14,BT52 1SS,Aluminium,200,31,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2092876,04-Nov-14,BT55 7TL,Aluminium,200,31,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2096523,11-Nov-14,BT52 1NS,Aluminium,200,29,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2099921,17-Nov-14,BT55 7PD,Aluminium,200,34,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2100077,18-Nov-14,BT55 7HW,Aluminium,200,36,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2103774,25-Nov-14,BT51 5RQ,Aluminium,200,25,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2107204,01-Dec-14,BT53 6AE,Aluminium,200,28,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2107355,02-Dec-14,BT52 2HA,Aluminium,200,30,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2109974,03-Dec-14,BT51 5RB,Aluminium,200,23,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2110659,09-Dec-14,BT53 6NF,Aluminium,200,40,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2113835,15-Dec-14,BT53 6HB,Aluminium,200,44,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2114037,16-Dec-14,BT55 7JS,Aluminium,200,46,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1951188,06-Jan-14,BT52 1GA,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1951512,08-Jan-14,BT55 7RY,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952141,13-Jan-14,BT56 8AD,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952400,15-Jan-14,BT51 5EH,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952762,20-Jan-14,BT51 4LJ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1953371,27-Jan-14,BT52 2JJ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1953604,29-Jan-14,BT55 7AX,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1960289,03-Feb-14,BT51 3RF,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1961788,10-Feb-14,BT55 7RH,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1962097,12-Feb-14,BT44 8SZ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1962587,17-Feb-14,BT53 6LD,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1965502,24-Feb-14,BT52 2AN,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1968775,26-Feb-14,BT51 4DA,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1976516,12-Mar-14,BT56 8JW,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1977077,18-Mar-14,BT55 7PB,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1979842,19-Mar-14,BT51 3HE,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1984084,31-Mar-14,BT51 3RL,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1984228,01-Apr-14,BT55 7PL,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1987105,02-Apr-14,BT52 1TW,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1987572,07-Apr-14,BT52 1WR,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1990930,09-Apr-14,BT52 2HB,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1991420,14-Apr-14,BT51 4PR,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997937,25-Apr-14,BT51 5AJ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1998311,28-Apr-14,BT52 2DZ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005174,07-May-14,BT55 7PX,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005754,12-May-14,BT53 7AE,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005507,13-May-14,BT53 6DW,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2005921,15-May-14,BT51 3HP,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2009612,19-May-14,BT52 2FN,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2012372,21-May-14,BT52 1PP,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2015610,28-May-14,BT55 7BX,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2016269,02-Jun-14,BT51 3SZ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2019162,05-Jun-14,BT52 1RB,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2023595,16-Jun-14,BT52 1AR,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2023751,17-Jun-14,BT55 7HY,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2026743,18-Jun-14,BT51 3TN,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2027195,23-Jun-14,BT51 3LP,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2039120,09-Jul-14,BT56 8BZ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2039283,10-Jul-14,BT51 5TZ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2041905,24-Jul-14,BT51 5AJ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2045946,29-Jul-14,BT55 7BS,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2052376,12-Aug-14,BT53 6BF,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2054306,13-Aug-14,BT53 6TE,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2054446,14-Aug-14,BT53 7AY,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2054927,19-Aug-14,BT53 8EQ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2057661,27-Aug-14,BT52 1LL,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2060374,01-Sep-14,BT56 8FH,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2061183,02-Sep-14,BT51 3EH,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064430,08-Sep-14,BT52 1PQ,Ammonium,0.5,<0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064571,09-Sep-14,BT56 8JJ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2068221,16-Sep-14,BT56 8SH,Ammonium,0.5,0.02,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2071604,22-Sep-14,BT52 2JE,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2071755,23-Sep-14,BT56 8GW,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2075009,30-Sep-14,BT52 1UU,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2078307,06-Oct-14,BT52 1HH,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2078500,07-Oct-14,BT52 1DF,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087099,08-Oct-14,BT51 3JT,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087105,20-Oct-14,BT55 7LQ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087106,21-Oct-14,BT51 3LZ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2089240,28-Oct-14,BT56 8HB,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2092698,03-Nov-14,BT52 1SS,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2092876,04-Nov-14,BT55 7TL,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2096358,10-Nov-14,BT53 6AZ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2096523,11-Nov-14,BT52 1NS,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2099921,17-Nov-14,BT55 7PD,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2100077,18-Nov-14,BT55 7HW,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2103774,25-Nov-14,BT51 5RQ,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2107204,01-Dec-14,BT53 6AE,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2107355,02-Dec-14,BT52 2HA,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2109974,03-Dec-14,BT51 5RB,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2110659,09-Dec-14,BT53 6NF,Ammonium,0.5,0.02,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2113835,15-Dec-14,BT53 6HB,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2114037,16-Dec-14,BT55 7JS,Ammonium,0.5,0.01,mg NH4/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952762,20-Jan-14,BT51 4LJ,Antimony,5,0.04,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Antimony,5,<0.01,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997600,23-Apr-14,BT53 7BJ,Antimony,5,0.08,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2016269,02-Jun-14,BT51 3SZ,Antimony,5,0.1,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2037670,01-Jul-14,BT56 8FD,Antimony,5,0.08,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Antimony,5,0.06,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064571,09-Sep-14,BT56 8JJ,Antimony,5,0.11,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Antimony,5,0.07,ug/l Sb
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952762,20-Jan-14,BT51 4LJ,Arsenic,10,<0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Arsenic,10,<0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997600,23-Apr-14,BT53 7BJ,Arsenic,10,<0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2016269,02-Jun-14,BT51 3SZ,Arsenic,10,0.4,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2037670,01-Jul-14,BT56 8FD,Arsenic,10,0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Arsenic,10,<0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064571,09-Sep-14,BT56 8JJ,Arsenic,10,0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Arsenic,10,<0.3,ug/l As
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952762,20-Jan-14,BT51 4LJ,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997600,23-Apr-14,BT53 7BJ,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2016269,02-Jun-14,BT51 3SZ,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2037670,01-Jul-14,BT56 8FD,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064571,09-Sep-14,BT56 8JJ,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Benzene,1,<0.02,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1960289,03-Feb-14,BT51 3RF,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1998311,28-Apr-14,BT52 2DZ,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2021073,09-Jun-14,BT55 7JZ,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2038926,08-Jul-14,BT51 4TE,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2074864,29-Sep-14,BT56 8GW,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Benzo(a)pyrene,0.01,<0.00056,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952762,20-Jan-14,BT51 4LJ,Boron,1000,0.007,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Boron,1000,0.013,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1997600,23-Apr-14,BT53 7BJ,Boron,1000,0.01,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2016269,02-Jun-14,BT51 3SZ,Boron,1000,0.002,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2037670,01-Jul-14,BT56 8FD,Boron,1000,<0.003,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2049433,05-Aug-14,BT56 8QH,Boron,1000,0.019,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2064571,09-Sep-14,BT56 8JJ,Boron,1000,0.017,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-2087102,14-Oct-14,BT51 5JH,Boron,1000,0.006,mg/l B
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1960289,03-Feb-14,BT51 3RF,Bromate,10,0.41,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Bromate,10,<0.3000,ug/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1998311,28-Apr-14,BT52 2DZ,Bromate,10,<0.3000,ug/l
