Field Name,Dedicated Division,Facility,Neighborhood,Battting Cage,Concession Stand,Back Stop,Infield,Goal Post,Lights,Left,Center,Right,Permit,Drag,Pashek Map Number,Field Renovated,CD,Lights Renovated,Control Link,,,,,,
McKinley Field #1,Southern,McKINLEY PARK,Beltzhoover,,,1,1,1,1,358,317,182,Yes,Yes,75,,Yes,,Yes,,,,,,
McKnight Field,Northern,McKNIGHT PLAYGROUND,Manchester,,,,,,,,,,Yes,No,77,,Yes,,No,,,,,,
Mellon Field L.L.,Eastern,MELLON PARK,Shadyside,,,1,1,,,162,165,161,Yes,Yes,78,,No,,No,,,,,,
Mellon Field Main,Eastern,MELLON PARK,Shadyside,,,1,1,,1,364,364,359,Yes,Yes,79,"2004 (R. Sprow $9,595.90) (2005 regrade because permit holder R.Sprow $700)",No,yes -2012,Yes,,,,,,
Mellon Field Middle,Eastern,MELLON PARK,Shadyside,1,,1,1,,,179,195,179,Yes,Yes,80,,No,,No,,,,,,
Michael Flynn Field,Northern,SPRING GARDEN FIELD,Spring Garden,,,1,1,,,178,170,153,Yes,Yes,105,,Yes,,No,,,,,,
Monongahela Field,Southern,MONONGAHELA PLAYGROUND,Southside Slopes,,,1,1,,,200,200,162,Yes,Yes,82,,Yes,,No,,,,,,
Moore Field #1,Southern,MOORE PARK,Brookline,,1,1,1,,1,306,424,311,Yes,Yes,83,"2002 (R.Sprow ""SAMPLE OF WORK"")",No,Yes-2013,Yes,,,,,,
Moore Field #2,Southern,MOORE PARK,Brookline,,1,1,1,,,189,304,216,Yes,Yes,84,,No,,No,,,,,,
Oakwood,Western,OAKWOOD PLAYGROUND,Oakwood,1,1,1,1,,,,,,Yes,Yes,87,"2010 ( Plavchak $15,205.18)",No,,No,,,,,,
Olympia Field #1,Western,OLYMPIA PARK,Mount Washington,1,,1,1,,1,286,440,353,Yes,Yes,88,"2004 (R. Sprow $10,331.70)",No,yes 4-2004,Yes,,,,,,
Olympia Field #2,Western,OLYMPIA PARK,Mount Washington,,,1,1,,1,319,461,395,Yes,Yes,89,,No,yes 4-2004,Yes,,,,,,
Ormsby Field,Southern,ORMSBY PLAYGROUND,Southside Flats,,,1,1,,,165,195,135,Yes,Yes,90,,Yes,,No,,,,,,
Oval Field,Schenley,SCHENLEY PARK,Squirrel Hill South,,,1,,,1,,,,Yes,No,98,,No,yes 6-2007,Yes,,,,,,
Panorama Field,Southern,PANORAMA FIELD,New Homestead,,,1,1,,,200,200,200,Yes,Yes,93,,No,,No,,,,,,
Panther Hollow,Schenley,SCHENLEY PARK,Squirrel Hill South,,,,,,,,,,Yes,No,,"2004 (Eichenlaub $9,650.00) 2007(R Sprow $5500.00)",No,,No,,,,,,
Paulson Field,Eastern,PAULSON PLAYGROUND,Lincoln-Lemington-Belmar,,,1,1,,1,259,247,274,Yes,Yes,94,,Yes,,Yes,,,,,,
Phillip Murray Field,Southern,PHILLIP MURRAY PLAYGROUND,Mt. Oliver Neigborhood,,,1,1,,1,350,318,250,Yes,Yes,95,,Yes,,Yes,,,,,,
Phillips Park Field,Southern,PHILLIPS PARK,Carrick,,,1,1,,1,200,200,195,Yes,Yes,96,,No,,Yes,,,,,,
Quarry Field,Southern,SOUTHSIDE PARK,Southside Slopes,,2,,,2,1,,,,Yes,No,104,,Yes,yes 11-2011,Yes,,,,,,
Ray Miller Field,Schenley,BLAIR ST PARKLET,Hazelwood,,1,1,1,,,311,260,241,Yes,Yes,13,,Yes,,No,,,,,,
Richie McCabe Field,State,ALLEGHENY COMMONS PARK,Allegheny Center,,,1,1,2,,307,336,289,Yes,Yes,115,,Yes,,No,,,,,,
Rye-Molt Field,Northern,YOUNG FIELD,Marshall-Shadeland,,1,1,1,,,220,270,215,Yes,Yes,122,,Yes,,No,,,,,,
Sam Bryen Field #1,Southern,BROOKLINE MEMORIAL FIELD,Brookline,2,2,1,1,,1,200,197,197,Yes,Yes,23,"2004 (R.Sprow $7,724.05) 2008 ( Plavchak $1,500.00)",No,,Yes,,,,,,
Sam Bryen Field #2,Southern,BROOKLINE MEMORIAL FIELD,Brookline,,2,1,1,,1,,,,Yes,Yes,24,"2004 (R.Sprow $7,866.43)",No,,Yes,,,,,,
Scherer Field,Northern,SCHERER FIELD,Spring Hill-City View,,,1,1,,,176,170,195,Yes,Yes,100,,Yes,,No,,,,,,
Sheraden Field #1,Western,SHERADEN PARK,Sheraden,,1,1,1,,1,246,235,180,Yes,Yes,101,,No,,Yes,,,,,,
Sheraden Field #2,Western,SHERADEN PARK,Sheraden,,1,1,1,,,370,275,209,Yes,Yes,102,2009 (in house),No,,No,,,,,,
Southside Park Field,Southern,SOUTHSIDE PARK,Southside Slopes,,2,1,1,,1,150,150,150,Yes,No,,,Yes,Yes-,Yes,,,,,,
Spring Hill Field,Northern,SPRING HILL PLAYGROUND,Spring Hill-City View,1,1,1,1,,1,264,301,301,Yes,Yes,106,,Yes,,Yes,,,,,,
Stan Lederman Field,Eastern,FRICK PARK,Squirrel Hill South,1,2,1,1,,1,183,189,192,Yes,Yes,49,"2008 ( Plavchak $13,907.80)",No,,Yes,,,,,,
Sullivan Field,Northeast,SULLIVAN PLAYGROUND,Lower Lawrenceville,,1,1,1,2,1,325,329,230,Yes,Yes,107,,Yes,,Yes,,,,,,
Sunnyside Field,Northeast,DINAN PLAYGROUND,Stanton Heights,,1,1,1,,,202,205,201,Yes,Yes,108,"2004 (R.Sprow $2,100.00)",No,,No,,,,,,
Vanucci Field #1,Western,VANUCCI FIELD,Beechview,,1,1,1,,,250,250,250,Yes,Yes,109,"2004 (R.Sprow $15,304.30)",No,,Yes,,,,,,
Vanucci Field #2,Western,VANUCCI FIELD,Beechview,1,1,1,1,,1,174,187,185,Yes,Yes,110,"2004 (R.Sprow $6,373.00)",No,,Yes,,,,,,
Volunteers Field #1,Southern,VOLUNTEERS FIELD,Carrick,,1,1,1,,1,271,255,285,Yes,Yes,111,"2005 (R.Sprow $6,544.00)",No,,Yes,,,,,,
Volunteers Field #2,Southern,VOLUNTEERS FIELD,Carrick,1,1,1,1,,1,174,187,185,Yes,Yes,112,"2005 (R.Sprow $7,512.30)",No,,Yes,,,,,,
Wabash Field,Western,WABASH PLAYGROUND,West End,,,1,1,,,372,175,100,Yes,Yes,113,,Yes,,No,,,,,,
Warren K Branch Field,Schenley,MARTIN LUTHER KING FIELD,Terrace Village,,1,1,1,,,168,182,186,Yes,Yes,72,,Yes,,No,,,,,,
Warrington Field,Southern,WARRINGTON PLAYGROUND,Beltzhoover,,,1,1,,1,206,275,198,Yes,Yes,114,"2005 (R. Sprow $10,249.30)",Yes,,Yes,,,,,,
West Penn Field #1,State,WEST PENN PARK,Polish Hill,,,1,1,,1,268,337,355,Yes,Yes,116,"2005 (R. Sprow $11,339.70)",Yes,Yes-2013,Yes,,,,,,
West Penn Field #2,State,WEST PENN PARK,Polish Hill,,,1,1,,1,355,403,215,Yes,Yes,117,"2005 (R. Sprow $ 10,191.30)",Yes,Yes-2013,Yes,,,,,,
Westwood Field #1,Western,WESTWOOD SCHOOL,Westwood,,1,1,1,,1,300,270,185,Yes,Yes,118,"2010 ( Plavchak $17,482.21)",No,,Yes,,,,,,
Westwood Field #2,Western,WESTWOOD SCHOOL,Westwood,,1,1,1,,1,185,270,300,Yes,Yes,119,"2010 ( Plavchak $15,204.68)",No,,Yes,,,,,,
Wightman Field,Eastern,WIGHTMAN PLAYGROUND,Squirrel Hill North,,,1,1,,,,,,Yes,Yes,120,,No,,No,,,,,,
Willie Stargell #1,Eastern,HOMEWOOD PLAYGROUND,Homewood South,1,,1,1,,1,370,309,205,Yes,Yes,,,Yes,yes 8-2002,Yes,,,,,,
Willie Stargell #2,Eastern,HOMEWOOD PLAYGROUND,Homewood South,,,1,1,2,1,310,297,143,Yes,Yes,60,,Yes,yes 8-2002,Yes,,,,,,
Winters Field,Southern,WINTERS PLAYGROUND,Southside Slopes,,,1,1,,,234,267,159,Yes,Yes,121,,Yes,,No,,,,,,
