PCA / Ownership / Year,Support £m,Investment £m,Jobs Promoted,No of Businesses,Offers
FERMANAGH AND SOUTH TYRONE  - Local - Total,24.31,156.11,"2,185",462,"1,542"
FERMANAGH AND SOUTH TYRONE  - Local - 2015-16,3.79,17.5,162,151,258
FERMANAGH AND SOUTH TYRONE  - Local - 2014-15,8.64,84.68,876,177,308
FERMANAGH AND SOUTH TYRONE  - Local - 2013-14,5.48,26.05,450,183,363
FERMANAGH AND SOUTH TYRONE  - Local - 2012-13,4.14,18.05,456,163,346
FERMANAGH AND SOUTH TYRONE  - Local - 2011-12,2.26,9.84,242,122,267
FOYLE - All - Total,30.47,180.78,"2,743",946,"1,539"
FOYLE - External - Total,17.63,118.1,"1,279",20,53
FOYLE - External - 2015-16,2.87,24.48,289,2,4
FOYLE - External - 2014-15,8.15,38.31,148,8,12
FOYLE - External - 2013-14,2.78,20.55,510,7,10
FOYLE - External - 2012-13,2.37,15.54,200,8,16
FOYLE - External - 2011-12,1.45,19.23,132,7,11
FOYLE - Local - Total,12.84,62.68,"1,464",927,"1,486"
FOYLE - Local - 2015-16,2.92,18.03,156,169,237
FOYLE - Local - 2014-15,2.98,16.69,440,304,368
FOYLE - Local - 2013-14,2.66,10.67,358,283,363
FOYLE - Local - 2012-13,2.62,10.67,265,209,287
FOYLE - Local - 2011-12,1.67,6.61,246,170,231
LAGAN VALLEY - All - Total,25.79,115.81,"1,598",375,"1,387"
LAGAN VALLEY - External - Total,1.93,10.66,56,17,83
LAGAN VALLEY - External - 2015-16,0.42,1.93,15,6,12
LAGAN VALLEY - External - 2014-15,0.13,0.34,3,9,14
LAGAN VALLEY - External - 2013-14,0.73,3.54,6,11,27
LAGAN VALLEY - External - 2012-13,0.63,4.82,32,7,19
LAGAN VALLEY - External - 2011-12,0.03,0.04,-,4,11
LAGAN VALLEY - Local - Total,23.85,105.15,"1,542",360,"1,304"
LAGAN VALLEY - Local - 2015-16,9.41,47.57,512,114,227
LAGAN VALLEY - Local - 2014-15,3.22,15.72,319,133,264
LAGAN VALLEY - Local - 2013-14,4.36,14.57,230,146,299
LAGAN VALLEY - Local - 2012-13,3.05,10.25,185,131,268
LAGAN VALLEY - Local - 2011-12,3.82,17.03,295,118,246
MID ULSTER - All - Total,39.76,272.77,"3,331",570,"2,156"
MID ULSTER - External - Total,5.92,55.24,435,16,104
MID ULSTER - External - 2015-16,0.49,1.91,2,7,23
MID ULSTER - External - 2014-15,1.95,16.39,129,9,26
MID ULSTER - External - 2013-14,0.34,8.52,3,8,16
MID ULSTER - External - 2012-13,2.02,12.75,117,10,21
MID ULSTER - External - 2011-12,1.13,15.67,184,8,18
MID ULSTER - Local - Total,33.84,217.54,"2,896",556,"2,052"
MID ULSTER - Local - 2015-16,6.5,43.19,491,171,364
MID ULSTER - Local - 2014-15,8.2,79.38,744,215,433
MID ULSTER - Local - 2013-14,6.02,25.96,516,237,452
MID ULSTER - Local - 2012-13,7.87,38.1,682,198,421
MID ULSTER - Local - 2011-12,5.25,30.91,463,173,382
NEWRY AND ARMAGH - All -Total,19.71,135.95,"1,873",481,"1,376"
NEWRY AND ARMAGH - External - Total,1.25,6.47,120,16,41
NEWRY AND ARMAGH - External - 2015-16,0.06,0.2,2,2,2
NEWRY AND ARMAGH - External - 2014-15,0.2,0.61,5,4,6
NEWRY AND ARMAGH - External - 2013-14,0.15,0.86,19,5,8
NEWRY AND ARMAGH - External - 2012-13,0.48,3,70,9,14
NEWRY AND ARMAGH - External - 2011-12,0.35,1.81,24,7,11
NEWRY AND ARMAGH - Local - Total,18.46,129.48,"1,753",467,"1,335"
NEWRY AND ARMAGH - Local - 2015-16,2.59,15.91,186,121,211
NEWRY AND ARMAGH - Local - 2014-15,7.72,66.53,762,157,284
NEWRY AND ARMAGH - Local - 2013-14,3.28,18.18,353,158,271
NEWRY AND ARMAGH - Local - 2012-13,2.97,14.76,230,147,300
NEWRY AND ARMAGH - Local - 2011-12,1.9,14.09,222,150,269
NORTH ANTRIM - All - Total,23.33,120.83,"1,336",302,996
NORTH ANTRIM - External - Total,2.01,9.39,54,9,31
NORTH ANTRIM - External - 2015-16,0.19,1.19,23,3,4
NORTH ANTRIM - External - 2014-15,0.88,5.56,7,6,10
NORTH ANTRIM - External - 2013-14,0.26,1.09,24,5,8
NORTH ANTRIM - External - 2012-13,0.01,0.01,-,2,4
NORTH ANTRIM - External - 2011-12,0.66,1.53,-,2,5
NORTH ANTRIM - Local - Total,21.32,111.44,"1,282",294,965
NORTH ANTRIM - Local - 2015-16,3.73,21.37,170,71,116
NORTH ANTRIM - Local - 2014-15,4.7,23.26,291,112,206
NORTH ANTRIM - Local - 2013-14,4.04,27.1,440,111,228
NORTH ANTRIM - Local - 2012-13,7.1,29.67,206,105,214
NORTH ANTRIM - Local - 2011-12,1.75,10.04,175,91,201
NORTH DOWN - All -Total,8.5,37.41,682,232,680
NORTH DOWN - External - Total,3.17,12.59,61,6,39
NORTH DOWN - External - 2015-16,0.09,0.29,-,1,3
NORTH DOWN - External - 2014-15,0.3,0.79,2,5,10
NORTH DOWN - External - 2013-14,1.06,5.32,-,2,15
NORTH DOWN - External - 2012-13,0.16,0.55,-,2,4
NORTH DOWN - External - 2011-12,1.55,5.63,59,1,7
NORTH DOWN - Local - Total,5.33,24.82,621,226,641
NORTH DOWN - Local - 2015-16,0.88,3.65,42,69,114
NORTH DOWN - Local - 2014-15,1.29,7.42,175,76,129
NORTH DOWN - Local - 2013-14,1.34,6.44,183,88,172
NORTH DOWN - Local - 2012-13,1.12,4.29,103,65,120
NORTH DOWN - Local - 2011-12,0.7,3.01,118,66,106
SOUTH ANTRIM - All - Total,38.79,235.12,"2,033",319,"1,337"
SOUTH ANTRIM - External - Total,15.21,89.49,388,13,94
SOUTH ANTRIM - External - 2015-16,0.04,0.29,8,3,5
SOUTH ANTRIM - External - 2014-15,3.84,16.11,54,8,18
SOUTH ANTRIM - External - 2013-14,10.27,66.91,263,10,33
SOUTH ANTRIM - External - 2012-13,0.31,1.52,9,7,24
SOUTH ANTRIM - External - 2011-12,0.75,4.67,54,3,14
SOUTH ANTRIM - Local - Total,23.58,145.63,"1,645",308,"1,243"
SOUTH ANTRIM - Local - 2015-16,2.24,10.87,90,94,151
SOUTH ANTRIM - Local - 2014-15,8.05,82.77,871,109,248
SOUTH ANTRIM - Local - 2013-14,3.61,16.12,237,123,304
SOUTH ANTRIM - Local - 2012-13,6.19,20.29,234,131,266
SOUTH ANTRIM - Local - 2011-12,3.49,15.58,214,107,274
SOUTH DOWN - All - Total,14.54,100.21,"1,383",413,"1,166"
SOUTH DOWN - External - Total,1.82,28.54,125,9,38
SOUTH DOWN - External - 2015-16,0.05,0.13,-,2,3
SOUTH DOWN - External - 2014-15,1.36,26.34,115,6,12
SOUTH DOWN - External - 2013-14,0.06,0.27,2,5,9
SOUTH DOWN - External - 2012-13,0.01,0.01,-,3,5
SOUTH DOWN - External - 2011-12,0.34,1.78,8,6,9
SOUTH DOWN - Local - Total,12.72,71.68,"1,258",404,"1,128"
SOUTH DOWN - Local - 2015-16,1.99,16.79,197,102,156
SOUTH DOWN - Local - 2014-15,3.62,25.33,277,146,243
SOUTH DOWN - Local - 2013-14,2.81,11.34,384,158,273
SOUTH DOWN - Local - 2012-13,2.15,7.28,124,137,229
SOUTH DOWN - Local - 2011-12,2.14,10.93,276,126,227
STRANGFORD - All - Total,9.86,55.84,770,227,729
STRANGFORD - External - Total,2.49,22.48,49,6,32
STRANGFORD - External - 2015-16,0.08,0.2,-,4,6
STRANGFORD - External - 2014-15,0.72,5.97,47,2,5
STRANGFORD - External - 2013-14,0.01,0.01,-,3,5
STRANGFORD - External - 2012-13,1.58,15.68,0,3,13
STRANGFORD - External - 2011-12,0.09,0.61,2,2,3
STRANGFORD - Local - Total,7.37,33.37,721,222,697
STRANGFORD - Local - 2015-16,1.44,5.93,76,67,111
STRANGFORD - Local - 2014-15,1.52,8.17,206,79,151
STRANGFORD - Local - 2013-14,1.68,7.58,159,77,156
STRANGFORD - Local - 2012-13,1.69,5.97,113,86,153
STRANGFORD - Local - 2011-12,1.04,5.7,167,66,126
UPPER BANN - All -Total,49.65,420.18,"2,915",407,"1,336"
UPPER BANN - External - Total,16.41,215.82,"1,091",24,169
UPPER BANN - External - 2015-16,2.84,21.52,321,11,29
UPPER BANN - External - 2014-15,10.21,177.5,686,11,35
UPPER BANN - External - 2013-14,0.46,3.52,27,12,30
UPPER BANN - External - 2012-13,2.58,11.64,42,16,42
UPPER BANN - External - 2011-12,0.31,1.63,15,12,33
UPPER BANN - Local - Total,33.24,204.36,"1,824",384,"1,167"
UPPER BANN - Local - 2015-16,2.06,9.48,70,107,180
UPPER BANN - Local - 2014-15,12.29,111.74,690,140,273
UPPER BANN - Local - 2013-14,5.49,25.99,396,140,241
UPPER BANN - Local - 2012-13,7.71,37.11,466,130,255
UPPER BANN - Local - 2011-12,5.69,20.04,203,116,218
WEST TYRONE - All - Total,15.87,88.79,"1,613",381,919
WEST TYRONE - External - Total,5.49,37.98,461,10,86
WEST TYRONE - External - 2015-16,0.17,0.76,2,6,12
WEST TYRONE - External - 2014-15,0.89,4.03,1,6,19
WEST TYRONE - External - 2013-14,0.78,6.2,83,5,25
WEST TYRONE - External - 2012-13,3.49,26.41,375,6,23
WEST TYRONE - External - 2011-12,0.16,0.58,-,3,7
WEST TYRONE - Local - Total,10.38,50.82,"1,152",372,833
WEST TYRONE - Local - 2015-16,1.69,10.09,101,93,143
WEST TYRONE - Local - 2014-15,2.65,14.57,320,134,191
WEST TYRONE - Local - 2013-14,1.99,8.76,276,140,202
WEST TYRONE - Local - 2012-13,2.85,12.1,267,102,173
WEST TYRONE - Local - 2011-12,1.2,5.3,188,77,124
