SAMPLENO,AG,AL,AS_,AU,BA,BE,BI,BR,CD,CE,CO,CR,CS,CU,HO,K,LA,LI,LU,MN,MO,ND,NI,P,PB,PD,PT,RB,RH,SB,SE,SN,SR,TH,TI,TL,U,V,W,Y,ZN,ZR,B,CA,FE,MG,NA,SI,SO4,EASTING,NORTHING
550012,0.0000,73.5480,3.1240,,15.1310,0.0030,,,0.0300,0.3610,0.6990,0.4350,0.0050,1.9470,0.0110,0.8510,0.1300,0.6110,0.0060,0.2150,0.0510,0.1880,2.3030,0.0210,0.5570,,,0.7180,,0.0980,0.5130,0.1040,27.3870,,,0.0050,0.0960,0.1390,,0.3010,1.0900,0.1700,0.0050,8.8120,0.8310,2.6320,6.7660,2.3410,4.6170,249500,376100
550013,0.0000,19.3350,1.1720,,25.8040,0.0100,,,0.0140,0.1880,0.9120,0.2900,0.0010,0.7140,0.0090,1.7760,0.0910,0.2950,0.0050,0.4770,0.0310,0.1270,1.3030,0.0270,0.0550,,,1.6040,,0.0410,0.7010,0.1320,36.6900,,,0.0030,0.0140,0.1010,,0.2520,0.7700,0.1610,0.0070,13.5830,1.2300,1.6770,8.2660,1.9570,4.7240,257070,383300
550014,0.0030,264.3220,7.7340,,9.3500,0.0170,,,0.0340,2.3170,4.3080,0.9380,0.0040,0.7850,0.0400,0.1070,0.6130,0.3360,0.0140,0.6330,0.0400,0.8370,1.2530,0.0320,0.5140,,,0.3330,,0.0470,0.8090,0.1160,17.0510,,,0.0050,0.0850,0.5190,,1.0290,4.6800,0.4480,0.0050,3.3570,3.1260,1.4840,5.3340,1.6150,2.3380,249170,377700
550015,0.0020,94.4190,0.8820,,15.4280,0.0100,,,0.0180,0.3450,0.6720,1.0200,0.0020,1.6760,0.0120,0.3730,0.1750,0.3550,0.0040,0.1380,0.0370,0.2060,1.1750,0.0240,0.3140,,,0.5810,,0.0340,0.3240,0.0840,18.3390,,,0.0020,0.0230,0.4030,,0.3260,6.1600,0.1840,0.0070,4.5820,0.6820,2.1290,7.1840,2.8800,4.3220,246300,383210
550016,0.0010,36.4380,0.4820,,15.3180,0.0160,,,0.0020,0.0800,0.1720,0.4500,0.0030,1.0060,0.0040,1.5750,0.0570,0.4440,0.0010,0.0260,0.0680,0.0830,0.9540,0.0730,0.1550,,,1.0450,,0.0380,0.7550,0.0940,38.1610,,,0.0040,0.0250,0.5250,,0.1490,0.7700,0.1300,0.0190,16.4930,0.4270,4.5600,9.0870,4.9460,8.3790,254750,373920
550017,0.0040,46.4390,0.7250,,25.5660,0.0080,,,0.0280,0.3530,0.6590,0.6940,0.0040,9.1640,0.0120,1.5460,0.1810,0.4510,0.0040,0.2390,0.1110,0.2070,1.5860,0.0540,0.5540,,,1.1290,,0.0490,0.4590,0.1480,44.5940,,,0.0060,0.0270,1.2270,,0.2360,14.6400,0.1620,0.0260,16.8460,0.5190,5.3090,13.9590,5.4540,9.2460,254710,373320
550018,-0.0050,191.7020,1.4330,,50.1270,-0.0010,,,0.0190,0.8140,0.4340,0.4030,-0.0030,2.6900,0.0200,1.0720,0.3510,0.8230,0.0090,0.0940,0.0690,0.3710,2.9374,0.0580,0.4440,,,1.2450,,0.0750,-0.1450,0.0800,39.7220,,,0.0000,0.0870,0.2040,,0.5840,5.7300,0.2580,0.0090,9.6010,0.7170,2.5020,8.3730,2.1940,6.6850,246640,381720
550019,0.0050,90.2340,0.7610,,16.6500,-0.0090,,,0.0190,0.0970,0.2770,0.9670,0.0010,2.9350,0.0080,1.3010,0.0520,0.5150,0.0030,0.0590,0.1060,0.0900,1.4694,0.0750,0.4420,,,1.1210,,0.0490,-0.0730,0.1110,35.4610,,,-0.0010,0.0730,0.4240,,0.1790,3.5600,0.2640,0.0130,15.3680,0.8440,4.6650,8.8420,3.3620,7.2170,252680,374610
550020,0.0000,56.5520,2.3300,,28.6270,0.0060,,,0.0180,0.4680,0.5440,0.3420,0.0070,1.8620,0.0110,1.1280,0.1930,0.5350,0.0040,0.0490,0.0450,0.2020,2.8670,0.0320,0.3380,,,1.0340,,0.0560,0.3510,0.1130,41.4330,,,0.0070,0.0520,0.0920,,0.3550,3.8400,0.2440,0.0110,11.9970,0.9470,2.7960,7.4150,1.9240,6.7330,245850,378230
550021,-0.0040,205.7450,1.9760,,18.5070,-0.0090,,,0.0160,0.9290,1.9760,0.5990,0.0030,0.7080,0.0160,0.1330,0.2810,0.4990,0.0090,0.2350,0.0110,0.3580,0.6260,0.0150,0.4480,,,0.2690,,0.0240,0.6560,0.0770,12.6280,,,0.0050,0.0500,0.2770,,0.4510,3.2900,0.1680,0.0030,2.0550,1.5950,1.2440,4.9970,2.0050,1.9700,252680,380850
550023,0.0030,54.6020,1.3460,,10.8330,0.0170,,,0.0320,0.2510,0.4570,0.3690,0.0020,2.0470,0.0070,2.1630,0.1520,0.3670,0.0040,0.1720,0.0680,0.1490,1.1610,0.0500,0.2380,,,1.7750,,0.0630,0.3240,0.0550,50.8790,,,0.0070,0.0840,0.3130,,0.1980,0.7700,0.2210,0.0160,20.4000,0.7000,4.4510,7.5700,2.8960,5.2570,259300,383150
550024,-0.0030,82.9600,2.0610,,27.8060,0.0120,,,0.0080,0.2140,0.4940,0.9660,0.0030,1.7160,0.0100,3.0850,0.1060,0.9930,0.0070,0.1260,0.2230,0.1220,2.1535,0.1970,0.3910,,,2.3100,,0.0580,-0.6220,0.1410,52.6590,,,0.0010,0.0500,0.6200,,0.2180,4.3000,0.3170,0.0180,18.1030,1.7430,5.1280,10.9060,3.0520,7.0380,249390,372420
550025,0.0000,22.4580,0.9530,,112.9000,0.0120,,,0.0060,0.1000,0.2510,0.5430,0.0020,1.2030,0.0060,2.2860,0.0470,1.5260,0.0020,0.0900,0.1090,0.0590,2.1090,0.0970,0.0720,,,1.4540,,0.0520,0.7820,0.0720,109.1220,,,0.0020,0.0670,0.3080,,0.1510,13.0700,0.2090,0.0160,26.1090,0.6090,6.1870,10.9320,4.9590,12.0950,248980,371110
550026,-0.0070,77.7210,1.0300,,13.2010,-0.0010,,,0.0020,0.1350,0.2510,1.0000,-0.0030,3.3020,0.0080,2.1180,0.0780,0.4540,0.0010,0.0230,0.1280,0.1380,1.5931,0.1730,0.2220,,,1.5550,,0.0290,0.8830,0.0800,36.2660,,,-0.0030,0.0450,0.4470,,0.1920,4.1700,0.2920,0.0130,15.8600,0.6690,4.8370,9.1050,3.3890,8.2410,253290,374280
550027,0.0020,12.8120,0.6150,,6.4100,0.0020,,,0.0180,0.1360,0.4120,0.1680,0.0030,0.9260,0.0040,1.7260,0.0680,0.9160,0.0020,0.0460,0.0800,0.0720,2.5430,0.0470,0.1440,,,1.7070,,0.0460,0.8630,0.0580,192.8580,,,0.0030,0.2480,-0.0120,,0.1360,0.7700,0.2210,0.0180,32.7800,0.9920,5.4670,11.5920,3.6540,8.7910,257320,408960
550028,0.0000,25.6800,0.3640,,10.4080,0.0020,,,0.0140,0.0600,0.1810,0.4820,0.0020,2.0020,0.0020,1.0490,0.0330,0.3900,0.0000,0.0400,0.1000,0.0380,1.0940,0.0640,0.2680,,,0.8150,,0.0440,0.3240,0.0670,41.4670,,,0.0040,0.0470,0.5030,,0.0790,1.9600,0.0650,0.0130,20.0450,0.2290,5.4810,9.4130,4.7200,8.5760,253300,375950
550029,-0.0020,46.7410,1.1710,,54.3440,0.0080,,,0.0020,0.5120,1.8330,0.3720,0.0020,1.2730,0.0100,0.7550,0.1720,0.5950,0.0080,0.4070,0.0280,0.1810,2.1190,0.0230,0.2150,,,1.0810,,0.0360,0.1350,0.0750,33.1770,,,0.0040,0.0390,0.1730,,0.3290,13.7700,0.2220,0.0050,8.6360,0.6450,2.1380,6.9910,2.0500,4.5260,247320,377060
550030,0.0030,17.0740,1.7320,,10.6400,0.0020,,,0.0380,0.1260,2.8080,0.1850,0.0040,1.4610,0.0050,9.2760,0.0500,0.6460,0.0030,0.9620,0.1850,0.0780,4.1400,0.0930,0.2320,,,7.8430,,0.0760,0.7550,0.1320,198.8160,,,0.0110,0.4970,-0.0360,,0.1460,5.1300,0.3330,0.0090,33.7240,1.2860,5.3670,12.0370,2.9890,8.7600,257350,408820
550031,-0.0030,6.8260,0.3720,,8.2670,-0.0020,,,0.0080,0.0180,0.1460,0.1350,0.0010,0.7560,0.0010,0.8080,0.0120,0.6330,0.0000,0.0120,0.0140,0.0210,0.9460,0.0130,0.0300,,,0.5410,,0.0360,0.6480,0.0550,34.0620,,,0.0010,0.0590,0.1560,,0.0530,0.7700,0.0470,0.0060,16.9610,0.0710,4.2330,6.2770,2.8280,2.9170,252800,377870
550032,0.0060,48.2330,2.0230,,56.1950,0.0120,,,0.0280,0.2880,0.4440,0.4670,0.0060,7.7240,0.0100,3.3480,0.1710,1.0180,0.0050,0.0280,0.1270,0.1940,3.3850,0.1080,0.3910,,,1.6260,,0.1070,1.1870,0.0900,145.2680,,,0.0050,0.3750,0.5580,,0.2540,5.6000,0.2160,0.0180,34.3060,0.1870,6.1830,9.6550,2.9800,9.8340,243100,380950
550033,-0.0080,85.4440,1.3360,,17.0600,0.0010,,,0.0110,0.1380,0.4990,1.0260,-0.0030,1.7190,0.0040,2.5290,0.0660,0.5830,0.0030,0.1620,0.1700,0.0950,2.0367,0.1160,0.3280,,,1.8190,,0.0340,0.5910,0.0890,43.1130,,,-0.0030,0.0470,0.5890,,0.1720,9.2700,0.3150,0.0160,17.1640,1.0830,5.2340,10.1510,2.8340,6.5720,250480,373320
550034,-0.0060,88.0550,1.0680,,11.8750,-0.0040,,,0.0110,0.1260,0.2670,0.6840,0.0000,1.7200,0.0050,1.0230,0.0570,0.4500,0.0040,0.2370,0.0410,0.1040,0.7810,0.0520,0.1770,,,0.8550,,0.0330,1.1480,0.0710,28.7290,,,-0.0020,0.0090,0.5560,,0.1970,0.7700,0.2180,0.0110,11.9920,0.9500,3.5570,8.3380,3.8540,5.3710,257490,373940
550035,-0.0060,132.2600,7.9190,,17.4060,-0.0140,,,0.0080,0.7790,1.6100,0.6100,-0.0030,1.1890,0.0160,0.5550,0.2640,0.5970,0.0070,0.2320,0.0450,0.3430,1.4822,0.0500,0.2620,,,0.9110,,0.0280,0.4460,0.0500,26.4000,,,0.0000,0.0460,0.4410,,0.5800,4.3100,0.3280,0.0040,6.0290,3.9590,1.7470,6.4200,1.9700,3.2650,256450,384410
550036,-0.0050,43.3970,1.0230,,10.0860,-0.0120,,,0.0020,0.0770,0.8540,0.0170,-0.0030,1.5100,0.0010,0.0600,0.0240,0.4340,0.0000,0.7850,0.7640,0.0340,0.6361,0.0310,0.2630,,,0.1530,,0.0280,-0.2240,0.0620,32.4320,,,-0.0020,0.0480,0.0610,,0.0760,4.5500,0.1040,0.0040,12.0570,1.2240,2.2360,6.8980,3.2610,2.4350,259280,381510
550037,-0.0070,126.4010,1.6490,,23.5500,-0.0070,,,0.0220,0.2250,0.5160,0.4980,-0.0030,1.6830,0.0030,0.2270,0.0770,0.3590,0.0010,0.0360,0.0500,0.0940,0.9176,0.0220,1.8230,,,0.2490,,0.0660,-0.1500,0.1070,13.5910,,,0.0000,0.0160,0.8140,,0.1460,4.9800,0.2300,0.0060,4.2050,1.6560,1.2590,5.8410,0.8240,1.9700,256620,370830
550038,0.0040,36.2820,0.6750,,16.6900,0.0130,,,0.0240,0.1530,0.2110,0.5270,0.0050,1.3730,0.0110,1.8050,0.0950,0.3280,0.0050,0.0640,0.0610,0.1300,0.8570,0.0700,0.0960,,,1.4550,,0.0350,0.9170,0.0810,38.8070,,,0.0040,0.0510,0.6670,,0.2570,0.7700,0.1530,0.0190,16.1260,0.4530,4.6610,9.3060,4.7030,7.8130,259920,373580
550039,0.0000,32.0880,0.5530,,8.3050,0.0090,,,0.0220,0.0850,0.1750,0.5890,0.0010,2.2810,0.0050,1.2260,0.0530,0.3700,0.0020,0.0350,0.0830,0.0640,1.0020,0.0620,0.1660,,,0.9010,,0.0230,0.7010,0.0440,36.8730,,,0.0010,0.0770,0.4800,,0.1350,2.1300,0.0910,0.0130,19.5240,0.3790,4.8780,9.1380,4.1150,7.9610,253510,374800
550040,-0.0020,18.4100,0.4730,,12.0840,0.0000,,,0.0200,0.0840,0.1670,0.3510,0.0020,0.6920,0.0050,0.3320,0.0910,0.3090,0.0020,0.1190,0.0230,0.1100,0.4230,0.0050,0.0490,,,0.4730,,0.0300,0.0810,0.0570,18.9680,,,0.0010,0.0080,0.1260,,0.1830,1.2300,0.0280,0.0050,6.0450,0.1560,2.1690,6.3880,4.1080,3.2540,253860,380420
550041,0.0010,61.6210,1.3340,,51.7310,0.0210,,,0.0300,0.2900,0.7600,0.5630,0.0050,4.7640,0.0110,1.8080,0.1320,0.5370,0.0060,0.3110,0.0510,0.1920,2.0420,0.0470,0.7830,,,1.5720,,0.0630,0.2430,0.0940,46.6970,,,0.0040,0.0270,0.4950,,0.2880,21.6100,0.1850,0.0090,10.1420,0.8440,3.3200,8.4720,3.6160,6.8750,245150,382110
550042,0.0020,68.8270,1.5910,,28.1280,0.0090,,,0.0260,0.3920,0.2990,0.3170,0.0040,1.7750,0.0100,1.0620,0.1820,0.5440,0.0030,0.0560,0.0510,0.1930,1.9160,0.0260,0.2440,,,0.9100,,0.0560,0.4320,0.0740,36.3630,,,0.0020,0.0490,0.2270,,0.2860,3.5600,0.1660,0.0070,10.5550,0.4810,2.5650,8.7680,2.1460,7.2450,244830,378080
550043,0.0100,27.2390,4.2810,,57.8170,0.0040,,,0.0100,0.2390,0.9530,0.2970,0.0100,4.2400,0.0060,11.6790,0.1390,0.3700,0.0030,0.4220,0.1900,0.1260,2.5110,0.6330,0.4750,,,6.7560,,0.0980,0.3510,0.1050,81.9780,,,0.0020,0.1460,0.4720,,0.1670,14.0400,0.1600,0.0170,35.7330,1.2080,4.5200,10.6120,2.9770,10.3950,246700,375730
550044,0.0090,180.5720,4.6210,,58.8620,-0.0020,,,0.0420,2.0170,3.7040,0.5230,0.0040,3.8110,0.0370,0.2000,0.5460,0.6570,0.0220,0.4960,0.0240,0.7060,1.9966,0.0110,0.6600,,,0.4600,,0.0260,-0.2630,0.1100,20.6660,,,0.0010,0.0790,0.1910,,0.9210,9.9300,0.4360,0.0030,4.0250,1.7040,1.5360,6.0330,1.8410,2.9130,247200,378070
550045,-0.0020,106.2230,1.1350,,38.9200,0.0220,,,0.0120,0.3540,0.7340,0.4660,0.0020,1.7520,0.0080,2.8390,0.1680,0.4680,0.0050,0.1910,0.0580,0.1980,2.2690,0.0380,0.1520,,,1.9380,,0.0710,0.6210,0.0440,81.2410,,,0.0030,0.0330,0.2410,,0.2910,2.5600,0.3180,0.0100,19.3370,0.9820,3.9050,9.1530,2.4880,5.4600,244290,380600
550046,-0.0010,66.9970,1.3250,,23.5690,0.0110,,,0.0100,0.2710,0.5250,0.4990,0.0030,2.9640,0.0110,0.8770,0.1440,0.4980,0.0050,0.0970,0.0660,0.1710,1.7030,0.0220,0.3460,,,0.9740,,0.0590,0.2700,0.0790,32.4500,,,0.0040,0.0200,0.2190,,0.3430,3.4300,0.2670,0.0040,7.9750,0.6880,2.5930,7.5000,3.1440,4.8870,245730,382300
550047,0.0040,106.0860,0.9710,,204.6370,0.0300,,,0.0220,0.4940,0.5290,0.9330,0.0090,2.7980,0.0120,5.2450,0.2900,1.1150,0.0060,0.1170,0.3450,0.3390,2.8350,0.1250,0.1580,,,3.7850,,0.0750,0.4050,0.0590,123.9480,,,0.0090,0.1900,1.2090,,0.4390,7.8400,0.3380,0.0160,32.1430,0.4610,5.6940,10.3770,4.5740,14.5960,250100,370580
550048,0.0030,66.2010,1.7540,,41.2710,0.0230,,,0.0200,0.5470,1.8520,0.5640,0.0030,1.5310,0.0160,1.0870,0.2230,0.3340,0.0120,0.4630,0.0470,0.2740,1.5270,0.0240,0.1350,,,1.2060,,0.0630,0.4050,0.0580,34.9930,,,0.0030,0.0450,0.1440,,0.4920,4.4000,0.3770,0.0060,11.6660,1.4350,1.9110,7.2600,1.9760,5.7230,255700,384720
550049,-0.0020,117.1140,2.7950,,39.6520,0.0040,,,0.0020,0.4760,0.5260,0.5380,-0.0040,2.8850,0.0120,1.5440,0.2750,0.7840,0.0070,0.0540,0.1030,0.3050,2.5143,0.0840,0.3000,,,1.7310,,0.0690,0.1130,0.0690,61.2020,,,-0.0010,0.0330,0.4640,,0.4070,0.7700,0.3650,0.0090,14.4780,1.4720,2.6330,7.5740,2.4800,5.6290,246190,381720
550050,0.0020,21.7280,2.1620,,30.8130,0.0060,,,0.0140,0.0970,0.8000,0.4240,0.0060,1.3800,0.0060,3.7630,0.0420,0.4120,0.0010,0.3500,0.1610,0.0670,1.9240,0.1200,0.1220,,,2.5380,,0.0660,-0.3510,0.0490,59.9380,,,0.0020,0.0960,0.3550,,0.1190,1.9800,0.1160,0.0140,24.2450,1.3300,7.0910,10.6050,4.5290,7.5420,249500,373600
550051,0.0010,38.9430,1.2510,,19.7250,0.0100,,,0.0160,0.2840,0.2590,0.3970,0.0010,1.5520,0.0110,1.1800,0.1550,0.5300,0.0060,0.0280,0.0310,0.1840,1.2600,0.0260,0.1570,,,1.0980,,0.0540,1.0790,0.0480,43.2480,,,0.0040,0.0760,0.1000,,0.2950,1.0100,0.1940,0.0090,15.4350,0.5840,2.0150,7.5310,2.5420,5.7760,257550,382700
550052,0.0000,24.9480,0.7610,,6.4740,0.0150,,,0.0140,0.0840,0.1740,0.5120,0.0010,2.3170,0.0060,0.9620,0.0390,0.2660,0.0030,0.0780,0.0690,0.0580,1.1180,0.0350,0.1900,,,0.8850,,0.0510,0.5400,0.0710,36.3450,,,0.0010,0.0150,0.3190,,0.1790,2.9400,0.1390,0.0070,14.9130,0.3660,3.3750,8.6330,3.4930,4.1930,256410,380240
550053,-0.0010,19.9820,0.6540,,8.1090,0.0040,,,0.0260,0.2140,0.7950,0.2190,0.0030,1.3470,0.0060,1.9970,0.0930,1.1400,0.0050,0.1040,0.0840,0.1100,3.0680,0.0410,0.2390,,,2.0610,,0.0400,0.8090,0.0750,159.1410,,,0.0060,0.1290,0.0260,,0.2250,3.5200,0.3030,0.0130,26.2040,1.1970,4.7870,10.8800,3.6820,8.0050,258820,409280
550054,0.0030,36.6790,0.4920,,9.7720,0.0060,,,0.0160,0.1240,0.2770,0.5430,0.0050,2.3280,0.0050,1.2870,0.0660,0.3590,0.0010,0.1620,0.1120,0.0890,1.1990,0.0430,0.4810,,,0.9610,,0.0270,0.6210,0.0540,42.3750,,,0.0020,0.1650,0.4510,,0.1870,2.6400,0.1060,0.0080,23.0060,0.4350,4.5290,8.5390,3.7830,7.0100,254420,375700
550055,0.0020,19.8810,1.8910,,68.3680,0.0020,,,0.0100,0.1370,0.4010,0.3120,0.0020,2.4970,0.0070,5.9040,0.0830,0.8620,0.0050,0.0270,0.1780,0.1140,2.5350,0.1370,0.0930,,,3.8990,,0.1100,1.1060,0.0580,137.2590,,,0.0000,0.1310,0.2170,,0.1660,6.1400,0.1800,0.0210,35.3900,0.4430,4.8720,12.3960,2.8940,13.3510,244730,375750
550056,-0.0060,97.9270,0.9060,,28.4280,0.0130,,,0.0510,1.0530,0.5820,0.3520,-0.0010,2.9400,0.0220,0.3920,0.6930,0.4560,0.0050,0.0830,0.0130,0.6080,2.0758,0.0200,0.6000,,,0.8560,,0.0300,-0.3430,0.0330,18.0580,,,-0.0030,0.0230,0.1790,,0.6040,2.8900,0.1680,0.0060,5.1000,0.8260,1.7610,7.0980,1.5930,5.2520,246870,383080
550057,-0.0050,89.9060,5.1670,,19.0070,-0.0110,,,0.0020,0.6730,3.7110,0.3100,-0.0050,0.6220,0.0130,0.0510,0.2110,0.4390,0.0020,0.9920,0.0170,0.2580,0.6987,0.0270,0.5480,,,0.1430,,0.0260,-0.6120,0.0950,22.4250,,,0.0020,0.0310,0.3720,,0.4400,2.8900,0.2460,0.0050,4.4780,5.8920,2.0800,5.0420,1.4740,1.4940,253780,382770
550058,0.0020,148.5580,1.2820,,24.9670,0.0180,,,0.0400,0.8530,0.9680,0.3700,0.0030,1.5470,0.0160,0.3100,0.2730,0.5840,0.0060,0.2090,0.0510,0.2820,2.0110,-0.0010,0.3510,,,0.4820,,0.0640,0.0000,0.1990,19.4980,,,0.0050,0.0590,0.2630,,0.4370,4.4200,0.1660,0.0060,4.4960,0.4860,1.9010,8.4940,2.1320,6.2170,246430,378900
550059,0.0000,26.0180,0.6500,,8.1730,0.0070,,,0.0120,0.0780,0.1690,0.4890,0.0020,0.9600,0.0050,0.6270,0.0420,0.3990,0.0020,0.0400,0.0610,0.0500,0.9410,0.0300,0.1540,,,0.4580,,0.0320,0.5670,0.1300,35.8880,,,0.0020,0.0300,0.2700,,0.1180,3.0100,0.0590,0.0070,15.7400,0.5970,4.3970,8.8940,4.9230,4.7300,258150,381260
550060,-0.0080,56.1820,0.7110,,12.2120,-0.0090,,,0.0160,0.2650,0.9290,0.3590,0.0000,1.1310,0.0080,0.2740,0.1060,0.3120,0.0040,1.2380,0.0570,0.1810,0.8418,0.0310,0.3900,,,0.5110,,0.0120,0.2680,0.0640,27.1780,,,0.0060,0.0780,0.3620,,0.3700,4.3800,0.2640,0.0040,13.8150,1.5580,4.9120,7.0800,3.5700,2.6460,259320,378070
550061,-0.0050,79.8890,3.0370,,42.3140,-0.0110,,,0.0190,0.5950,3.9840,0.2340,-0.0060,0.7060,0.0190,0.2740,0.2150,0.9290,0.0130,1.0950,0.0390,0.2630,1.5993,0.0350,0.1750,,,0.4450,,0.0460,0.2310,0.0640,42.9460,,,0.0000,0.0460,0.2930,,0.5820,5.9600,0.3040,0.0010,8.3330,2.5370,2.9290,5.9990,2.5310,2.4540,254430,383250
550062,-0.0010,24.3190,0.3330,,10.1280,0.0030,,,0.0020,0.0370,0.1420,0.2050,0.0030,2.0270,0.0030,1.2480,0.0250,0.5510,0.0020,0.0150,0.0710,0.0270,1.0170,0.0550,0.0850,,,0.8110,,0.0270,0.4860,0.0970,41.6510,,,0.0030,0.0100,0.3580,,0.0620,1.7300,0.0290,0.0160,18.6350,0.0970,5.0530,9.3740,5.8780,9.4140,255620,374380
550063,0.0000,47.3720,1.2520,,19.6690,0.0080,,,0.0260,0.2390,0.9500,0.4380,0.0020,0.9480,0.0090,0.3660,0.0910,0.6900,0.0050,0.4010,0.0330,0.1290,1.7940,0.0150,0.1000,,,0.4120,,0.0310,0.3510,0.0890,24.6120,,,0.0030,0.0710,0.2460,,0.2670,3.0500,0.0950,0.0070,7.8070,0.7650,2.8030,7.1720,2.8800,3.9230,251800,377230
550064,-0.0080,111.6840,5.1510,,70.9060,0.0000,,,0.0100,0.4950,1.0680,0.5420,-0.0030,1.8990,0.0270,0.4680,0.1800,0.6800,0.0110,0.5360,0.0320,0.3530,0.9209,0.1000,0.6650,,,0.5730,,0.0460,-0.5790,0.1050,24.1560,,,-0.0010,0.0410,1.1000,,0.7600,4.0600,0.6480,0.0050,12.6400,5.3560,1.6880,6.2540,2.0550,1.9830,255590,380700
