Year,"All cancers (C00–C96, D45–D47) No.","All cancers (C00–C96, D45–D47) Rate","Lip, Oral Cavity and Pharynx (C00–C14) No.","Lip, Oral Cavity and Pharynx (C00–C14) Rate",Oesophagus (C15) No.,Oesophagus (C15) Rate,Stomach (C16) No.,Stomach (C16) Rate,Colorectum and anus (C18–C21) No.,Colorectum and anus (C18–C21) Rate,Liver and intrahepatic bile ducts (C22) No.,Liver and intrahepatic bile ducts (C22) Rate,Pancreas (C25) No.,Pancreas (C25) Rate,Lung (C33–C34)No.,Lung (C33–C34) Rate,Melanoma (C43) No.,Melanoma (C43) Rate,Prostate (C61) No.,Prostate (C61) Rate,Testis (C62) No.,Testis (C62) Rate,"Kidney (C64–C66, C68) No.","Kidney (C64–C66, C68) Rate",Bladder (C67) No.,Bladder (C67) Rate,Brain (C71) No.,Brain (C71) Rate,Thyroid (C73) No.,Thyroid (C73) Rate,Hodgkin Lymphoma (C81) No.,Hodgkin Lymphoma (C81) Rate,"Non-Hodgkin Lymphoma (C82–C85, C96)   No.","Non-Hodgkin Lymphoma (C82–C85, C96)   Rate",Myeloma (C90) No.,Myeloma (C90) Rate,Leukaemia (C91–C95)  No.,Leukaemia (C91–C95)  Rate
1963,2044,178.3,26,2.3,44,3.9,241,20.9,271,23.9,53,4.5,119,10.4,466,39.9,29,2.5,230,21.3,16,1.5,49,4.1,63,5.5,69,5.7,5,0.5,26,2.2,63,5.4,31,2.7,105,8.8
1964,1962,168.2,42,3.6,48,4.3,230,19.7,259,22.5,42,3.5,121,10.4,476,40.1,25,2.2,181,16.4,13,1.2,46,3.9,81,7.3,56,4.3,9,0.8,21,1.8,51,4.2,14,1.2,95,7.7
1965,2034,173.7,38,3.2,48,4.1,229,19.8,325,28.1,41,3.5,106,9,488,40.6,34,2.9,197,18.3,21,1.7,42,3.4,65,5.8,62,4.9,5,0.5,28,2.3,48,4,24,2,85,6.8
1966,2067,172.7,38,3.2,62,5.3,232,19.6,279,23.6,43,3.5,97,8.2,539,44,24,2,199,17.9,14,1.2,44,3.6,65,5.7,59,4.5,6,0.5,35,2.9,46,3.8,30,2.5,88,6.9
1967,2037,168.9,29,2.4,64,5.2,235,19.8,287,24.1,51,4.2,107,9,509,41.3,40,3.3,196,17.5,17,1.4,48,3.8,73,6.2,58,4.3,0,0,26,2.1,44,3.5,22,1.9,87,7
1968,2225,181.1,34,2.8,55,4.6,223,18.4,321,26.6,21,1.7,92,7.4,627,49.8,40,3.3,212,18.8,17,1.3,63,5.1,78,6.5,44,3.3,5,0.4,38,3,47,3.8,29,2.4,93,7.1
1969,2282,184.5,43,3.5,51,4.2,234,19.2,313,25.4,28,2.1,106,8.7,645,50.7,55,4.3,204,18.5,16,1.4,46,3.6,62,5.3,74,5.5,6,0.5,24,2,59,4.8,28,2.2,97,7.6
1970,2436,194.9,54,4.3,63,5.1,240,19.6,373,30.1,29,2.3,119,9.5,680,52.6,36,2.8,233,20.7,17,1.4,57,4.5,69,5.6,60,4.4,5,0.5,29,2.4,56,4.3,33,2.7,83,6.4
1971,2479,195.2,59,4.5,55,4.3,199,16,373,29.8,37,2.8,120,9.3,680,51.5,41,3.2,229,20.2,22,1.7,55,4.3,80,6.7,61,4.4,10,0.8,22,1.6,77,6,34,2.6,115,8.8
1972,2411,186.2,47,3.8,56,4.3,203,15.9,370,28.7,28,2.1,123,9.5,636,47.2,44,3.3,226,19.5,11,0.8,56,4.3,88,7,78,5.7,10,0.8,31,2.4,72,5.3,36,2.9,100,7.5
1973,2567,195,49,3.6,71,5.4,240,18.8,339,26.3,26,1.9,116,8.7,698,50.8,44,3.2,260,22.4,18,1.3,45,3.3,81,6.6,80,5.6,2,0.2,28,2.1,70,5,25,1.9,103,7.4
1974,2682,200.6,42,3.2,86,6.5,227,17.6,397,29.8,38,2.9,117,8.4,762,54.6,38,2.8,281,23.9,19,1.3,61,4.4,83,6.5,71,4.8,7,0.5,15,1.1,69,5,40,3,109,8
1975,2726,200.3,57,4.1,82,5.8,215,15.8,391,29,32,2.3,145,10.5,789,55.7,63,4.4,265,22.3,14,1,63,4.5,76,6.1,77,5.1,9,0.7,23,1.6,77,5.7,36,2.8,115,8.1
1976,2815,200.4,50,3.4,82,5.7,244,18.1,382,27.7,32,2.2,138,9.8,844,57.8,61,4.3,251,20,17,1.2,53,3.7,104,7.8,84,5.5,7,0.5,17,1.2,75,5.1,39,2.8,105,7.3
1977,2848,200.3,64,4.3,83,5.8,213,15.3,417,29.8,32,2.2,142,10.1,827,56.1,71,4.8,270,21,21,1.5,59,4,90,6.7,81,5.4,6,0.5,15,1,80,5.5,46,3.5,115,8
1978,2801,194.3,74,4.9,77,5.4,201,13.6,419,29.6,47,3.1,139,9.3,811,54.9,52,3.6,249,19.1,13,0.9,70,4.8,109,7.8,83,5.5,3,0.2,14,0.9,69,4.8,41,2.8,98,6.8
1979,2901,197.6,56,3.7,65,4.2,228,15.4,416,28.8,42,2.9,133,8.9,859,56.8,68,4.6,278,20.8,19,1.3,56,3.8,80,5.8,97,6.3,6,0.4,12,0.8,77,5.1,32,2.3,109,7.3
1980,2952,198.4,57,3.8,75,5.2,198,13.3,451,30.9,32,2.1,137,9,868,56.4,74,5.1,311,22.4,16,1,66,4.1,81,5.6,85,5.6,10,0.6,23,1.5,60,4,40,2.8,112,7.6
1981,3061,202.6,68,4.5,86,5.4,227,15.1,432,28.7,42,2.8,129,8.4,889,57.3,74,5,293,20.2,10,0.7,82,5.4,111,7.8,84,5.4,9,0.6,11,0.8,76,5,37,2.4,118,8.2
1982,3076,199.3,80,5.1,101,6.3,231,14.9,440,28.4,38,2.4,135,8.6,844,53.4,84,5.5,289,20.3,18,1.2,70,4.4,96,6.3,93,6,6,0.4,14,0.9,81,5.3,54,3.7,94,6.2
1983,3166,200.4,64,4,77,4.8,195,12.3,476,30.7,31,1.9,141,8.6,948,58.3,80,4.9,325,21.8,10,0.6,74,4.6,86,5.8,96,6,8,0.5,25,1.6,70,4.5,38,2.3,122,7.7
1984,3237,202.7,69,4.2,75,4.7,200,12.8,495,31.3,53,3.5,140,8.7,975,59.4,90,5.6,335,21.5,14,0.8,81,5,83,5.2,86,5.3,1,0.1,11,0.7,65,4.1,46,2.9,108,7
1985,3318,204.5,74,4.5,101,6.2,206,12.8,515,31.9,42,2.5,138,8.3,866,52.6,100,6.3,351,22.5,8,0.5,91,5.5,90,5.6,103,6.3,8,0.5,13,0.8,94,5.7,59,3.5,103,6.4
1986,3364,200.9,75,4.5,85,5,214,12.8,489,29.6,40,2.5,144,8.4,949,55.5,88,5.3,360,22.1,10,0.6,76,4.5,96,5.9,84,5.1,4,0.2,18,1.1,98,5.9,70,4.2,116,6.9
1987,3375,198.5,72,4.2,107,6.2,215,12.8,454,27.1,63,3.7,135,7.9,950,54.7,83,5,365,21.5,13,0.8,70,4.2,100,6.1,83,5,8,0.5,14,0.9,93,5.4,62,3.7,111,6.6
1988,3444,200.6,81,4.7,104,5.9,185,10.9,497,29.1,57,3.3,152,8.7,892,51.2,101,5.8,402,23.7,9,0.5,72,4.1,104,6.3,101,6,3,0.2,14,0.8,95,5.6,50,3,142,8.3
1989,3492,199.6,88,5,114,6.4,180,10.3,525,30.1,64,3.7,133,7.5,896,50.5,95,5.5,425,24.5,14,0.8,83,4.7,106,6,76,4.4,4,0.2,11,0.6,105,6.2,55,3.2,136,8
1990,3548,199,67,3.7,111,6.2,186,10.3,517,29.3,53,3,153,8.5,903,50,115,6.5,436,24.5,6,0.3,65,3.7,101,5.6,95,5.5,6,0.3,4,0.2,134,7.6,61,3.4,120,6.9
1991,3541,195.1,73,4,114,6.3,199,11,551,30.6,55,3,150,8.2,869,47.1,109,6.2,423,23.1,12,0.7,70,3.8,95,5.2,125,7.1,5,0.3,7,0.4,103,5.7,56,3.1,116,6.4
1992,3771,201.7,63,3.4,111,5.9,201,10.6,573,30.9,58,3.2,140,7.3,947,50,99,5.5,478,25.5,6,0.3,78,4.2,94,5,108,6.1,9,0.5,10,0.5,128,6.9,70,3.6,153,8.5
1993,3812,199.8,59,3.1,140,7.2,171,9.1,547,28.6,67,3.6,147,7.6,892,46.1,112,6,520,26.9,11,0.6,99,5.3,105,5.5,111,6,12,0.6,13,0.7,117,6.3,57,3,149,8
1994,3834,196.3,59,3.1,139,7,140,7.2,591,30.4,58,3.1,139,7.2,919,46.3,114,6,517,25.8,9,0.5,90,4.7,115,5.9,110,5.9,5,0.3,7,0.4,133,6.8,61,3.1,134,7
1995,3918,196.9,73,3.7,148,7.4,152,7.6,573,29,78,3.9,143,7.2,892,44.3,126,6.5,554,27.3,5,0.3,95,4.9,115,5.8,73,3.8,7,0.3,10,0.6,120,6,55,2.7,140,7.3
1996,3872,189.3,86,4.3,124,6,176,8.7,587,28.8,65,3.3,131,6.3,904,43.8,107,5.3,502,24,5,0.3,89,4.4,111,5.3,107,5.5,7,0.4,7,0.4,145,7.2,54,2.6,141,7.1
1997,3834,179.6,61,2.9,144,6.7,156,7.1,575,26.8,78,3.8,139,6.6,882,40.8,121,5.8,525,24.3,3,0.2,78,3.7,110,5,125,6.2,5,0.2,12,0.6,144,6.7,87,4,135,6.6
1998,3911,178.5,54,2.5,104,4.7,183,8.4,569,25.8,87,4.1,165,7.6,855,38.8,143,6.6,524,23.3,5,0.2,108,5.1,116,5.2,112,5.4,5,0.2,9,0.4,150,7,77,3.5,133,6.2
1999,4063,181.3,70,3.2,113,5,206,9.3,580,26,91,4.1,149,6.6,874,38.6,146,6.7,552,23.8,10,0.5,97,4.4,114,5,130,6.2,9,0.4,9,0.4,181,8.3,75,3.3,159,7.3
2000,4120,178.1,98,4.3,127,5.5,186,8,571,24.6,99,4.4,168,7.3,860,37,155,7,594,24.9,7,0.4,89,3.9,103,4.3,128,6,6,0.3,5,0.2,163,7.1,79,3.4,165,7.3
2001,4166,175.7,81,3.5,136,5.6,195,8.2,606,24.2,76,3.4,137,5.7,841,35.1,156,6.7,592,24.1,11,0.6,107,4.6,112,4.6,130,6,7,0.3,9,0.4,170,7.3,83,3.4,136,5.9
2002,4125,168.9,83,3.5,118,4.8,189,7.7,590,24.2,94,4,150,6.2,866,35.1,149,6.3,591,23.3,9,0.4,102,4.2,128,5.1,136,6.1,6,0.3,7,0.3,137,5.7,73,3,128,5.4
2003,4292,170.1,93,3.8,129,5.1,206,8.1,561,22.2,100,4.1,153,6.3,848,33.4,174,7.1,556,21,14,0.7,117,4.6,120,4.6,142,6,8,0.3,12,0.5,177,7.2,91,3.6,158,6.5
2004,4246,164.1,66,2.7,132,5.2,186,7.4,570,21.8,119,4.7,172,6.7,929,35.9,152,6.1,583,21.5,5,0.3,121,4.7,124,4.6,130,5.4,10,0.4,9,0.4,136,5.4,76,2.9,146,5.8
2005,4184,156.6,88,3.4,130,4.9,143,5.4,608,22.6,95,3.7,180,6.9,864,32.3,156,6.1,564,19.9,10,0.5,115,4.3,121,4.4,132,5.5,7,0.2,11,0.4,155,5.9,86,3.2,159,6.1
2006,4144,151.3,80,3,129,4.7,161,5.9,565,20.5,131,4.9,155,5.6,798,29.2,173,6.4,559,19.4,4,0.2,106,3.9,146,5.2,148,5.9,11,0.4,11,0.4,168,6.2,76,2.8,170,6.4
2007,4539,159.4,81,2.9,164,5.8,184,6.5,644,22.6,144,5.3,212,7.5,864,30.3,178,6.4,574,19,9,0.4,122,4.3,118,4,123,4.9,6,0.2,18,0.7,164,5.9,98,3.4,172,6.2
2008,4561,154.9,88,3.1,154,5.2,173,5.9,693,23.5,124,4.5,176,6.1,889,30.1,202,7.2,670,21.5,7,0.3,115,4,134,4.3,109,4,13,0.5,12,0.4,150,5.2,96,3.2,157,5.6
2009,4402,145.4,83,2.9,163,5.4,164,5.5,634,20.9,130,4.5,211,7,876,28.8,213,7.2,562,17.3,4,0.1,130,4.4,144,4.5,118,4.4,6,0.2,12,0.5,148,5,66,2.2,145,5
2010,4511,143.9,90,3,139,4.4,158,5.3,618,19.6,142,4.8,220,7.1,893,28.7,199,6.5,589,17.4,10,0.5,137,4.5,126,3.7,142,5.1,4,0.1,8,0.3,135,4.3,94,3,172,5.7
2011,4650,143.3,81,2.7,174,5.5,193,6,602,18.4,164,5.3,219,6.8,909,28,243,7.8,585,16.5,1,0,128,4,126,3.8,136,4.9,13,0.4,9,0.3,155,4.7,115,3.5,191,6.1
2012,4735,143.4,74,2.4,161,4.9,179,5.5,664,20.1,154,4.9,229,6.8,891,27.1,222,6.8,607,17,7,0.3,141,4.3,133,3.8,183,6.4,12,0.4,10,0.3,153,4.9,96,2.9,198,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: New Zealand Mortality Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rates are expressed per 100,000 population and age-standardised to the World Health Organisation world standard population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank areas indicate information is not available for that cancer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See coding information for full details of sites included in each ICD code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
