Quarter Year,Detached Simple Mean Price,Detached Simple Median Price,Detached Standardised Price,SemiDetached Simple Mean Price,SemiDetached Simple Median Price,SemiDetached Standardised Price,Terrace Simple Mean Price,Terrace Simple Median Price,Terrace Standardised Price,Apartment Simple Mean Price,Apartment Simple Median Price,Apartment Standardised Price,All Properties Simple Mean Price,All Properties Simple Median Price,All Properties Standardised Price,,,,,,,,,,,,,,,,,,,,,,,
Q4 2010,199035,176250,189961,127107,120000,120574,90307,80000,84997,113593,100000,101364,135161,120000,124515,,,,,,,,,,,,,,,,,,,,,,,
Q1 2011,194650,171518,184006,118246,115000,114346,84027,75000,79991,112461,105000,102214,127212,111500,119024,,,,,,,,,,,,,,,,,,,,,,,
Q2 2011,184177,166750,176437,118231,115000,114662,82253,72500,79621,101060,90000,97074,124741,112000,117142,,,,,,,,,,,,,,,,,,,,,,,
Q3 2011,186059,167000,178981,116621,112000,111763,82192,73000,76495,105485,97500,96255,126039,111500,115108,,,,,,,,,,,,,,,,,,,,,,,
Q4 2011,180878,158500,175236,115530,109950,108931,77180,68000,73925,100539,90000,91486,121574,106000,111871,,,,,,,,,,,,,,,,,,,,,,,
Q1 2012,175069,160000,162141,111009,110000,105860,70798,63500,67865,91572,80000,81648,115416,100000,104712,,,,,,,,,,,,,,,,,,,,,,,
Q2 2012,165774,148500,163200,106196,100000,102095,74207,65000,69838,92694,79950,85139,112170,98500,104987,,,,,,,,,,,,,,,,,,,,,,,
Q3 2012,168892,150000,157938,107454,101000,100674,74273,65000,68018,91845,80000,79274,115990,100000,102086,,,,,,,,,,,,,,,,,,,,,,,
Q4 2012,167288,150000,153053,102428,95000,98549,71339,62500,66252,87674,76000,79297,112029,96000,99647,,,,,,,,,,,,,,,,,,,,,,,
Q1 2013,167502,150000,152823,102719,95000,97337,70894,61000,63755,83456,75000,73121,110511,95000,97428,,,,,,,,,,,,,,,,,,,,,,,
Q2 2013,167237,150000,156013,105403,97500,97504,70504,60000,65853,86162,74950,74616,112360,98000,99229,,,,,,,,,,,,,,,,,,,,,,,
Q3 2013,170347,153000,157931,108020,102500,99945,74382,63000,67648,82671,71000,74224,116049,102750,101165,,,,,,,,,,,,,,,,,,,,,,,
Q4 2013,169358,150000,157398,107739,102000,99875,74469,65500,68263,89670,80500,79974,116097,102500,101879,,,,,,,,,,,,,,,,,,,,,,,
Q1 2014,172053,150000,159004,108927,100000,102054,75325,65000,69893,91499,79600,79394,117311,100000,103570,,,,,,,,,,,,,,,,,,,,,,,
Q2 2014,180404,160000,164697,112607,107000,105351,78966,69500,72170,92301,85000,81723,122756,109000,107031,,,,,,,,,,,,,,,,,,,,,,,
Q3 2014,181430,162570,165945,115462,109950,107582,82059,71250,73904,95391,85000,85423,125288,111000,109116,,,,,,,,,,,,,,,,,,,,,,,
Q4 2014,184403,162500,169123,115272,109950,109038,81132,72000,74778,102784,90000,86727,126335,110000,110750,,,,,,,,,,,,,,,,,,,,,,,
Q1 2015,176552,158000,168049,116594,110000,109217,81207,72000,75454,99591,86000,87387,122918,110000,110940,,,,,,,,,,,,,,,,,,,,,,,
Q2 2015,185239,163500,173147,119845,115000,112980,82018,74725,77196,98460,91828,91296,127046,114975,114340,,,,,,,,,,,,,,,,,,,,,,,
Q3 2015,194310,170000,177887,123674,116000,115958,90304,79000,80115,101783,94975,93018,135829,120000,117716,,,,,,,,,,,,,,,,,,,,,,,
Q4 2015,189623,170000,180308,123032,115000,115467,89634,79950,81625,98237,89700,93433,131331,116500,118721,,,,,,,,,,,,,,,,,,,,,,,
Q1 2016,191245,170000,180599,118201,112950,113947,85158,75000,81538,98599,89000,97810,126059,110000,118702,,,,,,,,,,,,,,,,,,,,,,,
Q2 2016,188246,166000,183812,125107,117000,119615,90951,81000,85686,101536,95250,100613,133992,119950,123241,,,,,,,,,,,,,,,,,,,,,,,
