objectid,pghdbsdeZoningarea,perimeter,zoning_,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status
937,191245.669036,1838.326143,0,0,RP,1838.326143,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
938,70209.876359,1109.351098,0,0,CP,1109.351098,,COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
939,64996.459796,1553.86108,0,0,RP,1553.86108,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
940,238626.486748,2396.941897,0,0,R2-H,2396.941897,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
941,122348.967867,1420.375492,0,0,P,1420.375492,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
942,3244454.942087,10966.487372,0,0,R1D-M,10966.487372,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
943,1026599.036005,5985.160566,0,0,RM-M,5985.160566,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
944,1851123.648807,9245.033077,265,265,R1D-H,9245.033077,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
945,32059.334357,798.051747,0,0,LNC,798.051747,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
946,2878964.813085,11170.735347,1032,1032,R1D-L,39957.168928,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
961,851176.192831,5203.683436,0,0,R1D-M,0,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
