SAMPLE_NO,YEAR,LABNO,EASTING,NORTHING,TIO2,V,CO,GA,RB,SR,Y,ZR,NB,BI,TH,AG,CS,LA
551395,1995,4142,231060,382100,0.807,64.0,39.0,14.0,80.0,218.0,35.0,748.0,16.9,0.25,7.70,0.50,0.5,62.0
551396,1996,5609,199650,352240,0.648,117.0,24.0,15.0,67.0,317.0,24.0,326.0,14.0,0.25,8.60,0.50,0.5,36.0
551397,1995,4142,232400,384100,0.921,78.0,21.0,16.0,83.0,104.0,33.0,822.0,19.1,0.25,9.80,0.50,0.5,62.0
551398,1995,4142,237020,382400,1.057,100.0,41.0,19.0,99.0,130.0,35.0,631.0,20.4,0.25,10.90,0.50,0.5,68.0
551399,1995,4142,236280,368520,1.189,79.0,14.0,15.0,82.0,126.0,24.0,937.0,19.2,0.25,11.40,0.50,0.5,42.0
551400,1995,4142,235600,378780,0.903,69.0,11.0,14.0,96.0,99.0,29.0,691.0,18.2,0.50,10.70,0.50,0.5,36.0
551401,1996,5609,212200,343050,0.775,100.0,37.0,16.0,93.0,86.0,22.0,838.0,19.5,0.25,10.00,1.00,0.5,40.0
551402,1996,5609,198300,346280,0.675,70.0,21.0,11.0,49.0,307.0,22.0,437.0,14.0,0.25,7.90,0.50,0.5,45.0
551403,1996,5609,208450,351340,0.322,36.0,7.0,9.0,41.0,399.0,14.0,136.0,11.4,0.25,6.00,0.50,2.0,19.0
551404,1996,5609,209690,341490,0.406,45.0,10.0,8.0,41.0,68.0,15.0,662.0,12.3,0.25,6.60,0.50,1.0,22.0
551405,1996,5609,210750,348600,0.396,40.0,11.0,9.0,44.0,259.0,15.0,885.0,13.2,0.50,6.90,0.50,0.5,22.0
551406,1996,5609,200980,346620,0.528,60.0,18.0,9.0,50.0,98.0,22.0,808.0,13.5,0.25,7.40,0.50,0.5,31.0
551408,1996,5609,210850,349570,0.774,83.0,16.0,15.0,82.0,141.0,23.0,400.0,15.5,0.25,9.10,0.50,0.5,42.0
551409,1996,5609,205030,351280,0.563,35.0,9.0,8.0,49.0,129.0,20.0,1352.0,14.5,0.25,8.90,0.50,0.5,22.0
551411,1996,5609,199920,347990,0.523,84.0,13.0,10.0,37.0,250.0,43.0,137.0,11.9,0.25,7.50,0.50,0.5,89.0
551412,1996,5609,200800,346180,0.486,56.0,16.0,10.0,53.0,205.0,22.0,1520.0,13.7,0.80,7.70,0.50,0.5,28.0
551413,1996,5609,211060,350860,0.718,69.0,15.0,14.0,75.0,170.0,22.0,429.0,15.8,0.25,8.30,0.50,0.5,34.0
551414,1996,5609,202310,347400,0.575,45.0,24.0,8.0,50.0,53.0,14.0,1225.0,14.1,0.25,7.40,0.50,0.5,22.0
551415,1996,5609,200640,352390,0.668,95.0,14.0,15.0,61.0,295.0,22.0,378.0,14.4,0.25,8.10,1.00,3.0,25.0
551416,1996,5609,207330,340100,0.656,66.0,16.0,11.0,57.0,90.0,26.0,1115.0,15.1,0.25,9.00,0.50,2.0,35.0
551417,1996,5609,207650,341500,0.620,63.0,11.0,12.0,72.0,123.0,24.0,308.0,15.6,0.50,8.00,0.50,0.5,32.0
551418,1996,5609,198620,351520,0.635,67.0,18.0,11.0,48.0,256.0,18.0,975.0,14.5,0.50,8.10,0.50,1.0,25.0
551419,1996,5609,213880,339640,0.467,53.0,14.0,11.0,59.0,187.0,20.0,233.0,13.4,0.25,7.50,0.50,2.0,27.0
551420,1996,5609,205320,349120,0.442,44.0,16.0,9.0,45.0,154.0,20.0,466.0,12.3,0.25,6.50,0.50,0.5,28.0
551421,1996,5609,206380,344880,0.549,63.0,16.0,14.0,68.0,172.0,20.0,403.0,15.2,0.25,8.70,0.50,0.5,29.0
551423,1996,5609,211500,345520,0.586,95.0,19.0,17.0,79.0,214.0,20.0,233.0,14.5,0.25,9.50,0.50,1.0,33.0
551424,1996,5609,206750,350950,0.727,77.0,19.0,14.0,75.0,80.0,20.0,691.0,15.8,0.25,9.40,0.50,0.5,38.0
551425,1996,5609,214150,348670,0.737,66.0,14.0,11.0,62.0,144.0,20.0,409.0,13.3,0.25,7.00,0.50,,39.0
551426,1996,5609,193830,352680,0.724,93.0,22.0,17.0,101.0,219.0,23.0,406.0,17.3,0.25,9.30,0.50,5.0,44.0
551427,1996,5609,200200,349260,0.616,48.0,11.0,10.0,59.0,122.0,21.0,1273.0,15.6,0.90,8.60,0.50,0.5,29.0
551428,1996,5609,212750,338850,0.682,88.0,13.0,17.0,95.0,242.0,18.0,287.0,17.1,0.25,10.00,0.50,3.0,38.0
551429,1996,5609,206520,347920,0.605,54.0,29.0,8.0,34.0,53.0,18.0,1534.0,13.2,0.50,7.40,0.50,0.5,34.0
551430,1996,5609,200450,348250,0.591,45.0,13.0,9.0,48.0,128.0,22.0,1877.0,15.3,0.80,8.60,0.50,0.5,29.0
551431,1996,5609,199100,350570,0.712,66.0,10.0,14.0,81.0,156.0,24.0,492.0,17.8,0.25,10.30,0.50,0.5,38.0
551432,1996,5609,195800,349380,0.479,28.0,7.0,6.0,33.0,74.0,18.0,2851.0,12.3,1.20,7.40,0.50,0.5,20.0
551433,1996,5609,203660,349300,0.687,87.0,20.0,12.0,44.0,130.0,14.0,807.0,14.3,0.25,7.70,0.50,0.5,36.0
551435,1996,5609,210140,350880,0.543,59.0,14.0,12.0,55.0,210.0,22.0,494.0,13.3,0.25,7.40,1.00,0.5,38.0
551436,1996,5609,211910,344650,0.559,65.0,80.0,9.0,45.0,57.0,20.0,1058.0,12.7,0.80,7.30,0.50,,37.0
551437,1996,5609,208840,341720,0.591,57.0,31.0,9.0,45.0,51.0,18.0,1007.0,13.4,0.25,7.40,0.50,,29.0
551438,1996,5609,214470,344720,0.816,102.0,19.0,20.0,102.0,304.0,18.0,181.0,18.8,0.25,10.40,0.50,2.0,44.0
551439,1996,5609,213430,338900,0.708,84.0,16.0,14.0,93.0,166.0,21.0,656.0,16.1,0.25,8.90,0.50,0.5,42.0
551440,1996,5609,206900,345910,0.580,33.0,6.0,7.0,35.0,37.0,18.0,2179.0,13.4,0.25,7.80,0.50,1.0,26.0
551441,1996,5609,195300,348530,0.577,149.0,47.0,11.0,58.0,144.0,29.0,94.0,11.9,0.25,6.80,0.50,,57.0
551442,1996,5609,204070,349630,0.622,76.0,32.0,11.0,55.0,104.0,24.0,398.0,13.0,0.25,7.10,0.50,,42.0
551443,1996,5609,203400,348400,0.566,41.0,11.0,8.0,46.0,48.0,14.0,1321.0,14.8,0.25,7.40,0.50,0.5,24.0
551444,1996,5609,204980,348410,0.914,118.0,11.0,17.0,78.0,86.0,18.0,129.0,18.4,0.25,8.80,0.50,1.0,53.0
551445,1996,5609,195200,349350,0.442,41.0,13.0,8.0,43.0,167.0,20.0,560.0,11.7,0.25,6.30,0.50,1.0,26.0
551446,1996,5609,197800,348750,0.557,38.0,16.0,8.0,39.0,57.0,20.0,1957.0,13.1,0.25,7.50,0.50,0.5,28.0
551447,1996,5609,206850,353010,0.916,137.0,24.0,25.0,81.0,190.0,25.0,155.0,20.3,0.25,12.00,0.50,0.5,56.0
551448,1996,5609,210420,351790,0.788,95.0,14.0,19.0,117.0,261.0,22.0,244.0,17.5,0.25,10.20,1.00,2.0,41.0
551449,1996,5609,198000,349250,0.552,67.0,16.0,8.0,32.0,259.0,14.0,239.0,11.8,0.25,5.50,0.50,0.5,39.0
551450,1996,5609,203800,352490,0.670,82.0,21.0,14.0,70.0,640.0,24.0,648.0,16.2,0.90,8.50,0.50,1.0,38.0
551451,1996,5609,213720,350870,0.618,50.0,13.0,12.0,81.0,152.0,18.0,423.0,13.4,0.25,7.10,0.50,0.5,30.0
551452,1996,5609,212190,347100,0.405,51.0,11.0,11.0,53.0,352.0,16.0,145.0,12.3,0.25,6.90,0.50,1.0,20.0
551453,1996,5609,199600,349450,0.556,28.0,8.0,7.0,33.0,60.0,22.0,3042.0,13.6,1.10,7.90,0.50,0.5,27.0
551454,1996,5609,210590,339490,0.394,49.0,9.0,8.0,45.0,111.0,15.0,202.0,11.3,0.25,6.30,0.50,0.5,20.0
551455,1996,5609,203290,347280,0.899,85.0,16.0,17.0,92.0,67.0,22.0,885.0,19.6,0.25,10.90,0.50,0.5,46.0
551456,1996,5609,200930,351780,0.761,89.0,14.0,11.0,44.0,94.0,22.0,155.0,12.6,0.25,6.60,0.50,3.0,41.0
551457,1996,5609,208910,344650,0.505,20.0,1.0,5.0,17.0,25.0,11.0,1229.0,11.4,0.25,4.90,0.50,0.5,16.0
551458,1996,5609,205500,348690,0.771,64.0,8.0,10.0,48.0,75.0,16.0,714.0,16.2,0.25,7.80,0.50,1.0,36.0
551459,1996,5609,210510,343930,0.615,86.0,42.0,14.0,73.0,59.0,17.0,333.0,15.3,0.25,8.30,0.50,0.5,34.0
551460,1996,5609,209900,349320,0.495,64.0,15.0,13.0,75.0,241.0,15.0,174.0,14.3,0.50,7.30,0.50,3.0,29.0
551461,1996,5609,210870,352710,0.687,66.0,14.0,12.0,61.0,122.0,20.0,361.0,14.0,0.25,7.70,0.50,0.5,35.0
551462,1996,5609,210250,339400,0.489,59.0,11.0,9.0,45.0,80.0,21.0,671.0,12.1,0.25,7.40,0.50,2.0,27.0
551463,1996,5609,200300,349910,0.852,118.0,18.0,21.0,104.0,181.0,23.0,282.0,18.0,0.25,11.10,0.50,5.0,49.0
551464,1996,5609,220780,345900,0.289,25.0,4.0,7.0,32.0,482.0,11.0,213.0,10.3,0.25,5.50,1.00,0.5,12.0
551465,1996,5609,208430,342890,0.700,104.0,59.0,12.0,52.0,87.0,18.0,164.0,13.2,0.25,7.40,1.00,,43.0
551466,1996,5609,209240,343180,0.526,59.0,25.0,11.0,53.0,164.0,18.0,655.0,14.2,0.25,7.20,0.50,0.5,26.0
551469,1996,5609,211440,341700,0.696,107.0,24.0,18.0,115.0,188.0,21.0,357.0,18.0,0.70,9.90,1.00,5.0,35.0
551470,1996,5609,210530,343200,0.442,45.0,16.0,8.0,39.0,80.0,16.0,941.0,12.3,0.25,7.00,0.50,0.5,22.0
551471,1996,5609,207600,345870,0.543,29.0,3.0,7.0,31.0,31.0,15.0,1423.0,12.7,0.50,6.70,0.50,0.5,18.0
551472,1996,5609,207760,342620,0.509,110.0,11.0,14.0,57.0,55.0,37.0,67.0,11.3,0.25,7.30,0.50,2.0,77.0
551473,1996,5609,204800,347900,0.766,107.0,27.0,17.0,104.0,102.0,23.0,401.0,18.0,0.25,10.30,0.50,0.5,42.0
551474,1996,5609,213830,352190,0.504,32.0,8.0,10.0,63.0,145.0,14.0,523.0,12.1,0.50,6.40,0.50,0.5,22.0
551476,1996,5609,202110,349200,0.533,42.0,14.0,8.0,40.0,98.0,17.0,860.0,13.2,0.25,7.20,0.50,0.5,28.0
551477,1996,5609,205300,350200,0.582,82.0,11.0,14.0,67.0,395.0,20.0,355.0,14.1,0.25,9.50,0.50,3.0,29.0
551479,1996,5609,211460,348000,0.649,93.0,27.0,13.0,72.0,168.0,17.0,103.0,13.0,0.25,6.90,0.50,0.5,45.0
551480,1996,5609,209090,338900,0.437,40.0,7.0,7.0,34.0,88.0,14.0,374.0,11.4,0.25,5.10,0.50,0.5,21.0
551481,1996,5609,202110,349200,0.465,34.0,13.0,6.0,26.0,100.0,13.0,1108.0,11.6,0.25,6.40,0.50,0.5,21.0
551482,1996,5609,204110,346750,0.556,30.0,4.0,8.0,42.0,38.0,15.0,1293.0,13.7,0.50,7.30,0.50,0.5,23.0
551483,1996,5609,204000,342690,0.621,56.0,21.0,10.0,47.0,202.0,20.0,717.0,14.8,0.25,7.70,0.50,0.5,32.0
551484,1996,5609,206220,345570,0.541,41.0,27.0,8.0,38.0,58.0,17.0,1168.0,12.9,0.25,6.90,0.50,,26.0
551485,1996,5609,204370,352570,0.843,139.0,25.0,17.0,88.0,335.0,20.0,284.0,16.2,0.25,9.70,0.50,2.0,42.0
551487,1996,5609,202150,346800,0.705,71.0,21.0,14.0,77.0,189.0,22.0,838.0,17.4,0.60,8.70,0.50,0.5,39.0
551488,1996,5609,209600,343520,0.735,97.0,16.0,19.0,119.0,119.0,24.0,252.0,20.4,0.25,10.50,0.50,2.0,41.0
551490,1996,5609,210920,342660,0.631,70.0,16.0,14.0,70.0,145.0,23.0,372.0,16.3,0.25,9.40,1.00,1.0,33.0
551491,1996,5609,202650,342610,0.826,58.0,24.0,10.0,43.0,86.0,18.0,808.0,16.9,0.25,8.90,0.50,0.5,37.0
551492,1996,5609,199130,346750,0.612,65.0,14.0,11.0,54.0,439.0,23.0,631.0,13.5,0.25,7.10,0.50,0.5,38.0
551493,1996,5609,206490,345280,0.815,80.0,7.0,11.0,48.0,39.0,13.0,363.0,14.8,0.25,6.80,0.50,2.0,36.0
551494,1996,5609,203390,351080,0.576,77.0,15.0,15.0,89.0,404.0,16.0,157.0,14.4,0.25,8.00,0.50,2.0,28.0
551495,1996,5609,207500,344200,0.622,51.0,16.0,9.0,39.0,59.0,18.0,861.0,14.5,0.25,8.00,0.50,0.5,28.0
551496,1996,5609,213080,349290,0.639,65.0,13.0,13.0,80.0,245.0,20.0,292.0,14.2,0.25,7.40,0.50,0.5,33.0
551497,1996,5609,214950,351500,0.589,35.0,11.0,11.0,63.0,127.0,16.0,516.0,12.3,0.25,6.90,0.50,,26.0
551498,1996,5609,202120,351890,0.663,68.0,13.0,13.0,50.0,126.0,17.0,759.0,15.7,0.25,8.60,0.50,1.0,30.0
551499,1996,5609,213670,342920,0.873,130.0,32.0,20.0,106.0,77.0,31.0,266.0,18.6,0.25,10.30,0.50,2.0,56.0
551500,1996,5609,206540,351880,0.823,106.0,26.0,18.0,87.0,129.0,18.0,531.0,18.1,0.25,10.60,0.50,0.5,42.0
551501,1996,5609,229060,323080,0.813,102.0,27.0,15.0,68.0,90.0,22.0,294.0,17.5,0.25,8.60,0.50,1.0,37.0
551502,1996,5609,226510,326510,0.772,85.0,27.0,12.0,68.0,73.0,24.0,1072.0,17.3,0.60,8.60,0.50,0.5,36.0
551503,1996,5609,215900,349100,0.398,25.0,4.0,9.0,61.0,232.0,11.0,673.0,11.6,0.25,5.20,0.50,0.5,13.0
551504,1996,5609,219700,331010,0.660,84.0,16.0,15.0,70.0,269.0,18.0,386.0,15.1,0.25,8.20,0.50,1.0,35.0
551505,1996,5609,227520,324210,0.506,29.0,6.0,6.0,23.0,36.0,14.0,1060.0,12.5,0.25,6.90,0.50,0.5,15.0
551506,1996,5609,227700,327690,0.819,92.0,26.0,15.0,70.0,148.0,24.0,1086.0,18.2,0.25,9.70,0.50,1.0,40.0
551507,1996,5609,219090,338950,0.173,25.0,11.0,3.0,10.0,156.0,3.0,0.4,6.9,0.25,4.10,0.50,,7.0
551508,1996,5609,221310,338150,0.713,94.0,19.0,16.0,91.0,280.0,21.0,172.0,16.6,0.25,9.20,0.50,1.0,41.0
551509,1996,5609,222650,326880,0.585,68.0,20.0,11.0,54.0,94.0,21.0,669.0,14.4,0.70,8.20,0.50,1.0,28.0
551510,1996,5609,216230,336650,0.486,37.0,8.0,8.0,33.0,200.0,21.0,2611.0,13.4,1.30,8.30,0.50,0.5,24.0
551511,1996,5609,225930,324400,0.802,121.0,26.0,19.0,100.0,243.0,24.0,426.0,20.0,0.25,10.30,0.50,0.5,44.0
551512,1996,5609,227150,328750,0.699,88.0,15.0,17.0,89.0,309.0,22.0,223.0,17.1,0.25,10.00,0.50,5.0,34.0
551513,1996,5609,222310,327820,0.866,104.0,30.0,14.0,68.0,122.0,24.0,712.0,17.1,0.25,9.10,0.50,1.0,44.0
551514,1996,5609,225900,323500,0.917,124.0,22.0,20.0,102.0,216.0,26.0,392.0,22.2,0.25,10.50,0.50,1.0,44.0
551515,1996,5609,216780,336560,0.657,76.0,19.0,12.0,65.0,189.0,25.0,397.0,14.3,0.25,8.30,0.50,1.0,40.0
551516,1996,5609,216750,341800,0.500,60.0,16.0,13.0,62.0,375.0,20.0,192.0,14.3,0.25,7.70,0.50,3.0,28.0
551518,1996,5609,215860,343350,0.683,104.0,16.0,14.0,56.0,451.0,20.0,74.0,12.9,0.25,7.60,0.50,3.0,54.0
551519,1996,5609,217760,345400,0.556,71.0,10.0,15.0,80.0,623.0,17.0,104.0,15.8,0.25,8.60,0.50,3.0,28.0
551520,1996,5609,217970,336420,0.797,114.0,22.0,17.0,89.0,203.0,26.0,284.0,16.9,0.25,9.50,0.50,0.5,47.0
551521,1996,5609,223120,336990,0.568,75.0,11.0,13.0,63.0,324.0,21.0,191.0,14.7,0.25,8.00,0.50,2.0,31.0
551522,1996,5609,220990,343780,0.585,64.0,13.0,15.0,87.0,402.0,20.0,137.0,14.0,0.50,8.20,1.00,0.5,28.0
551523,1996,5609,219160,347970,0.388,38.0,8.0,10.0,68.0,437.0,14.0,93.0,12.8,0.25,6.30,1.00,2.0,22.0
551524,1996,5609,217180,347400,0.282,24.0,3.0,8.0,38.0,1646.0,7.0,103.0,10.8,0.25,4.90,4.00,2.0,10.0
551525,1996,5609,215980,340110,0.507,58.0,13.0,11.0,51.0,363.0,18.0,310.0,13.2,0.25,7.10,0.50,0.5,27.0
551526,1996,5609,215530,340370,0.502,63.0,16.0,13.0,61.0,352.0,22.0,196.0,13.1,0.50,7.70,0.50,2.0,34.0
551527,1996,5609,227000,325810,0.706,70.0,25.0,11.0,56.0,66.0,21.0,994.0,15.6,0.25,8.40,0.50,0.5,29.0
551528,1996,5609,218030,337780,0.658,69.0,13.0,14.0,72.0,241.0,22.0,376.0,16.8,0.50,9.40,1.00,1.0,32.0
551529,1996,5609,218820,348500,0.433,42.0,9.0,9.0,62.0,330.0,16.0,150.0,12.3,0.25,6.60,1.00,1.0,22.0
551530,1996,5609,223350,326320,0.759,146.0,24.0,22.0,100.0,234.0,24.0,195.0,17.6,0.25,10.00,0.50,2.0,41.0
551531,1996,5609,217620,344600,0.567,59.0,16.0,11.0,55.0,276.0,24.0,1233.0,14.3,0.50,8.50,0.50,0.5,31.0
551532,1996,5609,216450,341250,0.640,78.0,16.0,15.0,71.0,333.0,22.0,177.0,16.0,0.25,8.90,0.50,0.5,36.0
551533,1996,5609,230720,322830,0.629,70.0,13.0,14.0,66.0,268.0,21.0,355.0,15.6,0.25,8.80,0.50,4.0,30.0
551534,1996,5609,215060,339100,0.768,91.0,18.0,14.0,83.0,125.0,26.0,370.0,15.3,0.25,8.90,0.50,0.5,44.0
551535,1996,5609,215640,335210,0.538,53.0,14.0,10.0,48.0,178.0,17.0,570.0,13.7,0.25,7.70,0.50,0.5,26.0
551536,1996,5609,214190,336200,0.523,45.0,10.0,10.0,47.0,276.0,21.0,906.0,13.8,0.25,8.30,0.50,0.5,24.0
551537,1996,5609,230520,324860,0.583,48.0,16.0,8.0,37.0,64.0,21.0,1916.0,14.6,0.70,7.90,0.50,0.5,23.0
551538,1996,5609,215300,347820,0.686,66.0,11.0,12.0,69.0,216.0,18.0,570.0,14.6,0.25,8.30,0.50,0.5,33.0
551539,1996,5609,215420,343900,0.774,96.0,20.0,15.0,66.0,301.0,25.0,244.0,14.7,0.25,8.20,0.50,0.5,39.0
551540,1996,5609,229700,323780,0.632,63.0,20.0,9.0,46.0,76.0,22.0,955.0,14.5,0.25,7.50,0.50,0.5,28.0
551541,1996,5609,218440,345180,0.626,62.0,14.0,13.0,63.0,344.0,22.0,305.0,14.4,0.25,8.60,2.00,2.0,32.0
551542,1996,5609,224280,326120,0.676,60.0,30.0,9.0,43.0,53.0,20.0,1379.0,14.3,0.25,8.30,0.50,,27.0
551543,1996,5609,219850,347190,0.355,36.0,7.0,8.0,48.0,450.0,16.0,141.0,11.1,0.25,5.30,2.00,1.0,20.0
551545,1996,5609,214750,340210,0.694,89.0,15.0,18.0,78.0,337.0,18.0,158.0,16.1,0.25,10.00,2.00,4.0,38.0
551546,1996,5609,219610,343690,0.640,67.0,13.0,15.0,88.0,367.0,21.0,159.0,15.7,0.25,9.70,0.50,0.5,38.0
551547,1996,5609,228600,324620,0.720,82.0,16.0,9.0,43.0,62.0,17.0,987.0,13.0,0.25,8.30,0.50,2.0,34.0
551548,1996,5609,216400,342100,0.663,86.0,20.0,15.0,79.0,319.0,21.0,149.0,15.3,0.25,8.40,0.50,1.0,42.0
551549,1996,5609,217430,339100,0.477,49.0,14.0,10.0,51.0,308.0,18.0,572.0,12.9,0.25,7.70,0.50,0.5,25.0
551550,1996,5609,215870,342240,0.535,68.0,15.0,15.0,70.0,367.0,21.0,126.0,14.3,0.25,8.60,2.00,3.0,32.0
551551,1996,5609,229660,325950,0.594,76.0,19.0,14.0,66.0,374.0,25.0,255.0,14.6,0.25,8.20,0.50,3.0,40.0
551552,1996,5609,227600,323800,0.596,62.0,15.0,9.0,46.0,68.0,20.0,1104.0,15.0,0.25,8.00,0.50,0.5,23.0
551554,1996,5609,215690,342540,0.703,90.0,16.0,19.0,96.0,284.0,17.0,119.0,16.6,0.25,10.20,0.50,1.0,41.0
551555,1996,5609,225570,325320,0.774,80.0,18.0,12.0,58.0,52.0,18.0,950.0,16.4,0.25,8.20,0.50,3.0,28.0
551556,1996,5609,223300,337890,0.930,151.0,24.0,22.0,114.0,152.0,28.0,164.0,19.3,0.25,11.30,0.50,2.0,59.0
551557,1996,5609,217590,348480,0.558,50.0,15.0,13.0,79.0,351.0,20.0,198.0,14.1,0.70,7.60,0.50,1.0,35.0
551558,1996,5609,226200,327400,0.986,126.0,21.0,19.0,108.0,192.0,26.0,426.0,20.3,0.25,11.00,0.50,2.0,48.0
551559,1996,5609,226600,327410,0.913,92.0,22.0,15.0,70.0,93.0,28.0,651.0,18.6,0.60,9.60,0.50,1.0,43.0
551560,1996,5609,226720,322380,0.880,113.0,29.0,15.0,87.0,114.0,24.0,431.0,18.8,0.25,9.00,0.50,0.5,42.0
551561,1996,5609,228460,326050,0.380,42.0,22.0,6.0,22.0,221.0,8.0,456.0,9.2,0.25,5.20,0.50,0.5,20.0
551563,1996,5609,216410,344200,0.888,98.0,18.0,16.0,89.0,145.0,23.0,199.0,16.6,0.25,9.20,0.50,0.5,50.0
551564,1996,5609,224900,327000,0.867,101.0,27.0,15.0,78.0,144.0,23.0,634.0,18.4,0.70,9.50,0.50,0.5,40.0
551565,1996,5609,223390,327070,0.731,69.0,18.0,12.0,58.0,104.0,25.0,1148.0,17.5,0.25,9.30,0.50,1.0,32.0
551566,1996,5609,216900,343250,0.683,76.0,16.0,14.0,63.0,235.0,24.0,335.0,15.2,0.25,8.90,0.50,2.0,38.0
551567,1996,5609,220350,343390,1.090,127.0,20.0,17.0,99.0,281.0,23.0,371.0,16.7,0.80,9.00,1.00,1.0,39.0
551568,1996,5609,228800,325100,0.714,97.0,24.0,15.0,72.0,176.0,35.0,233.0,15.8,0.25,8.80,0.50,0.5,52.0
551569,1996,5609,218110,349690,0.361,39.0,8.0,9.0,55.0,443.0,17.0,120.0,11.1,0.60,5.70,1.00,2.0,23.0
551570,1996,5609,217650,346340,0.668,57.0,11.0,11.0,60.0,142.0,17.0,675.0,14.1,0.70,7.50,0.50,0.5,27.0
551571,1996,5609,214390,340180,0.638,84.0,16.0,15.0,86.0,249.0,20.0,171.0,15.6,0.60,8.60,0.50,2.0,36.0
551572,1996,5609,227210,322290,0.748,102.0,22.0,16.0,87.0,155.0,28.0,339.0,17.5,0.25,9.20,0.50,4.0,37.0
551573,1996,5609,216900,334890,0.512,63.0,16.0,12.0,62.0,304.0,21.0,448.0,14.2,0.25,8.00,2.00,1.0,29.0
551574,1996,5609,218320,347020,0.752,83.0,20.0,14.0,98.0,282.0,22.0,96.0,14.5,0.25,7.50,0.50,0.5,46.0
551576,1996,5609,227020,323200,0.813,121.0,22.0,19.0,96.0,141.0,24.0,390.0,18.9,0.25,10.00,0.50,5.0,40.0
551577,1996,5609,215080,336900,0.494,72.0,27.0,8.0,38.0,156.0,15.0,240.0,11.1,0.25,6.00,0.50,0.5,29.0
551578,1996,5609,218720,337300,0.804,94.0,18.0,16.0,88.0,208.0,23.0,269.0,17.5,0.25,9.80,1.00,3.0,44.0
551579,1996,5609,216750,339430,0.884,92.0,14.0,15.0,103.0,168.0,24.0,369.0,17.7,0.25,9.40,0.50,0.5,50.0
551580,1996,5609,231600,325400,0.841,98.0,19.0,15.0,84.0,202.0,22.0,223.0,16.2,0.25,8.90,0.50,1.0,46.0
551581,1996,5609,217620,344170,0.659,61.0,11.0,13.0,60.0,276.0,23.0,252.0,16.1,0.50,8.60,0.50,0.5,29.0
551582,1996,5609,228120,328100,0.542,60.0,11.0,10.0,46.0,257.0,20.0,485.0,13.5,0.25,7.80,1.00,0.5,26.0
551583,1996,5609,230000,328340,0.744,90.0,16.0,16.0,87.0,370.0,23.0,152.0,16.4,0.25,9.80,0.50,2.0,40.0
551584,1996,5609,216990,342650,0.523,58.0,19.0,11.0,56.0,307.0,26.0,557.0,13.2,0.25,7.90,0.50,2.0,34.0
551585,1996,5609,216400,346350,0.501,46.0,11.0,8.0,51.0,103.0,11.0,231.0,10.5,0.25,5.60,0.50,,23.0
551586,1996,5609,199240,348120,0.713,59.0,6.0,11.0,60.0,47.0,25.0,830.0,16.8,0.25,9.30,0.50,0.5,38.0
551588,1996,5609,215620,349480,0.595,41.0,9.0,10.0,66.0,148.0,18.0,727.0,13.0,0.25,6.60,0.50,,26.0
551589,1996,5609,230450,327250,0.528,55.0,11.0,10.0,48.0,287.0,22.0,272.0,14.2,0.25,8.00,0.50,1.0,25.0
551590,1996,5609,220400,339520,0.808,87.0,18.0,15.0,88.0,203.0,24.0,496.0,17.3,0.25,9.60,0.50,1.0,43.0
551591,1996,5609,221100,331390,0.723,81.0,16.0,12.0,55.0,148.0,22.0,833.0,15.3,0.25,8.50,0.50,2.0,35.0
551592,1996,5609,224300,324500,0.673,75.0,32.0,11.0,52.0,62.0,38.0,801.0,14.2,0.50,7.20,0.50,1.0,79.0
551593,1996,5609,216890,345280,0.792,95.0,15.0,18.0,95.0,229.0,23.0,173.0,18.4,0.25,10.00,1.00,3.0,41.0
551594,1996,5609,216630,348720,0.771,69.0,18.0,15.0,103.0,256.0,23.0,306.0,16.9,0.25,8.90,0.50,0.5,45.0
551595,1996,5609,220160,342700,0.658,70.0,15.0,15.0,84.0,423.0,20.0,253.0,15.4,0.25,8.30,1.00,1.0,35.0
551596,1996,5609,219700,331010,0.602,73.0,16.0,13.0,61.0,291.0,20.0,425.0,14.3,0.80,7.80,0.50,3.0,30.0
551597,1996,5609,218440,341180,0.659,63.0,16.0,12.0,62.0,242.0,23.0,814.0,14.9,0.50,8.50,0.50,0.5,33.0
551598,1996,5609,231900,324250,0.648,73.0,14.0,14.0,67.0,269.0,21.0,335.0,15.7,0.25,9.20,0.50,1.0,32.0
551599,1996,5609,231450,325850,0.622,66.0,16.0,11.0,54.0,171.0,22.0,554.0,14.7,0.25,8.50,0.50,0.5,32.0
551600,1996,5609,223820,326670,0.922,114.0,35.0,17.0,94.0,202.0,25.0,506.0,19.5,0.25,10.20,0.50,0.5,44.0
551601,1996,5609,206100,343400,0.636,67.0,22.0,12.0,59.0,77.0,21.0,890.0,15.2,0.25,8.20,0.50,1.0,33.0
551602,1996,5609,248450,330550,0.647,76.0,14.0,14.0,72.0,230.0,22.0,333.0,16.1,0.25,8.60,1.00,1.0,31.0
551603,1996,5609,204700,344210,1.394,177.0,36.0,14.0,23.0,123.0,25.0,843.0,12.7,0.70,6.00,0.50,,22.0
551604,1996,5609,214600,334550,0.499,57.0,16.0,10.0,51.0,132.0,22.0,866.0,13.2,0.25,7.40,0.50,0.5,30.0
551605,1996,5609,252050,333550,0.676,63.0,16.0,11.0,50.0,204.0,23.0,774.0,15.6,0.80,7.80,0.50,0.5,29.0
551606,1996,5609,243500,329270,0.607,73.0,11.0,15.0,78.0,254.0,20.0,167.0,15.3,0.25,8.40,0.50,3.0,28.0
