Neighborhood,Sector #,Population (2010),#Part 1 (Major Crime) Reports (2010),#Part 2 Reports (2010),#Other Police Reports (2010),Part 1 Crime per 100 Persons (2010),Part 2 Crime per 100 Persons (2010),#Murder (2010),#Rape (2010),#Robbery (2010),#Agr. Assault (2010),#Burglary (2010),#Auto Theft (2010),#Drug Violations (2010)
Lower Lawrenceville,13,"2,341",107,126,80,4.6,5.4,0,2,6,9,29,16,21
Manchester,3,"2,130",69,137,63,3.2,6.4,0,0,7,8,19,12,44
Marshall-Shadeland,2,"6,043",222,307,126,3.7,5.1,1,0,26,24,65,21,31
Middle Hill,15,"1,707",114,234,126,6.7,13.7,0,0,16,10,17,25,102
Morningside,12,"3,346",67,91,65,2.0,2.7,0,0,2,2,21,15,12
Mount Washington,6,"8,799",434,428,282,4.9,4.9,0,3,22,23,115,38,44
Mt. Oliver,7,509,12,28,16,2.4,5.5,0,1,0,4,1,3,2
New Homestead,8,990,7,4,9,0.7,0.4,0,0,0,0,1,2,1
North Oakland,14,"10,551",182,136,160,1.7,1.3,0,0,16,7,35,13,12
North Shore,16,303,72,68,43,23.8,22.4,0,0,1,6,7,5,8
Northview Heights,1,"1,214",63,126,30,5.2,10.4,1,0,6,17,16,1,19
Oakwood,4,"1,027",14,14,23,1.4,1.4,0,0,2,1,2,1,2
Overbrook,5,"3,644",73,92,98,2.0,2.5,0,0,4,7,26,14,9
Perry North,2,"4,050",112,199,77,2.8,4.9,1,0,6,8,45,12,31
Perry South,2,"4,145",221,310,132,5.3,7.5,2,0,11,29,82,28,87
Point Breeze,10,"5,315",116,72,68,2.2,1.4,0,0,6,3,29,4,13
Point Breeze North,11,"2,054",84,63,63,4.1,3.1,0,0,4,5,13,10,9
Polish Hill,13,"1,274",34,39,40,2.7,3.1,1,0,3,3,6,8,11
Regent Square,10,928,38,14,12,4.1,1.5,0,1,2,0,6,1,1
Ridgemont,4,483,14,15,7,2.9,3.1,0,0,0,1,3,0,2
Shadyside,12,"13,915",623,308,285,4.5,2.2,0,1,24,10,60,53,14
Sheraden,4,"5,299",222,384,184,4.2,7.2,2,3,21,21,73,25,61
South Oakland,14,"2,969",104,110,87,3.5,3.7,0,1,2,3,37,19,13
South Shore,16,19,37,60,50,194.7,315.8,0,0,4,1,5,2,3
South Side Flats,7,"6,597",669,770,537,10.1,11.7,1,6,52,61,74,56,53
South Side Slopes,7,"4,423",210,203,172,4.7,4.6,0,0,15,14,65,23,27
Spring Garden,1,884,36,61,30,4.1,6.9,0,0,2,7,10,3,9
Spring Hill-City View,1,"2,648",121,173,49,4.6,6.5,0,0,15,15,32,9,52
Squirrel Hill North,10,"11,363",148,110,120,1.3,1.0,0,0,4,3,33,16,15
Squirrel Hill South,10,"15,110",331,210,190,2.2,1.4,0,0,22,5,70,29,8
St. Clair,7,209,14,10,10,6.7,4.8,0,0,0,2,2,4,0
Stanton Heights,13,"4,601",67,88,67,1.5,1.9,0,1,3,4,20,12,7
Strip District,13,616,155,167,142,25.2,27.1,0,0,12,14,20,18,38
Summer Hill,1,"1,051",13,22,13,1.2,2.1,0,0,0,1,2,2,1
Swisshelm Park,10,"1,361",28,14,12,2.1,1.0,0,0,0,0,4,2,0
Terrace Village,15,"3,228",163,263,104,5.0,8.1,5,1,22,26,37,25,71
Troy Hill,1,"2,714",163,176,91,6.0,6.5,1,0,19,10,46,12,27
Upper Hill,15,"2,057",45,79,43,2.2,3.8,2,3,6,8,5,6,9
Upper Lawrenceville,13,"2,669",92,184,73,3.4,6.9,0,0,12,9,24,12,29
West End,4,254,23,54,66,9.1,21.3,0,1,2,3,7,3,30
West Oakland,14,"2,604",82,65,80,3.1,2.5,1,1,13,4,14,8,13
Westwood,4,"3,066",57,53,44,1.9,1.7,0,1,1,4,17,6,3
Windgap,4,"1,369",41,40,28,3.0,2.9,1,0,4,1,8,7,5
