Council,Date,Financial,Value ($000)
Auckland Region,2013,38 Net Financing Cash Flows,14883
Auckland Region,2014,27 Operating receipts,300837
Auckland Region,2014,28 Operating Payments,298040
Auckland Region,2014,29 Net Operating Cash Flows,2797
Auckland Region,2014,30 Receipts from Investing Activities,315
Auckland Region,2014,31 Purchase of Property Plant & Equipment,25640
Auckland Region,2014,32 Fixed Asset Purchases,0
Auckland Region,2014,33 Renewals,0
Auckland Region,2014,34 Purchasing of Other Investments,616
Auckland Region,2014,35 Net Investing Cash Flows,-25941
Auckland Region,2014,36 Cash Receipts from Financing Activities,61093
Auckland Region,2014,37 Cash Outgoings from Financing Activities,37949
Auckland Region,2014,38 Net Financing Cash Flows,23144
Auckland Region,2015,27 Operating receipts,309803
Auckland Region,2015,28 Operating Payments,305018
Auckland Region,2015,29 Net Operating Cash Flows,4785
Auckland Region,2015,30 Receipts from Investing Activities,186
Auckland Region,2015,31 Purchase of Property Plant & Equipment,7462
Auckland Region,2015,32 Fixed Asset Purchases,0
Auckland Region,2015,33 Renewals,0
Auckland Region,2015,34 Purchasing of Other Investments,630
Auckland Region,2015,35 Net Investing Cash Flows,-7906
Auckland Region,2015,36 Cash Receipts from Financing Activities,3121
Auckland Region,2015,37 Cash Outgoings from Financing Activities,0
Auckland Region,2015,38 Net Financing Cash Flows,3121
Auckland Region,2016,27 Operating receipts,321082
Auckland Region,2016,28 Operating Payments,312900
Auckland Region,2016,29 Net Operating Cash Flows,8182
Auckland Region,2016,30 Receipts from Investing Activities,231
Auckland Region,2016,31 Purchase of Property Plant & Equipment,7416
Auckland Region,2016,32 Fixed Asset Purchases,0
Auckland Region,2016,33 Renewals,0
Auckland Region,2016,34 Purchasing of Other Investments,644
Auckland Region,2016,35 Net Investing Cash Flows,-7829
Auckland Region,2016,36 Cash Receipts from Financing Activities,-353
Auckland Region,2016,37 Cash Outgoings from Financing Activities,0
Auckland Region,2016,38 Net Financing Cash Flows,-353
Auckland Region,2017,27 Operating receipts,326778
Auckland Region,2017,28 Operating Payments,316259
Auckland Region,2017,29 Net Operating Cash Flows,10519
Auckland Region,2017,30 Receipts from Investing Activities,180
Auckland Region,2017,31 Purchase of Property Plant & Equipment,30825
Auckland Region,2017,32 Fixed Asset Purchases,0
Auckland Region,2017,33 Renewals,0
Auckland Region,2017,34 Purchasing of Other Investments,659
Auckland Region,2017,35 Net Investing Cash Flows,-31304
Auckland Region,2017,36 Cash Receipts from Financing Activities,20785
Auckland Region,2017,37 Cash Outgoings from Financing Activities,0
Auckland Region,2017,38 Net Financing Cash Flows,20785
Auckland Region,2018,27 Operating receipts,342672
Auckland Region,2018,28 Operating Payments,331050
Auckland Region,2018,29 Net Operating Cash Flows,11622
Auckland Region,2018,30 Receipts from Investing Activities,158
Auckland Region,2018,31 Purchase of Property Plant & Equipment,7456
Auckland Region,2018,32 Fixed Asset Purchases,0
Auckland Region,2018,33 Renewals,0
Auckland Region,2018,34 Purchasing of Other Investments,675
Auckland Region,2018,35 Net Investing Cash Flows,-7973
Auckland Region,2018,36 Cash Receipts from Financing Activities,-3649
Auckland Region,2018,37 Cash Outgoings from Financing Activities,0
Auckland Region,2018,38 Net Financing Cash Flows,-3649
Auckland Region,2019,27 Operating receipts,346942
Auckland Region,2019,28 Operating Payments,334263
Auckland Region,2019,29 Net Operating Cash Flows,12679
Auckland Region,2019,30 Receipts from Investing Activities,343
Auckland Region,2019,31 Purchase of Property Plant & Equipment,8490
Auckland Region,2019,32 Fixed Asset Purchases,0
Auckland Region,2019,33 Renewals,0
Auckland Region,2019,34 Purchasing of Other Investments,692
Auckland Region,2019,35 Net Investing Cash Flows,-8839
Auckland Region,2019,36 Cash Receipts from Financing Activities,-3840
Auckland Region,2019,37 Cash Outgoings from Financing Activities,0
Auckland Region,2019,38 Net Financing Cash Flows,-3840
Waikato Region,2010,27 Operating receipts,95959
Waikato Region,2010,28 Operating Payments,86162
Waikato Region,2010,29 Net Operating Cash Flows,9797
Waikato Region,2010,30 Receipts from Investing Activities,0
Waikato Region,2010,31 Purchase of Property Plant & Equipment,9916
Waikato Region,2010,32 Fixed Asset Purchases,0
Waikato Region,2010,33 Renewals,0
Waikato Region,2010,34 Purchasing of Other Investments,480
Waikato Region,2010,35 Net Investing Cash Flows,-10396
Waikato Region,2010,36 Cash Receipts from Financing Activities,0
Waikato Region,2010,37 Cash Outgoings from Financing Activities,0
Waikato Region,2010,38 Net Financing Cash Flows,0
Waikato Region,2011,27 Operating receipts,99390
Waikato Region,2011,28 Operating Payments,89447
Waikato Region,2011,29 Net Operating Cash Flows,9943
Waikato Region,2011,30 Receipts from Investing Activities,0
Waikato Region,2011,31 Purchase of Property Plant & Equipment,9582
Waikato Region,2011,32 Fixed Asset Purchases,0
Waikato Region,2011,33 Renewals,0
Waikato Region,2011,34 Purchasing of Other Investments,-221
Waikato Region,2011,35 Net Investing Cash Flows,-9361
Waikato Region,2011,36 Cash Receipts from Financing Activities,0
Waikato Region,2011,37 Cash Outgoings from Financing Activities,0
Waikato Region,2011,38 Net Financing Cash Flows,0
Waikato Region,2012,27 Operating receipts,104173
Waikato Region,2012,28 Operating Payments,93412
Waikato Region,2012,29 Net Operating Cash Flows,10761
Waikato Region,2012,30 Receipts from Investing Activities,0
Waikato Region,2012,31 Purchase of Property Plant & Equipment,7925
Waikato Region,2012,32 Fixed Asset Purchases,0
Waikato Region,2012,33 Renewals,0
Waikato Region,2012,34 Purchasing of Other Investments,476
Waikato Region,2012,35 Net Investing Cash Flows,-8401
Waikato Region,2012,36 Cash Receipts from Financing Activities,0
Waikato Region,2012,37 Cash Outgoings from Financing Activities,0
Waikato Region,2012,38 Net Financing Cash Flows,0
Waikato Region,2013,27 Operating receipts,109754
Waikato Region,2013,28 Operating Payments,98299
Waikato Region,2013,29 Net Operating Cash Flows,11455
Waikato Region,2013,30 Receipts from Investing Activities,650
Waikato Region,2013,31 Purchase of Property Plant & Equipment,8622
Waikato Region,2013,32 Fixed Asset Purchases,0
Waikato Region,2013,33 Renewals,0
Waikato Region,2013,34 Purchasing of Other Investments,474
Waikato Region,2013,35 Net Investing Cash Flows,-8446
Waikato Region,2013,36 Cash Receipts from Financing Activities,0
Waikato Region,2013,37 Cash Outgoings from Financing Activities,0
Waikato Region,2013,38 Net Financing Cash Flows,0
Waikato Region,2014,27 Operating receipts,114964
Waikato Region,2014,28 Operating Payments,103933
Waikato Region,2014,29 Net Operating Cash Flows,11031
Waikato Region,2014,30 Receipts from Investing Activities,0
Waikato Region,2014,31 Purchase of Property Plant & Equipment,8265
Waikato Region,2014,32 Fixed Asset Purchases,0
Waikato Region,2014,33 Renewals,0
Waikato Region,2014,34 Purchasing of Other Investments,473
Waikato Region,2014,35 Net Investing Cash Flows,-8738
Waikato Region,2014,36 Cash Receipts from Financing Activities,0
Waikato Region,2014,37 Cash Outgoings from Financing Activities,0
Waikato Region,2014,38 Net Financing Cash Flows,0
Waikato Region,2015,27 Operating receipts,120104
Waikato Region,2015,28 Operating Payments,109373
Waikato Region,2015,29 Net Operating Cash Flows,10731
Waikato Region,2015,30 Receipts from Investing Activities,0
Waikato Region,2015,31 Purchase of Property Plant & Equipment,7792
Waikato Region,2015,32 Fixed Asset Purchases,0
