OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
21,200,0,0,0,1710.456685,74105,6, ,Kittanning & Dorseyville ,Rd, ,Kittanning & Dorseyville Rd,Dorseyville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2165-03,SNOW-MA,216503MA, ,74105, ,,,,Kittanning & Dorseyville Rd
22,201,0,0,0,1441.425355,74170,51635450, ,Armstrong ,Tunl, ,Armstrong Tunl,Armstrong Tunnel,0,0,0,0,Second Ave,Forbes Ave,County, ,Yes,0,A31,n,0,14414,  3006-00,SNOW-MA-ALCO,3006, ,74170, ,,,, 
23,22,0,0,0,2153.710709,20333,37, ,Blackburn ,Rd, ,Blackburn Rd Spur,Blackburn rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1031-03,SNOW-MA,103103MA, ,20333, ,,,,"Blackburn Rd, Spur"
24,23,0,0,0,7431.407153,20479,45, ,Spring Run ,Rd, ,Spring Run Rd,Spring Run Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6288-01,SNOW-MA,628801MA, ,20479, ,,,,Spring Run Rd
25,24,0,0,0,7348.710272,21011,21, ,Scaife ,Rd, ,Scaife Rd,Scaife Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1275-00,SNOW-MA,127500MA, ,21011, ,,,,Scaife Rd
26,25,0,0,0,25964.503352,21189,15, ,Fox Chapel ,Rd, ,Fox Chapel Rd,Fox Chapel Rd,0,0,0,0, , , ,Green,Yes,0, , ,1630,0,  2128-00,SNOW-MA,212800MA, ,21189, ,,,,Fox Chapel Rd
27,26,0,0,0,7018.886853,21193,22, ,Water Works ,Rd, ,Water Works Rd,Water Works Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1329-00,SNOW-MA,132900MA, ,21193, ,,,,Waterworks Rd
28,28,0,0,0,1625.46883,21476,141, ,Evergreen Extension ,Rd, ,Evergreen Extension Rd,Three Degree Rd,0,0,0,0, , ,County,Green,Yes,0, , ,1620,0,  1120-00,SNOW,112000, ,21476, ,,,,Evergreen Extension Rd/ Three Degree Rd
29,49,0,0,0,1291.992134,29006,97, ,Herrington Hill ,Rd, ,Herrington Hill Rd,Dunn St,0,0,0,0, , ,County, , ,0, , ,1630,0,  6145-00,SNOW-MA,614500MA, ,29006, ,,,,Herrington Hill Rd/ Dunn St
30,50,0,0,0,7381.956152,29015,72, ,Mckees Rocks And Forrest Grv ,Rd, ,Mckees Rocks And Forrest Grv Rd,Pine Hollow rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6197-03,SNOW-MA,619703MA, ,29015, ,,,,Mc Kees Rocks / Forest Grove Rd
31,51,0,0,0,2167.010004,29587,6, ,Clever Road Extension,, ,Clever Road Extension,Fairhaven Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6071-02,SNOW-MA,607102MA, ,29587, ,,,,Clever Rd Ext
32,52,0,0,0,11428.170273,29681,20, ,Lincoln ,Rd, ,Lincoln Rd,Lincoln Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3179-01,SNOW,317901, ,29681, ,,,,Lincoln Rd
33,53,0,0,0,12810.069988,29734,1, ,Clever ,Rd, ,Clever Rd,Clever Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6071-01,SNOW,607101, ,29734, ,,,,Clever Rd
34,158,0,0,0,692.108197,71536,51625250, ,Nelson Run ,Rd, ,Nelson Run Rd,Nelson Run Rd,4401,4437,4400,4450,Ivory Ave,I-579 Ramp,County, , ,4,A31,n,0,114,  2348-00,SNOW,234800, ,71536, ,,,,Nelson Run Rd
35,55,0,0,0,4511.680237,29945,46, ,Tyler ,Rd, ,Tyler Rd,Tyler Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3570-00,SNOW,357000, ,29945, ,,,,Tyler Rd
36,57,0,0,0,8557.319008,30500,9, ,Imperial And Burgettstown ,Rd, ,Imperial And Burgettstown Rd,Robinson Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6155-00,SNOW-MA,615500MA, ,30500, ,,,,Imperial / Burgettstown Rd
37,58,0,0,0,4603.787827,30833,80, ,Laketon ,Rd, ,Laketon Rd,Laketon Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3172-00,SNOW,317200, ,30833, ,,,,Laketon Rd
38,59,0,0,0,3066.811116,30897,48, ,McKees Rocks / Steubenville ,Rd, ,McKees Rocks / Steubenville Rd,Mc Kees Rocks Rd Spur,0,0,0,0, , ,County, , ,0, , ,1630,0,  6199-03,SNOW-MA,619903MA, ,30897, ,,,,Mc Kees Rocks / Steubenville Pike
39,559,0,0,0,999.321579,69772,36, ,Old McCorkle ,Rd, ,Old McCorkle Rd,McCorkle Rd,0,0,0,0, , , , , ,0, , ,1640,0,  5195-02,SNOW,519502, ,80224, ,,,,"Mc Corkle Rd, Old"
40,560,0,0,0,3756.247121,49540,30, ,Ridge ,Rd, ,Ridge Rd,Ridge Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5262-01,SNOW,526201, ,80226, ,,,,Ridge Rd/ Mc Corkle Rd
41,588,0,0,0,1358.525378,55647,6, ,McCaslin ,Rd, ,McCaslin Rd,McCaslin Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6346-01,SNOW-MA,634601MA, ,80595, ,,,,Mc Caslin Rd
42,,0,0,0,1936.116988,53939,, ,Saxonburg ,Blvd, ,Saxonburg Blvd Old Loop,Old Saxonburg Loop (Hartwood Entr.),0,0,0,0, , , , ,Yes,0, , ,1630,0,  2273-00,,,,,,,,,
43,193,0,0,0,886.716112,73798,51, ,Hemlock ,Dr, ,Hemlock Dr,Hemlock Dr,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2144-01,SNOW,214401, ,73798, ,,,,Hemlock Dr/ Pebbles School Rd
44,648,0,0,0,8760.052055,73366,22, ,Monroeville Trestle ,Rd, ,Monroeville Trestle Rd,Center Rd,0,0,0,0, , ,County,Orange,Yes,0, , ,1630,0,  3220-02,SNOW-MA,322002MA, ,81568, ,,,,Monroeville Trestle Rd
45,564,0,0,0,1501.512134,0,0, ,Campbells Run Rd Connector, , ,Campbells Run Rd Connector ,Old Campbells Run Rd,0,0,0,0, , , , , ,0, , ,0,0,  6072-06,SNOW,607206, ,80292, ,,,,Campbells Run Rd
46,616,0,0,0,4189.167593,0,0, ,Troy Hill ,Rd, ,Troy Hill Rd,Ivory Ave,0,0,0,0, , , , , ,0, , ,0,0,  2312-01,SNOW,231201, ,81178, ,,,,Mt Troy Rd
47,619,0,0,0,7661.127598,42460,76, ,Painters Run ,Rd, ,Painters Run Rd,Painters Run Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6242-02,SNOW,624202, ,81187, ,,,,Painters Run Rd
48,620,0,0,0,14771.899808,20954,66, ,Babcock ,Blvd, ,Babcock Blvd,Babcock Blvd,0,0,0,0, , ,County,Green,Yes,0, , ,1620,0,  2008-01,SNOW,200801R4D1, ,81189, ,,,,Babcock Blvd
49,622,0,0,0,896.834917,35386,11, ,Browns Hill ,Rd, ,Browns Hill Rd,Browns Hill Rd,0,0,0,0, , ,County,Blue,Yes,0, , ,1630,0,  3047-02,SNOW,304702, ,81465, ,,,,Browns Hill Rd
50,623,0,0,0,7145.852827,71348,42, ,Homeville ,Rd, ,Homeville Rd,Homeville Rd,0,0,0,0, , , , , ,0, , ,1630,0,  5149-02,SNOW,514902, ,81467, ,,,,Homeville Rd
51,644,0,0,0,10590.177422,34016,56, ,Turtle Creek & Moroeville ,Rd,,Turtle Creek & Moroeville Rd (hill Rt),James St,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3314-00,SNOW,331400, ,81560, ,,,,Turtle Creek - Monroeville Rd (Hill Rt)
52,66,0,0,0,11573.340157,34040,54, ,Turtle Creek & Moroeville ,Rd, ,Turtle Creek & Moroeville Rd (valley rt),Lynn Ave & Monroeville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3313-00,SNOW,331300, ,34040, ,,,,Turtle Creek - Monroeville Rd (Hill Rt)
53,163,0,0,0,12931.226589,72718,15, ,Thomas Run & Oakdale,Rd, ,Thomas Run & OakdaleRd,"Thoms Run Rd, Seminary Ave at Oakdale",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6306-02,SNOW,630602, ,72718, ,,,,Thoms Run / Oakdale Rd
54,1,0,0,0,1925.510147,24,51694450, ,Ivory  ,Ave, ,Ivory  Ave,Ivory Ave,0,0,0,0,Ivory Ave,Ivory Ave,City,Blue, ,0,A31,n,0,122,  2312-03,SNOW,231203, ,24, ,,,,Mt Troy Rd
55,144,0,0,0,4064.213198,66822,27, ,North Braddock & Forest Hills ,Blvd, ,North Braddock & Forest Hills Blvd,"Yost Blvd, 6th St",0,0,0,0, , ,County, , ,0, , ,1630,0,  3237-01,SNOW-MA,323701MA, ,66822, ,,,,N. Braddock & Forest Hills Rd/Yost Blvd
56,146,0,0,0,6826.411174,67687,13, ,Natrona Heights ,Rd, ,Natrona Heights Rd,Argonne Dr,0,0,0,0, , ,County, , ,0, , ,1630,0,  3228-00,SNOW,322800, ,67687, ,,,,Natrona Heights Rd/Argonne Dr
57,147,0,0,0,8189.557305,67941,8, ,Irwin ,Rd, ,Irwin Rd,Irwin Rd,0,0,0,0, , ,County, , ,0, , ,1640,0,  1160-00,SNOW,116000, ,67941, ,,,,Irwin Rd
58,148,0,0,0,1923.647573,68006,5, ,Old Ingomar ,Rd, ,Old Ingomar Rd,Old Ingomar Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1158-03,SNOW,115803, ,68006, ,,,,"Ingomar Rd, Old"
59,149,0,0,0,1786.203512,68213,12, ,Reynolds ,Rd, ,Reynolds Rd,Reynolds Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1260-00,SNOW,126000, ,68213, ,,,,Reynolds Rd
60,150,0,0,0,1174.506821,69161,5, ,Beaver Grade ,Rd , ,Beaver Grade Rd ,"Old Beaver Grade Rd, Spur",0,0,0,0, , , , , ,0, , ,1630,0,  6022-00,SNOW-MA,602200MA, ,69161, ,,,,Beaver Grade Rd
61,151,0,0,0,770.161618,69893,97, ,Old Lebanon Church ,Rd, ,Old Lebanon Church Rd,Rodeo St,0,0,0,0, , , , , ,0, , ,1630,0,  5173-03,SNOW,517303, ,69893, ,,,,"Lebanon Church Rd, Old"
62,2,0,0,0,755.114186,135,51622565, ,Brighton ,Rd, ,Brighton Rd,Brighton Rd,4043,4099,0,0,Chellis St,City Limit,City, , ,2,A31,n,0,357,  1042-00,SNOW,104200, ,135, ,,,,Brighton Rd
63,3,0,0,0,1633.884956,13051,130, ,Walter ,Ave, ,Walter Ave,Walter Ave,0,0,0,0, , ,County, , ,0,A99,n,0,31655,  5323-01,SNOW,532301, ,13051, ,,,,Walter Ave
64,4,0,0,0,1932.747855,13184,51637471, ,Walter / Wagner ,Ave, ,Walter / Wagner Ave,Wagner Ave,600,698,401,421,City Limit,Mountain Ave,County, , ,2,A31,n,0,20021,  5323-02,SNOW-MA-ALCO,532302, ,13184, ,,,,Walter / Wagner Ave
65,6,0,0,0,3872.100117,13923,51639337, ,Becks Run ,Rd, ,Becks Run Rd,Becks Run Rd,0,0,366,398,Madeline St,E Agnew Ave,County,Blue,Yes,0,A31,n,0,21145,  5024-02,SNOW-MA-ALCO,502402, ,13923, ,,,,Becks Run Rd
66,7,0,0,0,9631.648459,15610,14, ,Meridian ,Rd, ,Meridian Rd,Meridian Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  2204-00,SNOW,220400, ,15610, ,,,,Meridian Rd
67,8,0,0,0,13423.640036,15805,4, ,Middle Extension ,Rd, ,Middle Extension Rd,Middle Rd Extension,0,0,0,0, , ,County, , ,0, , ,1630,0,  2309-03,SNOW-MA,230903MA, ,15805, ,,,,Middle Rd
68,11,0,0,0,11825.637215,16956,11, ,Pearce Mill ,Rd, ,Pearce Mill Rd,Pearce Mill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1245-00,SNOW,124500, ,16956, ,,,,Pearce Mill Rd
69,12,0,0,0,13891.861069,16996,12, ,Brandt School ,Rd, ,Brandt School Rd,Brandt School Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1040-00,SNOW-MA,104000MA, ,16996, ,,,,Brandt School Rd
70,587,0,0,0,2764.374422,48309,80, ,Drake ,Rd, ,Drake Rd,Drake Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5100-00,SNOW,510000, ,80584, ,,,,Drake Rd
71,589,0,0,0,16997.216683,65129,9, ,Spring Run ,Rd, ,Spring Run Rd Extension,Spring Run Rd Extension,0,0,0,0, , ,County, , ,0, , ,1630,0,  6288-02,SNOW-MA,628802MA, ,80597, ,,,,Spring Run Rd Ext
72,590,0,0,0,6270.47031,72507,54, ,Painters Run ,Rd, ,Painters Run Rd,Bower Hill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6242-01,SNOW,624201, ,80602, ,,,,Painters Run Rd/ Bower Hill Rd
73,592,0,0,0,19456.005993,72862,10, ,Warrendale Bayne ,Rd, ,Warrendale Bayne Rd,Warrendale Bayne Rd,0,0,0,0, , ,County,Red,Yes,0, , ,1630,0,  1325-00,SNOW,132500, ,80612, ,,,,Warrendale Bayne Rd
74,597,0,0,0,22243.231302,73006,29, ,Neville ,Rd, ,Neville Rd,"Grand Ave, Neville Rd",0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6230-01,SNOW,623001, ,81025, ,,,,Neville Rd
75,598,0,0,0,4571.389479,74693,65, ,Delafield ,Rd, ,Delafield Rd,Delafield Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2097-00,SNOW-MA,209700MA, ,81037, ,,,,Delafield Rd
76,599,0,0,0,300.488113,66745,140, ,North Braddock & Forest Hills ,Blvd, ,North Braddock & Forest Hills Blvd,Yost Blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3237-02,SNOW-MA,323702MA, ,81038, ,,,,N. Braddock & Forest Hills Rd/Yost Blvd
77,181,0,0,0,9239.322904,73315,25, ,Unity & Trestle ,Rd, ,Unity & Trestle Rd,Unity-Center Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3316-00,SNOW,331600, ,73315, ,,,,Unity & Trestle Rd
78,183,0,0,0,5800.439176,73385,50, ,Stroschein ,Rd, ,Stroschein Rd,Stroschein Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3298-02,SNOW-MA,329802MA, ,73385, ,,,,Stroschein Rd
79,184,0,0,0,6799.813764,73393,65, ,Pitcairn ,Rd, ,Pitcairn Rd,Pitcairn Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3253-00,SNOW-MA,325300MA, ,73393, ,,,,Pitcairn Rd
80,96,0,0,0,3116.727726,49050,16, ,Coulterville ,Rd, ,Coulterville Rd,"Coulterville Rd, Coulter Rd",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4090-01,SNOW,409001, ,49050, ,,,,Coulterville Rd
81,97,0,0,0,3817.236272,49155,14, ,Maple Springs ,Dr, ,Maple Springs Dr,Maple Springs Dr,0,0,0,0, , ,County, , ,0, , ,1630,0,  5192-00,SNOW,519200, ,49155, ,,,,Maple Springs Dr
82,98,0,0,0,10650.00046,49556,44, ,Buena Vista & Greenock ,Rd, ,Buena Vista & Greenock Rd,Greenock Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4053-00,SNOW,405300, ,49556, ,,,,Buena Vista-Greenock Rd
83,99,0,0,0,5452.826507,49972,4, ,Coal Valley ,Rd, ,Coal Valley Rd,"Coal vallley Rd # 4, Chamberlain Rd",0,0,0,0, , ,County, , ,0, , ,1630,0,  5081-04,SNOW,508104, ,49972, ,,,,Coal Valley Rd
84,,0,0,0,704.283193,71381,, ,Haymaker (at Jughandle),Rd, ,Haymaker (at Jughandle)Rd,Haymaker Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,3142-04,,314204,,,,,,,
85,568,0,0,0,2142.780783,56286,4, ,Newton & Rodi ,Rd, ,Newton & Rodi Rd,Jefferson Rd,0,0,0,0, , , , ,Yes,0, , ,1630,0,  3234-01,SNOW,323401, ,80352, ,,,,Newton & Rodi Rd/ Jefferson Rd
86,190,0,0,0,8745.610523,73662,112, ,Wall ,Rd, ,Wall Rd,Wall Ave,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4321-00,SNOW,432100, ,73662, ,,,,Wall Rd
87,100,0,0,0,7227.14762,50184,3, ,Coulterville ,Rd, ,Coulterville Rd,Coulterville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4090-02,SNOW,409002, ,50184, ,,,,Coulterville Rd
88,101,0,0,0,8363.707684,50849,25, ,Brownsville & Library ,Rd, ,Brownsville & Library Rd,Brownsville & Library Rd (Piney Fork),0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5049-00,SNOW,504900, ,50849, ,,,,Brownsville / Library Rd
89,102,0,0,0,6820.609838,51157,16, ,Buena Vista & Lovedale ,Rd, ,Buena Vista & Lovedale Rd,Broadlawn Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4054-00,SNOW,405400, ,51157, ,,,,Buena Vista-Lovedale Rd
90,103,0,0,0,6423.676355,51272,45, ,Scotia Hollow ,Rd, ,Scotia Hollow Rd,Scotia Hollow Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4277-00,SNOW,427700, ,51272, ,,,,Scotia Hollow Rd
91,104,0,0,0,12485.387065,51318,13, ,Rock Run ,Rd, ,Rock Run Rd,Rock Run Rd,0,0,0,0, , , , , ,0, , ,1630,0,  4267-00,SNOW,426700, ,51318, ,,,,Rock Run Rd
92,105,0,0,0,12319.874323,51723,7, ,Simpson Howell ,Rd, ,Simpson Howell Rd,Simpson Howell Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4284-00,SNOW,428400, ,51723, ,,,,Simpson Howell Rd
93,106,0,0,0,12932.432421,51793,5, ,Monongahela & Elizabeth ,Rd, ,Monongahela & Elizabeth Rd,Warren Hill,0,0,0,0, , ,County, , ,0, , ,1630,0,  4215-00,SNOW,421500, ,51793, ,,,,Monongahela & Elizabeth Rd
94,92,0,0,0,224.355306,48244,14, ,Broughton &Cochrans Mill ,Rd, ,Broughton &Cochrans Mill Rd,Cochran Mill Rd,0,0,0,0, , ,County, , ,0, , ,1620,0,  5045-02,SNOW,504502, ,48244, ,,,,Broughton / Cochran Mill Rd
95,93,0,0,0,13034.923552,48596,39, ,Mowery Gill Hall&Cochran Mill ,Rd, ,Mowery Gill Hall&Cochran Mill Rd,Gill hall rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5226-00,SNOW,522600, ,48596, ,,,,Mowery Gill Hall / Cochran Mill
96,94,0,0,0,12346.035153,48771,32, ,Catfish Run ,Rd, ,Catfish Run Rd,Corrigan Dr,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5065-00,SNOW,506500, ,48771, ,,,,Catfish Run Rd
97,95,0,0,0,5584.863468,48995,45, ,Brownsville ,Rd, ,Brownsville Rd,Brownsville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5050-03,SNOW,505003, ,48995, ,,,,Brownsville Rd
98,117,0,0,0,3936.383912,55737,22, ,Old Freeport ,Rd, ,Old Freeport Rd,Old Freeport Rd Loop,0,0,0,0, , ,County, , ,0, , ,1630,0,  2345-00,SNOW-MA,234500MA, ,55737, ,,,,"Freeport Rd, Old"
99,118,0,0,0,3426.896224,55908,16, ,Cliff Mine / Coraopolis Hgts ,Rd, ,Cliff Mine / Coraopolis Hgts Rd,Cliff Mine / Coraopolis Hgts Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6075-02,SNOW,607502, ,55908, ,,,,Cliff Mine / Coraopolis Hgts Rd
100,119,0,0,0,3966.994923,55920,26, ,Lincoln Ave & Wildwood ,Rd, ,Lincoln Ave & Wildwood Rd,Nadine Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3179-02,SNOW,317902, ,55920, ,,,,Lincoln Ave & Wildwood Rd/ Nadine Rd
101,120,0,0,0,12104.50031,55978,37, ,Pierson Run ,Rd, ,Pierson Run Rd,Pierson Run Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3252-00,SNOW,325200, ,55978, ,,,,Pierson Run Rd
102,121,0,0,0,1840.749949,56197,17, ,Spring Miller ,Rd, ,Spring Miller Rd,Spring (Miller) Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3287-00,SNOW,328700, ,56197, ,,,,Spring (Miller) Rd
103,122,0,0,0,3385.607054,56219,23, ,Lindsey ,Ln, ,Lindsey Ln,Lindsey Ln,0,0,0,0, , ,County, , ,0, , ,1630,0,  3181-00,SNOW,318100, ,56219, ,,,,Lindsey Ln
104,580,0,0,0,6285.495984,33990,43, ,Braddock &Ardmore ,Rd, ,Braddock &Ardmore Rd,Wilkens Ave,0,0,0,0, , ,County, , ,0, , ,1630,0,  3036-00,SNOW-MA,303600MA, ,80432, ,,,,Braddock & Ardmore Rd
105,69,0,0,0,10296.853019,38076,91, ,Greensburg ,Pike, ,Greensburg Pike,Greensburg Pike,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4139-02,SNOW,413902, ,38076, ,,,,Greensburg Pike
106,70,0,0,0,9632.354307,38644,215, ,Elwyn ,Rd, ,Elwyn Rd,McNeilly Rd,0,0,0,0, , ,County,Blue,Yes,0, , ,1630,0,  5116-00,SNOW-MA-ALCO,511600, ,38644, ,,,,Elwyn Rd/ Mc Neilly Rd
107,71,0,0,0,1184.317965,39321,287, ,Sussex ,Ave, ,Sussex Ave,Sussex Ave,0,0,0,0, , ,County, , ,0, , ,1630,0,  5300-00,SNOW-MA-ALCO,530000, ,39321, ,,,,Sussex Ave
108,73,0,0,0,3867.88001,40811,65, ,Vanadium ,Rd, ,Vanadium Rd,Vanadium Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6318-03,SNOW,631803, ,40811, ,,,,Vanadium Rd
109,75,0,0,0,1251.287008,41136,4, ,Boower Hill Rd #1,, ,Boower Hill Rd #1,Vanadium Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6318-01,SNOW,631801, ,41136, ,,,,Bower Hill Rd
