Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Sum,Maledlarecipunder16,Maledlarecip16to34,Maledlarecip35to49,Maledlarecip50to64,Maledlarecip65plus,Femaledlarecipunder16,Femaledlarecip16to34,Femaledlarecip35to49,Femaledlarecip50to64,Femaledlarecip65plus
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,470,30,40,50,60,40,10,20,60,90,70
95FF08,FORT,BANBRIDGE,310,10,20,20,50,50,0,10,30,50,70
95FF09,GILFORD,BANBRIDGE,310,10,30,30,50,40,0,20,30,50,50
95FF10,GRANSHA,BANBRIDGE,260,20,20,20,30,40,20,20,30,40,40
95FF11,KATESBRIDGE,BANBRIDGE,210,10,10,20,20,40,10,10,30,30,30
95FF12,LAWRENCETOWN,BANBRIDGE,310,10,20,30,50,40,10,10,30,50,60
95FF13,LOUGHBRICKLAND,BANBRIDGE,310,10,20,30,50,40,10,10,30,70,60
95FF14,QUILLY,BANBRIDGE,180,10,10,20,30,30,0,0,10,30,30
95FF15,RATHFRILAND,BANBRIDGE,330,10,20,30,50,60,10,10,30,40,70
95FF16,SEAPATRICK,BANBRIDGE,250,10,20,20,40,40,10,10,30,30,60
95FF17,THE CUT,BANBRIDGE,340,10,30,40,50,40,10,20,20,60,70
95GG01,ANDERSONSTOWN,BELFAST,1010,30,60,50,160,170,10,50,60,160,270
95GG02,ARDOYNE,BELFAST,1400,90,100,130,190,170,40,90,130,230,240
95GG03,BALLYHACKAMORE,BELFAST,420,20,30,30,60,50,10,20,40,60,90
95GG04,BALLYMACARRETT,BELFAST,1010,60,80,70,170,120,20,60,80,160,180
95GG05,BALLYNAFEIGH,BELFAST,510,30,60,60,80,50,10,20,60,70,70
95GG06,BALLYSILLAN,BELFAST,780,60,60,60,120,80,30,30,60,130,140
95GG07,BEECHMOUNT,BELFAST,1140,60,100,100,170,130,30,70,120,180,180
95GG08,BELLEVUE,BELFAST,640,60,50,50,90,80,20,40,70,90,90
95GG09,BELMONT,BELFAST,590,50,40,30,70,70,10,40,40,120,110
95GG10,BLACKSTAFF,BELFAST,510,40,40,60,70,60,10,20,50,80,80
95GG11,BLOOMFIELD (BELFAST),BELFAST,610,30,50,50,90,80,20,30,50,100,120
95GG12,BOTANIC,BELFAST,650,40,70,110,100,50,20,40,50,120,50
95GG13,CASTLEVIEW,BELFAST,580,40,40,50,70,90,10,20,50,100,110
95GG14,CAVEHILL,BELFAST,310,30,30,20,40,40,10,20,30,40,60
95GG15,CHERRYVALLEY,BELFAST,380,30,20,30,60,50,10,20,30,60,90
95GG16,CHICHESTER PARK,BELFAST,720,40,60,80,110,80,20,40,70,110,120
95GG17,CLIFTONVILLE,BELFAST,900,70,80,80,110,110,30,50,90,130,150
95GG18,CLONARD,BELFAST,1140,70,100,120,170,120,30,70,110,190,150
95GG19,CRUMLIN (BELFAST),BELFAST,1150,60,80,80,150,170,20,50,110,190,240
95GG20,DUNCAIRN,BELFAST,890,60,90,100,160,100,20,50,80,100,120
95GG21,FALLS,BELFAST,1330,60,100,170,220,140,20,60,120,220,220
95GG22,FALLS PARK,BELFAST,1000,40,50,60,120,160,20,40,60,200,260
95GG23,FINAGHY,BELFAST,320,20,30,20,40,50,10,10,20,60,70
95GG24,FORTWILLIAM,BELFAST,510,30,20,40,70,80,10,30,40,90,110
95GG25,GLEN ROAD,BELFAST,1210,80,80,80,210,130,30,70,120,220,210
95GG26,GLENCAIRN,BELFAST,680,50,40,50,70,100,20,40,60,90,170
95GG27,GLENCOLIN,BELFAST,1320,60,90,130,160,180,30,70,120,220,270
95GG28,HIGHFIELD,BELFAST,880,60,50,50,100,120,20,40,80,170,180
95GG29,ISLAND,BELFAST,690,60,50,50,70,80,30,30,70,130,120
95GG30,KNOCK,BELFAST,420,30,20,20,60,60,20,20,30,80,90
95GG31,LADYBROOK,BELFAST,1130,70,70,80,130,180,30,50,110,180,220
95GG32,LEGONIEL,BELFAST,960,50,60,70,150,110,30,60,80,150,190
95GG33,MALONE,BELFAST,240,20,20,30,40,30,10,10,20,30,30
95GG34,MUSGRAVE,BELFAST,500,30,30,30,60,70,10,30,40,100,110
95GG35,NEW LODGE,BELFAST,1310,60,100,150,200,180,30,60,100,210,230
