Play area name,Facility,Address,Neighborhood,Dedicated Park,AKA Name,Spring Rider,Modular 2-5,Modular 5-12,Modular 2-12,Swing Frame,Climber,Whirl,Slide (Stand Alone),Type of Safety Surface,Swing JR,Swing Baby,,,,,,,,,
Niagara,NIAGARA PARKLET,Craft Ave. & Niagara St.,South Oakland,Schenley,,,1,1,,,,,,Pour in Place,0,0,,,,,,,,,
Oakwood,OAKWOOD PLAYGROUND,Craftmont & Durbin St.,Oakwood,Western,,,1,1,,X,,,,Pour in Place,2,4,,,,,,,,,
Olympia,OLYMPIA PARK,Virginia & Olympia St.,Mount Washington,Western,,2,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Ormsby,ORMSBY PLAYGROUND,22nd & Sidney St.,Southside Flats,Southern,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Osceola,OSCEOLA PARKLET,Osceola St.,Bloomfield,Northeast,,,1,1,,X,,,,Pour in Place,,,,,,,,,,,
Pauline,PAULINE PARKLET,Pauline Ave.,Beechview,Western,,,,,1,X,,1,,SofSurfaces,4,2,,,,,,,,,
Paulson,PAULSON PLAYGROUND,Paulson Ave.,Lincoln-Lemington-Belmar,Eastern,,,1,1,,X,,,,Tiles,2,2,,,,,,,,,
Phillip Murray,PHILLIP MURRAY PLAYGROUND,Mountain St.,Mt. Oliver Neigborhood,Southern,,,,,,,,,,Pour in Place,3,3,,,,,,,,,
Phillips Park,PHILLIPS PARK,Parkfield & Sinton St.,Carrick,Southern,,,1,1,,X,,,,Pour in Place,3,1,,,,,,,,,
Ream,REAM PARKLET,Merrimac St.,Mount Washington,Western,,,,,,X,2,,2,SofSurfaces,4,2,,,,,,,,,
Activities Building,RIVERVIEW PARK,Riverview Dr.,Perry North,Northern,,,1,1,,X,,,,Pour in Place,6,2,,,,,,,,,
Robert E Williams,ROBERT E WILLIAMS PARK,Milwaukee & Adelaide St.,Upper Hill,Schenley,,1,1,1,,X,,1,,Pour in Place,4,2,,,,,,,,,
Roland Lockridge,ROLAND LOCKRIDGE COMMUNITY PARK,Revenue St.,New Homestead,Southern,Roland Lockridge Community Park,,,,,X,,,,Pour in Place,2,2,,,,,,,,,
Anderson,SCHENLEY PARK,Across Panther Hollow Bridge.,Squirrel Hill South,Schenley,,2,1,1,,X,,1,,Pour in Place,,,,,,,,,,,
Bartlett,SCHENLEY PARK,Bartlett Rd.,Squirrel Hill South,Schenley,,3,1,1,,X,,,,SofSurfaces (swings) / Pour in Place,4,2,,,,,,,,,
D.L.Lawrence,SCHENLEY PARK,Overlook Dr.,Squirrel Hill South,Schenley,,,,,1,,,,,Pour in Place,,,,,,,,,,,
Vietnam,SCHENLEY PARK,Overlook Dr.,Squirrel Hill South,Schenley,,,,,1,X,,,,Pour in Place,4,2,,,,,,,,,
Overlook,SCHENLEY PARK,Overlook Dr.,Squirrel Hill South,Schenley,,,,,1,X,,,,Pour in Place,2,2,,,,,,,,,
Oval,SCHENLEY PARK,Overlook Dr.,Squirrel Hill South,Schenley,,,,,,X,,,,SofSurfaces,4,2,,,,,,,,,
SHALANE'S PLAY YARD,SHALANE'S PLAY YARD,Dunseith & Terrance St,West Oakland,Schenley,DUNSEITH TOT LOT,,1,1,,,,,,SofSurfaces,0,0,,,,,,,,,
Sheraden Lower,SHERADEN PARK,Thornton St.,Sheraden,Western,,,,1,,X,,1,,Pour in Place,4,2,,,,,,,,,
Sheraden Upper,SHERADEN PARK,Thornton St.,Sheraden,Western,,,1,,,X,,,,Pour in Place,,4,,,,,,,,,
Quarry,SOUTHSIDE PARK,Quarry St.,Southside Slopes,Southern,,,,,,X,,,,Pour in Place,8,3,,,,,,,,,
Spring Garden School,SPRING GARDEN SCHOOL,Spring Garden Ave.,Spring Garden,Northern,,,1,1,,X,,,,Pour in Place,4,0,,,,,,,,,
Spring Hill,SPRING HILL PLAYGROUND,South Side St.,Spring Hill-City View,Northern,,,1,1,,X,,,,"Pour in Place (2-5, 5-12) Tiles (swings)",4,2,,,,,,,,,
Sterett School,STERRETT SCHOOL,Lang & Edgerton St.,Point Breeze,Eastern,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Stratmore,STRATMORE PARKLET,Stratmore St.,Crafton Heights,Western,,,1,1,,,,,,Pour in Place,,,,,,,,,,,
Swisshelm,SWISSHELM PARKLET,Onondago & Whipple St.,Swisshelm Park,Eastern,,3,1,1,,X,,1,,Pour in Place,4,2,,,,,,,,,
