X,Y,OBJECTID_1,OBJECTID,TAG,REF_No,ITEM,LOCATION,CRITERIA,BUILD_DATE,GlobalID
171.868503607733373,-42.118246329768638,42,42,285,285,Reefton Courthouse (former),47 Bridge Street,Historic,1873,21a8a13e-c68b-4904-a5a1-e4fc21f80e94
171.59774241961199,-41.765586741942521,43,43,304,304,Buller Bridge Plaque,"East Side of Bridge, Adjacent to Esplanade",Historic,1976,06565d20-aad9-4218-bd60-3ff0f2dbf694
171.928029675303975,-41.869057140621059,44,44,302,302,Bard of Inangahua Plaque,Inangahua Railway Station,Cultural/Historic,-,1fbd6cff-d1bb-45ab-82ce-c79a565aa5cd
171.866010265422489,-42.117759880170325,45,45,301,301,Reefton Hydro Electric Plaque,Buller Road,Cultural/Historic,1960,d951cc2b-47ad-40f5-b52f-c2680f79da98
171.86626940808415,-42.11798320543005,46,46,295,295,War Memorial Obelisk,Cnr Buller Rd and Walsh Street,Historic,-,1156cfd7-e3af-4f00-9f7a-40bdf15bad9a
171.862693561434838,-42.11629557131986,47,47,308,308,Replica Streetlight Standards,"Sinnamon Street,",Historic/Cultural,1988,26798fb1-e7fe-40ab-aafc-915ba8603064
171.8641109558057,-42.119467515260368,48,48,303,303,Electricity Centennial Plaque,"Adjacent Dawsons Hotel, Reefton",Cultural/Historic,1988,ab6002a4-1d7c-43c0-b8f8-f21987595ed0
171.864058476968182,-42.119466987585923,49,49,307,307,Replica Streetlight Standards,"Broadway, Reefton",Historic/Cultural,1988,b9c3e43f-eb41-4fc5-90b1-5b7a81be59ce
172.069357103273575,-41.813070101062543,50,50,310,310,Newmans Lookout,Earthquake Slip Location,Historic/Cultural, ,a80af955-6e90-4f4f-8402-3ae62c8f3ac5
172.120049947070697,-41.266775049784137,51,51,299,299,Karamea Special Settlement Plaque,Karamea,Cultural/Historic,1975,006802d9-63d7-4fb0-b63b-efa664bcdcaf
172.399871081352899,-42.379328928271406,52,52,300,300,Cannibal Gorge Plaque,"Mouth of Cannibal Gorge, Lewis Pass State Highway No. 7",Cultural/Historic,1962,19c81eb9-1395-4279-959a-332045b642d0
172.104444935820084,-41.808948355961199,53,53,298,298,Brunner Plaque,Buller Gorge Highway No. 6,Cultural/ Historic,1962,c5d3d153-e336-4d1e-8d1e-1fcae978ef13
