Councils,Variable,Date,Value ($000)
Auckland City,19 Total Assets,2013,11488654
Auckland City,20 Public Debt,2013,1251836
Auckland City,21 Non-current,2013,1251800
Auckland City,22 Current,2013,36
Auckland City,23 Other Liabilities,2013,215620
Auckland City,24 Total Liabilities,2013,1467456
Auckland City,25 Equity,2013,10021198
Auckland City,14 Monetary Assets,2014,550108
Auckland City,16 Fixed Assets,2014,10625918
Auckland City,17 Investment properties,2014,7650
Auckland City,18 Other Assets,2014,747932
Auckland City,19 Total Assets,2014,11931608
Auckland City,20 Public Debt,2014,1416187
Auckland City,21 Non-current,2014,1416023
Auckland City,22 Current,2014,164
Auckland City,23 Other Liabilities,2014,214038
Auckland City,24 Total Liabilities,2014,1630225
Auckland City,25 Equity,2014,10301383
Auckland City,14 Monetary Assets,2015,551849
Auckland City,16 Fixed Assets,2015,10899997
Auckland City,17 Investment properties,2015,7781
Auckland City,18 Other Assets,2015,749021
Auckland City,19 Total Assets,2015,12208648
Auckland City,20 Public Debt,2015,1400589
Auckland City,21 Non-current,2015,1400422
Auckland City,22 Current,2015,167
Auckland City,23 Other Liabilities,2015,216946
Auckland City,24 Total Liabilities,2015,1617535
Auckland City,25 Equity,2015,10591113
Auckland City,14 Monetary Assets,2016,557639
Auckland City,16 Fixed Assets,2016,11162198
Auckland City,17 Investment properties,2016,7914
Auckland City,18 Other Assets,2016,750752
Auckland City,19 Total Assets,2016,12478503
Auckland City,20 Public Debt,2016,1349717
Auckland City,21 Non-current,2016,1349717
Auckland City,22 Current,2016,0
Auckland City,23 Other Liabilities,2016,220082
Auckland City,24 Total Liabilities,2016,1569799
Auckland City,25 Equity,2016,10908704
Auckland Region,14 Monetary Assets,2007,250
Auckland Region,16 Fixed Assets,2007,208691
Auckland Region,17 Investment properties,2007,0
Auckland Region,18 Other Assets,2007,913359
Auckland Region,19 Total Assets,2007,1122300
Auckland Region,20 Public Debt,2007,32246
Auckland Region,21 Non-current,2007,0
Auckland Region,22 Current,2007,32246
Auckland Region,23 Other Liabilities,2007,119456
Auckland Region,24 Total Liabilities,2007,151702
Auckland Region,25 Equity,2007,970598
Auckland Region,14 Monetary Assets,2008,250
Auckland Region,16 Fixed Assets,2008,221095
Auckland Region,17 Investment properties,2008,0
Auckland Region,18 Other Assets,2008,861297
Auckland Region,19 Total Assets,2008,1082642
Auckland Region,20 Public Debt,2008,45902
Auckland Region,21 Non-current,2008,0
Auckland Region,22 Current,2008,45902
Auckland Region,23 Other Liabilities,2008,67856
Auckland Region,24 Total Liabilities,2008,113758
Auckland Region,25 Equity,2008,968884
Auckland Region,14 Monetary Assets,2009,250
Auckland Region,16 Fixed Assets,2009,221502
Auckland Region,17 Investment properties,2009,0
Auckland Region,18 Other Assets,2009,849117
Auckland Region,19 Total Assets,2009,1070869
Auckland Region,20 Public Debt,2009,46829
Auckland Region,21 Non-current,2009,0
Auckland Region,22 Current,2009,46829
Auckland Region,23 Other Liabilities,2009,55970
Auckland Region,24 Total Liabilities,2009,102799
Auckland Region,25 Equity,2009,968070
Auckland Region,14 Monetary Assets,2010,250
Auckland Region,16 Fixed Assets,2010,225629
Auckland Region,17 Investment properties,2010,0
Auckland Region,18 Other Assets,2010,846349
Auckland Region,19 Total Assets,2010,1072228
Auckland Region,20 Public Debt,2010,46612
Auckland Region,21 Non-current,2010,0
Auckland Region,22 Current,2010,46612
Auckland Region,23 Other Liabilities,2010,53396
Auckland Region,24 Total Liabilities,2010,100008
Auckland Region,25 Equity,2010,972220
Auckland Region,14 Monetary Assets,2011,250
Auckland Region,16 Fixed Assets,2011,243516
Auckland Region,17 Investment properties,2011,0
Auckland Region,18 Other Assets,2011,837123
Auckland Region,19 Total Assets,2011,1080889
Auckland Region,20 Public Debt,2011,58180
Auckland Region,21 Non-current,2011,0
Auckland Region,22 Current,2011,58180
Auckland Region,23 Other Liabilities,2011,44479
Auckland Region,24 Total Liabilities,2011,102659
Auckland Region,25 Equity,2011,978230
Auckland Region,14 Monetary Assets,2012,250
Auckland Region,16 Fixed Assets,2012,248593
Auckland Region,17 Investment properties,2012,0
Auckland Region,18 Other Assets,2012,837903
Auckland Region,19 Total Assets,2012,1086746
Auckland Region,20 Public Debt,2012,54364
Auckland Region,21 Non-current,2012,0
Auckland Region,22 Current,2012,54364
Auckland Region,23 Other Liabilities,2012,45900
Auckland Region,24 Total Liabilities,2012,100264
Auckland Region,25 Equity,2012,986482
Auckland Region,14 Monetary Assets,2013,250
Auckland Region,16 Fixed Assets,2013,253449
Auckland Region,17 Investment properties,2013,0
Auckland Region,18 Other Assets,2013,838598
Auckland Region,19 Total Assets,2013,1092297
Auckland Region,20 Public Debt,2013,49836
Auckland Region,21 Non-current,2013,0
Auckland Region,22 Current,2013,49836
Auckland Region,23 Other Liabilities,2013,47532
Auckland Region,24 Total Liabilities,2013,97368
Auckland Region,25 Equity,2013,994929
Auckland Region,14 Monetary Assets,2014,250
