Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554542,236874,352596,1.2958816,0.5773953,-0.0969922
554543,233391,361684,1.9984864,-0.2053282,0.1826672
554544,233432,357848,1.339024,0.444781,-0.0434404
554545,234587,352290,1.1921344,0.1446539,-0.1079009
554546,236300,350396,1.2845824,0.9094296,0.0557296
554548,235730,351284,1.3164256,-0.2980585,0.0438292
554549,241355,345962,1.0544896,-0.3658613,-0.100959
554550,237400,357631,2.0765536,0.4467752,0.4355507
554551,247436,351133,25.4104288,0.3460681,1.366757
554552,231640,355642,2.2409056,2.3133464,0.3770404
554553,246293,350917,1.39552,-0.2601687,0.0398624
554554,248451,348531,1.8310528,0.7219748,0.4702602
554555,241682,347415,1.3143712,0.2672972,0.0140782
554556,239175,349655,5.2896352,0.5006186,0.6219903
554557,233556,351254,2.1731104,1.0809308,1.1208154
554558,235517,361355,2.1720832,1.13278,0.771737
554559,236692,360216,1.5074848,0.4896505,0.4424926
554561,237552,353802,1.0904416,0.5155751,0.1826672
554562,231526,353584,1.1192032,0.1915176,-0.0622827
554563,240697,344312,5.2865536,-0.2611658,0.275887
554564,230475,356549,2.1309952,2.2335784,0.6269488
554565,237366,355350,1.0914688,0.2104625,0.3730736
554567,234347,350681,1.7776384,0.1685843,0.0706051
554568,246099,352280,1.2917728,0.6830879,0.1707668
554569,240668,348556,1.2989632,-0.183392,0.0626715
554570,233917,349283,1.0472992,-0.4645742,0.0061446
554571,244667,352557,1.01032,-0.9840633,0.2213435
554572,234171,354197,1.3010176,-0.2910788,0.0795304
554573,233486,359765,1.5424096,0.5075983,0.26597
554574,238398,354147,0.8850016,0.5075983,-0.0533574
554575,229417,353467,1.2804736,0.2712856,0.5505879
554576,229616,361385,2.2645312,3.1359539,0.4177001
554577,236686,358220,1.8505696,0.394926,0.7459528
554578,242615,346834,0.9877216,0.0369671,0.0071363
554579,229512,357498,1.5670624,1.4927331,0.4593515
554580,240290,352301,1.8608416,0.4726998,0.1152316
554581,231307,359285,16.7388064,1.4358984,0.7776872
554582,233087,355691,2.8870144,0.8007457,0.3234886
554583,224844,354288,1.4530432,0.6771053,0.1975427
554584,232450,352915,1.611232,0.6322358,0.3443143
554585,235451,349259,1.303072,0.2034828,0.3760487
554586,230545,358320,1.2907456,0.5464852,0.0944059
554587,233431,353489,14.579632,0.2164451,0.3542313
554588,237507,359262,2.08888,2.5606272,0.4603432
554589,232649,354313,1.3153984,1.2713769,0.2153933
554590,235498,359695,1.3010176,0.8864963,0.0765553
554591,241470,343290,1.8875488,0.474694,0.3899325
554592,240602,350645,1.749904,1.4648143,0.226302
554593,228193,358401,1.7529856,0.8645601,0.0567213
554594,239373,351130,1.3534048,1.4907389,0.0844889
554595,236189,356172,1.6071232,0.3131638,0.1628332
554597,234330,358854,3.0616384,-0.0258502,0.5109199
554598,234687,360513,1.9440448,0.0130367,-0.3498757
554599,228841,354221,1.4396896,-0.4177105,0.6844674
554600,240493,346601,1.0390816,-1.1984398,-0.2338468
554601,244470,350388,1.1520736,0.7259632,0.0507711
554602,240347,358484,2.3857408,0.5016157,0.6249654
554603,249409,343442,1.3112896,0.7219748,0.1459743
554604,256632,346367,0.9928576,0.5594475,-0.0454238
554605,256511,344783,1.2856096,-1.001014,0.2629949
554606,253956,347397,1.2928,0.4627288,-0.1168262
