Council,Financial,Date,Value ($000)
Ashburton District,28 Net Operating Cash Flows,2015,17338
Ashburton District,29 Receipts from Investing Activities,2015,0
Ashburton District,30 Purchase of Property Plant & Equipment,2015,10783
Ashburton District,31 Fixed asset purchases,2015,2614
Ashburton District,32 Renewals,2015,8169
Ashburton District,33 Purchase of Other investments,2015,6299
Ashburton District,34 Net Investing Cash Flows,2015,7082
Ashburton District,35 Cash Receipts from Financing Activities,2015,0
Ashburton District,36 Cash Outgoings from Financing Activities,2015,256
Ashburton District,37 Net Financing Cash Flows,2015,-256
Ashburton District,26 Operating Receipts,2016,40730
Ashburton District,27 Operating Payments,2016,22746
Ashburton District,28 Net Operating Cash Flows,2016,17984
Ashburton District,29 Receipts from Investing Activities,2016,0
Ashburton District,30 Purchase of Property Plant & Equipment,2016,11873
Ashburton District,31 Fixed asset purchases,2016,3240
Ashburton District,32 Renewals,2016,8633
Ashburton District,33 Purchase of Other investments,2016,5855
Ashburton District,34 Net Investing Cash Flows,2016,7728
Ashburton District,35 Cash Receipts from Financing Activities,2016,0
Ashburton District,36 Cash Outgoings from Financing Activities,2016,256
Ashburton District,37 Net Financing Cash Flows,2016,-256
Auckland City,26 Operating Receipts,2007,613160
Auckland City,27 Operating Payments,2007,374874
Auckland City,28 Net Operating Cash Flows,2007,238286
Auckland City,29 Receipts from Investing Activities,2007,125459
Auckland City,30 Purchase of Property Plant & Equipment,2007,367496
Auckland City,31 Fixed asset purchases,2007,0
Auckland City,32 Renewals,2007,0
Auckland City,33 Purchase of Other investments,2007,29888
Auckland City,34 Net Investing Cash Flows,2007,-271925
Auckland City,35 Cash Receipts from Financing Activities,2007,56996
Auckland City,36 Cash Outgoings from Financing Activities,2007,86081
Auckland City,37 Net Financing Cash Flows,2007,-29085
Auckland City,26 Operating Receipts,2008,716784
Auckland City,27 Operating Payments,2008,387486
Auckland City,28 Net Operating Cash Flows,2008,329298
Auckland City,29 Receipts from Investing Activities,2008,26462
Auckland City,30 Purchase of Property Plant & Equipment,2008,510868
Auckland City,31 Fixed asset purchases,2008,0
Auckland City,32 Renewals,2008,0
Auckland City,33 Purchase of Other investments,2008,6608
Auckland City,34 Net Investing Cash Flows,2008,-491014
Auckland City,35 Cash Receipts from Financing Activities,2008,171857
Auckland City,36 Cash Outgoings from Financing Activities,2008,12546
Auckland City,37 Net Financing Cash Flows,2008,159311
Auckland City,26 Operating Receipts,2009,739239
Auckland City,27 Operating Payments,2009,410479
Auckland City,28 Net Operating Cash Flows,2009,328760
Auckland City,29 Receipts from Investing Activities,2009,69679
Auckland City,30 Purchase of Property Plant & Equipment,2009,592139
Auckland City,31 Fixed asset purchases,2009,0
Auckland City,32 Renewals,2009,0
Auckland City,33 Purchase of Other investments,2009,237
Auckland City,34 Net Investing Cash Flows,2009,-522697
Auckland City,35 Cash Receipts from Financing Activities,2009,228323
Auckland City,36 Cash Outgoings from Financing Activities,2009,29365
Auckland City,37 Net Financing Cash Flows,2009,198958
Auckland City,26 Operating Receipts,2010,892167
Auckland City,27 Operating Payments,2010,436705
Auckland City,28 Net Operating Cash Flows,2010,455462
Auckland City,29 Receipts from Investing Activities,2010,23361
Auckland City,30 Purchase of Property Plant & Equipment,2010,648068
Auckland City,31 Fixed asset purchases,2010,0
Auckland City,32 Renewals,2010,0
Auckland City,33 Purchase of Other investments,2010,429
Auckland City,34 Net Investing Cash Flows,2010,-625136
Auckland City,35 Cash Receipts from Financing Activities,2010,255283
Auckland City,36 Cash Outgoings from Financing Activities,2010,76432
Auckland City,37 Net Financing Cash Flows,2010,178851
Auckland City,26 Operating Receipts,2011,949051
Auckland City,27 Operating Payments,2011,467673
Auckland City,28 Net Operating Cash Flows,2011,481378
Auckland City,29 Receipts from Investing Activities,2011,24606
Auckland City,30 Purchase of Property Plant & Equipment,2011,620393
Auckland City,31 Fixed asset purchases,2011,0
Auckland City,32 Renewals,2011,0
Auckland City,33 Purchase of Other investments,2011,453
Auckland City,34 Net Investing Cash Flows,2011,-596240
Auckland City,35 Cash Receipts from Financing Activities,2011,190594
Auckland City,36 Cash Outgoings from Financing Activities,2011,75518
Auckland City,37 Net Financing Cash Flows,2011,115076
Auckland City,26 Operating Receipts,2012,1003578
Auckland City,27 Operating Payments,2012,490841
Auckland City,28 Net Operating Cash Flows,2012,512737
Auckland City,29 Receipts from Investing Activities,2012,23520
Auckland City,30 Purchase of Property Plant & Equipment,2012,632742
Auckland City,31 Fixed asset purchases,2012,0
Auckland City,32 Renewals,2012,0
Auckland City,33 Purchase of Other investments,2012,477
Auckland City,34 Net Investing Cash Flows,2012,-609699
Auckland City,35 Cash Receipts from Financing Activities,2012,181555
Auckland City,36 Cash Outgoings from Financing Activities,2012,77662
Auckland City,37 Net Financing Cash Flows,2012,103893
Auckland City,26 Operating Receipts,2013,1034792
Auckland City,27 Operating Payments,2013,516881
Auckland City,28 Net Operating Cash Flows,2013,517911
Auckland City,29 Receipts from Investing Activities,2013,23442
Auckland City,30 Purchase of Property Plant & Equipment,2013,619421
Auckland City,31 Fixed asset purchases,2013,0
Auckland City,32 Renewals,2013,0
Auckland City,33 Purchase of Other investments,2013,504
Auckland City,34 Net Investing Cash Flows,2013,-596483
Auckland City,35 Cash Receipts from Financing Activities,2013,146219
Auckland City,36 Cash Outgoings from Financing Activities,2013,70294
Auckland City,37 Net Financing Cash Flows,2013,75925
Auckland City,26 Operating Receipts,2014,992389
Auckland City,27 Operating Payments,2014,535527
Auckland City,28 Net Operating Cash Flows,2014,456862
Auckland City,29 Receipts from Investing Activities,2014,23477
Auckland City,30 Purchase of Property Plant & Equipment,2014,552874
Auckland City,31 Fixed asset purchases,2014,0
Auckland City,32 Renewals,2014,0
Auckland City,33 Purchase of Other investments,2014,531
Auckland City,34 Net Investing Cash Flows,2014,-529928
Auckland City,35 Cash Receipts from Financing Activities,2014,164386
Auckland City,36 Cash Outgoings from Financing Activities,2014,88494
Auckland City,37 Net Financing Cash Flows,2014,75892
Auckland City,26 Operating Receipts,2015,1051537
Auckland City,27 Operating Payments,2015,554770
Auckland City,28 Net Operating Cash Flows,2015,496767
Auckland City,29 Receipts from Investing Activities,2015,22966
Auckland City,30 Purchase of Property Plant & Equipment,2015,407347
Auckland City,31 Fixed asset purchases,2015,0
Auckland City,32 Renewals,2015,0
Auckland City,33 Purchase of Other investments,2015,561
Auckland City,34 Net Investing Cash Flows,2015,-384942
Auckland City,35 Cash Receipts from Financing Activities,2015,0
Auckland City,36 Cash Outgoings from Financing Activities,2015,110182
Auckland City,37 Net Financing Cash Flows,2015,10182
Auckland City,26 Operating Receipts,2016,1099594
Auckland City,27 Operating Payments,2016,568520
Auckland City,28 Net Operating Cash Flows,2016,531074
Auckland City,29 Receipts from Investing Activities,2016,22796
Auckland City,30 Purchase of Property Plant & Equipment,2016,402235
Auckland City,31 Fixed asset purchases,2016,0
Auckland City,32 Renewals,2016,0
Auckland City,33 Purchase of Other investments,2016,592
Auckland City,34 Net Investing Cash Flows,2016,-380031
Auckland City,35 Cash Receipts from Financing Activities,2016,0
Auckland City,36 Cash Outgoings from Financing Activities,2016,145541
Auckland City,37 Net Financing Cash Flows,2016,45541
Auckland Region,26 Operating Receipts,2007,275712
Auckland Region,27 Operating Payments,2007,270959
Auckland Region,28 Net Operating Cash Flows,2007,4753
Auckland Region,29 Receipts from Investing Activities,2007,170
Auckland Region,30 Purchase of Property Plant & Equipment,2007,7890
Auckland Region,31 Fixed asset purchases,2007,0
Auckland Region,32 Renewals,2007,0
Auckland Region,33 Purchase of Other investments,2007,0
Auckland Region,34 Net Investing Cash Flows,2007,-7720
Auckland Region,35 Cash Receipts from Financing Activities,2007,2967
Auckland Region,36 Cash Outgoings from Financing Activities,2007,0
Auckland Region,37 Net Financing Cash Flows,2007,2967
Auckland Region,26 Operating Receipts,2008,307701
Auckland Region,27 Operating Payments,2008,301916
Auckland Region,28 Net Operating Cash Flows,2008,5785
Auckland Region,29 Receipts from Investing Activities,2008,134
Auckland Region,30 Purchase of Property Plant & Equipment,2008,19575
Auckland Region,31 Fixed asset purchases,2008,0
Auckland Region,32 Renewals,2008,0
Auckland Region,33 Purchase of Other investments,2008,0
Auckland Region,34 Net Investing Cash Flows,2008,9441
Auckland Region,35 Cash Receipts from Financing Activities,2008,13656
Auckland Region,36 Cash Outgoings from Financing Activities,2008,0
Auckland Region,37 Net Financing Cash Flows,2008,13656
Auckland Region,26 Operating Receipts,2009,296748
Auckland Region,27 Operating Payments,2009,289986
Auckland Region,28 Net Operating Cash Flows,2009,6762
Auckland Region,29 Receipts from Investing Activities,2009,138
Auckland Region,30 Purchase of Property Plant & Equipment,2009,7827
Auckland Region,31 Fixed asset purchases,2009,0
Auckland Region,32 Renewals,2009,0
Auckland Region,33 Purchase of Other investments,2009,0
Auckland Region,34 Net Investing Cash Flows,2009,-7689
Auckland Region,35 Cash Receipts from Financing Activities,2009,927
Auckland Region,36 Cash Outgoings from Financing Activities,2009,0
Auckland Region,37 Net Financing Cash Flows,2009,927
Auckland Region,26 Operating Receipts,2010,296824
Auckland Region,27 Operating Payments,2010,284490
Auckland Region,28 Net Operating Cash Flows,2010,12334
Auckland Region,29 Receipts from Investing Activities,2010,141
Auckland Region,30 Purchase of Property Plant & Equipment,2010,12258
Auckland Region,31 Fixed asset purchases,2010,0
Auckland Region,32 Renewals,2010,0
Auckland Region,33 Purchase of Other investments,2010,0
Auckland Region,34 Net Investing Cash Flows,2010,2117
Auckland Region,35 Cash Receipts from Financing Activities,2010,0
Auckland Region,36 Cash Outgoings from Financing Activities,2010,217
Auckland Region,37 Net Financing Cash Flows,2010,-217
Auckland Region,26 Operating Receipts,2011,303159
Auckland Region,27 Operating Payments,2011,288900
Auckland Region,28 Net Operating Cash Flows,2011,14259
Auckland Region,29 Receipts from Investing Activities,2011,146
Auckland Region,30 Purchase of Property Plant & Equipment,2011,25973
Auckland Region,31 Fixed asset purchases,2011,0
Auckland Region,32 Renewals,2011,0
Auckland Region,33 Purchase of Other investments,2011,0
Auckland Region,34 Net Investing Cash Flows,2011,-25827
Auckland Region,35 Cash Receipts from Financing Activities,2011,11568
Auckland Region,36 Cash Outgoings from Financing Activities,2011,0
Auckland Region,37 Net Financing Cash Flows,2011,11568
Auckland Region,26 Operating Receipts,2012,297304
Auckland Region,27 Operating Payments,2012,280648
Auckland Region,28 Net Operating Cash Flows,2012,16656
Auckland Region,29 Receipts from Investing Activities,2012,228
Auckland Region,30 Purchase of Property Plant & Equipment,2012,13068
Auckland Region,31 Fixed asset purchases,2012,0
Auckland Region,32 Renewals,2012,0
Auckland Region,33 Purchase of Other investments,2012,0
Auckland Region,34 Net Investing Cash Flows,2012,2840
Auckland Region,35 Cash Receipts from Financing Activities,2012,0
Auckland Region,36 Cash Outgoings from Financing Activities,2012,3816
Auckland Region,37 Net Financing Cash Flows,2012,-3816
Auckland Region,26 Operating Receipts,2013,276046
Auckland Region,27 Operating Payments,2013,258128
Auckland Region,28 Net Operating Cash Flows,2013,17918
Auckland Region,29 Receipts from Investing Activities,2013,151
Auckland Region,30 Purchase of Property Plant & Equipment,2013,13541
Auckland Region,31 Fixed asset purchases,2013,0
Auckland Region,32 Renewals,2013,0
Auckland Region,33 Purchase of Other investments,2013,0
Auckland Region,34 Net Investing Cash Flows,2013,3390
Auckland Region,35 Cash Receipts from Financing Activities,2013,0
Auckland Region,36 Cash Outgoings from Financing Activities,2013,4528
Auckland Region,37 Net Financing Cash Flows,2013,-4528
Auckland Region,26 Operating Receipts,2014,282422
Auckland Region,27 Operating Payments,2014,264285
Auckland Region,28 Net Operating Cash Flows,2014,18137
Auckland Region,29 Receipts from Investing Activities,2014,154
Auckland Region,30 Purchase of Property Plant & Equipment,2014,30077
Auckland Region,31 Fixed asset purchases,2014,0
Auckland Region,32 Renewals,2014,0
Auckland Region,33 Purchase of Other investments,2014,0
Auckland Region,34 Net Investing Cash Flows,2014,-29923
Auckland Region,35 Cash Receipts from Financing Activities,2014,11786
Auckland Region,36 Cash Outgoings from Financing Activities,2014,0
Auckland Region,37 Net Financing Cash Flows,2014,11786
Auckland Region,26 Operating Receipts,2015,293440
Auckland Region,27 Operating Payments,2015,275257
Auckland Region,28 Net Operating Cash Flows,2015,18183
Auckland Region,29 Receipts from Investing Activities,2015,157
Auckland Region,30 Purchase of Property Plant & Equipment,2015,13346
Auckland Region,31 Fixed asset purchases,2015,0
Auckland Region,32 Renewals,2015,0
Auckland Region,33 Purchase of Other investments,2015,0
Auckland Region,34 Net Investing Cash Flows,2015,3189
Auckland Region,35 Cash Receipts from Financing Activities,2015,0
Auckland Region,36 Cash Outgoings from Financing Activities,2015,4994
Auckland Region,37 Net Financing Cash Flows,2015,-4994
Auckland Region,26 Operating Receipts,2016,306511
Auckland Region,27 Operating Payments,2016,287534
Auckland Region,28 Net Operating Cash Flows,2016,18977
Auckland Region,29 Receipts from Investing Activities,2016,160
Auckland Region,30 Purchase of Property Plant & Equipment,2016,14304
Auckland Region,31 Fixed asset purchases,2016,0
Auckland Region,32 Renewals,2016,0
Auckland Region,33 Purchase of Other investments,2016,0
Auckland Region,34 Net Investing Cash Flows,2016,4144
Auckland Region,35 Cash Receipts from Financing Activities,2016,0
Auckland Region,36 Cash Outgoings from Financing Activities,2016,4833
Auckland Region,37 Net Financing Cash Flows,2016,-4833
Bay of Plenty Region,26 Operating Receipts,2007,50797
Bay of Plenty Region,27 Operating Payments,2007,42423
Bay of Plenty Region,28 Net Operating Cash Flows,2007,8373
Bay of Plenty Region,29 Receipts from Investing Activities,2007,3010
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2007,16960
Bay of Plenty Region,31 Fixed asset purchases,2007,0
Bay of Plenty Region,32 Renewals,2007,0
Bay of Plenty Region,33 Purchase of Other investments,2007,2456
Bay of Plenty Region,34 Net Investing Cash Flows,2007,6407
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2007,8300
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2007,0
Bay of Plenty Region,37 Net Financing Cash Flows,2007,8300
Bay of Plenty Region,26 Operating Receipts,2008,51988
Bay of Plenty Region,27 Operating Payments,2008,47232
Bay of Plenty Region,28 Net Operating Cash Flows,2008,4755
Bay of Plenty Region,29 Receipts from Investing Activities,2008,5393
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2008,18055
Bay of Plenty Region,31 Fixed asset purchases,2008,0
Bay of Plenty Region,32 Renewals,2008,0
Bay of Plenty Region,33 Purchase of Other investments,2008,2341
Bay of Plenty Region,34 Net Investing Cash Flows,2008,5004
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2008,11930
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2008,762
Bay of Plenty Region,37 Net Financing Cash Flows,2008,11167
Bay of Plenty Region,26 Operating Receipts,2009,67713
Bay of Plenty Region,27 Operating Payments,2009,52269
Bay of Plenty Region,28 Net Operating Cash Flows,2009,15443
Bay of Plenty Region,29 Receipts from Investing Activities,2009,5029
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2009,31667
Bay of Plenty Region,31 Fixed asset purchases,2009,0
Bay of Plenty Region,32 Renewals,2009,0
Bay of Plenty Region,33 Purchase of Other investments,2009,2158
Bay of Plenty Region,34 Net Investing Cash Flows,2009,-28795
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2009,14953
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2009,1027
Bay of Plenty Region,37 Net Financing Cash Flows,2009,13926
Bay of Plenty Region,26 Operating Receipts,2010,61984
Bay of Plenty Region,27 Operating Payments,2010,53206
Bay of Plenty Region,28 Net Operating Cash Flows,2010,8777
Bay of Plenty Region,29 Receipts from Investing Activities,2010,4425
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2010,13902
Bay of Plenty Region,31 Fixed asset purchases,2010,0
Bay of Plenty Region,32 Renewals,2010,0
Bay of Plenty Region,33 Purchase of Other investments,2010,2000
Bay of Plenty Region,34 Net Investing Cash Flows,2010,1478
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2010,5052
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2010,1332
Bay of Plenty Region,37 Net Financing Cash Flows,2010,3720
Bay of Plenty Region,26 Operating Receipts,2011,64881
Bay of Plenty Region,27 Operating Payments,2011,55222
Bay of Plenty Region,28 Net Operating Cash Flows,2011,9658
Bay of Plenty Region,29 Receipts from Investing Activities,2011,1361
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2011,15207
Bay of Plenty Region,31 Fixed asset purchases,2011,0
Bay of Plenty Region,32 Renewals,2011,0
Bay of Plenty Region,33 Purchase of Other investments,2011,1836
Bay of Plenty Region,34 Net Investing Cash Flows,2011,5682
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2011,5723
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2011,1518
Bay of Plenty Region,37 Net Financing Cash Flows,2011,4204
Bay of Plenty Region,26 Operating Receipts,2012,66912
Bay of Plenty Region,27 Operating Payments,2012,60145
Bay of Plenty Region,28 Net Operating Cash Flows,2012,6766
Bay of Plenty Region,29 Receipts from Investing Activities,2012,2635
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2012,10504
Bay of Plenty Region,31 Fixed asset purchases,2012,0
Bay of Plenty Region,32 Renewals,2012,0
Bay of Plenty Region,33 Purchase of Other investments,2012,1733
Bay of Plenty Region,34 Net Investing Cash Flows,2012,-9601
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2012,6076
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2012,1664
Bay of Plenty Region,37 Net Financing Cash Flows,2012,4412
Bay of Plenty Region,26 Operating Receipts,2013,67101
Bay of Plenty Region,27 Operating Payments,2013,58410
Bay of Plenty Region,28 Net Operating Cash Flows,2013,8691
Bay of Plenty Region,29 Receipts from Investing Activities,2013,3200
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2013,11619
Bay of Plenty Region,31 Fixed asset purchases,2013,0
Bay of Plenty Region,32 Renewals,2013,0
Bay of Plenty Region,33 Purchase of Other investments,2013,1692
Bay of Plenty Region,34 Net Investing Cash Flows,2013,111
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2013,4754
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2013,1809
Bay of Plenty Region,37 Net Financing Cash Flows,2013,2944
Bay of Plenty Region,26 Operating Receipts,2014,63066
Bay of Plenty Region,27 Operating Payments,2014,57195
Bay of Plenty Region,28 Net Operating Cash Flows,2014,5871
Bay of Plenty Region,29 Receipts from Investing Activities,2014,4648
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2014,5748
Bay of Plenty Region,31 Fixed asset purchases,2014,0
Bay of Plenty Region,32 Renewals,2014,0
Bay of Plenty Region,33 Purchase of Other investments,2014,1575
Bay of Plenty Region,34 Net Investing Cash Flows,2014,-2674
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2014,1089
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2014,1967
Bay of Plenty Region,37 Net Financing Cash Flows,2014,-877
Bay of Plenty Region,26 Operating Receipts,2015,62999
Bay of Plenty Region,27 Operating Payments,2015,55450
Bay of Plenty Region,28 Net Operating Cash Flows,2015,7549
Bay of Plenty Region,29 Receipts from Investing Activities,2015,3005
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2015,6575
Bay of Plenty Region,31 Fixed asset purchases,2015,0
Bay of Plenty Region,32 Renewals,2015,0
Bay of Plenty Region,33 Purchase of Other investments,2015,1460
Bay of Plenty Region,34 Net Investing Cash Flows,2015,-5029
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2015,754
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2015,2136
Bay of Plenty Region,37 Net Financing Cash Flows,2015,381
Bay of Plenty Region,26 Operating Receipts,2016,63829
Bay of Plenty Region,27 Operating Payments,2016,56154
Bay of Plenty Region,28 Net Operating Cash Flows,2016,7675
Bay of Plenty Region,29 Receipts from Investing Activities,2016,2802
Bay of Plenty Region,30 Purchase of Property Plant & Equipment,2016,5600
Bay of Plenty Region,31 Fixed asset purchases,2016,0
Bay of Plenty Region,32 Renewals,2016,0
Bay of Plenty Region,33 Purchase of Other investments,2016,1412
Bay of Plenty Region,34 Net Investing Cash Flows,2016,-4210
Bay of Plenty Region,35 Cash Receipts from Financing Activities,2016,528
Bay of Plenty Region,36 Cash Outgoings from Financing Activities,2016,2265
Bay of Plenty Region,37 Net Financing Cash Flows,2016,737
Buller District,26 Operating Receipts,2007,23312
Buller District,27 Operating Payments,2007,11893
Buller District,28 Net Operating Cash Flows,2007,11418
Buller District,29 Receipts from Investing Activities,2007,1200
Buller District,30 Purchase of Property Plant & Equipment,2007,20226
Buller District,31 Fixed asset purchases,2007,0
Buller District,32 Renewals,2007,0
Buller District,33 Purchase of Other investments,2007,16
Buller District,34 Net Investing Cash Flows,2007,9042
Buller District,35 Cash Receipts from Financing Activities,2007,7771
Buller District,36 Cash Outgoings from Financing Activities,2007,251
Buller District,37 Net Financing Cash Flows,2007,7520
Buller District,26 Operating Receipts,2008,16630
Buller District,27 Operating Payments,2008,9927
Buller District,28 Net Operating Cash Flows,2008,6702
Buller District,29 Receipts from Investing Activities,2008,0
Buller District,30 Purchase of Property Plant & Equipment,2008,17259
Buller District,31 Fixed asset purchases,2008,0
Buller District,32 Renewals,2008,0
Buller District,33 Purchase of Other investments,2008,1216
Buller District,34 Net Investing Cash Flows,2008,8475
Buller District,35 Cash Receipts from Financing Activities,2008,12316
Buller District,36 Cash Outgoings from Financing Activities,2008,367
Buller District,37 Net Financing Cash Flows,2008,11949
Buller District,26 Operating Receipts,2009,19082
Buller District,27 Operating Payments,2009,13514
Buller District,28 Net Operating Cash Flows,2009,5567
Buller District,29 Receipts from Investing Activities,2009,0
Buller District,30 Purchase of Property Plant & Equipment,2009,8568
Buller District,31 Fixed asset purchases,2009,0
Buller District,32 Renewals,2009,0
Buller District,33 Purchase of Other investments,2009,200
Buller District,34 Net Investing Cash Flows,2009,-8768
Buller District,35 Cash Receipts from Financing Activities,2009,3975
Buller District,36 Cash Outgoings from Financing Activities,2009,663
Buller District,37 Net Financing Cash Flows,2009,3312
Buller District,26 Operating Receipts,2010,18974
Buller District,27 Operating Payments,2010,13351
Buller District,28 Net Operating Cash Flows,2010,5623
Buller District,29 Receipts from Investing Activities,2010,0
Buller District,30 Purchase of Property Plant & Equipment,2010,5283
Buller District,31 Fixed asset purchases,2010,0
Buller District,32 Renewals,2010,0
Buller District,33 Purchase of Other investments,2010,1000
Buller District,34 Net Investing Cash Flows,2010,-6283
Buller District,35 Cash Receipts from Financing Activities,2010,2037
