Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,AA Total Recipients (2015),aa Recipients Male 65+ (2015),aa Recipients Female 65+ (2015),aal Recipients Male 65+ (2015),aal Recipients Female 65+ (2015),aah Recipients Male 65+ (2015),aah Recipients Female 65+ (2015)
95BB18,MILLISLE,ARDS,120,40,80,10,20,30,60
95BB19,MOVILLA,ARDS,110,50,60,10,20,30,40
95BB20,PORTAFERRY,ARDS,120,40,80,10,30,40,50
95BB21,PORTAVOGIE,ARDS,150,50,100,20,30,30,70
95BB22,SCRABO,ARDS,70,20,50,10,20,10,40
95BB23,WHITESPOTS,ARDS,90,30,50,10,10,20,40
95CC01,ABBEY PARK,ARMAGH,70,20,50,0,10,20,40
95CC02,BALLYMARTRIM,ARMAGH,90,40,40,10,10,30,40
95CC03,CALLAN BRIDGE,ARMAGH,80,30,50,10,20,20,30
95CC04,CARRIGATUKE,ARMAGH,80,40,50,10,10,30,30
95CC05,CHARLEMONT,ARMAGH,70,30,40,10,10,20,40
95CC06,DEMESNE,ARMAGH,70,30,50,10,10,20,30
95CC07,DERRYNOOSE,ARMAGH,60,20,40,0,20,20,30
95CC08,DOWNS,ARMAGH,80,30,50,10,10,30,40
95CC09,HAMILTONSBAWN,ARMAGH,70,30,40,10,10,20,30
95CC10,HOCKLEY,ARMAGH,80,40,50,10,10,30,30
95CC11,KEADY,ARMAGH,50,20,40,0,10,20,20
95CC12,KILLEEN,ARMAGH,110,50,60,10,10,40,50
95CC13,KILLYLEA,ARMAGH,80,40,40,10,20,30,30
95CC14,LAURELVALE,ARMAGH,100,50,60,10,10,30,50
95CC15,LOUGHGALL,ARMAGH,80,30,50,10,20,20,30
95CC16,MARKETHILL,ARMAGH,100,40,60,10,10,30,50
95CC17,MILFORD,ARMAGH,60,30,30,10,10,20,20
95CC18,OBSERVATORY,ARMAGH,120,30,80,10,20,20,70
95CC19,POYNTZ PASS,ARMAGH,70,30,40,0,10,30,30
95CC20,RICH HILL,ARMAGH,80,20,60,10,20,10,40
95CC21,TANDRAGEE,ARMAGH,70,30,30,10,10,30,20
95CC22,THE MALL,ARMAGH,80,20,60,10,20,10,40
95DD01,ACADEMY,BALLYMENA,110,30,70,10,30,30,50
95DD02,AHOGHILL,BALLYMENA,100,40,70,20,30,20,40
95DD03,ARDEEVIN,BALLYMENA,90,30,60,10,20,20,40
95DD04,BALLEE,BALLYMENA,60,20,40,10,10,10,30
95DD05,BALLYKEEL,BALLYMENA,30,20,20,10,10,10,10
95DD06,BALLYLOUGHAN,BALLYMENA,110,40,80,10,30,30,50
95DD07,BROUGHSHANE,BALLYMENA,160,50,110,10,40,40,70
95DD08,CASTLE DEMESNE,BALLYMENA,130,40,90,10,30,30,60
95DD09,CRAIGYWARREN,BALLYMENA,80,30,50,10,20,20,40
95DD10,CULLYBACKEY,BALLYMENA,110,40,70,10,30,30,50
95DD11,DUNCLUG,BALLYMENA,50,10,40,10,20,0,30
95DD12,DUNMINNING,BALLYMENA,80,30,50,10,20,20,30
95DD13,FAIR GREEN,BALLYMENA,60,20,40,0,20,20,20
95DD14,GALGORM,BALLYMENA,70,20,50,10,20,20,30
95DD15,GLENRAVEL,BALLYMENA,80,30,50,10,20,20,30
95DD16,GLENWHIRRY,BALLYMENA,90,40,50,10,10,30,40
95DD17,GRANGE,BALLYMENA,80,30,50,10,10,30,40
95DD18,HARRYVILLE,BALLYMENA,90,30,60,10,20,20,40
95DD19,KELLS,BALLYMENA,90,30,60,10,20,20,40
95DD20,MOAT,BALLYMENA,90,40,50,10,20,30,30
95DD21,PARK,BALLYMENA,90,30,70,10,20,20,50
95DD22,PORTGLENONE,BALLYMENA,110,30,70,10,20,20,50
95DD23,SLEMISH,BALLYMENA,90,30,60,10,20,20,40
95DD24,SUMMERFIELD,BALLYMENA,80,30,50,10,10,20,40
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,50,30,30,10,10,20,20
95EE02,BENVARDIN,BALLYMONEY,50,20,30,0,10,20,20
95EE03,CARNANY,BALLYMONEY,60,20,40,10,20,10,20
95EE04,CLOGH MILLS,BALLYMONEY,70,30,50,10,20,20,30
95EE05,DERVOCK,BALLYMONEY,60,20,40,0,10,20,20
95EE06,DUNLOY,BALLYMONEY,70,20,50,10,10,10,30
95EE07,FAIRHILL,BALLYMONEY,80,30,50,10,20,20,40
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,80,20,60,10,20,20,40
95EE09,KILLOQUIN LOWER,BALLYMONEY,70,20,50,10,10,10,30
95EE10,KILLOQUIN UPPER,BALLYMONEY,40,20,30,10,10,10,20
95EE11,KNOCKAHOLET,BALLYMONEY,50,20,30,0,10,20,20
95EE12,NEWHILL,BALLYMONEY,60,20,40,10,10,10,20
95EE13,ROUTE,BALLYMONEY,70,20,50,10,30,10,20
95EE14,SEACON,BALLYMONEY,80,40,40,10,20,20,20
95EE15,STRANOCUM,BALLYMONEY,60,20,30,10,10,20,20
95EE16,THE VOW,BALLYMONEY,70,40,40,10,10,20,30
95FF01,BALLYDOWN,BANBRIDGE,140,50,90,10,20,40,70
95FF02,BALLYWARD,BANBRIDGE,70,30,50,10,10,20,40
95FF03,BANBRIDGE WEST,BANBRIDGE,70,30,40,10,10,20,30
95FF04,BANNSIDE,BANBRIDGE,90,30,60,10,10,20,50
95FF05,DROMORE NORTH,BANBRIDGE,100,30,60,20,20,20,40
95FF06,DROMORE SOUTH,BANBRIDGE,80,30,60,10,10,20,40
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,60,30,30,10,10,20,30
95FF08,FORT,BANBRIDGE,120,40,80,10,30,30,50
95FF09,GILFORD,BANBRIDGE,70,30,40,10,10,20,30
95FF10,GRANSHA,BANBRIDGE,60,20,40,0,10,20,30
95FF11,KATESBRIDGE,BANBRIDGE,70,30,50,10,20,20,30
95FF12,LAWRENCETOWN,BANBRIDGE,90,40,50,10,20,30,30
95FF13,LOUGHBRICKLAND,BANBRIDGE,70,20,50,10,10,20,30
95FF14,QUILLY,BANBRIDGE,80,30,50,0,10,30,40
95FF15,RATHFRILAND,BANBRIDGE,120,30,80,10,30,30,60
95FF16,SEAPATRICK,BANBRIDGE,70,30,50,10,10,20,30
95FF17,THE CUT,BANBRIDGE,70,20,50,0,20,20,40
95GG01,ANDERSONSTOWN,BELFAST,220,80,140,20,30,60,120
95GG02,ARDOYNE,BELFAST,110,50,70,20,20,30,50
95GG03,BALLYHACKAMORE,BELFAST,220,60,160,10,50,50,110
95GG04,BALLYMACARRETT,BELFAST,130,50,90,10,30,40,60
95GG05,BALLYNAFEIGH,BELFAST,130,50,80,20,30,30,60
95GG06,BALLYSILLAN,BELFAST,180,60,120,20,30,40,90
95GG07,BEECHMOUNT,BELFAST,120,40,80,10,20,30,60
95GG08,BELLEVUE,BELFAST,160,60,100,20,30,50,60
95GG09,BELMONT,BELFAST,200,80,120,20,40,50,80
95GG10,BLACKSTAFF,BELFAST,90,30,60,10,20,20,40
95GG11,BLOOMFIELD (BELFAST),BELFAST,150,50,100,10,40,30,60
95GG12,BOTANIC,BELFAST,50,20,30,10,10,10,20
95GG13,CASTLEVIEW,BELFAST,180,50,120,10,40,40,90
95GG14,CAVEHILL,BELFAST,130,40,90,10,30,30,60
95GG15,CHERRYVALLEY,BELFAST,260,60,200,20,60,50,130
95GG16,CHICHESTER PARK,BELFAST,150,50,100,10,20,40,80
95GG17,CLIFTONVILLE,BELFAST,130,40,80,10,30,30,60
95GG18,CLONARD,BELFAST,130,40,90,10,30,30,60
95GG19,CRUMLIN (BELFAST),BELFAST,180,60,120,20,30,40,100
95GG20,DUNCAIRN,BELFAST,160,60,100,10,40,40,60
95GG21,FALLS,BELFAST,110,40,70,10,20,30,50
95GG22,FALLS PARK,BELFAST,230,70,160,10,50,60,110
95GG23,FINAGHY,BELFAST,180,60,120,20,30,50,90
95GG24,FORTWILLIAM,BELFAST,200,70,130,20,40,50,90
95GG25,GLEN ROAD,BELFAST,200,70,130,20,30,60,100
95GG26,GLENCAIRN,BELFAST,150,60,90,10,20,50,70
95GG27,GLENCOLIN,BELFAST,140,60,80,20,20,40,60
95GG28,HIGHFIELD,BELFAST,160,70,90,20,30,50,60
95GG29,ISLAND,BELFAST,140,40,100,10,30,30,70
95GG30,KNOCK,BELFAST,200,70,130,20,40,50,90
95GG31,LADYBROOK,BELFAST,140,50,90,10,20,30,70
95GG32,LEGONIEL,BELFAST,200,60,140,20,50,40,90
95GG33,MALONE,BELFAST,150,50,110,10,40,30,70
95GG34,MUSGRAVE,BELFAST,180,60,120,20,30,50,80
95GG35,NEW LODGE,BELFAST,120,40,80,10,20,30,60
95GG36,ORANGEFIELD,BELFAST,220,60,160,20,40,50,120
95GG37,RAVENHILL,BELFAST,190,60,130,10,30,50,100
95GG38,ROSETTA,BELFAST,250,80,170,20,50,60,130
95GG39,SHAFTESBURY,BELFAST,160,70,90,10,30,60,70
95GG40,SHANKILL,BELFAST,130,50,80,20,20,40,60
95GG41,STORMONT,BELFAST,200,60,140,10,50,50,100
95GG42,STRANMILLIS,BELFAST,110,40,70,10,30,30,40
95GG43,SYDENHAM,BELFAST,180,70,110,20,40,40,70
95GG44,THE MOUNT,BELFAST,120,40,80,20,30,20,50
95GG45,UPPER MALONE,BELFAST,180,60,110,20,30,40,80
95GG46,UPPER SPRINGFIELD,BELFAST,110,50,70,10,20,40,50
95GG47,WATER WORKS,BELFAST,150,60,100,20,20,40,70
95GG48,WHITEROCK,BELFAST,100,40,60,0,10,30,50
95GG49,WINDSOR,BELFAST,150,40,110,10,30,30,80
95GG50,WOODSTOCK,BELFAST,130,40,90,10,30,30,60
95GG51,WOODVALE,BELFAST,180,60,130,20,40,30,90
95HH01,BLACKHEAD,CARRICKFERGUS,80,30,50,10,20,20,30
95HH02,BLUEFIELD,CARRICKFERGUS,60,20,40,10,10,10,30
95HH03,BONEYBEFORE,CARRICKFERGUS,90,30,60,10,10,20,50
95HH04,BURLEIGH HILL,CARRICKFERGUS,90,30,50,10,20,30,30
95HH05,CLIPPERSTOWN,CARRICKFERGUS,50,20,30,0,10,10,20
95HH06,EDEN,CARRICKFERGUS,70,30,50,10,10,20,30
95HH07,GORTALEE,CARRICKFERGUS,70,20,50,0,20,20,30
95HH08,GREENISLAND,CARRICKFERGUS,70,20,50,10,20,10,30
95HH09,KILLYCROT,CARRICKFERGUS,140,50,90,10,40,30,50
95HH10,KNOCKAGH,CARRICKFERGUS,70,20,50,10,10,20,40
95HH11,LOVE LANE,CARRICKFERGUS,80,20,60,10,20,10,40
95HH12,MILEBUSH,CARRICKFERGUS,40,10,30,0,0,10,20
95HH13,NORTHLAND,CARRICKFERGUS,30,10,20,0,10,10,20
95HH14,SUNNYLANDS,CARRICKFERGUS,70,30,50,10,20,20,30
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,110,40,70,10,20,30,50
95HH16,WHITEHEAD,CARRICKFERGUS,90,30,50,10,20,30,40
95HH17,WOODBURN,CARRICKFERGUS,50,20,30,10,10,20,20
95II01,BALLYHANWOOD,CASTLEREAGH,100,40,60,10,20,30,40
95II02,BEECHILL,CASTLEREAGH,140,50,90,10,20,40,60
95II03,CAIRNSHILL,CASTLEREAGH,40,20,30,10,10,10,20
95II04,CARROWREAGH,CASTLEREAGH,90,40,60,10,20,20,40
95II05,CARRYDUFF EAST,CASTLEREAGH,140,40,100,20,30,30,70
95II06,CARRYDUFF WEST,CASTLEREAGH,60,20,30,10,10,20,20
95II07,CREGAGH,CASTLEREAGH,90,30,70,10,20,20,50
95II08,DOWNSHIRE,CASTLEREAGH,110,30,80,10,20,20,60
95II09,DUNDONALD,CASTLEREAGH,120,40,80,20,30,30,50
95II10,ENLER,CASTLEREAGH,100,30,60,20,20,20,40
95II11,GALWALLY,CASTLEREAGH,80,20,60,10,20,10,40
95II12,GILNAHIRK,CASTLEREAGH,110,30,80,10,20,20,60
95II13,GRAHAMS BRIDGE,CASTLEREAGH,130,50,90,10,30,30,60
95II14,HILLFOOT,CASTLEREAGH,90,30,60,10,10,20,40
95II15,KNOCKBRACKEN,CASTLEREAGH,90,30,50,10,20,30,40
95II16,LISNASHARRAGH,CASTLEREAGH,110,40,80,10,30,30,50
95II17,LOWER BRANIEL,CASTLEREAGH,140,50,90,20,30,40,60
95II18,MINNOWBURN,CASTLEREAGH,130,40,90,10,30,30,60
95II19,MONEYREAGH,CASTLEREAGH,110,40,70,10,20,30,50
95II20,NEWTOWNBREDA,CASTLEREAGH,100,30,70,10,20,20,50
95II21,TULLYCARNET,CASTLEREAGH,60,20,40,10,10,10,30
95II22,UPPER BRANIEL,CASTLEREAGH,80,20,60,0,30,20,40
95II23,WYNCHURCH,CASTLEREAGH,90,30,60,10,20,20,40
95JJ01,AGIVEY,COLERAINE,80,40,50,20,10,20,40
95JJ02,ATLANTIC,COLERAINE,70,20,50,10,20,10,30
95JJ03,BALLYSALLY,COLERAINE,40,10,20,0,10,10,10
95JJ04,CASTLEROCK,COLERAINE,110,50,60,10,20,40,50
95JJ05,CENTRAL (COLERAINE),COLERAINE,150,50,110,10,30,40,70
95JJ06,CHURCHLAND,COLERAINE,90,30,60,10,20,20,40
95JJ07,CROSS GLEBE,COLERAINE,90,30,60,10,20,20,40
95JJ08,DUNDOOAN,COLERAINE,110,40,70,20,10,30,60
95JJ09,DUNLUCE,COLERAINE,80,30,50,0,20,20,40
95JJ10,GARVAGH,COLERAINE,120,40,80,10,30,30,50
95JJ11,HOPEFIELD,COLERAINE,110,50,70,10,20,40,40
95JJ12,KILREA,COLERAINE,90,40,50,10,20,30,30
95JJ13,KNOCKLYNN,COLERAINE,70,30,40,10,10,20,30
95JJ14,MACOSQUIN,COLERAINE,80,30,40,10,10,30,30
95JJ15,MOUNT SANDEL,COLERAINE,100,40,60,10,10,30,40
95JJ16,PORTSTEWART,COLERAINE,100,30,70,10,30,20,40
95JJ17,RINGSEND,COLERAINE,80,30,50,10,20,20,30
95JJ18,ROYAL PORTRUSH,COLERAINE,100,40,70,10,30,20,30
95JJ19,STRAND (COLERAINE),COLERAINE,120,30,80,10,20,30,70
95JJ20,THE CUTS,COLERAINE,100,40,60,0,20,30,40
95JJ21,UNIVERSITY,COLERAINE,80,30,50,10,10,20,40
95JJ22,WATERSIDE,COLERAINE,110,40,80,10,30,30,50
95KK01,ARDBOE,COOKSTOWN,60,20,40,0,10,20,30
95KK02,COAGH,COOKSTOWN,80,30,50,10,10,20,40
95KK03,DUNNAMORE,COOKSTOWN,70,20,50,0,10,20,30
95KK04,GORTALOWRY,COOKSTOWN,40,10,30,0,10,10,30
95KK05,KILLYCOLPY,COOKSTOWN,70,30,40,10,10,20,30
95KK06,KILLYMOON,COOKSTOWN,50,20,30,10,10,10,20
95KK07,LISSAN,COOKSTOWN,70,30,40,10,10,20,40
95KK08,MONEYMORE,COOKSTOWN,80,40,50,10,10,30,30
95KK09,NEWBUILDINGS,COOKSTOWN,70,30,40,0,10,30,40
95KK10,OAKLANDS,COOKSTOWN,70,30,30,10,10,20,20
95KK11,OLDTOWN,COOKSTOWN,90,40,50,10,20,30,40
95KK12,POMEROY,COOKSTOWN,80,20,50,10,10,20,40
95KK13,SANDHOLES,COOKSTOWN,60,30,30,10,10,30,30
95KK14,STEWARTSTOWN,COOKSTOWN,60,30,40,10,10,20,30
95KK15,THE LOOP,COOKSTOWN,70,30,40,10,10,20,30
95KK16,TULLAGH,COOKSTOWN,90,30,60,10,10,20,50
95LL01,AGHAGALLON,CRAIGAVON,130,50,80,20,30,40,50
95LL02,ANNAGH,CRAIGAVON,90,30,60,10,20,20,40
95LL03,BALLYBAY,CRAIGAVON,80,30,50,10,20,20,30
95LL04,BALLYORAN,CRAIGAVON,80,30,50,10,20,10,40
95LL05,BLEARY,CRAIGAVON,100,40,70,10,20,20,40
95LL06,BROWNSTOWN,CRAIGAVON,130,40,90,10,30,30,60
95LL07,CHURCH,CRAIGAVON,100,40,60,10,30,20,40
95LL08,CORCRAIN,CRAIGAVON,60,30,30,10,10,20,20
95LL09,COURT,CRAIGAVON,120,40,80,10,30,30,50
95LL10,DERRYTRASNA,CRAIGAVON,110,40,60,20,30,30,40
95LL11,DONAGHCLONEY,CRAIGAVON,90,30,60,10,20,20,40
95LL12,DRUMGASK,CRAIGAVON,50,30,20,10,10,20,10
95LL13,DRUMGOR,CRAIGAVON,50,20,30,10,10,20,20
95LL14,DRUMNAMOE,CRAIGAVON,60,20,40,10,10,20,30
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,150,50,100,20,40,30,70
95LL16,KERNAN,CRAIGAVON,130,50,80,20,30,30,50
95LL17,KILLYCOMAIN,CRAIGAVON,130,50,90,20,30,30,60
95LL18,KNOCKNASHANE,CRAIGAVON,120,40,80,10,30,30,60
95LL19,MAGHERALIN,CRAIGAVON,120,50,70,10,20,30,50
95LL20,MOURNEVIEW,CRAIGAVON,60,20,40,10,20,10,20
95LL21,PARKLAKE,CRAIGAVON,130,40,90,10,30,30,50
95LL22,TAGHNEVAN,CRAIGAVON,60,30,30,10,10,20,20
95LL23,TAVANAGH,CRAIGAVON,70,20,50,0,20,20,30
95LL24,THE BIRCHES,CRAIGAVON,100,40,70,10,20,30,50
95LL25,WARINGSTOWN,CRAIGAVON,130,60,70,20,30,40,40
95LL26,WOODVILLE,CRAIGAVON,50,20,30,10,10,10,20
95MM01,ALTNAGELVIN,DERRY,110,40,70,10,20,30,50
95MM02,BALLYNASHALLOG,DERRY,90,30,60,10,20,20,40
95MM03,BANAGHER,DERRY,110,40,70,10,10,40,60
95MM04,BEECHWOOD,DERRY,70,30,40,10,10,20,30
95MM05,BRANDYWELL,DERRY,60,30,30,10,0,20,20
95MM06,CARN HILL,DERRY,40,20,30,0,10,20,20
95MM07,CAW,DERRY,100,30,70,20,20,20,50
95MM08,CLONDERMOT,DERRY,120,50,70,20,20,40,50
95MM09,CLAUDY,DERRY,80,30,50,10,10,20,40
95MM10,CREGGAN CENTRAL,DERRY,30,10,20,10,10,10,10
95MM11,CREGGAN SOUTH,DERRY,50,20,40,0,10,20,30
95MM12,CREVAGH,DERRY,40,20,20,0,10,20,10
95MM13,CULMORE,DERRY,90,40,50,10,10,40,40
95MM14,EBRINGTON,DERRY,120,30,90,10,30,20,60
95MM15,EGLINTON,DERRY,110,40,80,10,20,30,50
95MM16,ENAGH (DERRY),DERRY,80,30,50,10,10,20,30
95MM17,FOYLE SPRINGS,DERRY,70,40,40,0,10,30,30
95MM18,HOLLY MOUNT,DERRY,80,30,50,10,10,20,40
95MM19,KILFENNAN,DERRY,60,20,40,10,20,20,20
95MM20,LISNAGELVIN,DERRY,150,50,100,10,30,40,70
95MM21,NEW BUILDINGS,DERRY,70,30,40,10,20,20,30
95MM22,PENNYBURN,DERRY,110,30,70,10,20,30,50
95MM23,ROSEMOUNT,DERRY,60,20,40,10,10,10,30
95MM24,SHANTALLOW EAST,DERRY,60,30,30,0,10,20,20
95MM25,SHANTALLOW WEST,DERRY,40,20,20,0,10,20,10
95MM26,SPRINGTOWN,DERRY,40,10,30,0,0,10,20
95MM27,STRAND (DERRY),DERRY,70,30,40,10,10,20,30
95MM28,THE DIAMOND,DERRY,60,20,40,10,10,20,30
95MM29,VICTORIA (DERRY),DERRY,70,20,50,0,10,20,40
95MM30,WESTLAND,DERRY,80,30,50,0,10,20,40
95NN01,ARDGLASS,DOWN,80,30,50,10,20,20,30
95NN02,AUDLEYS ACRE,DOWN,60,20,40,10,20,20,20
95NN03,BALLYMAGLAVE,DOWN,100,30,70,10,20,20,50
95NN04,BALLYMOTE,DOWN,60,20,40,0,10,20,30
95NN05,BALLYNAHINCH EAST,DOWN,80,20,50,10,20,10,40
95NN06,CASTLEWELLAN,DOWN,70,30,40,10,10,30,30
95NN07,CATHEDRAL,DOWN,70,20,50,10,20,20,30
95NN08,CROSSGAR,DOWN,100,40,60,10,20,30,50
95NN09,DERRYBOY,DOWN,130,50,80,10,20,30,60
95NN10,DONARD,DOWN,140,50,90,20,20,40,60
95NN11,DRUMANESS,DOWN,70,20,50,10,20,20,30
95NN12,DUNDRUM,DOWN,80,30,50,10,10,20,40
95NN13,DUNMORE,DOWN,90,40,50,10,20,30,40
95NN14,KILLOUGH,DOWN,60,20,40,10,10,10,30
95NN15,KILLYLEAGH,DOWN,110,40,70,10,10,20,60
95NN16,KILMORE,DOWN,120,40,80,10,20,30,60
95NN17,MURLOUGH,DOWN,60,20,40,0,10,20,30
95NN18,QUOILE,DOWN,90,30,60,10,30,20,30
95NN19,SAINTFIELD,DOWN,90,30,50,10,20,20,30
95NN20,SEAFORDE,DOWN,90,30,60,10,20,20,40
95NN21,SHIMNA,DOWN,120,30,80,10,20,20,60
95NN22,STRANGFORD,DOWN,70,30,40,10,10,20,30
95NN23,TOLLYMORE,DOWN,100,40,60,10,20,30,50
95OO01,ALTMORE,DUNGANNON,70,30,40,10,10,20,40
95OO02,AUGHER,DUNGANNON,50,20,30,0,10,10,20
95OO03,AUGHNACLOY,DUNGANNON,90,30,60,10,20,20,40
95OO04,BALLYGAWLEY,DUNGANNON,80,30,50,10,10,20,40
95OO05,BALLYSAGGART,DUNGANNON,50,20,30,10,10,20,20
95OO06,BENBURB,DUNGANNON,70,30,40,10,10,20,40
95OO07,CALEDON,DUNGANNON,80,40,40,10,10,30,40
95OO08,CASTLECAULFIELD,DUNGANNON,90,40,60,10,10,30,50
95OO09,CLOGHER,DUNGANNON,90,30,50,10,10,30,40
95OO10,COALISLAND NORTH,DUNGANNON,80,30,50,10,10,30,40
95OO11,COALISLAND SOUTH,DUNGANNON,60,20,40,10,10,10,30
95OO12,COALISLAND WEST AND NEWMILLS,DUNGANNON,70,30,40,10,10,20,30
95OO13,COOLHILL,DUNGANNON,50,20,40,0,10,10,20
95OO14,DONAGHMORE (DUNGANNON),DUNGANNON,60,20,40,10,10,20,20
95OO15,DRUMGLASS,DUNGANNON,60,20,40,0,10,20,30
95OO16,FIVEMILETOWN,DUNGANNON,90,40,40,10,20,30,30
95OO17,KILLYMAN,DUNGANNON,70,20,50,10,10,10,30
95OO18,KILLYMEAL,DUNGANNON,80,20,60,10,20,20,40
95OO19,MOY,DUNGANNON,70,30,40,10,10,20,30
95OO20,MOYGASHEL,DUNGANNON,90,30,70,10,20,20,50
95OO21,MULLAGHMORE,DUNGANNON,90,30,60,10,20,20,50
95OO22,WASHING BAY,DUNGANNON,60,30,40,10,0,20,30
95PP01,BALLINAMALLARD,FERMANAGH,100,30,70,10,20,20,50
95PP02,BELCOO AND GARRISON,FERMANAGH,120,40,80,10,20,40,60
95PP03,BELLEEK AND BOA,FERMANAGH,90,40,50,10,20,20,40
95PP04,BOHO CLEENISH AND LETTERBREEN,FERMANAGH,120,50,70,20,20,30,60
95PP05,BROOKEBOROUGH,FERMANAGH,90,40,50,10,10,30,40
95PP06,CASTLECOOLE,FERMANAGH,120,40,70,10,20,30,50
95PP07,DERRYGONNELLY,FERMANAGH,100,40,60,10,10,30,40
95PP08,DERRYLIN,FERMANAGH,110,40,60,10,20,40,50
95PP09,DEVENISH,FERMANAGH,120,40,80,10,20,30,60
95PP10,DONAGH,FERMANAGH,90,40,50,10,20,40,30
95PP11,ERNE,FERMANAGH,90,40,50,10,20,30,40
95PP12,FLORENCECOURT AND KINAWLEY,FERMANAGH,100,40,60,10,10,30,50
95PP13,IRVINESTOWN,FERMANAGH,100,30,70,10,20,20,50
95PP14,KESH EDERNEY AND LACK,FERMANAGH,140,50,80,10,20,40,60
95PP15,LISBELLAW,FERMANAGH,110,40,70,10,20,40,50
95PP16,LISNARRICK,FERMANAGH,80,40,40,10,10,30,40
95PP17,LISNASKEA,FERMANAGH,120,50,80,10,20,40,60
95PP18,MAGUIRESBRIDGE,FERMANAGH,110,40,80,10,20,30,60
95PP19,NEWTOWNBUTLER,FERMANAGH,90,30,60,10,20,20,50
95PP20,PORTORA,FERMANAGH,100,30,70,10,20,20,60
95PP21,ROSSLEA,FERMANAGH,100,50,50,10,10,40,40
95PP22,ROSSORRY,FERMANAGH,110,40,60,10,20,30,50
95PP23,TEMPO,FERMANAGH,120,50,70,10,20,40,50
95QQ01,ANTIVILLE,LARNE,50,20,30,10,20,10,20
95QQ02,BALLYCARRY,LARNE,50,20,30,10,10,20,20
95QQ03,BALLYLORAN,LARNE,40,20,30,0,10,10,20
95QQ04,BLACKCAVE,LARNE,50,20,30,10,20,10,20
95QQ05,CARNCASTLE,LARNE,80,20,60,10,20,10,40
95QQ06,CARNLOUGH,LARNE,60,30,30,0,10,20,20
95QQ07,CENTRAL (LARNE),LARNE,100,40,60,20,20,30,40
95QQ08,CRAIGY HILL,LARNE,80,30,50,10,20,20,30
95QQ09,GARDENMORE,LARNE,140,50,90,20,30,30,60
95QQ10,GLENARM,LARNE,60,20,40,10,20,20,20
95QQ11,GLYNN,LARNE,70,20,40,10,20,10,20
95QQ12,HARBOUR (LARNE),LARNE,70,20,50,10,20,10,30
95QQ13,ISLAND MAGEE,LARNE,50,20,30,10,20,10,20
