FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
117,65352.240375,1103.918581,243,4878,310,1103.918477,65352.231871,1.500287
118,57265.996799,1830.419599,705,761,310,1830.419554,57265.994657,1.314652
119,154360.940442,1990.743021,534,0,0,1990.742895,154360.934099,3.543654
120,231961.221659,2615.300517,244,1501,310,2615.300513,231961.239898,5.325119
121,41757.597652,2260.583124,706,988,310,2260.583128,41757.604086,0.958627
122,517930.509776,4004.867668,42,0,0,4004.867683,517930.509829,11.890096
123,3.54782,13.211598,535,0,0,13.211646,3.547637,8.1e-05
124,76120.274271,1205.594703,245,4868,310,1205.594667,76120.267307,1.747488
125,10964.290972,549.910666,707,752,310,549.910691,10964.292205,0.251707
126,841976.663514,4867.31555,536,1025,310,4867.315515,841976.634599,19.329201
127,395645.78846,2568.759699,246,4866,310,2568.759503,395645.785493,9.082814
128,549851.221919,3287.246761,43,0,0,3287.246653,549851.216815,12.622898
129,1547159.00284,7478.407827,708,1015,310,7478.407937,1547158.99595,35.518025
130,929185.115658,4698.298485,247,4890,310,4698.298442,929185.097034,21.33124
131,110744.467064,1545.305565,44,1166,310,1545.305383,110744.461464,2.542353
132,52600.935523,1259.205993,45,1127,310,1259.205982,52600.941426,1.207556
133,529755.878564,4043.16936,248,1070,310,4043.169315,529755.911209,12.161571
134,334302.496539,3203.006944,46,0,0,3203.006902,334302.492921,7.67456
135,365838.717973,6393.572049,249,4857,310,6393.572034,365838.699043,8.398534
136,385412.581585,2692.754373,47,0,0,2692.754442,385412.580692,8.847891
137,41059.029543,817.425903,48,1150,310,817.425969,41059.037743,0.94259
138,151348.717001,2566.388833,250,5757,0,2566.38876,151348.696357,3.474502
139,153557.277923,2630.842919,709,0,0,2630.842975,153557.280206,3.525204
140,13508.634587,517.305964,537,1298,310,517.305938,13508.640425,0.310117
141,81231.130396,1974.848962,49,1144,310,1974.848968,81231.135487,1.864818
142,83631.496928,1703.321261,538,1290,310,1703.321352,83631.472247,1.919922
