X,Y,OBJECTID_1,OBJECTID,TAG,MAP,REFNo,CLASS_MAP,GRID_REF,DESCRIP,Edit_By,EditDate,GlobalID
171.468117187616116,-41.809494210944891,19324,35,52, ,52,K29,82700 31900,Flax Mill,,,{638BE2FD-5906-4DA7-8D45-37DAC6EA1161}
171.476235268402689,-41.822208496811982,19325,36,53, ,53,K29,83400 30500,Shell Midden,,,{7EC97F30-EF9B-4541-89C9-5C989D2BD742}
171.36562237533866,-42.050252809448722,19326,37,57, ,57,K30,74700 05000,Sea Caves,,,{8562725E-97D7-43C0-B086-DD17DC24AEF4}
171.33800941451193,-42.089466202982941,19327,38,59, ,59,K30,72500 00600,Sea Caves,,,{41C58874-C198-41EC-88C1-8D87C35DE250}
171.44334217204613,-41.936104080282,19328,39,62, ,62,K30,80900 17800,Gold Workings,,,{9D1A4715-9BE3-4C76-AA3C-B9653F4C9ADC}
171.445797327501822,-41.934337134326732,19329,40,63, ,63,K30,81100 18000,Gold Workings,,,{CDF69785-0D38-4829-93E0-9FE8536125F0}
171.448185958345931,-41.93527025065697,19330,41,64, ,64,K30,81300 17900,Gold Workings,,,{C8AC4B3C-B0D6-4FA2-8FAE-97D223592FB7}
171.390188427818885,-42.034398526564019,19331,42,65, ,65,K30,76700 06800,Historic Cemetery,,,{7322C0F8-6243-4DAB-B316-6E79C877B016}
171.447356929336706,-41.919953069563107,19332,43,66, ,66,K30,81200 19600,Gold Tailings,,,{A4830040-77FC-4FC6-AFB1-FCD4C72C7DCA}
171.444968885511855,-41.919019944433295,19333,44,67, ,67,K30,81000 19700,Battery Site,,,{FC9F6FCE-3740-4661-A7FB-EFD8BB44FA70}
171.447224125142952,-41.925353297717848,19334,45,68, ,68,K30,81200 19000,Gold Sluicing,,,{5C9F71AA-9D4F-47E5-AF2B-139B87A43BF4}
171.446027345530297,-41.973955385737426,19335,46,69, ,69,K30,81200 13600,Water race/dam,,,{15C9F126-F8B9-4A17-991B-EB897376AD7B}
171.442047884015295,-41.939687641450405,19336,47,70, ,70,K30,80800 17400,Gold Workings,,,{367FEDC9-F482-4E68-AD18-E05248370BA4}
171.438431448649766,-41.939637806105011,19337,48,71, ,71,K30,80500 17400,Gold Mine Dams,,,{14528CE5-02F7-406B-AB6C-CEAF1B115E2B}
171.449833430541361,-41.917285988623902,19338,49,72, ,72,K30,81400 19900,Miners Hut,,,{FC9B7958-D3C8-4B0A-B87A-A11B3374EB38}
171.446980559722817,-41.935253717971648,19339,50,73, ,73,K30,81200 17900,Goldmining,,,{2B267A5E-958B-409D-92B4-864813C971ED}
171.454433360861771,-41.926352309774735,19340,51,74, ,74,K30,81800 18900,Goldmining,,,{9018925C-B045-4E5C-BE3E-569DB68D700A}
171.337556734913335,-42.106566237358145,19341,52,75, ,75,K30,72500 98700,Midden,,,{9FD11665-194F-4B21-90E5-E02AFE301E3B}
171.465281836177269,-42.075056793186775,19342,53,77, ,77,K30,83000 02400,Grave,,,{EA448F0B-6B70-4C75-B237-4D5CAD2A8FBC}
171.740580242732278,-42.207204754546801,19343,54,78, ,78,K31,06000 88100,Goldmining,,,{ABF7D2A2-4388-4590-A970-2353E8FCAFC8}
171.769875173647335,-42.257045938039496,19344,55,79, ,79,K31,08500 82600,Sawmill,,,{421033B1-AFC1-4740-82BC-77F5FF495D96}
171.783696979276584,-42.294109348179191,19345,56,80, ,80,K31,09700 78500,Goldmine,,,{011D5EF8-AA9B-4BEE-BA47-7FCBFDAF6C5D}
172.158482627744803,-40.831741368970086,19346,57,81,A1,81,L25,39000 41300,Pit,,,{ED3E8577-04FA-47B0-BE94-3B226BDBC9EC}
172.212334117586749,-40.78890638129446,19347,58,82,A1,82,L25,43500 46100,Ovenstones,,,{87B5C90C-4113-4CF7-A183-6692835D3A4D}
172.108979632242836,-40.986228004256574,19348,59,83, ,83,L26,35000 24100,Middens/Ovens/etc.,,,{023D8AF7-4C13-49EC-8A4C-5BEDC84FE398}
172.110167673760174,-40.986237274930048,19349,60,84, ,84,L26,35100 24100,Midden,,,{4A8D755D-E2CF-461C-BFDE-B07B04AD52D6}
172.109886534714548,-41.006943259238362,19350,61,86,A1,86,L26,35100 21800,Occupation Layer,,,{7C188A56-31BC-41BF-8147-CFAD4486AABC}
172.106981675304468,-41.045635777094674,19351,62,88,A1,88,L26,34900 17500,Midden,,,{F6E9F312-4FCF-4058-A75B-E0B121B0E9B0}
172.12620263648958,-41.208749499149981,19352,63,89, ,89,L27,36700 99400,Middens,,,{52AD556F-0D9A-4647-834E-57F5E0C344BA}
172.105377837702889,-41.249103474403427,19353,64,92, ,92,L27,35000 94900,Midden,,,{68EF8866-89C2-48E5-8753-513F61EE2EF9}
171.93615388328422,-41.52765170589732,19354,65,94, ,94,L28,21200 63800,Midden,,,{2EF3192C-CF7C-4A1C-957C-33EE321574A5}
171.881996903879667,-41.609961887132485,19355,66,95, ,95,L28,16800 54600,Railway,,,{22A31F0E-1AC3-4949-A589-D1C2D88C98B4}
171.86112054842414,-41.629847235512536,19356,67,97, ,97,L28,15100 52400,Tramway,,,{1095AC5A-1FE3-4A55-8311-0C076D9646D8}
171.877939129262614,-41.636031774740744,19357,68,98, ,98,L28,16500 51700,Coal Mine,,,{26006D08-88F9-4279-9744-A1441999A220}
171.869507619570072,-41.637748563108936,19358,69,99, ,99,L28,15800 51500,Coal Mine,,,{23A75659-2F7C-4697-8058-37148ED1BEF9}
171.87313937281354,-41.635984088452219,19359,70,100, ,100,L28,16100 51700,Building Remains,,,{DBDCAB02-2AA2-41A5-BD54-0B47B007D63E}
171.868371600999296,-41.634135827938053,19360,71,101, ,101,L28,15700 51900,Dam,,,{43ED4AF8-9730-472B-8618-6CC18CF64FF9}
171.879186574809466,-41.633343096618823,19361,72,102, ,102,L28,16600 52000,Dam,,,{C822DE15-AC0B-4EAF-98BF-722BA4EF0B71}
171.854962443442929,-41.645705450713223,19362,73,103, ,103,L28,14600 50600,Coal Mine/Tramway,,,{DD17DEC5-27F1-41BE-9826-7ED0D3E9D38F}
171.848913093250729,-41.648345120523118,19363,74,104, ,104,L28,14100 50300,Coal Tramway,,,{0A0C8D7B-571E-463D-AD84-70C8473B68CD}
171.858530518399533,-41.647542183690895,19364,75,105, ,105,L28,14900 50400,Tramway,,,{D72D9CAF-8136-4318-B7EF-69645F4EF123}
171.88256521255542,-41.645981356968583,19365,76,106, ,106,L28,16900 50600,Mining Settlement,,,{DC4B36AF-8749-49BE-B6DA-F2E92F01E1AC}
171.854670120315944,-41.629553568947181,19366,77,107, ,107,L28,14500 52500,Coke Oven,,,{F601EC4C-D64A-4875-8051-091DFA779171}
171.880781652174903,-41.610850224668269,19367,78,108, ,108,L28,16700 54500,Tramway,,,{4996B18D-B4CD-449B-97D9-EADDCA7AAB12}
171.891295159317394,-41.62715993092926,19368,79,109, ,109,L28,17600 52700,Coal Tramway,,,{8FCA95D9-F243-4091-8B54-99F61F2DFEA9}
171.940379413909056,-41.850016523241528,19369,80,110, ,110,L29,22000 28000,Rock Shelter,,,{2C08D12E-445B-487F-9C20-7A7D1D5BEB34}
172.066451181220032,-41.793505644491049,19370,81,111, ,111,L29,32400 34400,Mining Battery,,,{DC873281-1104-473D-A169-C514AACDC952}
172.080965522113928,-41.788222508937054,19371,82,112, ,112,L29,33600 35000,Quartz Battery,,,{487F9E54-416D-494D-B3B4-9AD0F0690EBA}
172.049555346646741,-41.796966212137264,19372,83,113, ,113,L29,31000 34000,Mining Town,,,{080B784A-3846-4DDC-A29B-F405C1951294}
172.031564841133189,-41.793212070964586,19373,84,114, ,114,L29,29500 34400,Cemetery,,,{A44F10AD-865D-4FE6-8FDC-23471BE669E9}
171.864334739251035,-41.860082390880578,19374,85,115, ,115,L29,15700 26800,Boundary Marker,,,{814C35A7-5485-4C2A-8B38-14CAF229745D}
171.837843555093684,-41.85981317596692,19375,86,116, ,116,L29,13500 26800,Hotel and Township,,,{2AB5F9BA-3DEE-42BD-A32F-5EA4FE900D12}
171.942621696035701,-41.85994135469516,19376,87,117, ,117,L29,22200 26900,Ferry Site/Artefact Find,,,{DE2F8E0E-F780-40EB-81CB-60BF8DD50492}
171.935411714359134,-41.858973344295073,19377,88,118, ,118,L29,21600 27000,Hotel & Township,,,{347C4166-D421-43A7-9A7F-BED72FDA77D4}
171.90255521089469,-41.87846687203325,19378,89,120, ,120,L29,18900 24800,Hunting Camp,,,{B4D1EDE6-57A1-49A2-9404-708B62AF6F33}
171.817588366965595,-41.719149310432385,19379,90,122, ,122,L29,11600 42400,Coalmine/Incline,,,{F4402F7E-7B37-4044-A084-BDA2C41C05E0}
171.823745747581853,-41.711110395507973,19380,91,123, ,123,L29,12100 43300,Goldmine/Track,,,{245BFC31-1493-4A09-9892-58EBEA5F3DEF}
172.024333165967874,-41.794050229363549,19381,92,124, ,124,L29,28900 34300,Miner's Track,,,{CAA31647-85B7-41DB-BF9C-43E6471B697C}
171.87634221220776,-41.658524588085875,19382,93,126, ,126,L29,16400 49200,Mining Settlement,,,{D0F6CDD5-A46B-4FF7-A150-C36B2B9210C0}
171.841571463565003,-41.853549007926105,19383,94,127, ,127,L29,13800 27500,Goldmining,,,{8E25CC89-4E93-441B-A044-CF24228B7A96}
171.943976388245346,-41.85095052762658,19384,95,128, ,128,L29,22300 27900,Hotel Site,,,{B796A010-9E13-479B-9590-8A682A86E844}
171.849630600168524,-42.138139624003038,19385,96,129, ,129,L30,14900 95900,Bricked-up Coal Mine Drive,,,{B85F382A-42AD-4821-9945-55B4BCFBFB27}
171.891962074814359,-42.138562433075975,19386,97,130, ,130,L30,18400 95900,Quartz Battery,,,{3082B3E1-DAF0-408A-9D46-E6CDCF34A616}
171.847659443439284,-42.179535311063823,19387,98,131, ,131,L30,14800 91300,Slab Hut Creek Claim,,,{43F48B54-2578-4E02-84B7-DCBFBB9B2943}
171.895206124998623,-42.091776389937685,19388,99,132, ,132,L30,18600 01100,Surprise Coalmine,,,{49B76C65-9128-41D8-B447-700D4D0AB296}
171.870483563657899,-42.122143701094615,19389,100,133, ,133,L30,16600 97700,Powerhouse Site,,,{18B81F40-2954-4264-8266-87D702AF95A5}
171.868048991824509,-42.12301969373663,19390,101,134, ,134,L30,16400 97600,Brick Works,,,{67EE4E74-4EED-4875-9064-7AA419DBCDC3}
171.958993544593227,-42.035660518043585,19391,102,135, ,135,L30,23800 07400,Quartz Mine,,,{39A4F1BE-B3D0-4BEF-8422-46ACCA0D52EF}
171.901661048987023,-41.999104284547023,19392,103,136, ,136,L30,19000 11400,Goldmining,,,{77DB2654-0CC4-40E3-AAE9-6BE95DBFFADB}
171.957830767687284,-42.032948777470978,19393,104,137, ,137,L30,23700 07700,Track,,,{D4C8754C-32C4-4399-AABC-656E05442BCD}
171.914097547601727,-42.047842832104365,19394,105,138, ,138,L30,20100 06000,Track,,,{85FDA7C9-CD89-49B4-99EA-09BC86AFB7F2}
171.966031500331582,-42.048329907082014,19395,106,139, ,139,L30,24400 06000,Sawmill,,,{767CC6DB-6E9A-468A-9166-65DB64D72215}
171.910021664133637,-42.073913450928444,19396,107,140, ,140,L30,19800 03100,Water Race/Coal Mine,,,{8CD8ACCB-9AA2-4224-A5F0-2412556618BC}
171.912219933800401,-42.086539373338198,19397,108,141, ,141,L30,20000 01700,Miner's Track,,,{38A74732-0856-44EF-B095-E0C890232F7E}
171.94055495197523,-42.126423558267732,19398,109,142, ,142,L30,22400 97300,Track,,,{7EB13AE2-BE8B-4ADD-A6B8-774C66F16EFE}
171.897819435395775,-42.149423797820013,19399,110,144, ,144,L30,18900 94700,Battery/Water Race,,,{78736CE6-6B19-4D37-AC3F-5076601EC4C3}
171.89876001120976,-42.164738767067746,19400,111,145, ,145,L30,19000 93000,Miner's Track,,,{992808E7-62C4-457B-926E-798724D41ECB}
171.89024223805194,-42.167356496491699,19401,112,146, ,146,L30,18300 92700,Goldmine,,,{62C187C8-F018-451A-8788-9C0E8DF90073}
171.902010970436152,-42.186378562661226,19402,113,148, ,148,L30,19300 90600,Miner's Track,,,{196E0B8B-392F-438C-987B-5B9984BA052D}
171.889890980340709,-42.187160545489988,19403,114,150, ,150,L30,18300 90500,Battery,,,{684ACFFF-FA13-41E2-825D-7F12FF39F9F8}
171.926420002271669,-42.174908591921401,19404,115,151, ,151,L30,21300 91900,Miner's Track,,,{42BB9F33-E1C7-49C2-AE86-C143DA0E5338}
171.88629178540711,-42.185324468249483,19405,116,152, ,152,L30,18000 90700,Coal Mines,,,{00A97F17-5692-47F5-AFA2-5B07E1261F52}
171.891101397464809,-42.18717242344573,19406,117,153, ,153,L30,18400 90500,Goldmine,,,{500A281C-F520-47F8-9A1F-635570D8CA5D}
171.85047670934992,-42.157955772309506,19407,118,154, ,154,L30,15000 93700,Goldmine,,,{FE903614-6C5F-49E7-A910-B0839A8BB17B}
171.850658425491844,-42.148053849514071,19408,119,155, ,155,L30,15000 94800,Miner's Track,,,{B42C9D61-C876-4709-9EEC-E3D54E176F70}
171.902929360011115,-42.064841445245584,19409,120,156, ,156,L30,19200 04100,Goldmining,,,{6DBDC6C5-A9DD-418A-BCC6-D7D3204756B1}
171.916463189055378,-42.120793104227104,19410,121,157, ,157,L30,20400 97900,Goldmining,,,{FF94B628-2489-4D90-A397-E3D3D32BCCB8}
171.905518016201171,-42.124289022897948,19411,122,158, ,158,L30,19500 97500,Goldmining,,,{018B4F5C-1164-4A7D-AA3D-45FB879B0B8A}
171.907748164657676,-42.135114700954013,19412,123,159, ,159,L30,19700 96300,Mining Town,,,{38BF79DD-9065-45C4-B82B-4345BC21CAB4}
171.895558786250803,-42.140398314835664,19413,124,160, ,160,L30,18700 95700,Goldmine,,,{12540063-883B-41FA-812F-56758172F1C3}
171.910057376575196,-42.14143938429406,19414,125,161, ,161,L30,19900 95600,Goldmining,,,{85874697-F2DA-4D3D-A527-125DD71306FC}
171.893282866082615,-42.132272976452676,19415,126,162, ,162,L30,18500 96600,Goldmine,,,{129E0A95-E7DE-44B5-AA6B-C51C06D8E468}
171.904277329247861,-42.126077688234417,19416,127,163, ,163,L30,19400 97300,Miner's Track,,,{A9CEF3D6-45A9-42F9-87DC-740B5269A05F}
171.908957584210384,-42.135126380736018,19417,128,164, ,164,L30,19800 96300,Coal Tramway/Coal Mine,,,{401C8D88-DAB3-4AD9-B08E-B861ACED9FF5}
171.907669688757636,-42.139615652559542,19418,129,165, ,165,L30,19700 95800,Coal Tramway,,,{46B0CB92-DBC7-4931-BFB3-F8B6A1ECE33B}
171.901843067977126,-42.126954408473232,19419,130,166, ,166,L30,19200 97200,Miner's Track,,,{DACBF158-D9F9-403C-AB2D-5D484F8EC92A}
171.917579056477564,-42.126205849875923,19420,131,167, ,167,L30,20500 97300,Miner's Road,,,{E5C08CED-5C1C-49F7-A656-C953ABED683F}
171.800146762750757,-42.132223330316144,19421,132,168, ,168,L30,10800 96500,Tramway,,,{462C9B0A-F10A-41FE-AB37-E03B92A3FD1D}
171.916369805541308,-42.126194262937986,19422,133,169, ,169,L30,20400 97300,Coal Tramway,,,{81B0ADF5-8577-4765-91E5-7DBA1FC0C5A9}
171.900302047476828,-42.145846609739237,19423,134,170, ,170,L30,19100 95100,Water Race,,,{57092F17-C51F-4315-9EB8-D142953ECB3C}
171.909806680710972,-42.155842429612839,19424,135,171, ,171,L30,19900 94000,Water Race,,,{0DF26BC0-3EBF-48F1-A99D-B45EB0258AE1}
171.888541218997744,-42.126824398860734,19425,136,172, ,172,L30,18100 97200,Goldmines,,,{DD5D428C-DA04-4A97-A426-BEFE29B0B352}
171.903005055576273,-42.129666717652697,19426,137,174, ,174,L30,19300 96900,Goldmines,,,{70194A16-9B0A-4D15-8BBC-91FCDF5B38A2}
171.905407959338277,-42.130590353349909,19427,138,175, ,175,L30,19500 96800,Goldmine,,,{E24CC143-8ED6-4F1B-9608-374A921A78D3}
171.911501536447872,-42.127948170529471,19428,139,176, ,176,L30,20000 97100,Goldmines,,,{1F30DA7D-8B86-4421-94F2-5F4C572FAFAF}
171.916385371644253,-42.125294069438958,19429,140,177, ,177,L30,20400 97400,Goldmines,,,{4294CAEA-4C85-48A4-832D-CD992003B7C1}
171.897993659958502,-42.139521736244184,19430,141,178, ,178,L30,18900 95800,Goldmine,,,{DA981FDD-3CF4-4454-B283-FAACFD2EE01D}
171.900349459706604,-42.143146046349393,19431,142,179, ,179,L30,19100 95400,Goldmine,,,{75709268-0133-4AED-BBE0-B446C79484C7}
171.906365888079819,-42.145005096376089,19432,143,180, ,180,L30,19600 95200,Goldmining,,,{7593EE7D-7CC2-4AB9-85C3-0E1494E59839}
171.894349267029213,-42.140386491704525,19433,144,181, ,181,L30,18600 95700,Town Site,,,{C4391C02-EFE4-4C13-A3A1-E9CB02EA639F}
171.915160555312468,-42.12618266325881,19434,145,182, ,182,L30,20300 97300,Coal Mine,,,{5F3F7B28-D16E-4A92-9FED-75B4B1AD1327}
171.922090858053934,-42.145156145268828,19435,146,183, ,183,L30,20900 95200,Coal Mine,,,{DF11EEEF-0DCE-4826-891F-C5559830AE63}
171.917563508005657,-42.127106042699907,19436,147,184, ,184,L30,20500 97200,Coal Mine,,,{9BDF36BE-DC11-4300-B723-1121987799DA}
171.918726178421025,-42.129818197731275,19437,148,186, ,186,L30,20600 96900,Coal Mines,,,{20474008-43C0-4EC0-A00D-B8F907AB7E7D}
171.908879195132613,-42.139627334169852,19438,149,187, ,187,L30,19800 95800,Coal Mine,,,{E8F10BE6-7632-4004-9C89-F9682BD780AB}
171.882398633844275,-42.132165892932925,19439,150,188, ,188,L30,17600 96600,Mining Town,,,{2D4E1822-9E7D-4FF1-A589-2FAACDE17836}
172.009768575330014,-42.109044529370884,19440,151,189, ,189,L30,28100 99300,Goldmine/Battery,,,{BCA724C5-0119-454E-A243-D501E5A0FE15}
172.00790971339336,-42.454755942725932,19441,152,191, ,191,L31,28400 60900,Findspot,,,{C16E9288-FAA1-4A20-A2D9-5D954AA3C206}
172.119620458280394,-42.379153916550251,19442,153,192, ,192,L31,37500 69400,Artificial Cave,,,{1B1B100C-9BDB-47A9-8F33-358465CB8F42}
171.905797188285987,-42.246737984944161,19443,154,193, ,193,L31,19700 83900,Quartz Mine,,,{C81E52EF-BBBE-4B26-A3D6-D7D0A3E71664}
171.893729371412292,-42.2439195499067,19444,155,194, ,194,L31,18700 84200,Quartz Mining,,,{26D6F689-1A0D-42CF-811B-892CD6AE5F5E}
171.907071778284859,-42.243148961741106,19445,156,195, ,195,L31,19800 84300,Saw Mill,,,{2F7F4262-7D99-47B2-98A4-8EC5AD0FCF50}
171.914434673409033,-42.237817868352522,19446,157,196, ,196,L31,20400 84900,Coal Mine/Tram,,,{7E2217F0-E4E8-47EB-9BDE-810C6C416386}
171.904332882668967,-42.261129203467952,19447,158,197, ,197,L31,19600 82300,Mining Dam,,,{F6332A89-5F07-4753-B58B-3CED3C8DE98A}
172.013873345318643,-42.462010664324076,19448,159,198, ,198,L31,28900 60100,Findspot,,,{D7E20C59-8736-49FC-A2E4-750E83D67414}
172.024801104721348,-42.463005733507551,19449,160,199, ,199,L31,29800 60000,Findspot,,,{F022ECD7-C26A-4771-A503-28C220B24FFD}
172.179378097953759,-42.359797014720485,19450,161,200, ,200,L31,42400 71600,Adze Findspot,,,{BDBE812E-89C5-415D-B113-4976AD9B7E91}
172.180568154138655,-42.36160630580752,19451,162,201, ,201,L31,42500 71400,Occupation,,,{7DF36B70-9AAD-44B2-9878-2151FB61DE61}
171.939648054848476,-42.322688666204712,19452,163,202, ,202,L31,22600 75500,Gold Mining,,,{5F4D902D-D61D-4D73-8AC4-22B783D9CB2B}
171.792851488123461,-42.196970460665177,19453,164,203, ,203,L31,10300 89300,Hotel Site,,,{70E1256D-C0D2-423C-A026-7F75C967844C}
171.792816751178577,-42.198770776201741,19454,165,204, ,204,L31,10300 89100,Gold Workings,,,{04F21D92-B3B8-4632-8AF8-9987D620E7C1}
171.794044708078673,-42.197883530825045,19455,166,205, ,205,L31,10400 89200,Pack Track,,,{255452B8-FCBD-46F0-B163-FE8D6BAFD667}
171.796465884072092,-42.197909318019896,19456,167,206, ,206,L31,10600 89200,Gold Workings,,,{27FF5D20-505E-4E23-96C5-7AC59D47BCA0}
171.795220625851272,-42.19969674765639,19457,168,207, ,207,L31,10500 89000,Miners Hut Site,,,{0C67D092-2272-4E68-B85D-0856ECAC6139}
171.797589966926125,-42.202422987956759,19458,169,208, ,208,L31,10700 88700,Gold Workings,,,{50E3B9C6-2FCF-4CC5-9963-0ACA917801FA}
171.792764639810912,-42.201471249750455,19459,170,209, ,209,L31,10300 88800,Gold Workings,,,{AFB8A2DA-DD6B-4D29-94EF-4D7BCB97EB99}
171.791571372300552,-42.200558165301864,19460,171,210, ,210,L31,10200 88900,Gold Workings,,,{EABB3D1A-EFDC-4F8D-9B63-BE3686D17E31}
171.790412947588209,-42.197844754218167,19461,172,211, ,211,L31,10100 89200,Gold Workings,,,{E2EA5A66-D332-4E0F-BFFD-5FAB762116D3}
171.789219782750934,-42.196931646062943,19462,173,212, ,212,L31,10000 89300,Miners Hut Site,,,{4C5BA1A0-171C-4955-9AB0-0D3DE52CB32A}
