X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-5.716823978890339,54.432308356259981,B_CLASS,20031024,B 6,317
-5.742672443159401,54.398870214018203,B_CLASS,20031024,B 7,318
-5.653660495380534,54.293111970075472,B_CLASS,20060306,B 1,319
-5.802091455941335,54.399824693645648,B_CLASS,20031024,B 7,320
-5.799523214586244,54.370173478903418,B_CLASS,20031024,B 2,321
-5.840918975180186,54.462164483522692,B_CLASS,20031024,B 6,322
-5.776331756198322,54.457171061802342,B_CLASS,20031024,B 6,323
-5.677740757716984,54.283346524080557,B_CLASS,20060306,B 176,324
-6.066502485838711,55.130942474281433,B_CLASS,20050124,B 92,325
-6.066083411863425,55.114871611002208,B_CLASS,20050124,B 92,326
-5.9851523111412,54.933145623033241,B_CLASS,20050202,B 97,327
-5.880316714187267,54.891040233860593,B_CLASS,20050202,B 148,328
-5.846933659184606,54.792847973778613,B_CLASS,20050202,B 99,329
-5.88486846080868,54.806652702863666,B_CLASS,20050202,B 100,330
-5.824952838144252,54.821440702301544,B_CLASS,20050202,B 99,331
-6.083496283257165,54.699812559852475,B_CLASS,20031015,B 95,332
-6.136693359379534,54.677170351128545,B_CLASS,20031015,B 39,333
-6.084538336086644,54.723548948758236,B_CLASS,20031015,B 95,334
-6.130163282250709,54.781329440335895,B_CLASS,20031015,B 59,335
-6.092930573195813,54.819307066579597,B_CLASS,20050202,B 94,336
-5.934474559127684,54.757368522481798,B_CLASS,20031015,B 95,337
-5.941036762449342,54.667756387746195,B_CLASS,20031015,B 513,338
-5.954586318530724,54.688329838593312,B_CLASS,20031015,B 90,339
-6.021126169715202,54.684581828596436,B_CLASS,20031015,B 95,340
-5.972367935029032,54.666944970982378,B_CLASS,20031015,B 95,341
-5.849311900978204,54.734511474017104,B_CLASS,20031015,B 58,342
-5.856935560343934,54.707700799928325,B_CLASS,20031015,B 90,343
-5.878153697076692,54.702163665758427,B_CLASS,20031015,B 90,344
-5.994487381106576,54.745018564578359,B_CLASS,20031015,B 95,345
-6.011204794951563,54.72783676412746,B_CLASS,20031015,B 56,346
-6.024521679433668,54.723430772564626,B_CLASS,20031015,B 59,347
-6.018081101387415,54.768854219083181,B_CLASS,20031015,B 94,348
-6.029493566657565,54.742150961660137,B_CLASS,20031015,B 95,349
-5.926994768223142,54.696361804728511,B_CLASS,20031015,B 90,350
-5.989088190743155,54.683851468010872,B_CLASS,20031015,Hotel,351
-6.1332446269426,54.62413745230262,B_CLASS,20031029,B 101,352
-6.121132197516822,54.594785288173348,B_CLASS,20031029,B 101,353
-6.090256855587215,54.607280761141205,B_CLASS,20031029,B 154,354
-6.100327904765083,54.624447113775147,B_CLASS,20031029,B 154,355
-5.841414414590807,54.635558223588703,B_CLASS,20031029,B 198,356
-5.870217482300498,54.607853287811444,B_CLASS,20031029,B 505,357
-5.936345556646601,54.594049448461838,B_CLASS,20031029,B503,358
-5.954063038529429,54.596036035954256,B_CLASS,20031029,B 38,359
-5.954604701768657,54.605112473216955,B_CLASS,20031029,B 39,360
-5.958786570569279,54.623276922105525,B_CLASS,20031029,B 502,361
-6.010805427343579,54.567261331882818,B_CLASS,20031029,B 102,362
-6.022112405454979,54.580656498257049,B_CLASS,20031029,B 38,363
-5.945389490617412,54.57219498740443,B_CLASS,20031029,B 23,364
-5.913012005612801,54.585486974787251,B_CLASS,20031029,B 506,365
-6.063908025395371,54.591317407949688,B_CLASS,20031029,B 154,366
-6.062833037384186,54.643078590297883,B_CLASS,20031029,B 39,367
-6.062832294087698,54.525455319918436,B_CLASS,20031029,B 101,368
-5.942627139024471,54.54595578674104,B_CLASS,20031029,B 23,369
-5.98140333162228,54.539513321335107,B_CLASS,20031029,B 103,370
-5.984194997365194,54.521524485891398,B_CLASS,20031029,B 23,371
-5.94388502550952,54.535976166430849,B_CLASS,20031029,B 205,372
-6.02104329506139,54.474151182784794,B_CLASS,20060309,B 178,373
-5.930571493498279,54.499977012360539,B_CLASS,20060309,B 178,374
-5.927828353881511,54.478642336188798,B_CLASS,20060309,B 6,375
-6.073067311987951,54.537831251905217,B_CLASS,20031029,B 101,376
-5.874326889372684,54.4021950979295,B_CLASS,20060309,B 7,377
-6.037933071520543,54.356310309514541,B_CLASS,20060306,B 7,378
-5.892902967417938,54.335848972940006,B_CLASS,20060306,B 175,379
-5.859077354067285,54.390518380794873,B_CLASS,20060309,B 2,380
-5.979571721205374,54.433326809894929,B_CLASS,20060309,B 77,381
-6.021376114755467,54.408222145387612,B_CLASS,20060309,B 2,382
-6.148576451924907,54.28228868088965,B_CLASS,20060306,B 25,383
-6.135497240114644,54.268390421629974,B_CLASS,20060306,B 7,384
-6.153593146837155,54.219435565148899,B_CLASS,20060306,B 25,385
-5.968836927180153,54.22355925756073,B_CLASS,20060306,B 180,386
-5.882662167037397,54.2423288507009,B_CLASS,20060306,B 180,387
-5.921199485035926,54.276685786269212,B_CLASS,20060306,B 175,388
-6.161450517772797,54.192374075839318,B_CLASS,20060306,B 8,389
-6.155050038847388,54.15299788329142,B_CLASS,20060306,B 25,390
-6.04746484808194,54.136555607655694,B_CLASS,20060306,B 27,391
-6.068636420772165,54.185237635619075,B_CLASS,20060306,B 27,392
-6.118492787250296,54.197343674104303,B_CLASS,20060306,B 27,393
-6.110507865999828,54.211317310509131,B_CLASS,20060306,B 8,394
-6.090295421866631,54.202550474505912,B_CLASS,20060306,B 180,395
-6.010318304749885,54.074184624398967,B_CLASS,20060306,B 27,396
-6.316352040579139,55.223955813588248,B_CLASS,20050124,B 15,397
-6.348732311339431,55.202940313109352,B_CLASS,20050124,B 17,398
-6.358683727665746,55.208147960893747,B_CLASS,20050124,B 147,399
-6.429713818486057,55.069805340366933,B_CLASS,20050131,B 16,400
-6.418553853896118,55.087554311265635,B_CLASS,20050131,B 15,401
-6.416447734570052,55.068076608738181,B_CLASS,20050131,B 16,402
-6.381240252904012,55.114091401181334,B_CLASS,20050124,B 15,403
-6.374389715028844,55.150749671441588,B_CLASS,20050124,B 147,404
-6.339462900690902,55.174532986290117,B_CLASS,20050124,B 67,405
-6.352548806389604,55.140938900355152,B_CLASS,20050124,B 147,406
-6.221642305468111,55.192624917431587,B_CLASS,20050124,B 15,407
-6.129810613994981,55.036460785935489,B_CLASS,20050131,B 14,408
-6.299803693896374,54.841264578774137,B_CLASS,20060309,B 18,409
