RECORD_NUMBER,REGION,RESIDENCE_TYPE,FAMTYPE,POPBASE,SEX,AGE,MARSTAT,STUDENT,COB,HEALTH,ETHNICITY,RELIGIONNI,RELIGIONBNI,ECONACT,OCC,INDUSTRY,HOURS
5387148,N92000002,H,2,1,1,1,1,1,1,1,2,7,4,-9,-9,-9,-9
5288518,N92000002,H,2,1,1,7,2,2,1,3,1,1,1,5,1,6,3
5265393,N92000002,H,6,1,1,6,1,2,1,3,1,3,2,5,9,8,3
5415994,N92000002,H,2,1,1,4,2,2,1,2,1,4,2,1,1,4,3
5415899,N92000002,H,2,1,2,6,2,2,1,2,1,2,2,1,6,10,1
5266738,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5366678,N92000002,H,2,1,2,2,1,1,1,2,1,2,2,6,-9,-9,-9
5367653,N92000002,H,2,1,2,3,1,1,1,1,1,1,1,6,-9,-9,-9
5418115,N92000002,H,2,1,1,3,1,2,1,1,1,3,2,1,3,8,3
5417709,N92000002,H,2,1,2,1,1,2,1,2,1,1,1,-9,-9,-9,-9
5293223,N92000002,H,2,1,2,4,2,2,2,2,2,1,1,1,2,11,3
5319838,N92000002,H,2,1,2,1,1,2,1,2,1,1,1,-9,-9,-9,-9
5294273,N92000002,H,2,1,1,4,2,2,1,1,1,1,1,1,2,8,3
5270198,N92000002,H,2,1,1,2,1,1,1,1,1,1,1,4,-9,-9,-9
5319313,N92000002,H,2,1,1,6,2,2,1,3,1,1,1,5,1,2,4
5345518,N92000002,H,2,1,1,5,2,2,1,5,1,1,1,8,-9,-9,-9
5271628,N92000002,H,2,1,2,1,1,1,1,2,1,3,2,-9,-9,-9,-9
5395648,N92000002,H,5,1,1,3,1,1,1,1,1,7,4,4,5,5,1
5321528,N92000002,H,2,1,1,3,2,2,1,1,1,1,1,1,4,8,3
5297163,N92000002,H,2,1,2,5,2,2,1,2,1,2,2,1,7,4,2
5372163,N92000002,H,3,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5322578,N92000002,H,2,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5397724,N92000002,H,2,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5274168,N92000002,H,2,1,2,5,2,2,1,1,1,2,2,3,-9,-9,-9
5275028,N92000002,H,5,1,2,4,3,2,1,2,1,1,1,1,3,11,3
5425060,N92000002,H,2,1,1,6,2,2,1,1,1,3,2,1,2,6,3
5250628,N92000002,H,2,1,1,1,1,1,1,2,1,3,2,-9,-9,-9,-9
5275768,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5275513,N92000002,H,2,1,2,6,2,2,1,3,1,6,3,1,9,10,1
5374623,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5326258,N92000002,H,2,1,2,3,2,2,1,1,1,1,1,1,2,11,3
5376548,N92000002,H,2,1,1,3,1,2,1,2,1,7,1,1,7,4,3
5326878,N92000002,H,2,1,2,4,2,2,1,1,1,5,2,1,4,4,2
5427455,N92000002,H,5,1,2,1,1,1,1,2,2,8,4,-9,-9,-9,-9
5327468,N92000002,H,1,1,1,4,1,2,1,2,1,1,1,2,5,3,3
5402089,N92000002,H,2,1,1,2,1,1,1,1,1,1,1,6,-9,-9,-9
5401419,N92000002,H,3,1,1,2,4,2,1,1,1,3,2,3,-9,-9,-9
5378748,N92000002,H,1,1,1,3,1,2,1,1,1,1,1,1,1,6,3
5329923,N92000002,H,2,1,2,4,2,2,1,1,1,7,1,1,2,10,1
5255458,N92000002,H,2,1,1,3,1,2,1,2,1,2,2,1,5,5,4
5404084,N92000002,H,2,1,1,5,2,2,1,1,1,3,2,2,1,4,3
5304793,N92000002,H,2,1,1,8,2,2,1,3,1,3,2,5,3,3,3
5355178,N92000002,H,5,1,2,4,4,2,1,1,1,2,2,1,6,10,1
5430419,N92000002,H,2,1,2,1,1,1,1,3,1,1,1,-9,-9,-9,-9
5380118,N92000002,H,2,1,2,4,2,2,1,2,1,5,2,1,9,3,3
5306068,N92000002,H,2,1,1,3,2,2,1,1,1,3,2,2,5,3,3
5381313,N92000002,H,2,1,2,6,2,2,1,3,1,4,2,9,8,11,3
5431270,N92000002,C,-9,1,1,2,1,2,1,1,1,5,2,1,3,9,4
5406789,N92000002,H,2,1,1,2,1,1,2,1,1,1,1,6,-9,-9,-9
5257183,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,1,5,5,3
5282548,N92000002,H,5,1,1,4,1,2,1,3,1,8,2,8,4,9,3
5333228,N92000002,H,1,1,2,6,4,2,1,2,1,8,1,5,7,4,1
5257883,N92000002,H,1,1,2,8,5,2,1,4,1,2,2,5,6,11,3
5382629,N92000002,H,2,1,2,3,2,2,1,1,1,7,2,1,4,9,3
5232653,N92000002,H,2,1,2,5,2,2,1,2,1,3,2,9,4,3,1
5383763,N92000002,H,2,1,1,3,1,2,1,1,1,2,2,1,5,3,3
5334163,N92000002,H,2,1,1,2,1,1,1,1,1,3,2,4,7,4,1
5234623,N92000002,H,2,1,1,6,2,2,1,3,1,3,2,5,5,3,3
5284368,N92000002,H,2,1,2,7,2,2,1,1,1,2,2,5,4,9,3
5431465,N92000002,C,-9,1,2,5,3,2,1,3,1,2,2,8,8,2,3
5285708,N92000002,H,2,1,1,1,1,2,1,2,1,1,1,-9,-9,-9,-9
5236168,N92000002,H,2,1,2,4,2,2,1,2,1,3,2,1,2,10,3
5286113,N92000002,H,2,1,1,7,2,2,1,2,1,7,4,1,1,8,2
5310718,N92000002,H,2,1,1,2,1,2,1,2,1,3,2,1,5,3,2
5313093,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5314568,N92000002,H,5,1,1,5,1,2,1,3,1,1,1,1,9,4,3
5313633,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5240268,N92000002,H,2,1,1,6,2,2,1,3,1,2,2,2,3,8,3
5289503,N92000002,H,5,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5386498,N92000002,H,2,1,1,4,2,2,1,2,1,7,4,3,9,8,2
5288213,N92000002,H,2,1,1,4,2,2,1,1,1,1,1,2,5,3,3
5236788,N92000002,H,1,1,2,3,1,2,1,1,1,1,1,1,2,10,2
5262823,N92000002,H,2,1,2,5,1,2,1,2,1,5,2,7,9,11,4
5312753,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5238738,N92000002,H,1,1,1,5,1,2,2,1,1,7,1,1,9,6,3
5414799,N92000002,H,2,1,1,2,1,1,1,1,1,7,2,6,6,10,3
5290163,N92000002,H,1,1,1,4,1,2,1,3,1,7,2,1,4,8,3
5266308,N92000002,H,2,1,2,5,2,2,1,1,1,5,2,1,2,11,2
5340548,N92000002,H,2,1,2,4,2,2,1,1,1,3,2,1,4,12,2
5265783,N92000002,H,2,1,2,4,2,2,1,1,1,3,2,1,4,9,3
5291268,N92000002,H,2,1,1,5,2,2,1,3,1,8,2,1,5,2,3
5291218,N92000002,H,2,1,1,5,2,2,1,3,1,3,2,1,3,6,3
5415799,N92000002,H,4,1,1,8,5,2,1,4,1,1,1,5,8,3,3
5391973,N92000002,H,2,1,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9
5391513,N92000002,H,5,1,1,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5341573,N92000002,H,2,1,1,2,1,1,1,1,1,7,4,6,-9,-9,-9
5391643,N92000002,H,2,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5416304,N92000002,H,2,1,1,4,2,2,1,2,1,1,1,2,5,10,3
5416354,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5391368,N92000002,H,2,1,1,7,2,2,1,2,1,3,2,8,8,2,3
5317453,N92000002,H,3,1,2,5,5,2,1,3,1,3,2,1,4,12,3
5267988,N92000002,H,2,1,2,4,2,2,1,2,1,4,2,1,7,4,1
5293318,N92000002,H,2,1,1,6,2,2,1,3,1,1,1,1,8,2,3
5292953,N92000002,H,2,1,2,1,1,2,1,1,1,3,2,-9,-9,-9,-9
5294038,N92000002,H,2,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5343118,N92000002,H,2,1,1,4,2,2,1,1,1,1,1,2,8,6,2
5420325,N92000002,H,1,1,1,4,1,2,1,1,1,1,1,3,7,8,3
5294558,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5370938,N92000002,H,2,1,1,6,2,2,1,2,1,7,1,1,8,3,3
5246448,N92000002,H,2,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5320843,N92000002,H,2,1,1,3,2,2,1,1,1,1,1,2,7,4,1
5272773,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5373303,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5299573,N92000002,H,5,1,2,2,1,1,1,1,1,7,1,4,9,5,1
5299423,N92000002,H,2,1,1,8,2,2,1,3,1,3,2,5,5,3,3
5275543,N92000002,H,3,1,1,3,2,2,2,1,2,3,2,1,2,10,3
5374203,N92000002,H,2,1,1,6,2,2,1,4,1,2,2,5,4,7,3
5274408,N92000002,H,2,1,1,2,1,1,1,1,1,2,2,6,-9,-9,-9
5375548,N92000002,H,3,1,1,4,1,2,1,2,1,7,2,1,9,6,3
5301068,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5351208,N92000002,H,1,1,1,7,5,2,1,3,1,1,1,5,8,8,3
5427055,N92000002,H,2,1,2,5,2,2,1,1,1,1,1,1,4,7,3
5251963,N92000002,H,2,1,2,5,2,2,1,3,1,3,2,8,6,11,2
5376508,N92000002,H,2,1,1,6,2,2,1,2,1,7,4,9,5,2,3
5252643,N92000002,H,5,1,2,3,3,2,1,2,1,1,1,7,9,8,1
5426730,N92000002,H,1,1,1,5,2,1,1,1,1,1,1,4,1,4,3
5427860,N92000002,H,1,1,2,5,1,2,1,3,1,8,1,8,-9,-9,-9
5328418,N92000002,H,2,1,1,2,1,1,1,1,1,1,1,4,7,4,1
5278443,N92000002,H,2,1,1,2,1,1,1,2,1,2,2,6,-9,-9,-9
5429888,N92000002,H,1,1,1,5,3,2,1,1,1,7,1,2,3,6,3
5254948,N92000002,H,1,1,1,5,1,2,1,2,1,7,4,2,7,4,2
5380014,N92000002,H,2,1,2,7,2,2,1,1,1,2,2,5,4,9,2
5430339,N92000002,H,5,1,2,6,5,2,1,2,1,1,1,9,9,11,3
5405289,N92000002,H,2,1,1,5,2,2,1,1,1,1,1,2,5,1,4
5381263,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5405909,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5381293,N92000002,H,2,1,2,3,1,2,1,1,1,1,1,3,2,8,3
5356498,N92000002,H,1,1,2,8,5,2,1,4,1,1,1,5,7,4,2
5257408,N92000002,H,5,1,2,2,1,2,1,2,1,2,2,9,7,4,2
5431390,N92000002,C,-9,1,2,8,1,2,1,3,1,3,2,5,-9,-9,-9
5309043,N92000002,H,2,1,2,3,2,2,1,1,1,2,2,1,2,11,3
5283848,N92000002,H,2,1,1,6,2,2,1,2,1,3,2,1,1,2,3
5408759,N92000002,H,5,1,2,8,5,2,1,5,1,3,2,5,6,10,2
5309403,N92000002,H,6,1,2,8,1,2,1,2,1,4,2,5,7,6,3
5334918,N92000002,H,2,1,2,1,1,1,1,1,1,5,2,-9,-9,-9,-9
5409754,N92000002,H,2,1,1,5,2,2,1,2,1,2,2,1,8,2,4
5410139,N92000002,H,2,1,2,5,2,2,1,2,1,2,2,1,6,10,2
5335368,N92000002,H,1,1,1,4,1,2,1,2,1,1,1,1,8,6,4
5285483,N92000002,H,1,1,2,6,5,2,1,3,1,2,2,5,8,2,3
5410219,N92000002,H,5,1,2,7,5,2,1,2,1,5,2,5,1,4,4
5311348,N92000002,H,2,1,2,3,2,1,2,3,1,1,1,4,7,4,1
5389713,N92000002,H,5,1,2,1,1,1,1,2,1,2,2,-9,-9,-9,-9
5431980,N92000002,C,-9,1,1,8,1,2,1,3,1,2,2,8,1,4,3
5262768,N92000002,H,5,1,2,4,1,2,1,2,1,2,2,7,6,10,2
5389683,N92000002,H,4,1,1,2,1,2,1,2,1,2,2,3,-9,-9,-9
5362053,N92000002,H,2,1,2,3,2,2,1,1,1,1,1,1,2,9,2
5411709,N92000002,H,5,1,2,2,1,2,1,1,1,3,2,1,6,11,3
5314818,N92000002,H,2,1,2,3,2,2,1,3,1,1,1,1,2,11,3
5412089,N92000002,H,2,1,1,4,2,2,1,2,1,2,2,9,3,7,3
5312868,N92000002,H,3,1,2,4,1,2,1,1,1,5,2,1,7,4,3
5314578,N92000002,H,5,1,2,5,4,2,1,1,1,7,1,1,9,6,2
5364293,N92000002,H,3,1,2,2,1,2,1,2,1,8,2,3,9,6,3
5261943,N92000002,H,3,1,2,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5290833,N92000002,H,2,1,1,8,2,2,1,3,1,2,2,5,5,4,3
5241608,N92000002,H,4,1,2,5,1,2,1,2,1,2,2,1,2,8,3
5367123,N92000002,H,2,1,1,5,2,2,1,2,1,7,4,1,4,4,3
5366698,N92000002,H,1,1,1,7,5,2,1,3,1,1,1,2,5,1,4
5341428,N92000002,H,5,1,1,1,1,1,1,1,1,7,4,-9,-9,-9,-9
5341788,N92000002,H,2,1,2,3,2,2,1,2,1,1,1,1,4,9,3
5292808,N92000002,H,2,1,2,2,1,2,1,1,1,2,2,1,6,12,3
5368398,N92000002,H,5,1,2,8,5,2,1,2,1,3,2,5,9,4,1
5419020,N92000002,H,2,1,2,6,2,2,1,2,1,3,2,1,7,4,3
5419470,N92000002,H,1,1,1,3,1,2,2,3,1,1,1,3,8,3,3
5395313,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5369898,N92000002,H,2,1,1,7,2,2,1,2,1,1,1,5,5,1,3
5346323,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5370908,N92000002,H,2,1,1,1,1,2,1,1,1,7,4,-9,-9,-9,-9
5371568,N92000002,H,5,1,2,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5322588,N92000002,H,2,1,1,6,2,2,1,1,1,3,2,2,5,1,4
5397439,N92000002,H,2,1,2,3,2,2,1,1,1,1,1,1,2,7,3
5273073,N92000002,H,1,1,1,8,5,2,2,3,1,1,1,5,5,1,1
5423111,N92000002,H,1,1,2,4,1,2,1,2,1,1,1,2,1,5,4
5350293,N92000002,H,2,1,2,1,1,1,1,1,1,5,2,-9,-9,-9,-9
5375268,N92000002,H,5,1,2,3,1,2,1,1,1,3,2,1,2,6,3
5351013,N92000002,H,2,1,1,1,1,1,1,2,1,3,2,-9,-9,-9,-9
5375683,N92000002,H,5,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5402179,N92000002,H,2,1,2,4,2,2,1,2,1,1,1,1,2,8,3
5426780,N92000002,H,6,1,2,2,1,1,1,2,1,1,1,6,-9,-9,-9
5251923,N92000002,H,2,1,1,1,1,1,1,2,1,4,2,-9,-9,-9,-9
5402304,N92000002,H,2,1,2,4,2,2,2,1,1,1,1,2,4,1,3
5253008,N92000002,H,5,1,2,4,3,1,1,2,1,1,1,6,7,4,1
5253378,N92000002,H,3,1,2,2,1,1,1,1,1,3,2,4,6,11,2
5428523,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5330018,N92000002,H,2,1,2,2,2,2,1,3,1,7,4,1,6,11,3
5280068,N92000002,H,1,1,1,3,1,2,1,2,1,7,4,1,4,10,3
5304923,N92000002,H,2,1,1,5,2,2,1,3,1,2,2,9,9,2,3
5280133,N92000002,H,2,1,2,6,2,2,2,2,1,3,2,1,4,11,2
5380218,N92000002,H,2,1,1,3,2,2,1,2,1,8,4,1,5,2,3
5255983,N92000002,H,1,1,1,6,4,2,1,4,1,1,1,1,9,5,3
5255748,N92000002,H,2,1,1,3,1,1,1,1,1,1,1,6,-9,-9,-9
5305853,N92000002,H,2,1,1,3,1,2,1,1,1,1,1,1,2,3,3
5331238,N92000002,H,5,1,2,4,3,2,1,2,1,1,1,1,6,11,2
5256428,N92000002,H,2,1,1,4,2,2,1,3,1,1,1,1,9,4,2
5331188,N92000002,H,4,1,1,5,1,2,1,3,1,1,1,3,-9,-9,-9
5283448,N92000002,H,1,1,1,5,2,2,1,1,1,4,2,2,3,4,2
5358238,N92000002,H,3,1,2,5,4,2,1,2,1,7,2,1,2,8,3
5233348,N92000002,H,2,1,2,2,1,1,1,1,1,7,4,6,-9,-9,-9
5332293,N92000002,H,2,1,1,7,2,2,1,5,1,3,2,5,1,2,4
5358673,N92000002,H,5,1,2,2,1,1,1,1,1,1,1,4,-9,-9,-9
5383803,N92000002,H,1,1,2,6,5,2,1,2,1,4,2,5,2,10,3
5409269,N92000002,H,2,1,2,3,2,2,1,1,1,2,2,1,6,10,2
5359228,N92000002,H,5,1,2,1,1,2,1,1,1,3,2,-9,-9,-9,-9
5235138,N92000002,H,2,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5360408,N92000002,H,2,1,1,6,2,2,1,2,1,1,1,5,5,3,3
5335433,N92000002,H,2,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5314003,N92000002,H,3,1,2,3,1,2,1,1,1,1,1,1,4,7,3
5337623,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,1,4,10,3
5364763,N92000002,H,1,1,2,4,1,2,1,3,1,7,4,1,7,4,2
5263253,N92000002,H,2,1,2,5,2,2,1,4,1,2,2,8,8,2,3
5337993,N92000002,H,2,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5414159,N92000002,H,3,1,1,5,1,2,1,5,1,7,2,8,4,4,2
5288323,N92000002,H,5,1,2,1,1,2,1,1,1,2,2,-9,-9,-9,-9
